bearing_id,design_id,material_batch_id,manufacturing_batch_id,assembly_id,maintenance_record_id,operation_hours,lubrication_age_ratio,design_risk_score,material_risk_score,manufacturing_risk_score,assembly_risk_score,operation_risk_score,inspection_id,inspection_risk_score,overall_lifecycle_risk,overall_lifecycle_risk_level
BRG-00842,BDES-00146,BMAT-00232,BMAN-00521,BASM-00842,BOPR-00842,6866.9,0.3672,0.2986,0.2369,0.387,0.1596,0.3464,BINSP-00842,0.1649,0.2748,medium
BRG-00843,BDES-00731,BMAT-00355,BMAN-00607,BASM-00843,BOPR-00843,4119.5,0.6039,0.2013,0.0797,0.3104,0.336,0.2798,BINSP-00843,0.2083,0.2375,low
BRG-00844,BDES-00651,BMAT-00190,BMAN-00478,BASM-00844,BOPR-00844,3806.6,0.2843,0.2009,0.3343,0.2964,0.1883,0.2341,BINSP-00844,0.29,0.2611,medium
BRG-00845,BDES-00549,BMAT-00144,BMAN-00539,BASM-00845,BOPR-00845,1495.2,0.0959,0.0634,0.334,0.3343,0.2504,0.0868,BINSP-00845,0.2317,0.2358,low
BRG-00846,BDES-00409,BMAT-00424,BMAN-00086,BASM-00846,BOPR-00846,1694.8,0.3075,0.0381,0.2247,0.4412,0.4074,0.1021,BINSP-00846,0.1812,0.2606,medium
BRG-00847,BDES-00299,BMAT-00208,BMAN-00140,BASM-00847,BOPR-00847,2380.7,0.6704,0.1216,0.058,0.3036,0.1661,0.3194,BINSP-00847,0.2132,0.1935,low
BRG-00848,BDES-00688,BMAT-00361,BMAN-00571,BASM-00848,BOPR-00848,8040.3,0.1723,0.249,0.1824,0.2681,0.1338,0.2704,BINSP-00848,0.1913,0.2163,low
BRG-00849,BDES-00739,BMAT-00004,BMAN-01012,BASM-00849,BOPR-00849,4929.5,0.1896,0.3523,0.1538,0.3333,0.4046,0.2557,BINSP-00849,0.2089,0.2915,medium
BRG-00850,BDES-00525,BMAT-00159,BMAN-01024,BASM-00850,BOPR-00850,4303.8,0.7969,0.1048,0.2058,0.3776,0.3776,0.4813,BINSP-00850,0.2233,0.2966,medium
BRG-00851,BDES-00321,BMAT-00108,BMAN-00075,BASM-00851,BOPR-00851,2779.9,0.0651,0.1811,0.0688,0.2915,0.261,0.1575,BINSP-00851,0.1741,0.196,low
BRG-00852,BDES-00126,BMAT-00044,BMAN-00261,BASM-00852,BOPR-00852,4949.5,0.0842,0.115,0.1252,0.3006,0.5454,0.2128,BINSP-00852,0.2531,0.2646,medium
BRG-00853,BDES-00794,BMAT-00079,BMAN-00034,BASM-00853,BOPR-00853,4320.5,0.9539,0.3137,0.3423,0.5319,0.4124,0.5155,BINSP-00853,0.3119,0.4136,medium
BRG-00854,BDES-00214,BMAT-00346,BMAN-00162,BASM-00854,BOPR-00854,3268.3,0.0925,0.0083,0.1914,0.3516,0.1921,0.1049,BINSP-00854,0.1517,0.1863,low
BRG-00855,BDES-00688,BMAT-00177,BMAN-00923,BASM-00855,BOPR-00855,3230.0,0.3099,0.249,0.1686,0.1831,0.2543,0.2052,BINSP-00855,0.1617,0.2041,low
BRG-00856,BDES-00598,BMAT-00027,BMAN-00113,BASM-00856,BOPR-00856,3867.6,0.4367,0.1408,0.3411,0.3072,0.2245,0.3377,BINSP-00856,0.2573,0.2711,medium
BRG-00857,BDES-00473,BMAT-00007,BMAN-00640,BASM-00857,BOPR-00857,8272.7,0.5329,0.5624,0.1461,0.0972,0.4908,0.4552,BINSP-00857,0.2573,0.3112,medium
BRG-00858,BDES-00534,BMAT-00207,BMAN-00606,BASM-00858,BOPR-00858,580.8,0.4918,0.2211,0.2932,0.3481,0.2911,0.2131,BINSP-00858,0.2405,0.2796,medium
BRG-00859,BDES-00119,BMAT-00342,BMAN-00836,BASM-00859,BOPR-00859,3982.8,0.4357,0.1964,0.1727,0.4796,0.1476,0.2897,BINSP-00859,0.199,0.2623,medium
BRG-00860,BDES-00574,BMAT-00047,BMAN-00013,BASM-00860,BOPR-00860,3732.4,0.3731,0.0955,0.4705,0.2931,0.3916,0.2368,BINSP-00860,0.242,0.3028,medium
BRG-00861,BDES-00063,BMAT-00201,BMAN-00878,BASM-00861,BOPR-00861,1472.3,0.2407,0.2348,0.1296,0.3714,0.1277,0.1541,BINSP-00861,0.1739,0.2115,low
BRG-00862,BDES-00045,BMAT-00127,BMAN-00010,BASM-00862,BOPR-00862,3683.4,0.4616,0.2809,0.2316,0.2559,0.2618,0.3084,BINSP-00862,0.2124,0.2581,medium
BRG-00863,BDES-00594,BMAT-00144,BMAN-00990,BASM-00863,BOPR-00863,5292.9,0.5653,0.1007,0.334,0.2211,0.1249,0.3185,BINSP-00863,0.2402,0.2207,low
BRG-00864,BDES-00742,BMAT-00454,BMAN-00335,BASM-00864,BOPR-00864,3523.3,0.9289,0.0685,0.2932,0.1083,0.307,0.4536,BINSP-00864,0.2691,0.2322,low
BRG-00865,BDES-00088,BMAT-00490,BMAN-00531,BASM-00865,BOPR-00865,2940.1,1.0,0.1056,0.3299,0.2958,0.1499,0.4374,BINSP-00865,0.2464,0.258,medium
BRG-00866,BDES-00191,BMAT-00066,BMAN-00453,BASM-00866,BOPR-00866,2293.5,0.4443,0.226,0.1075,0.3149,0.2383,0.2611,BINSP-00866,0.2068,0.2281,low
BRG-00867,BDES-00175,BMAT-00444,BMAN-00051,BASM-00867,BOPR-00867,3558.0,0.2338,0.4429,0.2758,0.388,0.3929,0.2141,BINSP-00867,0.219,0.3375,medium
BRG-00868,BDES-00755,BMAT-00460,BMAN-00986,BASM-00868,BOPR-00868,5181.4,0.8284,0.197,0.1937,0.3434,0.0903,0.4807,BINSP-00868,0.2293,0.2495,low
BRG-00869,BDES-00226,BMAT-00392,BMAN-00436,BASM-00869,BOPR-00869,2362.8,0.6115,0.2655,0.181,0.1787,0.1998,0.3543,BINSP-00869,0.2295,0.223,low
BRG-00870,BDES-00137,BMAT-00120,BMAN-00559,BASM-00870,BOPR-00870,4313.0,0.239,0.2505,0.1599,0.4844,0.3892,0.1945,BINSP-00870,0.188,0.3005,medium
BRG-00871,BDES-00557,BMAT-00106,BMAN-00682,BASM-00871,BOPR-00871,1783.0,0.8521,0.0237,0.1211,0.4849,0.2176,0.4136,BINSP-00871,0.2121,0.2544,medium
BRG-00872,BDES-00036,BMAT-00447,BMAN-00123,BASM-00872,BOPR-00872,3263.2,0.1026,0.2066,0.1166,0.4291,0.2921,0.1534,BINSP-00872,0.1564,0.246,low
BRG-00873,BDES-00484,BMAT-00228,BMAN-00238,BASM-00873,BOPR-00873,1211.7,0.0935,0.2081,0.4178,0.1975,0.4767,0.0711,BINSP-00873,0.2831,0.2869,medium
BRG-00874,BDES-00712,BMAT-00337,BMAN-01092,BASM-00874,BOPR-00874,5134.0,0.4373,0.215,0.1446,0.2108,0.3959,0.3378,BINSP-00874,0.1961,0.2453,low
BRG-00875,BDES-00078,BMAT-00330,BMAN-00289,BASM-00875,BOPR-00875,1502.4,0.3501,0.0899,0.337,0.266,0.3483,0.2411,BINSP-00875,0.2354,0.2608,medium
BRG-00876,BDES-00372,BMAT-00082,BMAN-00214,BASM-00876,BOPR-00876,4940.4,0.4607,0.2455,0.1916,0.4149,0.337,0.303,BINSP-00876,0.2252,0.2967,medium
BRG-00877,BDES-00160,BMAT-00235,BMAN-01049,BASM-00877,BOPR-00877,1722.4,0.1712,0.1988,0.3902,0.1822,0.4484,0.0666,BINSP-00877,0.231,0.2654,medium
BRG-00878,BDES-00039,BMAT-00339,BMAN-00964,BASM-00878,BOPR-00878,4335.2,0.3992,0.1136,0.1966,0.2436,0.5142,0.282,BINSP-00878,0.1808,0.2604,medium
BRG-00879,BDES-00093,BMAT-00093,BMAN-00957,BASM-00879,BOPR-00879,3687.3,0.2366,0.2609,0.2573,0.4934,0.3174,0.2647,BINSP-00879,0.2963,0.3301,medium
BRG-00880,BDES-00385,BMAT-00353,BMAN-01083,BASM-00880,BOPR-00880,2978.4,0.7639,0.0352,0.2982,0.4555,0.4282,0.4536,BINSP-00880,0.2903,0.3351,medium
BRG-00881,BDES-00202,BMAT-00141,BMAN-00534,BASM-00881,BOPR-00881,5597.0,0.2251,0.5454,0.2194,0.2979,0.5272,0.3332,BINSP-00881,0.2138,0.3589,medium
BRG-00882,BDES-00300,BMAT-00460,BMAN-00241,BASM-00882,BOPR-00882,5572.9,0.5747,0.1538,0.1937,0.2572,0.3759,0.4436,BINSP-00882,0.2102,0.267,medium
BRG-00883,BDES-00495,BMAT-00027,BMAN-00717,BASM-00883,BOPR-00883,2186.2,0.2986,0.2028,0.3411,0.2834,0.4141,0.209,BINSP-00883,0.285,0.2968,medium
BRG-00884,BDES-00331,BMAT-00443,BMAN-00585,BASM-00884,BOPR-00884,2383.3,0.0362,0.1856,0.2715,0.4067,0.2266,0.02,BINSP-00884,0.1611,0.2409,low
BRG-00885,BDES-00762,BMAT-00029,BMAN-00621,BASM-00885,BOPR-00885,1725.7,0.454,0.0596,0.0644,0.2861,0.3555,0.2472,BINSP-00885,0.2838,0.2131,low
BRG-00886,BDES-00706,BMAT-00101,BMAN-00604,BASM-00886,BOPR-00886,2219.9,0.166,0.0819,0.1345,0.3369,0.2891,0.1628,BINSP-00886,0.2049,0.2129,low
BRG-00887,BDES-00133,BMAT-00086,BMAN-00101,BASM-00887,BOPR-00887,5047.2,0.4196,0.3558,0.0709,0.3486,0.3033,0.3232,BINSP-00887,0.2531,0.2735,medium
BRG-00888,BDES-00254,BMAT-00235,BMAN-00046,BASM-00888,BOPR-00888,3299.2,0.5092,0.0696,0.3902,0.1357,0.382,0.3487,BINSP-00888,0.2085,0.2532,medium
BRG-00889,BDES-00667,BMAT-00085,BMAN-00643,BASM-00889,BOPR-00889,3854.8,0.3725,0.2142,0.2602,0.384,0.1865,0.2283,BINSP-00889,0.2002,0.2595,medium
BRG-00890,BDES-00133,BMAT-00425,BMAN-00404,BASM-00890,BOPR-00890,3829.1,0.483,0.3558,0.1258,0.3482,0.3659,0.3155,BINSP-00890,0.2334,0.2927,medium
BRG-00891,BDES-00367,BMAT-00467,BMAN-00445,BASM-00891,BOPR-00891,3098.2,0.9569,0.1102,0.2526,0.2033,0.4207,0.5111,BINSP-00891,0.3163,0.2856,medium
BRG-00892,BDES-00035,BMAT-00165,BMAN-01128,BASM-00892,BOPR-00892,2965.5,1.0,0.1559,0.4462,0.4637,0.2363,0.4811,BINSP-00892,0.2452,0.3503,medium
BRG-00893,BDES-00671,BMAT-00393,BMAN-00937,BASM-00893,BOPR-00893,3975.5,0.5127,0.1135,0.1119,0.329,0.2939,0.2708,BINSP-00893,0.1531,0.2202,low
BRG-00894,BDES-00162,BMAT-00154,BMAN-00093,BASM-00894,BOPR-00894,6112.6,0.7649,0.2852,0.3211,0.1688,0.2112,0.5499,BINSP-00894,0.2549,0.2799,medium
BRG-00895,BDES-00699,BMAT-00455,BMAN-00262,BASM-00895,BOPR-00895,2940.2,0.2765,0.1685,0.1751,0.359,0.2877,0.1935,BINSP-00895,0.2023,0.2434,low
BRG-00896,BDES-00510,BMAT-00168,BMAN-00642,BASM-00896,BOPR-00896,5327.0,0.4704,0.0631,0.208,0.1219,0.1903,0.3667,BINSP-00896,0.1877,0.178,low
BRG-00897,BDES-00162,BMAT-00169,BMAN-00332,BASM-00897,BOPR-00897,3824.7,0.4275,0.2852,0.151,0.2836,0.1015,0.228,BINSP-00897,0.1361,0.2031,low
BRG-00898,BDES-00751,BMAT-00054,BMAN-00581,BASM-00898,BOPR-00898,3190.4,0.3711,0.1029,0.1975,0.3313,0.3802,0.2295,BINSP-00898,0.2404,0.2555,medium
BRG-00899,BDES-00258,BMAT-00107,BMAN-00125,BASM-00899,BOPR-00899,2590.6,0.5363,0.2527,0.1156,0.3956,0.1678,0.2991,BINSP-00899,0.1864,0.2432,low
BRG-00900,BDES-00156,BMAT-00229,BMAN-00059,BASM-00900,BOPR-00900,1909.9,0.8364,0.0784,0.1963,0.3916,0.4592,0.403,BINSP-00900,0.2745,0.3043,medium
BRG-00901,BDES-00129,BMAT-00062,BMAN-00405,BASM-00901,BOPR-00901,3398.1,0.7109,0.0606,0.3046,0.3967,0.36,0.4164,BINSP-00901,0.2589,0.3065,medium
BRG-00902,BDES-00212,BMAT-00067,BMAN-00171,BASM-00902,BOPR-00902,3916.4,0.4816,0.1116,0.2538,0.3683,0.4794,0.3486,BINSP-00902,0.211,0.3062,medium
BRG-00903,BDES-00023,BMAT-00078,BMAN-01053,BASM-00903,BOPR-00903,3323.9,1.0,0.2843,0.2471,0.2328,0.3335,0.4971,BINSP-00903,0.2205,0.2925,medium
BRG-00904,BDES-00093,BMAT-00006,BMAN-00995,BASM-00904,BOPR-00904,2795.6,0.8679,0.2609,0.2924,0.2339,0.392,0.4483,BINSP-00904,0.1882,0.2995,medium
BRG-00905,BDES-00682,BMAT-00467,BMAN-00416,BASM-00905,BOPR-00905,2837.6,0.1656,0.0723,0.2526,0.1874,0.245,0.1627,BINSP-00905,0.1563,0.1863,low
BRG-00906,BDES-00149,BMAT-00214,BMAN-00590,BASM-00906,BOPR-00906,3130.5,0.3202,0.2678,0.0847,0.2822,0.5335,0.2077,BINSP-00906,0.241,0.2726,medium
BRG-00907,BDES-00165,BMAT-00422,BMAN-00463,BASM-00907,BOPR-00907,2761.9,0.3489,0.1649,0.2035,0.4328,0.3032,0.2507,BINSP-00907,0.1647,0.2721,medium
BRG-00908,BDES-00396,BMAT-00359,BMAN-00873,BASM-00908,BOPR-00908,2282.9,0.9905,0.1582,0.4986,0.1487,0.556,0.4319,BINSP-00908,0.2144,0.3341,medium
BRG-00909,BDES-00372,BMAT-00270,BMAN-00593,BASM-00909,BOPR-00909,2888.4,1.0,0.2455,0.1366,0.3552,0.1935,0.4562,BINSP-00909,0.2188,0.2633,medium
BRG-00910,BDES-00318,BMAT-00419,BMAN-00604,BASM-00910,BOPR-00910,4890.2,0.285,0.1211,0.0562,0.3369,0.3786,0.3261,BINSP-00910,0.2062,0.2394,low
BRG-00911,BDES-00214,BMAT-00039,BMAN-00083,BASM-00911,BOPR-00911,3216.5,0.368,0.0083,0.1155,0.3684,0.2488,0.2698,BINSP-00911,0.1611,0.2061,low
BRG-00912,BDES-00161,BMAT-00368,BMAN-00898,BASM-00912,BOPR-00912,2947.0,0.4362,0.0796,0.4713,0.1626,0.3813,0.2947,BINSP-00912,0.2312,0.2731,medium
BRG-00913,BDES-00791,BMAT-00308,BMAN-00110,BASM-00913,BOPR-00913,3324.6,0.7645,0.3389,0.3828,0.1824,0.4122,0.4086,BINSP-00913,0.3347,0.3313,medium
BRG-00914,BDES-00110,BMAT-00007,BMAN-00393,BASM-00914,BOPR-00914,4285.5,0.1137,0.07,0.1461,0.3336,0.296,0.1164,BINSP-00914,0.1631,0.204,low
BRG-00915,BDES-00307,BMAT-00361,BMAN-01147,BASM-00915,BOPR-00915,2180.1,0.2001,0.1166,0.1824,0.4532,0.3542,0.1257,BINSP-00915,0.1441,0.2572,medium
BRG-00916,BDES-00363,BMAT-00499,BMAN-01179,BASM-00916,BOPR-00916,824.6,0.4451,0.092,0.4094,0.3135,0.3073,0.2381,BINSP-00916,0.2653,0.2823,medium
BRG-00917,BDES-00748,BMAT-00484,BMAN-00334,BASM-00917,BOPR-00917,4920.7,0.3,0.1887,0.3411,0.2277,0.2837,0.2867,BINSP-00917,0.2557,0.2641,medium
BRG-00918,BDES-00237,BMAT-00055,BMAN-00277,BASM-00918,BOPR-00918,3098.0,0.2913,0.1636,0.0284,0.3276,0.1474,0.1829,BINSP-00918,0.112,0.1702,low
BRG-00919,BDES-00731,BMAT-00456,BMAN-00944,BASM-00919,BOPR-00919,2200.9,0.7836,0.2013,0.0925,0.4024,0.1449,0.3986,BINSP-00919,0.213,0.2425,low
BRG-00920,BDES-00653,BMAT-00477,BMAN-00410,BASM-00920,BOPR-00920,2723.8,0.469,0.0576,0.2304,0.2861,0.4545,0.3012,BINSP-00920,0.2107,0.263,medium
BRG-00921,BDES-00066,BMAT-00363,BMAN-01111,BASM-00921,BOPR-00921,3063.6,0.3825,0.2521,0.3374,0.3871,0.2294,0.2908,BINSP-00921,0.2746,0.3044,medium
BRG-00922,BDES-00212,BMAT-00436,BMAN-00813,BASM-00922,BOPR-00922,2034.6,0.7955,0.1116,0.4108,0.4789,0.2276,0.4162,BINSP-00922,0.2252,0.3284,medium
BRG-00923,BDES-00344,BMAT-00168,BMAN-00861,BASM-00923,BOPR-00923,4259.9,0.2354,0.25,0.208,0.44,0.2343,0.3043,BINSP-00923,0.3164,0.2975,medium
BRG-00924,BDES-00591,BMAT-00165,BMAN-01086,BASM-00924,BOPR-00924,2344.8,0.1777,0.0702,0.4462,0.2431,0.1473,0.1225,BINSP-00924,0.1832,0.2184,low
BRG-00925,BDES-00771,BMAT-00345,BMAN-01069,BASM-00925,BOPR-00925,4346.9,0.2591,0.1145,0.2125,0.3131,0.2467,0.2978,BINSP-00925,0.1484,0.2309,low
BRG-00926,BDES-00058,BMAT-00100,BMAN-01107,BASM-00926,BOPR-00926,4700.3,0.2427,0.1721,0.0587,0.3846,0.2627,0.2679,BINSP-00926,0.2115,0.2322,low
BRG-00927,BDES-00194,BMAT-00204,BMAN-00060,BASM-00927,BOPR-00927,1839.9,0.4605,0.0,0.2964,0.2528,0.3862,0.2199,BINSP-00927,0.1903,0.2349,low
BRG-00928,BDES-00532,BMAT-00206,BMAN-00365,BASM-00928,BOPR-00928,1057.8,0.492,0.1304,0.2968,0.138,0.4193,0.1749,BINSP-00928,0.2064,0.2304,low
BRG-00929,BDES-00370,BMAT-00151,BMAN-00226,BASM-00929,BOPR-00929,6407.2,0.2272,0.0204,0.328,0.2934,0.3393,0.2307,BINSP-00929,0.252,0.2532,medium
BRG-00930,BDES-00428,BMAT-00213,BMAN-00279,BASM-00930,BOPR-00930,2816.0,0.2201,0.1373,0.1396,0.2718,0.2057,0.2288,BINSP-00930,0.1696,0.1966,low
BRG-00931,BDES-00783,BMAT-00459,BMAN-00273,BASM-00931,BOPR-00931,4554.8,0.5392,0.4843,0.1675,0.3198,0.3259,0.3539,BINSP-00931,0.2586,0.3147,medium
BRG-00932,BDES-00126,BMAT-00038,BMAN-00624,BASM-00932,BOPR-00932,3319.9,0.7733,0.115,0.1612,0.2087,0.4649,0.3698,BINSP-00932,0.2109,0.2499,low
BRG-00933,BDES-00707,BMAT-00496,BMAN-00150,BASM-00933,BOPR-00933,2995.2,0.3927,0.2627,0.1973,0.2156,0.2484,0.2445,BINSP-00933,0.1883,0.2261,low
BRG-00934,BDES-00416,BMAT-00130,BMAN-00257,BASM-00934,BOPR-00934,6386.5,0.3237,0.0,0.1381,0.2747,0.3518,0.368,BINSP-00934,0.1318,0.2142,low
BRG-00935,BDES-00658,BMAT-00397,BMAN-00596,BASM-00935,BOPR-00935,3625.7,1.0,0.3578,0.3446,0.4594,0.0417,0.5357,BINSP-00935,0.2407,0.3323,medium
BRG-00936,BDES-00163,BMAT-00376,BMAN-00239,BASM-00936,BOPR-00936,4291.5,0.1075,0.3141,0.1956,0.2747,0.111,0.2016,BINSP-00936,0.1758,0.2171,low
BRG-00937,BDES-00291,BMAT-00036,BMAN-01045,BASM-00937,BOPR-00937,4359.0,0.1962,0.0991,0.262,0.2889,0.0682,0.1695,BINSP-00937,0.1912,0.1893,low
BRG-00938,BDES-00730,BMAT-00346,BMAN-01071,BASM-00938,BOPR-00938,4245.0,0.4497,0.1033,0.1914,0.331,0.1832,0.3914,BINSP-00938,0.214,0.2356,low
BRG-00939,BDES-00284,BMAT-00069,BMAN-00385,BASM-00939,BOPR-00939,5875.3,0.9664,0.2622,0.1185,0.2859,0.0529,0.5675,BINSP-00939,0.2329,0.2352,low
BRG-00940,BDES-00066,BMAT-00142,BMAN-00227,BASM-00940,BOPR-00940,2396.3,0.4316,0.2521,0.3588,0.273,0.3401,0.2623,BINSP-00940,0.2169,0.292,medium
BRG-00941,BDES-00363,BMAT-00090,BMAN-00087,BASM-00941,BOPR-00941,4221.8,0.1771,0.092,0.3152,0.2708,0.2549,0.2984,BINSP-00941,0.2035,0.2448,low
BRG-00942,BDES-00299,BMAT-00018,BMAN-00794,BASM-00942,BOPR-00942,3268.2,0.7583,0.1216,0.0999,0.2854,0.2534,0.4567,BINSP-00942,0.2191,0.2303,low
BRG-00943,BDES-00499,BMAT-00154,BMAN-00597,BASM-00943,BOPR-00943,4377.5,0.3024,0.2329,0.3211,0.2317,0.2421,0.2608,BINSP-00943,0.2577,0.2577,medium
BRG-00944,BDES-00610,BMAT-00329,BMAN-00040,BASM-00944,BOPR-00944,1926.6,0.1599,0.2379,0.4654,0.1644,0.1983,0.0885,BINSP-00944,0.1907,0.236,low
BRG-00945,BDES-00504,BMAT-00190,BMAN-00157,BASM-00945,BOPR-00945,1497.2,0.1439,0.248,0.3343,0.413,0.3249,0.0136,BINSP-00945,0.2636,0.2921,medium
BRG-00946,BDES-00106,BMAT-00492,BMAN-00008,BASM-00946,BOPR-00946,3630.9,0.2611,0.3093,0.2201,0.4172,0.5028,0.1646,BINSP-00946,0.244,0.3283,medium
BRG-00947,BDES-00470,BMAT-00052,BMAN-00490,BASM-00947,BOPR-00947,3921.3,0.1191,0.1973,0.361,0.2974,0.5634,0.1978,BINSP-00947,0.2654,0.3268,medium
BRG-00948,BDES-00396,BMAT-00229,BMAN-01160,BASM-00948,BOPR-00948,5580.9,0.1458,0.1582,0.1963,0.1458,0.2019,0.2485,BINSP-00948,0.1175,0.1775,low
BRG-00949,BDES-00158,BMAT-00350,BMAN-00374,BASM-00949,BOPR-00949,4571.0,0.4885,0.0336,0.1903,0.444,0.1933,0.3845,BINSP-00949,0.1864,0.2496,low
BRG-00950,BDES-00631,BMAT-00063,BMAN-01169,BASM-00950,BOPR-00950,8563.6,0.7435,0.1364,0.213,0.234,0.0923,0.6567,BINSP-00950,0.2222,0.2382,low
BRG-00951,BDES-00035,BMAT-00490,BMAN-00381,BASM-00951,BOPR-00951,3389.6,0.84,0.1559,0.3299,0.4009,0.2443,0.4021,BINSP-00951,0.2416,0.3035,medium
BRG-00952,BDES-00438,BMAT-00370,BMAN-00713,BASM-00952,BOPR-00952,4300.8,0.3024,0.3934,0.1414,0.312,0.0713,0.2768,BINSP-00952,0.1566,0.2278,low
BRG-00953,BDES-00764,BMAT-00192,BMAN-00058,BASM-00953,BOPR-00953,1127.5,0.0745,0.0246,0.1062,0.2936,0.2068,0.0393,BINSP-00953,0.1213,0.1497,low
BRG-00954,BDES-00046,BMAT-00425,BMAN-01056,BASM-00954,BOPR-00954,2785.2,0.3131,0.0309,0.1258,0.309,0.2527,0.1929,BINSP-00954,0.1516,0.1881,low
BRG-00955,BDES-00217,BMAT-00211,BMAN-00236,BASM-00955,BOPR-00955,2326.0,0.2015,0.1155,0.4874,0.3926,0.3023,0.1477,BINSP-00955,0.1331,0.2956,medium
BRG-00956,BDES-00542,BMAT-00497,BMAN-00441,BASM-00956,BOPR-00956,5689.6,0.4306,0.1692,0.3138,0.39,0.2113,0.4135,BINSP-00956,0.2363,0.2947,medium
BRG-00957,BDES-00524,BMAT-00230,BMAN-00824,BASM-00957,BOPR-00957,3399.2,0.3777,0.1471,0.2024,0.4065,0.6218,0.2029,BINSP-00957,0.2287,0.3207,medium
BRG-00958,BDES-00426,BMAT-00345,BMAN-00154,BASM-00958,BOPR-00958,1771.6,0.513,0.3244,0.2125,0.2717,0.2256,0.1747,BINSP-00958,0.2081,0.242,low
BRG-00959,BDES-00151,BMAT-00171,BMAN-01042,BASM-00959,BOPR-00959,2479.4,0.1907,0.0748,0.1006,0.1632,0.4198,0.2348,BINSP-00959,0.1455,0.1895,low
BRG-00960,BDES-00327,BMAT-00203,BMAN-01053,BASM-00960,BOPR-00960,2035.2,0.1719,0.2458,0.2049,0.2328,0.1041,0.1014,BINSP-00960,0.1651,0.1836,low
BRG-00961,BDES-00258,BMAT-00386,BMAN-01112,BASM-00961,BOPR-00961,4610.1,0.8755,0.2527,0.1227,0.3678,0.6457,0.4728,BINSP-00961,0.3247,0.3587,medium
BRG-00962,BDES-00245,BMAT-00019,BMAN-00229,BASM-00962,BOPR-00962,1927.5,0.2023,0.0283,0.2441,0.4305,0.1995,0.0746,BINSP-00962,0.1781,0.2193,low
BRG-00963,BDES-00625,BMAT-00487,BMAN-00554,BASM-00963,BOPR-00963,2598.4,0.2234,0.1006,0.1425,0.3843,0.0721,0.0866,BINSP-00963,0.1217,0.1724,low
BRG-00964,BDES-00082,BMAT-00191,BMAN-00924,BASM-00964,BOPR-00964,2915.7,0.385,0.0929,0.0483,0.3713,0.1771,0.2299,BINSP-00964,0.1674,0.1898,low
BRG-00965,BDES-00220,BMAT-00210,BMAN-00859,BASM-00965,BOPR-00965,7689.9,0.7456,0.1346,0.3078,0.5329,0.2812,0.5859,BINSP-00965,0.2865,0.3606,medium
BRG-00966,BDES-00109,BMAT-00039,BMAN-00962,BASM-00966,BOPR-00966,3928.0,0.6932,0.0459,0.1155,0.2612,0.1709,0.4314,BINSP-00966,0.0936,0.185,low
BRG-00967,BDES-00175,BMAT-00010,BMAN-00776,BASM-00967,BOPR-00967,3851.8,0.2467,0.4429,0.5978,0.5918,0.1829,0.1992,BINSP-00967,0.2893,0.4182,medium
BRG-00968,BDES-00724,BMAT-00496,BMAN-00603,BASM-00968,BOPR-00968,5729.2,0.2586,0.2242,0.1973,0.154,0.3999,0.2771,BINSP-00968,0.2388,0.2414,low
BRG-00969,BDES-00083,BMAT-00294,BMAN-01170,BASM-00969,BOPR-00969,957.0,0.331,0.3471,0.6606,0.1577,0.2156,0.2295,BINSP-00969,0.2771,0.3196,medium
BRG-00970,BDES-00307,BMAT-00302,BMAN-00672,BASM-00970,BOPR-00970,2444.9,0.5039,0.1166,0.0687,0.2627,0.1837,0.3269,BINSP-00970,0.1267,0.1804,low
BRG-00971,BDES-00755,BMAT-00453,BMAN-00554,BASM-00971,BOPR-00971,3806.1,0.2255,0.197,0.1069,0.3843,0.3593,0.1533,BINSP-00971,0.1457,0.2428,low
BRG-00972,BDES-00328,BMAT-00454,BMAN-00608,BASM-00972,BOPR-00972,4205.2,0.49,0.031,0.2932,0.3243,0.1922,0.3386,BINSP-00972,0.1959,0.2362,low
BRG-00973,BDES-00792,BMAT-00399,BMAN-00115,BASM-00973,BOPR-00973,2093.8,0.1303,0.2667,0.1187,0.2658,0.2637,0.1958,BINSP-00973,0.1663,0.2178,low
BRG-00974,BDES-00036,BMAT-00349,BMAN-00985,BASM-00974,BOPR-00974,3297.7,0.2632,0.2066,0.1849,0.4536,0.2317,0.2493,BINSP-00974,0.2216,0.2727,medium
BRG-00975,BDES-00612,BMAT-00438,BMAN-00758,BASM-00975,BOPR-00975,2764.0,0.2755,0.149,0.3094,0.2602,0.2403,0.181,BINSP-00975,0.2151,0.2347,low
BRG-00976,BDES-00384,BMAT-00368,BMAN-00701,BASM-00976,BOPR-00976,3173.1,0.2071,0.0305,0.4713,0.2143,0.186,0.2267,BINSP-00976,0.1798,0.2292,low
BRG-00977,BDES-00254,BMAT-00271,BMAN-00923,BASM-00977,BOPR-00977,2619.1,0.4544,0.0696,0.1361,0.1831,0.312,0.3782,BINSP-00977,0.2252,0.2064,low
BRG-00978,BDES-00034,BMAT-00402,BMAN-00812,BASM-00978,BOPR-00978,2496.5,0.0835,0.106,0.1519,0.1302,0.1492,0.1071,BINSP-00978,0.1296,0.1313,low
BRG-00979,BDES-00639,BMAT-00194,BMAN-00253,BASM-00979,BOPR-00979,3157.2,0.1726,0.0942,0.2043,0.5247,0.4779,0.1145,BINSP-00979,0.2447,0.3061,medium
BRG-00980,BDES-00446,BMAT-00484,BMAN-00625,BASM-00980,BOPR-00980,6476.1,0.7397,0.189,0.3411,0.3095,0.1886,0.4824,BINSP-00980,0.1734,0.2819,medium
