manufacturing_batch_id,heat_treatment_temp,tempering_temp,grinding_quality,roundness_error,roughness,equipment_id,manufacturing_risk_score,manufacturing_risk_level
BMAN-00305,857.8,159.4,0.6644,2.097,0.131,EQ-GR-075,0.2607,medium
BMAN-00306,842.6,145.2,0.6956,3.323,0.528,EQ-GR-003,0.3918,medium
BMAN-00307,828.4,165.8,0.5802,2.515,0.275,EQ-GR-082,0.2958,medium
BMAN-00308,821.6,192.7,0.3295,2.03,1.135,EQ-GR-002,0.5033,high
BMAN-00309,826.9,180.7,0.8682,4.251,0.384,EQ-GR-024,0.2604,medium
BMAN-00310,860.4,144.5,0.509,1.302,0.119,EQ-GR-108,0.3491,medium
BMAN-00311,827.2,187.9,0.6398,0.904,0.389,EQ-GR-036,0.1951,low
BMAN-00312,807.7,161.9,0.5025,3.405,0.299,EQ-GR-059,0.4525,medium
BMAN-00313,827.8,190.9,0.8743,1.91,0.127,EQ-GR-117,0.1891,low
BMAN-00314,832.7,179.9,0.8882,4.857,0.491,EQ-GR-073,0.1978,low
BMAN-00315,786.2,153.5,0.8579,1.021,0.295,EQ-GR-119,0.4284,medium
BMAN-00316,884.5,185.4,0.6527,5.52,0.602,EQ-GR-101,0.5584,high
BMAN-00317,843.2,160.1,0.8009,3.651,0.634,EQ-GR-049,0.3604,medium
BMAN-00318,800.1,161.8,0.7453,1.816,0.282,EQ-GR-112,0.351,medium
BMAN-00319,821.4,199.1,0.5705,0.2,0.255,EQ-GR-099,0.2745,medium
BMAN-00320,800.6,188.8,0.7198,1.27,0.338,EQ-GR-061,0.352,medium
BMAN-00321,848.8,159.7,0.7159,0.804,0.214,EQ-GR-007,0.2546,medium
BMAN-00322,849.4,204.6,0.7508,3.812,0.178,EQ-GR-073,0.3655,medium
BMAN-00323,854.4,158.3,0.458,3.813,0.195,EQ-GR-084,0.3871,medium
BMAN-00324,816.7,168.9,0.6889,2.028,0.506,EQ-GR-050,0.2954,medium
BMAN-00325,842.2,183.1,0.588,2.287,0.081,EQ-GR-100,0.2751,medium
BMAN-00326,840.7,172.2,0.6362,4.396,0.51,EQ-GR-027,0.3707,medium
BMAN-00327,822.0,157.8,0.8588,3.181,0.739,EQ-GR-090,0.4241,medium
BMAN-00328,825.3,178.5,0.6883,3.531,0.314,EQ-GR-025,0.2784,medium
BMAN-00329,827.6,189.3,0.75,2.673,0.307,EQ-GR-076,0.2538,medium
BMAN-00330,832.0,172.5,0.6503,5.864,0.381,EQ-GR-055,0.3084,medium
BMAN-00331,809.7,182.2,0.6179,0.302,0.482,EQ-GR-048,0.3518,medium
BMAN-00332,829.6,165.8,0.9381,7.338,0.244,EQ-GR-118,0.2836,medium
BMAN-00333,813.1,149.2,0.8621,5.026,1.0,EQ-GR-036,0.4948,medium
BMAN-00334,811.0,181.3,0.6772,0.689,0.156,EQ-GR-039,0.2277,low
BMAN-00335,834.5,183.1,0.8767,2.294,0.215,EQ-GR-120,0.1083,low
BMAN-00336,862.3,183.8,0.6894,7.308,0.278,EQ-GR-041,0.4422,medium
BMAN-00337,837.5,200.6,0.7244,5.272,0.138,EQ-GR-051,0.3472,medium
BMAN-00338,824.5,164.1,0.522,1.218,0.141,EQ-GR-110,0.1716,low
BMAN-00339,839.8,198.6,0.5531,2.134,0.251,EQ-GR-101,0.3154,medium
BMAN-00340,780.0,201.4,0.7439,0.909,0.289,EQ-GR-104,0.4971,medium
BMAN-00341,822.6,169.2,0.7713,1.727,0.322,EQ-GR-113,0.2442,low
BMAN-00342,859.1,181.2,0.8181,1.139,0.089,EQ-GR-042,0.2101,low
BMAN-00343,877.9,178.5,0.3684,6.597,0.312,EQ-GR-006,0.5273,high
BMAN-00344,830.5,178.4,0.8393,1.72,0.119,EQ-GR-032,0.1361,low
BMAN-00345,813.4,171.8,0.6039,4.823,0.09,EQ-GR-095,0.3051,medium
BMAN-00346,831.0,183.7,0.7215,1.902,0.413,EQ-GR-118,0.2223,low
BMAN-00347,854.0,182.3,0.4393,1.344,0.107,EQ-GR-025,0.2551,medium
BMAN-00348,841.6,162.5,0.8173,0.484,0.247,EQ-GR-043,0.2106,low
BMAN-00349,820.9,161.6,0.7162,5.561,0.079,EQ-GR-039,0.2892,medium
BMAN-00350,821.5,162.9,0.8754,4.746,0.181,EQ-GR-116,0.2978,medium
BMAN-00351,830.8,172.3,0.7029,1.948,0.178,EQ-GR-018,0.2117,low
BMAN-00352,860.4,169.2,0.9892,3.759,0.518,EQ-GR-089,0.3218,medium
BMAN-00353,842.7,179.7,0.7789,0.762,0.328,EQ-GR-037,0.1734,low
BMAN-00354,841.6,155.0,0.9828,0.691,0.12,EQ-GR-024,0.1714,low
BMAN-00355,805.5,164.2,0.7818,2.961,0.305,EQ-GR-089,0.3526,medium
BMAN-00356,793.7,154.7,0.7657,0.501,0.174,EQ-GR-013,0.2987,medium
BMAN-00357,825.5,191.6,0.6117,0.328,0.131,EQ-GR-045,0.2497,low
BMAN-00358,869.5,125.8,0.7366,1.234,0.277,EQ-GR-090,0.4213,medium
BMAN-00359,819.5,159.8,0.6796,5.139,0.292,EQ-GR-070,0.4076,medium
BMAN-00360,841.6,184.9,0.8366,3.684,0.268,EQ-GR-019,0.2528,medium
BMAN-00361,803.2,187.3,0.8289,4.498,0.168,EQ-GR-054,0.348,medium
BMAN-00362,869.7,187.4,0.7539,3.289,0.598,EQ-GR-082,0.4339,medium
BMAN-00363,825.8,171.7,0.5001,0.969,0.323,EQ-GR-118,0.2469,low
BMAN-00364,819.7,169.3,0.8745,3.538,0.302,EQ-GR-015,0.2719,medium
BMAN-00365,833.1,173.2,0.7084,0.768,0.213,EQ-GR-056,0.138,low
BMAN-00366,859.0,191.4,0.5145,6.677,0.085,EQ-GR-045,0.4702,medium
BMAN-00367,823.6,190.6,0.7862,2.841,0.222,EQ-GR-111,0.2288,low
BMAN-00368,817.2,184.4,0.7205,2.065,0.281,EQ-GR-058,0.3025,medium
BMAN-00369,828.1,170.9,0.7623,2.083,0.182,EQ-GR-115,0.2143,low
BMAN-00370,843.2,157.7,0.7049,2.209,0.391,EQ-GR-109,0.3356,medium
BMAN-00371,838.5,152.0,0.5829,1.068,0.158,EQ-GR-024,0.2988,medium
BMAN-00372,831.0,153.9,0.3,0.249,0.351,EQ-GR-020,0.3366,medium
BMAN-00373,855.9,198.7,0.4585,0.792,0.404,EQ-GR-079,0.3847,medium
BMAN-00374,866.8,157.7,0.708,3.064,0.235,EQ-GR-014,0.444,medium
BMAN-00375,827.1,190.6,0.6001,3.143,0.114,EQ-GR-091,0.2913,medium
BMAN-00376,845.5,150.2,0.7555,1.688,0.25,EQ-GR-002,0.2881,medium
BMAN-00377,871.5,196.8,0.7529,0.307,1.103,EQ-GR-024,0.4391,medium
BMAN-00378,830.7,162.6,0.7661,4.661,0.471,EQ-GR-026,0.39,medium
BMAN-00379,835.9,170.4,0.6949,2.474,0.432,EQ-GR-052,0.1669,low
BMAN-00380,814.2,141.5,0.876,4.88,0.195,EQ-GR-026,0.3542,medium
BMAN-00381,847.9,168.1,0.8936,5.676,0.618,EQ-GR-076,0.4009,medium
BMAN-00382,832.7,182.4,0.9283,2.431,0.374,EQ-GR-118,0.1705,low
BMAN-00383,795.1,163.2,0.6224,3.925,0.404,EQ-GR-081,0.4815,medium
BMAN-00384,823.2,158.4,0.881,4.346,0.638,EQ-GR-096,0.3897,medium
BMAN-00385,812.8,159.1,0.858,0.6,0.246,EQ-GR-032,0.2859,medium
BMAN-00386,843.2,176.1,0.8724,7.03,0.304,EQ-GR-068,0.3457,medium
BMAN-00387,861.2,185.7,0.7188,3.416,0.347,EQ-GR-037,0.3848,medium
BMAN-00388,834.0,155.0,0.8818,3.449,0.259,EQ-GR-046,0.2855,medium
BMAN-00389,819.5,180.0,0.7424,3.906,0.331,EQ-GR-117,0.2808,medium
BMAN-00390,838.2,155.4,0.6105,0.429,0.163,EQ-GR-076,0.2526,medium
BMAN-00391,838.4,173.5,0.9234,3.439,0.076,EQ-GR-071,0.1879,low
BMAN-00392,830.5,139.4,0.765,1.844,0.247,EQ-GR-006,0.2451,low
BMAN-00393,790.6,158.6,0.6462,0.965,0.136,EQ-GR-117,0.3336,medium
BMAN-00394,840.5,170.9,0.4137,0.492,0.43,EQ-GR-002,0.2804,medium
BMAN-00395,841.4,151.2,0.7466,5.23,0.203,EQ-GR-105,0.3052,medium
BMAN-00396,843.0,192.0,0.9261,4.928,0.176,EQ-GR-084,0.2363,low
BMAN-00397,848.6,181.2,0.558,3.047,1.041,EQ-GR-016,0.4813,medium
BMAN-00398,806.9,174.0,0.4842,0.541,0.304,EQ-GR-007,0.3176,medium
BMAN-00399,820.7,158.1,0.6818,1.405,0.134,EQ-GR-103,0.2101,low
BMAN-00400,836.7,151.6,0.9627,3.664,0.156,EQ-GR-007,0.2544,medium
BMAN-00401,871.3,166.6,0.7214,2.657,0.218,EQ-GR-056,0.3171,medium
BMAN-00402,836.8,195.1,0.904,5.622,0.776,EQ-GR-023,0.3816,medium
BMAN-00403,803.9,191.4,0.3775,0.621,0.609,EQ-GR-112,0.4643,medium
BMAN-00404,795.3,176.3,0.8783,1.521,0.349,EQ-GR-054,0.3482,medium
BMAN-00405,847.7,204.2,0.9054,4.812,0.366,EQ-GR-112,0.3967,medium
BMAN-00406,827.5,178.6,0.94,1.558,0.542,EQ-GR-062,0.2353,low
BMAN-00407,818.3,174.6,0.9043,1.279,0.856,EQ-GR-107,0.2997,medium
BMAN-00408,805.6,139.4,0.6384,9.0,0.399,EQ-GR-053,0.6165,high
BMAN-00409,814.7,179.1,0.6519,1.892,0.401,EQ-GR-092,0.3337,medium
BMAN-00410,850.5,206.2,0.9334,2.975,0.267,EQ-GR-082,0.2861,medium
BMAN-00411,824.7,206.5,0.7705,1.552,0.296,EQ-GR-058,0.269,medium
BMAN-00412,831.2,187.1,0.6961,0.761,0.05,EQ-GR-024,0.1985,low
BMAN-00413,833.5,197.6,0.5383,1.066,0.129,EQ-GR-113,0.2235,low
BMAN-00414,854.3,189.9,0.5644,2.452,0.489,EQ-GR-084,0.3739,medium
BMAN-00415,846.7,178.7,0.4356,0.891,0.301,EQ-GR-071,0.2273,low
BMAN-00416,831.0,188.0,0.8376,1.15,0.29,EQ-GR-090,0.1874,low
BMAN-00417,826.1,170.8,0.5314,1.479,0.442,EQ-GR-091,0.2672,medium
BMAN-00418,857.1,190.1,0.855,2.277,0.375,EQ-GR-100,0.3362,medium
BMAN-00419,813.3,181.0,0.9847,2.721,0.092,EQ-GR-099,0.1323,low
BMAN-00420,834.1,172.5,0.9193,2.008,0.261,EQ-GR-022,0.1206,low
BMAN-00421,820.2,168.9,0.8157,3.779,0.083,EQ-GR-015,0.2132,low
BMAN-00422,837.4,162.8,0.9829,0.874,0.215,EQ-GR-042,0.0846,low
BMAN-00423,801.0,209.5,0.8185,7.491,0.368,EQ-GR-093,0.5507,high
BMAN-00424,847.3,182.0,0.8821,3.321,0.152,EQ-GR-095,0.2385,low
BMAN-00425,803.4,151.5,0.7368,2.123,0.443,EQ-GR-031,0.411,medium
BMAN-00426,850.5,169.5,0.5367,5.943,0.166,EQ-GR-055,0.3744,medium
BMAN-00427,825.6,178.3,0.9097,1.065,0.318,EQ-GR-097,0.146,low
BMAN-00428,821.5,198.3,0.5822,0.744,0.262,EQ-GR-105,0.253,medium
BMAN-00429,865.9,158.1,0.8634,0.2,0.185,EQ-GR-101,0.18,low
BMAN-00430,871.2,144.6,0.666,3.729,0.211,EQ-GR-032,0.3919,medium
BMAN-00431,820.2,206.8,0.3,2.12,0.364,EQ-GR-102,0.4121,medium
BMAN-00432,842.9,180.7,0.8419,3.124,0.33,EQ-GR-065,0.1991,low
BMAN-00433,847.9,147.1,0.7882,8.071,0.329,EQ-GR-091,0.456,medium
BMAN-00434,878.1,201.1,0.8234,2.858,0.287,EQ-GR-107,0.3793,medium
BMAN-00435,824.0,206.7,0.7851,1.562,0.145,EQ-GR-118,0.2436,low
BMAN-00436,820.1,161.3,0.852,0.682,0.295,EQ-GR-019,0.1787,low
BMAN-00437,846.8,168.6,0.7064,0.628,0.074,EQ-GR-084,0.2253,low
BMAN-00438,830.0,201.8,0.841,1.351,0.154,EQ-GR-106,0.2223,low
BMAN-00439,827.8,172.5,0.4623,1.211,0.152,EQ-GR-025,0.2332,low
BMAN-00440,841.3,178.9,0.9453,3.734,0.357,EQ-GR-098,0.247,low
BMAN-00441,884.8,181.3,0.5088,1.223,0.05,EQ-GR-054,0.39,medium
BMAN-00442,830.2,177.1,0.5232,1.154,0.441,EQ-GR-112,0.2704,medium
BMAN-00443,803.8,165.9,0.4728,1.467,0.452,EQ-GR-005,0.4144,medium
BMAN-00444,813.3,180.9,0.6751,0.715,0.477,EQ-GR-119,0.3651,medium
BMAN-00445,818.7,159.6,0.841,0.525,0.058,EQ-GR-038,0.2033,low
BMAN-00446,818.1,151.9,0.7116,5.815,0.409,EQ-GR-002,0.4497,medium
BMAN-00447,864.4,144.5,0.7168,3.274,0.561,EQ-GR-112,0.4381,medium
BMAN-00448,860.7,175.3,0.62,2.871,0.666,EQ-GR-077,0.3586,medium
BMAN-00449,813.6,181.7,0.6175,2.087,0.452,EQ-GR-066,0.269,medium
BMAN-00450,891.0,176.2,0.6421,3.525,0.164,EQ-GR-031,0.4471,medium
BMAN-00451,821.6,172.0,0.4522,2.473,0.05,EQ-GR-040,0.2711,medium
BMAN-00452,793.4,189.0,0.5446,4.328,0.257,EQ-GR-023,0.5112,high
BMAN-00453,823.2,193.3,0.7933,3.358,0.241,EQ-GR-042,0.3149,medium
BMAN-00454,816.1,183.6,0.6557,2.679,0.165,EQ-GR-042,0.2981,medium
BMAN-00455,867.5,197.4,0.8195,3.779,0.583,EQ-GR-073,0.4894,medium
BMAN-00456,804.1,133.9,0.8374,3.657,0.75,EQ-GR-064,0.5774,high
BMAN-00457,844.2,152.3,0.629,4.011,0.264,EQ-GR-041,0.35,medium
BMAN-00458,833.0,158.4,0.7746,0.2,0.38,EQ-GR-098,0.1908,low
BMAN-00459,852.4,174.8,0.9152,5.389,0.262,EQ-GR-054,0.2252,low
BMAN-00460,818.0,164.9,0.8426,3.063,0.242,EQ-GR-092,0.2262,low
BMAN-00461,820.3,168.7,0.968,1.634,0.46,EQ-GR-102,0.1809,low
BMAN-00462,874.6,193.7,0.7007,0.796,0.3,EQ-GR-020,0.4472,medium
BMAN-00463,867.9,189.9,0.6624,2.733,0.235,EQ-GR-040,0.4328,medium
BMAN-00464,855.4,160.5,0.6316,2.905,0.05,EQ-GR-084,0.247,low
BMAN-00465,813.8,162.4,0.7577,2.378,0.528,EQ-GR-003,0.3566,medium
BMAN-00466,844.1,160.8,0.49,4.114,0.201,EQ-GR-003,0.3797,medium
BMAN-00467,835.9,172.2,0.7419,2.271,0.063,EQ-GR-007,0.1449,low
BMAN-00468,821.6,172.1,0.7352,3.029,0.252,EQ-GR-096,0.1836,low
BMAN-00469,815.6,176.9,0.7323,2.367,0.668,EQ-GR-113,0.3546,medium
BMAN-00470,833.9,171.5,0.8633,3.559,0.108,EQ-GR-030,0.2208,low
BMAN-00471,845.2,171.9,0.6332,3.567,0.219,EQ-GR-033,0.3034,medium
BMAN-00472,839.7,221.0,0.5722,3.304,0.314,EQ-GR-061,0.4334,medium
BMAN-00473,860.7,210.9,0.4947,0.549,0.624,EQ-GR-117,0.4498,medium
BMAN-00474,810.4,171.0,0.7655,1.863,0.151,EQ-GR-015,0.2665,medium
BMAN-00475,827.0,169.9,0.4126,9.0,0.452,EQ-GR-075,0.4611,medium
BMAN-00476,847.3,165.5,0.733,5.234,0.523,EQ-GR-054,0.3852,medium
BMAN-00477,862.3,179.5,0.8051,2.415,0.121,EQ-GR-060,0.2651,medium
BMAN-00478,855.3,174.6,0.529,1.86,0.315,EQ-GR-091,0.2964,medium
BMAN-00479,833.9,145.1,0.7494,4.088,0.588,EQ-GR-062,0.3637,medium
BMAN-00480,832.2,140.4,0.9037,3.979,0.05,EQ-GR-047,0.2372,low
BMAN-00481,864.5,174.2,0.8196,1.047,0.97,EQ-GR-032,0.4205,medium
BMAN-00482,847.4,169.8,0.7332,6.33,0.302,EQ-GR-002,0.3619,medium
BMAN-00483,855.7,160.1,0.8951,2.516,0.66,EQ-GR-025,0.3293,medium
BMAN-00484,840.1,171.8,0.8364,1.607,0.16,EQ-GR-002,0.1041,low
BMAN-00485,813.1,185.4,0.8261,0.658,0.172,EQ-GR-077,0.2243,low
BMAN-00486,847.7,159.6,0.7452,1.75,0.234,EQ-GR-113,0.2347,low
BMAN-00487,832.3,156.7,0.7478,2.609,0.498,EQ-GR-018,0.3133,medium
BMAN-00488,823.8,177.6,0.4807,2.202,0.595,EQ-GR-023,0.3673,medium
BMAN-00489,789.3,147.0,0.4202,0.672,0.102,EQ-GR-043,0.441,medium
BMAN-00490,838.6,152.1,0.3965,0.727,0.389,EQ-GR-050,0.2974,medium
BMAN-00491,833.3,194.4,0.6225,0.823,0.204,EQ-GR-062,0.2585,medium
BMAN-00492,862.3,178.6,0.645,1.225,0.155,EQ-GR-045,0.233,low
BMAN-00493,879.8,198.0,0.9594,3.699,0.163,EQ-GR-048,0.3646,medium
BMAN-00494,850.0,151.1,0.8846,0.66,0.249,EQ-GR-104,0.2443,low
BMAN-00495,814.8,176.8,0.8706,0.674,0.829,EQ-GR-088,0.2838,medium
BMAN-00496,827.3,201.2,0.7442,3.53,0.12,EQ-GR-038,0.3396,medium
BMAN-00497,864.4,194.7,0.7546,0.565,0.384,EQ-GR-111,0.3023,medium
BMAN-00498,841.9,176.2,0.6365,6.507,0.461,EQ-GR-059,0.3748,medium
BMAN-00499,837.7,187.7,0.7472,0.599,0.05,EQ-GR-011,0.1463,low
BMAN-00500,845.7,162.1,0.7183,0.604,0.218,EQ-GR-054,0.2095,low
BMAN-00501,835.1,182.5,0.5663,1.585,0.224,EQ-GR-006,0.2177,low
BMAN-00502,843.6,185.3,0.9043,4.897,0.282,EQ-GR-114,0.2709,medium
BMAN-00503,825.8,180.3,0.9291,7.343,0.265,EQ-GR-007,0.28,medium
BMAN-00504,834.2,155.7,0.473,9.0,0.689,EQ-GR-108,0.5209,high
BMAN-00505,824.2,203.3,0.5751,3.552,0.267,EQ-GR-084,0.3567,medium
BMAN-00506,828.1,197.4,0.9187,8.319,0.301,EQ-GR-024,0.3486,medium
BMAN-00507,826.3,170.5,0.7748,1.255,0.451,EQ-GR-075,0.1886,low
BMAN-00508,862.5,179.1,0.7914,1.364,0.338,EQ-GR-017,0.2814,medium
BMAN-00509,858.2,178.4,0.6033,1.726,0.287,EQ-GR-030,0.3057,medium
BMAN-00510,838.2,170.9,0.8205,0.783,0.205,EQ-GR-026,0.078,low
BMAN-00511,854.2,178.4,0.9025,3.46,0.735,EQ-GR-026,0.3458,medium
BMAN-00512,837.0,170.7,0.7109,3.768,0.636,EQ-GR-093,0.3272,medium
BMAN-00513,859.1,183.7,0.9612,2.852,0.206,EQ-GR-048,0.2644,medium
BMAN-00514,790.7,165.4,0.5531,3.271,0.202,EQ-GR-074,0.4482,medium
BMAN-00515,801.6,156.9,0.5589,2.96,0.192,EQ-GR-050,0.3831,medium
BMAN-00516,801.1,156.6,0.5452,0.539,0.05,EQ-GR-027,0.3081,medium
BMAN-00517,863.0,189.8,0.6812,0.311,0.372,EQ-GR-110,0.3215,medium
BMAN-00518,854.9,204.7,0.7592,1.616,0.117,EQ-GR-004,0.3287,medium
BMAN-00519,852.9,170.0,0.7657,4.158,0.683,EQ-GR-109,0.3344,medium
BMAN-00520,836.6,175.5,0.7608,1.833,0.177,EQ-GR-112,0.1581,low
BMAN-00521,824.9,184.1,0.4235,3.629,0.254,EQ-GR-040,0.387,medium
BMAN-00522,827.1,181.6,0.7113,5.94,0.163,EQ-GR-014,0.2908,medium
BMAN-00523,846.5,170.3,0.8523,1.678,0.137,EQ-GR-111,0.1411,low
BMAN-00524,823.9,215.9,0.6998,1.746,0.059,EQ-GR-082,0.3839,medium
BMAN-00525,877.4,138.9,0.8592,0.904,0.232,EQ-GR-047,0.3349,medium
BMAN-00526,847.1,193.1,0.4437,2.127,0.256,EQ-GR-119,0.3457,medium
BMAN-00527,852.1,175.5,0.5766,0.961,0.529,EQ-GR-022,0.3211,medium
BMAN-00528,821.4,181.8,0.5923,3.881,0.062,EQ-GR-070,0.2813,medium
BMAN-00529,834.5,154.6,0.6585,0.2,0.123,EQ-GR-079,0.1094,low
BMAN-00530,846.6,189.5,0.9357,1.948,0.159,EQ-GR-050,0.1558,low
BMAN-00531,805.8,184.8,0.834,1.885,0.341,EQ-GR-071,0.2958,medium
BMAN-00532,809.4,147.5,0.8474,2.034,0.363,EQ-GR-086,0.3123,medium
BMAN-00533,853.1,176.6,0.6395,4.828,0.316,EQ-GR-005,0.3841,medium
BMAN-00534,809.3,173.8,0.6314,1.712,0.05,EQ-GR-087,0.2979,medium
BMAN-00535,817.6,152.9,0.7466,3.902,0.261,EQ-GR-055,0.3359,medium
BMAN-00536,862.8,165.6,0.6301,1.023,0.601,EQ-GR-083,0.3585,medium
BMAN-00537,835.2,167.5,0.8687,1.871,0.172,EQ-GR-041,0.1549,low
BMAN-00538,832.7,177.6,0.8221,1.896,0.141,EQ-GR-089,0.1551,low
BMAN-00539,828.3,173.3,0.7008,5.477,0.197,EQ-GR-034,0.3343,medium
BMAN-00540,828.6,159.6,0.8171,1.083,0.05,EQ-GR-059,0.1292,low
BMAN-00541,843.0,155.4,0.5637,1.599,0.793,EQ-GR-067,0.4413,medium
BMAN-00542,827.1,192.3,0.5766,3.279,0.069,EQ-GR-055,0.2889,medium
BMAN-00543,809.5,189.8,0.439,4.853,0.221,EQ-GR-085,0.4328,medium
BMAN-00544,821.0,193.9,0.8393,1.682,0.094,EQ-GR-016,0.2836,medium
BMAN-00545,803.0,214.4,0.7448,0.49,0.339,EQ-GR-027,0.3983,medium
BMAN-00546,867.2,169.6,0.7365,3.294,0.636,EQ-GR-072,0.4219,medium
BMAN-00547,813.8,168.7,0.7426,4.395,0.225,EQ-GR-070,0.3347,medium
BMAN-00548,811.3,155.6,0.8192,5.072,0.075,EQ-GR-002,0.2975,medium
BMAN-00549,862.5,169.3,0.9535,2.256,0.16,EQ-GR-057,0.2141,low
BMAN-00550,849.5,163.5,0.9194,5.609,0.174,EQ-GR-078,0.3288,medium
BMAN-00551,809.9,177.5,0.7061,2.107,0.423,EQ-GR-039,0.3329,medium
BMAN-00552,849.2,166.2,0.6832,4.706,0.269,EQ-GR-066,0.31,medium
BMAN-00553,830.6,177.5,0.8593,0.286,0.149,EQ-GR-072,0.0661,low
BMAN-00554,845.7,147.5,0.6105,0.88,0.822,EQ-GR-089,0.3843,medium
BMAN-00555,775.5,180.6,0.544,2.979,0.222,EQ-GR-059,0.4285,medium
BMAN-00556,820.5,184.9,0.3516,3.825,0.32,EQ-GR-079,0.4295,medium
BMAN-00557,860.6,204.1,0.6675,1.34,0.257,EQ-GR-042,0.4063,medium
BMAN-00558,828.1,182.4,0.5685,5.789,0.05,EQ-GR-067,0.389,medium
BMAN-00559,851.7,168.9,0.6005,3.556,1.25,EQ-GR-095,0.4844,medium
BMAN-00560,810.5,158.9,0.4197,2.89,0.106,EQ-GR-035,0.4293,medium
BMAN-00561,852.9,147.6,0.575,1.802,0.671,EQ-GR-014,0.4413,medium
BMAN-00562,855.2,203.9,0.9537,0.536,0.433,EQ-GR-058,0.2457,low
BMAN-00563,884.8,199.9,0.8522,0.564,0.432,EQ-GR-115,0.4314,medium
BMAN-00564,868.0,160.3,0.8161,1.083,0.196,EQ-GR-058,0.2559,medium
BMAN-00565,825.5,205.9,0.8765,6.697,0.162,EQ-GR-078,0.4315,medium
BMAN-00566,803.2,179.4,0.8747,1.333,0.382,EQ-GR-011,0.2672,medium
BMAN-00567,820.8,190.9,0.814,1.894,0.056,EQ-GR-056,0.2458,low
BMAN-00568,852.7,192.4,0.5777,3.576,0.302,EQ-GR-068,0.3735,medium
BMAN-00569,825.5,164.9,0.7425,0.635,0.143,EQ-GR-097,0.1702,low
BMAN-00570,861.1,182.2,0.583,2.168,0.408,EQ-GR-096,0.3896,medium
BMAN-00571,833.7,194.6,0.388,1.978,0.072,EQ-GR-098,0.2681,medium
BMAN-00572,843.4,172.8,0.9185,1.554,0.218,EQ-GR-106,0.1257,low
BMAN-00573,843.1,169.1,0.3648,6.483,0.09,EQ-GR-049,0.3453,medium
BMAN-00574,832.1,174.7,0.8998,2.675,0.483,EQ-GR-116,0.287,medium
BMAN-00575,832.0,156.2,0.5837,5.07,0.193,EQ-GR-035,0.283,medium
BMAN-00576,824.0,177.6,0.47,0.443,0.05,EQ-GR-015,0.2129,low
BMAN-00577,832.4,147.8,0.7129,1.375,0.833,EQ-GR-013,0.3259,medium
BMAN-00578,805.3,175.3,0.7969,3.557,0.319,EQ-GR-062,0.3277,medium
BMAN-00579,856.5,172.8,0.7387,3.059,0.486,EQ-GR-043,0.3482,medium
BMAN-00580,817.4,199.3,0.4217,3.886,0.214,EQ-GR-069,0.4883,medium
BMAN-00581,817.7,145.1,0.747,3.577,0.172,EQ-GR-051,0.3313,medium
BMAN-00582,850.3,180.0,0.7529,1.387,0.157,EQ-GR-073,0.2023,low
BMAN-00583,839.3,163.5,0.8472,2.154,0.319,EQ-GR-001,0.1526,low
BMAN-00584,818.8,158.7,0.859,3.187,0.06,EQ-GR-109,0.2264,low
BMAN-00585,823.9,190.1,0.4753,8.09,0.05,EQ-GR-009,0.4067,medium
BMAN-00586,815.3,189.5,0.7276,2.705,0.429,EQ-GR-017,0.3598,medium
BMAN-00587,839.4,147.2,0.7104,1.549,0.174,EQ-GR-065,0.1933,low
BMAN-00588,856.2,163.8,0.8823,2.949,0.095,EQ-GR-094,0.2302,low
BMAN-00589,844.8,189.8,0.8442,0.253,0.996,EQ-GR-102,0.3349,medium
BMAN-00590,831.6,143.9,0.6577,0.2,0.356,EQ-GR-017,0.2822,medium
BMAN-00591,851.9,169.1,0.744,2.377,0.08,EQ-GR-096,0.2713,medium
BMAN-00592,800.9,149.6,0.7829,1.223,1.25,EQ-GR-057,0.4979,medium
BMAN-00593,798.8,172.5,0.8343,1.494,0.43,EQ-GR-102,0.3552,medium
BMAN-00594,815.2,164.8,0.5333,1.523,0.474,EQ-GR-014,0.3455,medium
BMAN-00595,862.7,180.1,0.6407,1.138,0.65,EQ-GR-053,0.3334,medium
BMAN-00596,779.5,169.1,0.6339,1.465,0.359,EQ-GR-031,0.4594,medium
BMAN-00597,847.0,178.2,0.7825,2.893,0.318,EQ-GR-054,0.2317,low
BMAN-00598,812.0,142.7,0.7855,1.94,0.207,EQ-GR-029,0.3748,medium
BMAN-00599,832.9,190.8,0.6143,3.587,0.519,EQ-GR-071,0.3193,medium
BMAN-00600,814.6,173.1,0.4689,4.101,1.25,EQ-GR-003,0.4815,medium
BMAN-00601,864.2,165.0,0.5583,1.701,0.066,EQ-GR-106,0.321,medium
BMAN-00602,770.0,173.6,0.6533,0.259,0.222,EQ-GR-081,0.3332,medium
BMAN-00603,818.2,178.9,0.818,1.274,0.282,EQ-GR-021,0.154,low
BMAN-00604,848.0,135.9,0.966,2.979,0.627,EQ-GR-086,0.3369,medium
BMAN-00605,840.6,197.5,0.9371,1.346,0.166,EQ-GR-017,0.1755,low
BMAN-00606,818.5,183.0,0.5025,1.799,0.373,EQ-GR-023,0.3481,medium
BMAN-00607,858.7,166.7,0.5831,0.622,0.176,EQ-GR-035,0.3104,medium
BMAN-00608,838.5,167.1,0.4166,3.975,0.144,EQ-GR-052,0.3243,medium
BMAN-00609,886.0,210.3,0.8407,1.066,0.196,EQ-GR-095,0.3828,medium
BMAN-00610,835.6,156.9,0.5721,1.547,0.3,EQ-GR-105,0.2783,medium
