material_batch_id,material_grade,supplier_id,hardness,inclusion_level,fatigue_strength,material_risk_score,material_risk_level
BMAT-00348,GCr15,SUP-010,60.41,1.865,1373.3,0.139,low
BMAT-00349,SUJ2,SUP-039,56.26,0.412,1330.0,0.1849,low
BMAT-00350,GCr15,SUP-014,62.68,1.298,1190.1,0.1903,low
BMAT-00351,GCr15,SUP-054,59.44,0.9,1316.7,0.1448,low
BMAT-00352,SUJ2,SUP-040,57.61,0.163,891.7,0.4777,medium
BMAT-00353,GCr15,SUP-059,62.6,1.293,1034.6,0.2982,medium
BMAT-00354,M50,SUP-028,62.34,3.486,1650.0,0.2803,medium
BMAT-00355,GCr15,SUP-016,60.42,1.392,1334.5,0.0797,low
BMAT-00356,GCr15,SUP-029,64.29,3.751,1137.1,0.4937,medium
BMAT-00357,M50,SUP-060,56.68,1.288,1338.8,0.2841,medium
BMAT-00358,GCr15,SUP-006,63.89,2.57,1539.2,0.238,low
BMAT-00359,GCr15,SUP-056,57.69,3.392,1154.6,0.4986,medium
BMAT-00360,GCr15SiMn,SUP-016,62.62,1.331,1486.3,0.0899,low
BMAT-00361,GCr15,SUP-047,57.89,1.102,1469.9,0.1824,low
BMAT-00362,GCr15,SUP-028,56.89,4.591,1250.0,0.5187,high
BMAT-00363,GCr15,SUP-056,60.13,1.771,1100.6,0.3374,medium
BMAT-00364,GCr15,SUP-022,61.54,0.414,1297.8,0.0453,low
BMAT-00365,GCr15,SUP-058,59.47,0.436,1095.8,0.2427,low
BMAT-00366,GCr15SiMn,SUP-048,62.07,0.749,1251.9,0.081,low
BMAT-00367,GCr15SiMn,SUP-028,62.22,1.082,1432.1,0.0746,low
BMAT-00368,GCr15,SUP-005,62.19,1.33,909.2,0.4713,medium
BMAT-00369,M50,SUP-016,59.93,0.22,1610.5,0.0826,low
BMAT-00370,GCr15,SUP-040,60.95,2.54,1370.7,0.1414,low
BMAT-00371,GCr15,SUP-031,65.9,0.545,1360.7,0.2583,medium
BMAT-00372,M50,SUP-014,62.85,0.796,1209.3,0.1611,low
BMAT-00373,GCr15SiMn,SUP-002,60.84,0.1,1182.9,0.1153,low
BMAT-00374,GCr15,SUP-055,57.25,1.113,1183.1,0.2637,medium
BMAT-00375,GCr15SiMn,SUP-053,61.39,1.792,1336.0,0.1519,low
BMAT-00376,GCr15,SUP-035,57.65,1.313,1426.9,0.1956,low
BMAT-00377,SUJ2,SUP-037,65.07,2.247,1363.1,0.3943,medium
BMAT-00378,M50,SUP-004,60.97,0.671,1107.7,0.2192,low
BMAT-00379,GCr15SiMn,SUP-005,60.5,1.9,1343.0,0.1402,low
BMAT-00380,M50,SUP-002,58.14,1.394,985.9,0.4293,medium
BMAT-00381,M50,SUP-056,61.11,4.706,1432.8,0.2986,medium
BMAT-00382,SUJ2,SUP-047,60.69,2.259,1429.2,0.1098,low
BMAT-00383,GCr15SiMn,SUP-016,61.34,3.538,995.5,0.4963,medium
BMAT-00384,M50,SUP-056,58.25,0.896,945.5,0.3713,medium
BMAT-00385,GCr15,SUP-019,60.82,2.342,984.1,0.4752,medium
BMAT-00386,GCr15,SUP-005,57.34,0.506,1498.3,0.1227,low
BMAT-00387,GCr15SiMn,SUP-035,57.12,0.1,1007.6,0.3597,medium
BMAT-00388,SUJ2,SUP-024,62.74,0.722,1276.1,0.1001,low
BMAT-00389,M50,SUP-033,63.01,1.287,1348.4,0.2793,medium
BMAT-00390,GCr15,SUP-036,58.85,0.1,1295.5,0.1488,low
BMAT-00391,GCr15,SUP-025,53.38,0.31,1419.8,0.2468,low
BMAT-00392,GCr15,SUP-004,58.42,1.523,1439.4,0.181,low
BMAT-00393,GCr15,SUP-023,59.41,1.43,1428.7,0.1119,low
BMAT-00394,GCr15,SUP-056,59.37,0.856,1134.0,0.2132,low
BMAT-00395,GCr15,SUP-057,62.97,0.209,1531.7,0.1519,low
BMAT-00396,M50,SUP-012,58.02,2.069,1434.9,0.2817,medium
BMAT-00397,GCr15SiMn,SUP-027,62.41,5.208,1397.6,0.3446,medium
BMAT-00398,GCr15SiMn,SUP-056,57.06,0.631,1409.3,0.2374,low
BMAT-00399,GCr15SiMn,SUP-043,59.35,1.29,1207.6,0.1187,low
BMAT-00400,GCr15SiMn,SUP-005,62.95,0.584,1258.5,0.1723,low
BMAT-00401,SUJ2,SUP-004,62.75,0.78,1594.3,0.0763,low
BMAT-00402,GCr15,SUP-047,62.17,0.444,1222.6,0.1519,low
BMAT-00403,GCr15,SUP-025,59.16,1.256,1241.2,0.2199,low
BMAT-00404,GCr15,SUP-013,61.94,2.617,1110.6,0.3482,medium
BMAT-00405,GCr15SiMn,SUP-008,60.81,1.543,1332.8,0.1665,low
BMAT-00406,M50,SUP-038,56.18,0.166,1316.7,0.2839,medium
BMAT-00407,GCr15,SUP-057,60.56,1.17,1446.3,0.0091,low
BMAT-00408,GCr15,SUP-040,60.14,0.414,898.7,0.3711,medium
BMAT-00409,GCr15SiMn,SUP-058,58.95,0.529,1142.6,0.2863,medium
BMAT-00410,GCr15,SUP-043,61.47,2.675,1237.1,0.2311,low
BMAT-00411,GCr15,SUP-060,61.35,2.335,1154.1,0.199,low
BMAT-00412,GCr15SiMn,SUP-055,62.31,2.284,1345.7,0.236,low
BMAT-00413,GCr15,SUP-043,60.54,3.401,1214.5,0.2618,medium
BMAT-00414,GCr15,SUP-048,61.92,1.728,1491.7,0.1196,low
BMAT-00415,GCr15,SUP-031,66.37,1.543,1450.5,0.3374,medium
BMAT-00416,GCr15,SUP-045,60.82,3.314,933.9,0.4999,medium
BMAT-00417,GCr15,SUP-007,57.95,0.876,1334.9,0.1852,low
BMAT-00418,GCr15,SUP-007,62.14,1.965,1239.2,0.1562,low
BMAT-00419,GCr15,SUP-043,60.42,0.946,1386.6,0.0562,low
BMAT-00420,GCr15,SUP-029,57.56,2.819,1255.2,0.2914,medium
BMAT-00421,GCr15,SUP-027,61.12,1.129,1234.1,0.1128,low
BMAT-00422,GCr15,SUP-002,62.98,1.564,1295.1,0.2035,low
BMAT-00423,GCr15SiMn,SUP-044,61.14,2.078,1471.3,0.1308,low
BMAT-00424,GCr15,SUP-050,62.51,2.921,1458.1,0.2247,low
BMAT-00425,GCr15,SUP-021,61.61,1.715,1279.0,0.1258,low
BMAT-00426,GCr15SiMn,SUP-023,63.19,3.278,1052.8,0.4835,medium
BMAT-00427,GCr15,SUP-028,63.72,2.501,1291.3,0.3448,medium
BMAT-00428,M50,SUP-060,61.43,1.222,1544.6,0.0726,low
BMAT-00429,GCr15SiMn,SUP-031,59.99,1.227,1246.6,0.1221,low
BMAT-00430,GCr15,SUP-054,55.07,0.929,1177.3,0.335,medium
BMAT-00431,GCr15,SUP-053,61.17,0.715,1453.6,0.0667,low
BMAT-00432,GCr15,SUP-010,66.57,0.471,1650.0,0.206,low
BMAT-00433,GCr15SiMn,SUP-024,63.54,0.55,1144.0,0.2264,low
BMAT-00434,GCr15,SUP-044,65.79,3.432,1097.9,0.5977,high
BMAT-00435,GCr15,SUP-027,58.52,3.667,916.4,0.6718,high
BMAT-00436,GCr15SiMn,SUP-034,55.11,2.941,1386.9,0.4108,medium
BMAT-00437,GCr15,SUP-017,57.66,0.804,923.9,0.499,medium
BMAT-00438,GCr15,SUP-015,57.69,3.202,1347.7,0.3094,medium
BMAT-00439,GCr15,SUP-060,61.53,1.551,1107.5,0.2249,low
BMAT-00440,GCr15,SUP-025,60.8,4.175,1332.3,0.3441,medium
BMAT-00441,SUJ2,SUP-012,68.0,0.915,1422.2,0.3685,medium
BMAT-00442,GCr15SiMn,SUP-044,66.31,4.907,1288.9,0.4489,medium
BMAT-00443,GCr15SiMn,SUP-035,59.75,3.013,1450.8,0.2715,medium
BMAT-00444,GCr15,SUP-002,62.6,0.27,1034.8,0.2758,medium
BMAT-00445,GCr15,SUP-003,59.37,1.113,1370.1,0.1671,low
BMAT-00446,GCr15SiMn,SUP-024,58.6,0.524,1469.5,0.1619,low
BMAT-00447,GCr15SiMn,SUP-018,62.15,0.756,1469.4,0.1166,low
BMAT-00448,GCr15,SUP-052,61.61,0.731,1170.4,0.1464,low
BMAT-00449,GCr15,SUP-001,60.01,1.524,1069.7,0.2838,medium
BMAT-00450,GCr15,SUP-030,55.48,0.706,1445.0,0.2924,medium
BMAT-00451,M50,SUP-041,57.59,1.385,1065.5,0.3762,medium
BMAT-00452,GCr15SiMn,SUP-017,58.33,0.661,966.5,0.4199,medium
BMAT-00453,GCr15,SUP-055,61.07,0.631,1173.3,0.1069,low
BMAT-00454,GCr15,SUP-038,65.28,0.1,1205.7,0.2932,medium
BMAT-00455,GCr15,SUP-031,63.95,1.058,1310.7,0.1751,low
BMAT-00456,M50,SUP-005,60.77,1.788,1254.8,0.0925,low
BMAT-00457,M50,SUP-015,60.36,1.671,1350.8,0.0832,low
BMAT-00458,GCr15SiMn,SUP-048,58.07,0.54,1304.7,0.1155,low
BMAT-00459,GCr15SiMn,SUP-028,64.11,0.818,1248.3,0.1675,low
BMAT-00460,GCr15,SUP-032,60.46,1.669,1534.1,0.1937,low
BMAT-00461,GCr15,SUP-041,60.63,1.195,1182.3,0.1903,low
BMAT-00462,GCr15,SUP-033,64.27,0.797,1310.3,0.1086,low
BMAT-00463,GCr15SiMn,SUP-034,58.88,1.774,1226.9,0.2575,medium
BMAT-00464,SUJ2,SUP-004,66.16,0.795,1215.7,0.321,medium
BMAT-00465,GCr15SiMn,SUP-013,56.84,0.579,1097.1,0.4305,medium
BMAT-00466,SUJ2,SUP-048,64.69,3.543,1295.4,0.3311,medium
BMAT-00467,GCr15,SUP-035,63.72,1.431,1272.8,0.2526,medium
BMAT-00468,M50,SUP-009,60.59,0.686,1182.0,0.0626,low
BMAT-00469,GCr15SiMn,SUP-012,64.23,2.234,1336.5,0.3418,medium
BMAT-00470,SUJ2,SUP-017,59.34,3.948,1244.3,0.3245,medium
BMAT-00471,GCr15,SUP-019,67.29,0.257,780.0,0.6402,high
BMAT-00472,GCr15,SUP-044,62.18,0.829,1555.5,0.0763,low
BMAT-00473,GCr15,SUP-016,64.06,1.904,1193.8,0.2541,medium
BMAT-00474,SUJ2,SUP-003,56.81,1.856,1443.3,0.2824,medium
BMAT-00475,GCr15,SUP-047,59.84,1.122,1603.6,0.1043,low
BMAT-00476,M50,SUP-046,63.7,2.252,1323.8,0.2157,low
BMAT-00477,GCr15,SUP-048,61.7,2.061,1429.4,0.2304,low
BMAT-00478,GCr15,SUP-020,61.57,2.401,1053.7,0.2979,medium
BMAT-00479,GCr15,SUP-029,63.11,1.296,1025.8,0.2665,medium
BMAT-00480,GCr15,SUP-006,58.56,0.52,1468.7,0.0955,low
BMAT-00481,GCr15SiMn,SUP-053,65.98,0.641,1615.5,0.2676,medium
BMAT-00482,GCr15SiMn,SUP-058,60.98,0.897,1430.7,0.0392,low
BMAT-00483,SUJ2,SUP-031,60.09,1.509,1352.3,0.1093,low
BMAT-00484,GCr15SiMn,SUP-040,60.84,5.193,1621.3,0.3411,medium
BMAT-00485,GCr15SiMn,SUP-004,58.04,2.327,1579.6,0.2974,medium
BMAT-00486,M50,SUP-017,59.06,1.234,1413.1,0.1484,low
BMAT-00487,GCr15SiMn,SUP-029,64.5,0.805,1433.6,0.1425,low
BMAT-00488,GCr15,SUP-012,59.97,1.346,1099.7,0.2642,medium
BMAT-00489,GCr15,SUP-052,59.58,1.669,1101.8,0.2901,medium
BMAT-00490,GCr15SiMn,SUP-055,63.59,2.681,1171.7,0.3299,medium
BMAT-00491,GCr15SiMn,SUP-050,63.27,0.881,1415.5,0.1478,low
BMAT-00492,GCr15SiMn,SUP-045,58.32,0.394,1420.8,0.2201,low
BMAT-00493,GCr15,SUP-016,57.98,4.006,1216.5,0.3879,medium
BMAT-00494,M50,SUP-008,60.46,0.317,1221.7,0.0505,low
BMAT-00495,GCr15,SUP-033,63.88,1.866,1164.2,0.3875,medium
BMAT-00496,GCr15SiMn,SUP-022,63.6,0.622,1477.8,0.1973,low
BMAT-00497,GCr15,SUP-038,59.28,1.493,1132.2,0.3138,medium
BMAT-00498,GCr15,SUP-016,60.61,0.574,1200.0,0.138,low
BMAT-00499,M50,SUP-042,65.24,2.182,1135.1,0.4094,medium
BMAT-00500,GCr15,SUP-024,62.03,0.215,873.0,0.4797,medium
