design_id,bearing_model,rated_load,rated_speed,clearance,expected_life_hours,lubrication_method,design_risk_score,design_risk_level
BDES-00374,7206AC,17.28,7719,0.006,16191,oil_bath,0.548,high
BDES-00375,7206AC,38.01,7028,0.0385,14016,grease,0.1668,low
BDES-00376,6205,36.95,4507,0.0288,24719,grease,0.0696,low
BDES-00377,NU205,28.0,8906,0.031,22397,oil_mist,0.1261,low
BDES-00378,6205,36.41,7084,0.0233,13641,oil_mist,0.21,low
BDES-00379,7206AC,16.55,5600,0.0507,37466,grease,0.3714,medium
BDES-00380,NU205,27.16,2913,0.0357,19809,grease,0.1104,low
BDES-00381,NJ306,16.8,3956,0.0411,27338,grease,0.2442,low
BDES-00382,6205,26.53,5726,0.0276,25001,grease,0.0377,low
BDES-00383,6306,34.58,9497,0.0494,19428,grease,0.3715,medium
BDES-00384,6306,26.67,6655,0.0355,26593,grease,0.0305,low
BDES-00385,6306,34.06,6096,0.0261,21531,oil_bath,0.0352,low
BDES-00386,NU205,25.27,6178,0.0343,26011,grease,0.0517,low
BDES-00387,6205,18.09,5346,0.0309,30261,grease,0.168,low
BDES-00388,6205,23.04,5335,0.0557,21463,grease,0.3164,medium
BDES-00389,NU205,41.2,6240,0.0544,18667,grease,0.3293,medium
BDES-00390,6205,22.82,6742,0.013,17497,grease,0.3164,medium
BDES-00391,7206AC,32.21,4729,0.0278,22220,grease,0.07,low
BDES-00392,NU205,32.89,6815,0.0377,21320,oil_bath,0.1622,low
BDES-00393,NJ306,30.69,8180,0.0415,21006,grease,0.2206,low
BDES-00394,7206AC,20.16,5350,0.0381,26383,oil_bath,0.1643,low
BDES-00395,NU205,36.85,4136,0.0315,30423,oil_mist,0.0,low
BDES-00396,7206AC,24.55,7132,0.0402,33168,grease,0.1582,low
BDES-00397,6306,30.27,8399,0.0483,25897,grease,0.3289,medium
BDES-00398,6205,38.19,7068,0.0405,21462,grease,0.1821,low
BDES-00399,6205,33.75,6126,0.054,33800,grease,0.1478,low
BDES-00400,7206AC,28.39,4551,0.037,23160,oil_bath,0.0206,low
BDES-00401,6306,37.61,5922,0.023,25151,oil_bath,0.0581,low
BDES-00402,6306,18.99,8944,0.0067,23259,grease,0.5865,high
BDES-00403,NU205,24.26,5649,0.0244,14051,oil_bath,0.1631,low
BDES-00404,6205,24.98,8591,0.0201,25385,grease,0.1893,low
BDES-00405,7206AC,33.37,4896,0.0163,20734,grease,0.1115,low
BDES-00406,7206AC,30.31,4690,0.0301,19892,oil_bath,0.0911,low
BDES-00407,6306,48.0,7614,0.0127,29306,grease,0.2334,low
BDES-00408,7206AC,29.62,7226,0.0374,19418,oil_bath,0.1321,low
BDES-00409,NU205,24.21,5148,0.0353,27469,grease,0.0381,low
BDES-00410,NJ306,19.36,6685,0.0213,25073,grease,0.218,low
BDES-00411,6205,31.04,6852,0.0227,8383,oil_mist,0.2472,low
BDES-00412,6205,27.42,5420,0.0392,27828,grease,0.0771,low
BDES-00413,6205,24.92,5427,0.0272,23803,grease,0.0475,low
BDES-00414,6205,27.55,5908,0.0245,24518,grease,0.1065,low
BDES-00415,NU205,36.43,6891,0.046,29502,grease,0.1717,low
BDES-00416,6306,28.77,4422,0.029,25052,grease,0.0,low
BDES-00417,NJ306,24.36,6043,0.0353,22337,grease,0.0462,low
BDES-00418,6306,27.24,3022,0.0236,28089,oil_bath,0.0531,low
BDES-00419,7206AC,22.1,6262,0.032,20391,oil_bath,0.1108,low
BDES-00420,NJ306,39.95,5718,0.0211,27640,oil_mist,0.0466,low
BDES-00421,NU205,32.44,5457,0.0251,20944,grease,0.0532,low
BDES-00422,NJ306,34.76,3725,0.0217,36009,grease,0.1009,low
BDES-00423,6205,34.3,6277,0.0279,37978,grease,0.0,low
BDES-00424,6205,41.73,5353,0.0462,24096,grease,0.1458,low
BDES-00425,7206AC,30.1,7636,0.0338,33828,oil_bath,0.1251,low
BDES-00426,6306,36.77,8074,0.0409,12543,oil_bath,0.3244,medium
BDES-00427,NU205,18.77,5726,0.0307,19923,grease,0.154,low
BDES-00428,NJ306,38.4,7670,0.0369,32470,oil_bath,0.1373,low
BDES-00429,6205,23.99,7236,0.0262,14308,oil_bath,0.1238,low
BDES-00430,7206AC,25.12,4394,0.0275,23944,grease,0.066,low
BDES-00431,6306,26.45,5899,0.0461,24328,grease,0.1665,low
BDES-00432,NU205,33.35,5054,0.0316,23033,grease,0.0,low
BDES-00433,6205,29.92,4657,0.0325,20154,oil_bath,0.061,low
BDES-00434,6306,22.62,9058,0.0241,32147,grease,0.3017,medium
BDES-00435,6205,35.46,7329,0.0332,21318,grease,0.1139,low
BDES-00436,6205,23.79,4677,0.0231,17520,grease,0.1103,low
BDES-00437,6205,29.89,5489,0.0216,23241,oil_bath,0.0627,low
BDES-00438,NJ306,24.66,7287,0.0553,15062,grease,0.3934,medium
BDES-00439,NJ306,34.07,5871,0.0281,19894,grease,0.0137,low
BDES-00440,7206AC,18.35,5779,0.006,20146,grease,0.402,medium
BDES-00441,7206AC,26.81,5532,0.0311,32220,oil_bath,0.0006,low
BDES-00442,6306,36.11,4231,0.0318,18499,oil_bath,0.047,low
BDES-00443,6205,35.25,4736,0.04,19060,oil_bath,0.191,low
BDES-00444,6306,17.84,6169,0.0344,28527,oil_bath,0.1747,low
BDES-00445,6205,36.21,6455,0.0418,31109,oil_bath,0.137,low
BDES-00446,6306,17.39,4536,0.0205,24866,grease,0.189,low
BDES-00447,7206AC,30.01,5307,0.0075,26001,oil_mist,0.22,low
BDES-00448,6205,24.35,7852,0.0254,20368,grease,0.168,low
BDES-00449,6306,27.31,6587,0.0346,9939,grease,0.1566,low
BDES-00450,NJ306,25.55,4739,0.0406,32923,grease,0.0838,low
BDES-00451,6306,23.9,6814,0.0491,20112,grease,0.3005,medium
BDES-00452,6205,39.8,5324,0.0296,18465,oil_mist,0.0583,low
BDES-00453,NU205,20.21,4297,0.0558,25042,grease,0.342,medium
BDES-00454,NU205,29.84,2592,0.006,36206,grease,0.2452,low
BDES-00455,NJ306,18.2,7942,0.0405,27719,grease,0.2884,medium
BDES-00456,6205,31.93,4578,0.0409,21489,oil_bath,0.0951,low
BDES-00457,NJ306,13.49,4542,0.0081,29142,oil_mist,0.3958,medium
BDES-00458,6306,28.82,4711,0.0253,21453,grease,0.0777,low
BDES-00459,NU205,22.36,3442,0.0362,27094,grease,0.0394,low
BDES-00460,6205,28.15,5636,0.022,32836,grease,0.1595,low
BDES-00461,NJ306,24.86,4776,0.0395,10280,grease,0.2508,medium
BDES-00462,7206AC,16.67,3592,0.0445,20919,grease,0.2634,medium
BDES-00463,NJ306,36.64,7509,0.0327,27832,grease,0.074,low
BDES-00464,NJ306,29.38,5604,0.0294,18631,grease,0.0129,low
BDES-00465,7206AC,24.33,6670,0.0421,27452,grease,0.1471,low
BDES-00466,7206AC,10.0,4455,0.0258,26364,grease,0.2868,medium
BDES-00467,6205,28.64,5439,0.0145,23700,grease,0.1227,low
BDES-00468,7206AC,43.43,4519,0.0345,22411,oil_bath,0.0526,low
BDES-00469,7206AC,33.66,6127,0.0162,19349,oil_mist,0.2387,low
BDES-00470,6205,19.94,6352,0.0345,15488,oil_bath,0.1973,low
BDES-00471,6205,39.57,6798,0.0382,8395,grease,0.2451,low
BDES-00472,6205,24.08,6012,0.0226,24134,grease,0.1179,low
BDES-00473,6306,13.62,8149,0.0062,25194,oil_mist,0.5624,high
BDES-00474,NU205,36.91,7875,0.0323,23296,oil_bath,0.1048,low
BDES-00475,6306,28.19,4735,0.0337,18402,grease,0.0604,low
BDES-00476,NJ306,26.82,7947,0.0231,40940,grease,0.2104,low
BDES-00477,6205,27.58,7715,0.0384,37691,oil_mist,0.0742,low
BDES-00478,6205,29.6,6689,0.0371,27471,oil_bath,0.0754,low
BDES-00479,NJ306,21.48,8057,0.0379,20451,oil_bath,0.2738,medium
BDES-00480,NJ306,18.58,3833,0.0264,17951,oil_bath,0.1893,low
BDES-00481,NJ306,34.66,7353,0.0329,26467,oil_bath,0.0222,low
BDES-00482,NJ306,16.53,6108,0.0233,30349,grease,0.1827,low
BDES-00483,NU205,28.67,5972,0.0215,26104,grease,0.044,low
BDES-00484,NJ306,38.7,5576,0.0122,37596,grease,0.2081,low
BDES-00485,NJ306,29.65,8303,0.0212,25279,oil_bath,0.2106,low
BDES-00486,NJ306,26.14,3458,0.0315,23772,grease,0.0,low
BDES-00487,NJ306,25.43,6636,0.0624,24281,oil_mist,0.2922,medium
BDES-00488,6306,31.5,4470,0.0492,26050,grease,0.1159,low
BDES-00489,NJ306,23.37,4983,0.0399,21752,grease,0.0793,low
BDES-00490,7206AC,13.89,4937,0.0358,26581,oil_bath,0.2056,low
BDES-00491,6306,22.15,7040,0.0262,19960,oil_bath,0.0747,low
BDES-00492,NJ306,26.08,9141,0.02,11685,oil_bath,0.3764,medium
BDES-00493,6205,24.24,3975,0.0384,29594,grease,0.0422,low
BDES-00494,7206AC,44.73,4937,0.0329,34488,grease,0.0564,low
BDES-00495,6205,38.17,7511,0.0164,20692,oil_mist,0.2028,low
BDES-00496,NU205,18.49,4854,0.0249,19089,oil_bath,0.1472,low
BDES-00497,NU205,26.44,9512,0.0326,22405,oil_bath,0.2273,low
BDES-00498,6205,30.65,5239,0.0443,34479,grease,0.1446,low
BDES-00499,6306,19.9,7827,0.0272,23512,oil_bath,0.2329,low
BDES-00500,7206AC,25.48,7252,0.0165,25810,grease,0.2152,low
BDES-00501,NU205,25.73,6572,0.0249,26535,oil_bath,0.0275,low
BDES-00502,6205,24.79,7672,0.0327,39908,grease,0.1259,low
BDES-00503,7206AC,31.31,3817,0.0141,31136,oil_bath,0.1229,low
BDES-00504,7206AC,25.59,7972,0.0454,26165,grease,0.248,low
BDES-00505,6205,30.25,6156,0.006,22639,grease,0.2181,low
BDES-00506,7206AC,22.42,5628,0.0149,28525,grease,0.1325,low
BDES-00507,6306,37.79,6472,0.0339,14625,oil_mist,0.0718,low
BDES-00508,NJ306,17.98,7109,0.0286,17120,grease,0.2082,low
BDES-00509,7206AC,24.5,7879,0.017,29148,oil_mist,0.1905,low
BDES-00510,NJ306,24.2,5629,0.0262,29933,grease,0.0631,low
BDES-00511,6205,31.46,7327,0.0357,10815,oil_bath,0.2153,low
BDES-00512,6306,31.17,9169,0.031,12813,oil_bath,0.2763,medium
BDES-00513,6205,27.09,6469,0.0374,18067,oil_bath,0.1108,low
BDES-00514,7206AC,35.89,8002,0.0302,24584,grease,0.1015,low
BDES-00515,6205,19.71,6266,0.0486,21576,oil_mist,0.2377,low
BDES-00516,NU205,18.61,8192,0.0481,25062,oil_bath,0.3413,medium
BDES-00517,7206AC,17.14,6559,0.0439,17914,oil_bath,0.2512,medium
BDES-00518,6205,42.6,4503,0.0163,20064,oil_bath,0.0776,low
BDES-00519,NU205,29.13,5797,0.0332,24225,grease,0.0037,low
BDES-00520,NU205,31.94,6081,0.046,28002,grease,0.1819,low
BDES-00521,7206AC,22.93,4922,0.0455,26602,grease,0.1539,low
BDES-00522,NJ306,21.12,5026,0.032,24249,grease,0.1366,low
BDES-00523,6205,19.62,6796,0.0169,30918,oil_mist,0.1871,low
BDES-00524,NU205,38.44,8914,0.0292,23389,grease,0.1471,low
BDES-00525,NU205,21.39,5818,0.0353,20021,oil_mist,0.1048,low
BDES-00526,6205,28.38,5942,0.0519,28116,grease,0.2232,low
BDES-00527,6306,19.75,7678,0.008,9501,grease,0.5174,high
BDES-00528,NU205,30.35,7785,0.027,30563,oil_bath,0.1221,low
BDES-00529,NU205,46.4,6862,0.0318,29345,oil_bath,0.0369,low
BDES-00530,6205,30.48,6177,0.0351,23550,grease,0.0866,low
BDES-00531,NJ306,37.63,7447,0.0486,23005,grease,0.2566,medium
BDES-00532,6205,35.19,5724,0.0216,27551,grease,0.1304,low
BDES-00533,NJ306,29.83,6661,0.032,21324,grease,0.0384,low
BDES-00534,6205,19.35,5910,0.0188,31574,grease,0.2211,low
BDES-00535,NU205,20.66,3714,0.0308,25334,grease,0.0213,low
BDES-00536,7206AC,26.82,4595,0.0542,22021,oil_mist,0.2923,medium
BDES-00537,7206AC,39.09,6876,0.027,30925,grease,0.0713,low
BDES-00538,6205,24.88,8765,0.0484,22447,grease,0.3078,medium
BDES-00539,6306,24.38,3238,0.0318,35194,oil_bath,0.0071,low
BDES-00540,7206AC,35.13,7862,0.0206,30948,grease,0.2227,low
BDES-00541,6306,25.79,6840,0.0278,37582,oil_bath,0.06,low
BDES-00542,6306,19.74,7711,0.024,24970,grease,0.1692,low
BDES-00543,6306,37.66,5627,0.0247,31850,oil_mist,0.0878,low
BDES-00544,6205,20.46,8837,0.0239,26072,grease,0.3121,medium
BDES-00545,7206AC,25.7,4694,0.0376,27084,grease,0.0475,low
BDES-00546,6205,29.5,5286,0.0313,28163,oil_bath,0.0133,low
BDES-00547,7206AC,40.21,9766,0.0405,26155,grease,0.3636,medium
BDES-00548,7206AC,25.53,4532,0.0479,25123,oil_bath,0.2089,low
BDES-00549,6306,37.11,6632,0.0267,20465,oil_bath,0.0634,low
BDES-00550,NU205,31.79,6374,0.0277,21289,oil_bath,0.028,low
BDES-00551,NJ306,31.04,4190,0.0524,25952,grease,0.2863,medium
BDES-00552,6205,31.22,7340,0.0287,34481,oil_bath,0.0714,low
BDES-00553,7206AC,20.53,4105,0.0319,33021,oil_bath,0.0845,low
BDES-00554,NU205,45.01,4733,0.031,28789,grease,0.0058,low
BDES-00555,NJ306,38.66,6077,0.0554,20898,oil_bath,0.3015,medium
BDES-00556,6205,13.08,3804,0.0265,15854,grease,0.2671,medium
BDES-00557,NU205,38.73,6039,0.0304,21240,grease,0.0237,low
BDES-00558,6306,35.63,5279,0.0456,28902,oil_bath,0.0935,low
BDES-00559,NJ306,29.13,7449,0.0211,24622,grease,0.1751,low
BDES-00560,NU205,26.65,6522,0.0309,15882,oil_bath,0.0246,low
BDES-00561,NJ306,33.99,8203,0.0314,21366,grease,0.1615,low
BDES-00562,7206AC,21.96,7460,0.0456,24814,grease,0.188,low
BDES-00563,7206AC,28.41,9273,0.045,24893,oil_bath,0.3471,medium
BDES-00564,NU205,21.87,6149,0.0371,21283,oil_bath,0.0753,low
BDES-00565,6205,39.08,6681,0.016,22473,oil_bath,0.1751,low
BDES-00566,NU205,26.72,6016,0.031,12929,grease,0.0812,low
BDES-00567,7206AC,31.17,5184,0.0165,22612,grease,0.1091,low
BDES-00568,NJ306,30.33,5855,0.0334,25130,oil_bath,0.0948,low
BDES-00569,NU205,29.2,5209,0.0435,29332,oil_bath,0.1395,low
BDES-00570,NJ306,24.98,9336,0.0371,21061,grease,0.2949,medium
BDES-00571,6205,37.03,4738,0.0364,27987,grease,0.0638,low
BDES-00572,7206AC,20.89,8304,0.0405,20249,grease,0.2717,medium
BDES-00573,NJ306,37.18,5383,0.0255,31999,oil_bath,0.021,low
BDES-00574,6205,31.01,5451,0.0289,19914,grease,0.0955,low
BDES-00575,6205,26.33,5947,0.0181,33024,grease,0.109,low
BDES-00576,7206AC,30.53,8070,0.0152,29046,grease,0.2099,low
BDES-00577,7206AC,18.77,7954,0.0365,27241,grease,0.292,medium
BDES-00578,NJ306,23.84,7618,0.0273,19697,grease,0.1736,low
BDES-00579,7206AC,32.81,7620,0.025,15093,grease,0.2604,medium
BDES-00580,7206AC,30.54,5666,0.0158,23179,grease,0.1116,low
BDES-00581,NJ306,27.83,8487,0.031,26139,grease,0.1166,low
BDES-00582,6205,18.82,5261,0.0454,30768,grease,0.3047,medium
BDES-00583,NU205,25.16,7668,0.0402,20410,grease,0.2102,low
BDES-00584,NJ306,12.09,6472,0.0304,20578,grease,0.1689,low
BDES-00585,NJ306,13.21,6194,0.0218,25443,grease,0.2872,medium
BDES-00586,6306,34.34,8490,0.0227,31860,grease,0.2016,low
BDES-00587,6306,29.15,7722,0.0472,29313,grease,0.3062,medium
BDES-00588,NJ306,36.85,6101,0.059,25971,oil_bath,0.2878,medium
BDES-00589,6306,21.89,5559,0.0285,23091,oil_bath,0.0778,low
BDES-00590,NJ306,29.97,4448,0.0387,24300,grease,0.1348,low
BDES-00591,7206AC,28.96,6627,0.0381,32184,oil_bath,0.0702,low
BDES-00592,NU205,36.47,5277,0.0382,14591,grease,0.1721,low
BDES-00593,6306,28.93,5961,0.0479,25241,oil_mist,0.1605,low
BDES-00594,7206AC,33.96,7121,0.0288,17258,grease,0.1007,low
BDES-00595,6205,25.43,5903,0.0075,35621,grease,0.2763,medium
BDES-00596,7206AC,23.66,5268,0.0148,29634,oil_bath,0.2249,low
BDES-00597,NJ306,29.74,3531,0.022,23914,grease,0.1023,low
BDES-00598,NJ306,27.0,7041,0.0185,25698,grease,0.1408,low
BDES-00599,NJ306,33.25,8153,0.0241,23905,grease,0.2258,low
BDES-00600,NU205,26.39,5175,0.0312,30496,grease,0.0656,low
BDES-00601,NJ306,18.99,6768,0.0506,25875,oil_bath,0.2712,medium
BDES-00602,6306,42.1,6598,0.042,27261,oil_bath,0.1352,low
BDES-00603,7206AC,20.76,4963,0.0312,23114,grease,0.0395,low
BDES-00604,7206AC,22.06,7971,0.0444,24857,grease,0.2693,medium
BDES-00605,6306,39.57,4852,0.045,20048,oil_bath,0.2408,low
BDES-00606,NJ306,12.75,8118,0.0431,22136,grease,0.4589,medium
BDES-00607,6205,31.74,4414,0.0201,24499,oil_mist,0.1053,low
BDES-00608,6205,27.54,5900,0.0277,32434,grease,0.0,low
BDES-00609,6205,30.54,4665,0.0449,13415,oil_mist,0.2425,low
BDES-00610,6306,20.31,5041,0.0495,31791,grease,0.2379,low
BDES-00611,6306,16.85,4135,0.026,19771,grease,0.2511,medium
BDES-00612,6205,42.13,4387,0.0465,23577,grease,0.149,low
BDES-00613,6205,28.23,5802,0.0429,9220,grease,0.3016,medium
BDES-00614,6306,37.15,4646,0.0334,25333,grease,0.057,low
BDES-00615,NJ306,31.78,7576,0.0403,30048,oil_bath,0.1629,low
BDES-00616,6306,33.54,6613,0.0294,17958,oil_bath,0.0655,low
BDES-00617,7206AC,40.95,4429,0.0245,14909,oil_mist,0.1284,low
BDES-00618,NU205,36.19,5644,0.0405,23702,grease,0.1302,low
BDES-00619,6205,34.88,6446,0.0484,8000,grease,0.3706,medium
BDES-00620,6306,28.22,6794,0.0359,21623,grease,0.051,low
BDES-00621,NJ306,46.3,6308,0.0499,28181,oil_bath,0.229,low
BDES-00622,7206AC,17.94,5507,0.0194,13460,grease,0.3293,medium
BDES-00623,6306,22.71,6530,0.038,32291,grease,0.1091,low
BDES-00624,6306,25.34,7737,0.0191,22545,grease,0.2269,low
BDES-00625,NU205,31.36,6806,0.0195,15042,grease,0.1006,low
BDES-00626,7206AC,30.35,4898,0.0431,33910,grease,0.1415,low
BDES-00627,6205,19.96,6679,0.0358,27570,oil_mist,0.1542,low
BDES-00628,6205,27.98,5066,0.0473,33544,grease,0.169,low
BDES-00629,7206AC,17.53,4333,0.0262,21693,grease,0.1809,low
BDES-00630,6205,16.57,3990,0.0174,17575,oil_bath,0.3643,medium
BDES-00631,6205,34.5,4742,0.0228,16641,oil_bath,0.1364,low
BDES-00632,NU205,22.58,3272,0.0368,28184,oil_mist,0.0821,low
BDES-00633,NU205,28.46,4492,0.0459,8211,oil_bath,0.3177,medium
BDES-00634,NJ306,25.71,6189,0.0347,27456,grease,0.0432,low
BDES-00635,NU205,28.76,6592,0.035,9865,oil_bath,0.1579,low
BDES-00636,7206AC,21.25,5739,0.0442,20650,grease,0.2142,low
BDES-00637,6205,32.25,5373,0.028,20554,grease,0.0408,low
BDES-00638,7206AC,23.18,5498,0.0236,21625,grease,0.0679,low
BDES-00639,NJ306,28.57,5126,0.0191,30587,grease,0.0942,low
BDES-00640,NJ306,25.61,6078,0.0248,9797,grease,0.1595,low
BDES-00641,NJ306,25.99,5495,0.0311,25202,grease,0.0,low
BDES-00642,6205,27.26,6056,0.0464,20307,grease,0.2143,low
BDES-00643,NJ306,31.75,5002,0.0208,42000,grease,0.0741,low
BDES-00644,NJ306,18.45,3997,0.0338,15649,grease,0.1851,low
BDES-00645,NJ306,29.89,5877,0.0192,17196,grease,0.1955,low
BDES-00646,NJ306,23.3,5928,0.0359,26799,grease,0.1093,low
BDES-00647,NJ306,20.1,6185,0.029,22725,grease,0.0889,low
BDES-00648,7206AC,25.47,8373,0.0344,32676,grease,0.1456,low
BDES-00649,NU205,31.15,6037,0.0296,27437,oil_bath,0.0,low
BDES-00650,6306,27.98,7047,0.027,18810,grease,0.0782,low
BDES-00651,NJ306,21.9,7154,0.0189,27624,grease,0.2009,low
BDES-00652,6306,26.6,7340,0.032,30024,oil_mist,0.0744,low
BDES-00653,7206AC,28.48,4696,0.0266,37014,grease,0.0576,low
BDES-00654,6306,27.85,7946,0.0322,19508,oil_bath,0.1759,low
BDES-00655,6205,23.44,7989,0.0377,12420,grease,0.333,medium
BDES-00656,7206AC,27.55,7021,0.0468,22645,grease,0.1939,low
BDES-00657,7206AC,32.85,5763,0.0399,27601,grease,0.1174,low
BDES-00658,NU205,32.36,5130,0.052,8000,oil_bath,0.3578,medium
BDES-00659,6306,32.24,5306,0.045,21250,grease,0.1473,low
BDES-00660,NJ306,24.53,7527,0.0326,28568,oil_mist,0.1704,low
BDES-00661,NU205,18.31,8063,0.0234,23654,oil_bath,0.2982,medium
BDES-00662,NJ306,27.89,5460,0.0407,22141,grease,0.0883,low
BDES-00663,7206AC,19.11,6431,0.0122,24779,oil_bath,0.2382,low
BDES-00664,6205,26.12,9281,0.0181,39122,grease,0.3914,medium
BDES-00665,6306,25.38,5922,0.0316,26089,oil_mist,0.0,low
BDES-00666,6205,23.12,5654,0.0211,22251,grease,0.1389,low
BDES-00667,NU205,25.12,4185,0.0435,25304,grease,0.2142,low
BDES-00668,NU205,28.64,6177,0.0289,26380,oil_bath,0.0,low
BDES-00669,NU205,28.45,3734,0.0297,23272,grease,0.0,low
BDES-00670,6205,33.37,5065,0.0232,25522,grease,0.0026,low
BDES-00671,6306,32.53,6416,0.0271,13530,oil_mist,0.1135,low
BDES-00672,7206AC,31.19,5456,0.0261,17775,grease,0.0638,low
BDES-00673,7206AC,23.66,6242,0.0329,29307,oil_bath,0.0155,low
BDES-00674,6306,37.47,7457,0.0226,23047,grease,0.149,low
BDES-00675,6306,41.06,6585,0.0187,16511,oil_mist,0.2245,low
BDES-00676,6205,41.3,7538,0.0179,31205,grease,0.1819,low
BDES-00677,NU205,15.67,4297,0.0444,21990,oil_bath,0.3799,medium
BDES-00678,6205,31.64,5778,0.0464,29703,oil_mist,0.1686,low
BDES-00679,6306,22.66,4926,0.0261,20123,grease,0.0882,low
BDES-00680,NU205,25.32,7033,0.0227,14335,oil_bath,0.2821,medium
BDES-00681,NJ306,28.53,8528,0.0242,21410,grease,0.1469,low
BDES-00682,7206AC,26.31,5467,0.0225,27752,grease,0.0723,low
BDES-00683,NJ306,28.74,3590,0.0308,14269,grease,0.0447,low
BDES-00684,NU205,22.22,5321,0.014,26754,grease,0.2506,medium
BDES-00685,6306,25.33,7101,0.0255,36272,oil_bath,0.1156,low
BDES-00686,7206AC,33.88,3870,0.027,16922,oil_bath,0.0952,low
BDES-00687,6306,23.14,6242,0.0233,13118,grease,0.2123,low
BDES-00688,6306,35.23,6094,0.0261,8000,oil_mist,0.249,low
BDES-00689,6205,35.1,6970,0.0277,27698,grease,0.0347,low
BDES-00690,NJ306,23.09,5470,0.0542,16559,grease,0.3443,medium
BDES-00691,6205,24.47,3556,0.0471,27733,grease,0.17,low
BDES-00692,7206AC,18.54,7250,0.0283,27900,oil_bath,0.115,low
BDES-00693,7206AC,31.32,4717,0.0207,12795,oil_bath,0.1875,low
BDES-00694,6306,35.24,4819,0.0275,21427,oil_bath,0.0373,low
BDES-00695,7206AC,34.44,4575,0.0324,24723,oil_bath,0.0,low
BDES-00696,6205,44.13,6748,0.0359,21600,grease,0.1555,low
BDES-00697,NJ306,22.74,8923,0.0427,11879,oil_bath,0.3761,medium
BDES-00698,6205,31.12,3795,0.0247,28589,grease,0.0924,low
BDES-00699,NU205,37.26,7534,0.0168,25161,oil_bath,0.1685,low
BDES-00700,7206AC,16.57,6344,0.0354,22662,oil_bath,0.2125,low
BDES-00701,6306,18.9,4991,0.0368,27034,grease,0.1862,low
BDES-00702,NJ306,34.0,8705,0.0239,9142,oil_mist,0.3271,medium
BDES-00703,NJ306,32.13,6141,0.0456,17379,grease,0.1581,low
BDES-00704,7206AC,13.06,7049,0.0167,16928,grease,0.4307,medium
BDES-00705,6306,27.18,7524,0.006,8000,oil_bath,0.4741,medium
BDES-00706,NU205,30.6,5428,0.0284,25679,grease,0.0819,low
BDES-00707,6205,22.43,4787,0.0064,24299,grease,0.2627,medium
BDES-00708,7206AC,26.76,5850,0.0186,20277,grease,0.1112,low
BDES-00709,NJ306,25.23,7068,0.006,30245,oil_bath,0.3059,medium
BDES-00710,6205,34.41,7007,0.0335,16814,grease,0.1827,low
BDES-00711,6205,34.14,3980,0.0201,34330,oil_bath,0.0679,low
BDES-00712,NJ306,17.32,5002,0.0219,18736,grease,0.215,low
BDES-00713,NU205,24.52,6355,0.0362,26742,grease,0.0627,low
BDES-00714,NJ306,23.48,7188,0.0258,34891,grease,0.1392,low
BDES-00715,NU205,15.51,6028,0.0301,31333,grease,0.1662,low
BDES-00716,6205,24.34,3734,0.0375,25119,oil_bath,0.0786,low
BDES-00717,6205,24.52,4493,0.0099,38331,grease,0.1864,low
BDES-00718,7206AC,29.14,7606,0.0215,21231,grease,0.2041,low
BDES-00719,7206AC,44.28,5282,0.0392,18154,grease,0.0969,low
BDES-00720,NU205,33.92,5689,0.0439,22902,grease,0.168,low
BDES-00721,7206AC,28.66,6355,0.0275,19481,oil_bath,0.027,low
BDES-00722,NJ306,14.17,7299,0.0257,31518,grease,0.3366,medium
BDES-00723,6306,18.76,4732,0.0355,23805,oil_bath,0.1591,low
BDES-00724,NJ306,15.01,3767,0.0447,28144,grease,0.2242,low
BDES-00725,6306,21.91,6215,0.0442,35112,grease,0.1586,low
BDES-00726,NJ306,30.54,6784,0.0512,23075,grease,0.2329,low
BDES-00727,NJ306,12.95,6644,0.0379,25674,oil_bath,0.3344,medium
BDES-00728,NJ306,25.58,5828,0.0218,28488,grease,0.0469,low
BDES-00729,6306,30.84,5380,0.0437,24526,oil_mist,0.0998,low
BDES-00730,6306,29.63,7352,0.0252,35885,oil_bath,0.1033,low
BDES-00731,NJ306,23.8,8716,0.03,13868,grease,0.2013,low
BDES-00732,NU205,28.39,4203,0.0089,19723,grease,0.255,medium
BDES-00733,6306,23.13,6534,0.024,25374,grease,0.129,low
BDES-00734,7206AC,34.03,9650,0.0406,21648,oil_bath,0.3034,medium
BDES-00735,6306,33.24,5907,0.0496,30855,grease,0.2097,low
BDES-00736,7206AC,17.65,5906,0.0172,18675,oil_bath,0.3029,medium
BDES-00737,NJ306,22.87,5198,0.0116,37328,grease,0.1907,low
BDES-00738,7206AC,40.41,6871,0.006,32726,oil_bath,0.284,medium
BDES-00739,NU205,15.43,7469,0.0166,21984,grease,0.3523,medium
BDES-00740,7206AC,29.4,5555,0.0508,21536,grease,0.1776,low
BDES-00741,6205,25.69,6478,0.0562,33609,grease,0.2231,low
BDES-00742,6306,29.09,6283,0.0328,28393,grease,0.0685,low
BDES-00743,7206AC,26.69,7210,0.0407,34542,oil_bath,0.1664,low
BDES-00744,7206AC,37.2,4296,0.0388,25879,grease,0.0485,low
BDES-00745,7206AC,28.2,5245,0.0315,19758,grease,0.0,low
BDES-00746,6205,24.77,3496,0.0359,21725,oil_bath,0.0756,low
BDES-00747,NU205,27.83,4316,0.0123,27525,oil_bath,0.1039,low
BDES-00748,NU205,31.56,5341,0.0453,28025,grease,0.1887,low
BDES-00749,6306,19.32,5240,0.031,21946,grease,0.0879,low
