assembly_id,interference_fit,preload,alignment_error,operator_id,station_id,assembly_risk_score,assembly_risk_level
BASM-01417,0.0337,1.509,0.0454,OP-B-012,ST-B-27,0.5023,high
BASM-01418,-0.0011,1.051,0.0247,OP-B-069,ST-B-20,0.3281,medium
BASM-01419,0.0225,0.3,0.0879,OP-B-084,ST-B-06,0.5403,high
BASM-01420,0.0201,0.807,0.0196,OP-B-087,ST-B-18,0.1434,low
BASM-01421,0.0088,0.686,0.092,OP-B-012,ST-B-16,0.4551,medium
BASM-01422,0.0226,1.137,0.123,OP-B-022,ST-B-03,0.3176,medium
BASM-01423,0.0212,0.763,0.0648,OP-B-115,ST-B-02,0.3172,medium
BASM-01424,0.0342,0.856,0.002,OP-B-071,ST-B-25,0.235,low
BASM-01425,0.0283,0.567,0.019,OP-B-014,ST-B-01,0.3436,medium
BASM-01426,0.0042,1.113,0.1007,OP-B-105,ST-B-25,0.4605,medium
BASM-01427,0.0208,1.209,0.033,OP-B-077,ST-B-10,0.2343,low
BASM-01428,0.0059,1.253,0.1651,OP-B-068,ST-B-29,0.599,high
BASM-01429,0.0116,0.868,0.1732,OP-B-095,ST-B-15,0.5456,high
BASM-01430,0.0021,1.346,0.0782,OP-B-094,ST-B-27,0.5264,high
BASM-01431,0.0121,1.341,0.0371,OP-B-093,ST-B-03,0.2849,medium
BASM-01432,0.0168,0.841,0.0181,OP-B-142,ST-B-13,0.1058,low
BASM-01433,0.0186,0.707,0.1153,OP-B-087,ST-B-24,0.3747,medium
BASM-01434,0.0287,1.178,0.0918,OP-B-118,ST-B-12,0.4236,medium
BASM-01435,0.0226,0.802,0.038,OP-B-134,ST-B-08,0.217,low
BASM-01436,0.0173,0.78,0.0343,OP-B-067,ST-B-21,0.1575,low
BASM-01437,0.0095,0.552,0.1691,OP-B-053,ST-B-10,0.6415,high
BASM-01438,0.0213,1.652,0.0742,OP-B-046,ST-B-10,0.4645,medium
BASM-01439,0.0226,1.005,0.0381,OP-B-032,ST-B-22,0.1197,low
BASM-01440,0.0226,0.85,0.0486,OP-B-064,ST-B-12,0.1795,low
BASM-01441,0.0115,0.856,0.008,OP-B-038,ST-B-25,0.1367,low
BASM-01442,0.0154,0.792,0.1248,OP-B-092,ST-B-16,0.3756,medium
BASM-01443,0.0243,0.886,0.0321,OP-B-043,ST-B-15,0.2483,low
BASM-01444,0.0087,1.135,0.0397,OP-B-031,ST-B-23,0.2187,low
BASM-01445,0.0237,0.827,0.1813,OP-B-008,ST-B-09,0.5232,high
BASM-01446,0.0149,1.17,0.09,OP-B-092,ST-B-02,0.2999,medium
BASM-01447,0.0322,1.021,0.1315,OP-B-047,ST-B-03,0.4681,medium
BASM-01448,0.0238,1.485,0.0594,OP-B-082,ST-B-14,0.3098,medium
BASM-01449,0.0044,1.365,0.0452,OP-B-075,ST-B-21,0.4024,medium
BASM-01450,0.0032,1.112,0.0082,OP-B-064,ST-B-17,0.261,medium
BASM-01451,0.0226,0.696,0.0495,OP-B-100,ST-B-02,0.2327,low
BASM-01452,0.0256,0.964,0.0723,OP-B-088,ST-B-01,0.2722,medium
BASM-01453,0.0236,0.936,0.1599,OP-B-010,ST-B-10,0.4026,medium
BASM-01454,0.0185,0.961,0.032,OP-B-101,ST-B-10,0.0966,low
BASM-01455,0.0202,1.45,0.0255,OP-B-037,ST-B-01,0.2671,medium
BASM-01456,0.0216,1.192,0.0153,OP-B-040,ST-B-17,0.1936,low
BASM-01457,0.0098,1.4,0.0126,OP-B-025,ST-B-02,0.2404,low
BASM-01458,0.0003,1.177,0.0601,OP-B-128,ST-B-13,0.4421,medium
BASM-01459,0.0314,1.49,0.0845,OP-B-125,ST-B-28,0.5103,high
BASM-01460,0.0205,0.893,0.0139,OP-B-073,ST-B-17,0.1327,low
BASM-01461,0.0268,0.97,0.0231,OP-B-142,ST-B-11,0.1275,low
BASM-01462,0.0171,1.549,0.0784,OP-B-103,ST-B-29,0.3807,medium
BASM-01463,0.0201,1.42,0.0971,OP-B-150,ST-B-11,0.3706,medium
BASM-01464,0.0235,0.865,0.0297,OP-B-043,ST-B-30,0.2365,low
BASM-01465,0.0229,1.022,0.0371,OP-B-045,ST-B-20,0.1167,low
BASM-01466,-0.0035,0.765,0.035,OP-B-099,ST-B-13,0.3954,medium
BASM-01467,0.0072,0.97,0.0626,OP-B-042,ST-B-16,0.2598,medium
BASM-01468,-0.0027,0.85,0.0365,OP-B-142,ST-B-06,0.3568,medium
BASM-01469,0.0316,0.785,0.0265,OP-B-133,ST-B-14,0.3138,medium
BASM-01470,0.0156,1.319,0.0681,OP-B-122,ST-B-11,0.2748,medium
BASM-01471,0.0112,0.662,0.1058,OP-B-079,ST-B-10,0.3602,medium
BASM-01472,0.0202,0.827,0.0339,OP-B-147,ST-B-06,0.1243,low
BASM-01473,0.0221,0.748,0.0095,OP-B-005,ST-B-02,0.1656,low
BASM-01474,0.0236,1.172,0.0998,OP-B-020,ST-B-03,0.3607,medium
BASM-01475,0.0202,1.376,0.1152,OP-B-106,ST-B-04,0.4355,medium
BASM-01476,0.0093,0.607,0.0887,OP-B-081,ST-B-30,0.4155,medium
BASM-01477,0.0175,1.268,0.0327,OP-B-028,ST-B-07,0.2178,low
BASM-01478,0.01,1.324,0.0214,OP-B-005,ST-B-01,0.3125,medium
BASM-01479,0.0297,1.062,0.0061,OP-B-131,ST-B-20,0.1868,low
BASM-01480,0.0224,0.826,0.0733,OP-B-008,ST-B-05,0.2692,medium
BASM-01481,0.0106,0.975,0.0333,OP-B-097,ST-B-08,0.1805,low
BASM-01482,0.0163,1.286,0.0656,OP-B-118,ST-B-14,0.2847,medium
BASM-01483,0.0361,0.808,0.0764,OP-B-015,ST-B-21,0.4198,medium
BASM-01484,0.04,0.542,0.055,OP-B-078,ST-B-07,0.5493,high
BASM-01485,0.017,0.77,0.0933,OP-B-121,ST-B-10,0.2673,medium
BASM-01486,0.0279,1.089,0.12,OP-B-039,ST-B-03,0.4166,medium
BASM-01487,0.0364,0.406,0.1317,OP-B-106,ST-B-26,0.7222,high
BASM-01488,0.0349,1.195,0.054,OP-B-032,ST-B-16,0.3952,medium
BASM-01489,0.024,1.457,0.0565,OP-B-002,ST-B-16,0.3738,medium
BASM-01490,0.0201,0.973,0.0651,OP-B-018,ST-B-03,0.129,low
BASM-01491,0.0287,0.715,0.0217,OP-B-098,ST-B-03,0.2651,medium
BASM-01492,0.0216,0.541,0.0097,OP-B-095,ST-B-29,0.2372,low
BASM-01493,0.0218,1.248,0.0329,OP-B-116,ST-B-29,0.187,low
BASM-01494,0.0054,1.059,0.0356,OP-B-064,ST-B-13,0.2658,medium
BASM-01495,0.0183,1.15,0.0324,OP-B-073,ST-B-24,0.0983,low
BASM-01496,0.0291,0.952,0.0446,OP-B-137,ST-B-28,0.221,low
BASM-01497,0.0042,1.484,0.0203,OP-B-022,ST-B-02,0.4356,medium
BASM-01498,0.0008,0.913,0.0794,OP-B-140,ST-B-26,0.446,medium
BASM-01499,0.0126,1.318,0.0297,OP-B-026,ST-B-21,0.2559,medium
BASM-01500,0.0232,1.33,0.1005,OP-B-039,ST-B-06,0.4156,medium
BASM-01501,0.0128,1.267,0.0184,OP-B-142,ST-B-16,0.1944,low
BASM-01502,0.0101,1.16,0.1229,OP-B-057,ST-B-12,0.4374,medium
BASM-01503,0.006,0.688,0.0166,OP-B-098,ST-B-23,0.2673,medium
BASM-01504,0.0103,0.798,0.0731,OP-B-023,ST-B-18,0.2702,medium
BASM-01505,0.0006,0.568,0.0133,OP-B-062,ST-B-16,0.4502,medium
BASM-01506,0.0272,0.815,0.0412,OP-B-026,ST-B-22,0.2651,medium
BASM-01507,0.0144,1.034,0.0673,OP-B-111,ST-B-19,0.2315,low
BASM-01508,0.0312,0.742,0.0554,OP-B-022,ST-B-17,0.3939,medium
BASM-01509,0.028,0.558,0.0846,OP-B-133,ST-B-27,0.4828,medium
BASM-01510,0.0181,0.925,0.0189,OP-B-051,ST-B-30,0.0973,low
BASM-01511,0.0102,1.027,0.0112,OP-B-028,ST-B-08,0.112,low
BASM-01512,0.023,0.919,0.0364,OP-B-101,ST-B-09,0.1373,low
BASM-01513,0.0129,1.128,0.056,OP-B-133,ST-B-26,0.2416,low
BASM-01514,0.032,1.371,0.0186,OP-B-112,ST-B-08,0.3317,medium
BASM-01515,0.0163,0.602,0.0443,OP-B-061,ST-B-04,0.2715,medium
BASM-01516,0.0195,1.027,0.0332,OP-B-119,ST-B-17,0.1277,low
BASM-01517,0.0204,0.791,0.0559,OP-B-018,ST-B-07,0.2172,low
BASM-01518,0.0164,0.94,0.1844,OP-B-036,ST-B-28,0.4731,medium
BASM-01519,0.0361,1.011,0.0224,OP-B-087,ST-B-18,0.2813,medium
BASM-01520,0.0105,0.746,0.0873,OP-B-110,ST-B-23,0.426,medium
BASM-01521,0.0216,1.048,0.0343,OP-B-093,ST-B-01,0.2146,low
BASM-01522,0.0255,0.841,0.0382,OP-B-076,ST-B-20,0.2643,medium
BASM-01523,0.0006,1.311,0.0685,OP-B-086,ST-B-16,0.461,medium
BASM-01524,0.0222,0.929,0.1292,OP-B-015,ST-B-09,0.3443,medium
BASM-01525,0.0292,0.728,0.0319,OP-B-140,ST-B-24,0.2817,medium
BASM-01526,0.0022,0.939,0.0119,OP-B-117,ST-B-01,0.1979,low
BASM-01527,0.0147,1.036,0.0294,OP-B-148,ST-B-12,0.1504,low
BASM-01528,0.0227,1.441,0.0519,OP-B-093,ST-B-02,0.4054,medium
BASM-01529,0.0315,1.378,0.0564,OP-B-073,ST-B-10,0.4538,medium
BASM-01530,0.0158,0.901,0.0633,OP-B-069,ST-B-01,0.2288,low
BASM-01531,0.0269,1.218,0.0391,OP-B-070,ST-B-07,0.2789,medium
BASM-01532,0.0157,1.006,0.0465,OP-B-011,ST-B-25,0.0895,low
BASM-01533,0.0215,0.888,0.0689,OP-B-041,ST-B-13,0.2564,medium
BASM-01534,0.0138,1.239,0.0345,OP-B-049,ST-B-17,0.1804,low
BASM-01535,0.0291,1.218,0.0451,OP-B-111,ST-B-23,0.3393,medium
BASM-01536,0.0218,1.283,0.0314,OP-B-024,ST-B-24,0.2359,low
BASM-01537,0.027,1.012,0.0328,OP-B-078,ST-B-23,0.1411,low
BASM-01538,0.0192,0.774,0.0536,OP-B-006,ST-B-06,0.2211,low
BASM-01539,0.0129,0.725,0.0635,OP-B-001,ST-B-26,0.3076,medium
BASM-01540,0.0089,0.678,0.0452,OP-B-039,ST-B-25,0.3644,medium
BASM-01541,0.0248,0.731,0.0433,OP-B-086,ST-B-26,0.2838,medium
BASM-01542,0.0375,1.396,0.0888,OP-B-021,ST-B-18,0.6107,high
BASM-01543,0.0242,1.568,0.0839,OP-B-072,ST-B-04,0.4675,medium
BASM-01544,0.0106,1.367,0.0541,OP-B-111,ST-B-18,0.3046,medium
BASM-01545,0.0089,1.031,0.0533,OP-B-030,ST-B-29,0.3247,medium
BASM-01546,0.0141,0.952,0.0332,OP-B-069,ST-B-27,0.1256,low
BASM-01547,0.0471,0.718,0.0429,OP-B-143,ST-B-20,0.5269,high
BASM-01548,0.0085,0.971,0.0174,OP-B-117,ST-B-02,0.1242,low
BASM-01549,0.0223,0.653,0.0302,OP-B-100,ST-B-03,0.3072,medium
BASM-01550,0.0139,1.452,0.0659,OP-B-079,ST-B-20,0.3365,medium
BASM-01551,0.0102,0.942,0.0229,OP-B-110,ST-B-05,0.1712,low
BASM-01552,0.0148,1.165,0.0717,OP-B-091,ST-B-25,0.2578,medium
BASM-01553,0.0217,1.015,0.0123,OP-B-096,ST-B-01,0.0858,low
BASM-01554,0.0282,1.461,0.0427,OP-B-097,ST-B-12,0.3266,medium
BASM-01555,0.016,1.517,0.0242,OP-B-142,ST-B-25,0.2999,medium
BASM-01556,0.0109,0.795,0.0367,OP-B-113,ST-B-23,0.2385,low
BASM-01557,0.0308,0.724,0.0575,OP-B-076,ST-B-01,0.3473,medium
BASM-01558,0.0159,0.996,0.0349,OP-B-096,ST-B-08,0.1195,low
BASM-01559,0.0086,0.558,0.1092,OP-B-058,ST-B-19,0.4538,medium
BASM-01560,0.0133,0.488,0.007,OP-B-068,ST-B-20,0.2712,medium
BASM-01561,0.004,1.003,0.0656,OP-B-138,ST-B-25,0.3222,medium
BASM-01562,0.0141,0.908,0.0486,OP-B-021,ST-B-17,0.1957,low
BASM-01563,-0.0003,0.841,0.1233,OP-B-139,ST-B-08,0.6021,high
BASM-01564,0.0262,1.078,0.1149,OP-B-068,ST-B-06,0.415,medium
BASM-01565,0.0161,1.013,0.0494,OP-B-130,ST-B-09,0.1318,low
BASM-01566,0.0263,1.132,0.0848,OP-B-085,ST-B-27,0.3232,medium
BASM-01567,0.0191,0.652,0.0774,OP-B-084,ST-B-22,0.3005,medium
BASM-01568,0.0261,0.856,0.0743,OP-B-051,ST-B-18,0.3021,medium
BASM-01569,0.016,0.32,0.0558,OP-B-070,ST-B-18,0.367,medium
BASM-01570,0.003,1.53,0.0408,OP-B-023,ST-B-15,0.4654,medium
BASM-01571,0.0156,1.139,0.0366,OP-B-082,ST-B-10,0.1829,low
BASM-01572,0.0282,1.312,0.0277,OP-B-118,ST-B-10,0.3494,medium
BASM-01573,0.0053,1.017,0.0417,OP-B-055,ST-B-19,0.2071,low
BASM-01574,0.0249,1.162,0.0389,OP-B-136,ST-B-12,0.2764,medium
BASM-01575,0.0321,1.506,0.0951,OP-B-020,ST-B-12,0.5898,high
BASM-01576,0.012,0.951,0.0499,OP-B-111,ST-B-01,0.1882,low
BASM-01577,0.0284,0.611,0.0085,OP-B-146,ST-B-12,0.311,medium
BASM-01578,0.0085,0.392,0.0641,OP-B-135,ST-B-15,0.5533,high
BASM-01579,0.0228,0.991,0.0088,OP-B-107,ST-B-21,0.0598,low
BASM-01580,0.0256,1.047,0.0183,OP-B-074,ST-B-23,0.2009,low
BASM-01581,0.0183,0.85,0.031,OP-B-092,ST-B-21,0.1662,low
BASM-01582,0.0162,1.025,0.0126,OP-B-134,ST-B-25,0.0778,low
BASM-01583,0.0163,1.149,0.0504,OP-B-055,ST-B-19,0.191,low
BASM-01584,0.0062,1.219,0.0626,OP-B-082,ST-B-16,0.3817,medium
BASM-01585,0.0154,0.898,0.0543,OP-B-004,ST-B-06,0.1695,low
BASM-01586,0.0105,0.918,0.0705,OP-B-105,ST-B-05,0.3027,medium
BASM-01587,0.0068,0.931,0.0162,OP-B-123,ST-B-09,0.2145,low
BASM-01588,0.0269,0.737,0.1241,OP-B-078,ST-B-10,0.4433,medium
BASM-01589,0.0025,0.903,0.094,OP-B-026,ST-B-10,0.4076,medium
BASM-01590,0.0224,1.086,0.0393,OP-B-092,ST-B-02,0.1568,low
BASM-01591,0.0217,0.925,0.046,OP-B-010,ST-B-27,0.1842,low
BASM-01592,0.0034,1.18,0.0026,OP-B-074,ST-B-01,0.239,low
BASM-01593,0.0178,0.589,0.0816,OP-B-087,ST-B-19,0.3508,medium
BASM-01594,0.0133,0.944,0.0132,OP-B-125,ST-B-21,0.1621,low
BASM-01595,0.0278,0.973,0.0357,OP-B-109,ST-B-08,0.2068,low
BASM-01596,0.0322,1.007,0.0374,OP-B-147,ST-B-18,0.254,medium
BASM-01597,0.0225,0.877,0.0996,OP-B-057,ST-B-18,0.3929,medium
BASM-01598,0.0104,0.768,0.0637,OP-B-031,ST-B-25,0.3783,medium
BASM-01599,0.0033,0.705,0.0645,OP-B-014,ST-B-21,0.4027,medium
BASM-01600,0.0157,1.442,0.046,OP-B-007,ST-B-12,0.412,medium
BASM-01601,0.0135,0.588,0.1229,OP-B-097,ST-B-27,0.4634,medium
BASM-01602,0.0144,0.618,0.019,OP-B-002,ST-B-28,0.2092,low
BASM-01603,-0.0005,1.074,0.045,OP-B-108,ST-B-13,0.3769,medium
BASM-01604,0.0168,0.644,0.1141,OP-B-015,ST-B-27,0.3804,medium
BASM-01605,0.0145,1.099,0.0079,OP-B-043,ST-B-14,0.0863,low
BASM-01606,0.0151,1.382,0.0335,OP-B-069,ST-B-16,0.2725,medium
BASM-01607,0.0058,1.061,0.0854,OP-B-062,ST-B-24,0.3465,medium
BASM-01608,0.0129,0.931,0.0419,OP-B-054,ST-B-06,0.2001,low
BASM-01609,0.023,1.275,0.0958,OP-B-130,ST-B-13,0.3491,medium
BASM-01610,0.0192,0.933,0.0132,OP-B-087,ST-B-19,0.0142,low
BASM-01611,-0.0021,1.549,0.0735,OP-B-016,ST-B-20,0.6581,high
BASM-01612,0.0302,0.513,0.0349,OP-B-132,ST-B-02,0.4282,medium
BASM-01613,0.025,0.656,0.019,OP-B-012,ST-B-02,0.3056,medium
BASM-01614,0.0098,1.016,0.0248,OP-B-002,ST-B-01,0.1873,low
BASM-01615,0.0064,1.064,0.0311,OP-B-044,ST-B-08,0.255,medium
BASM-01616,-0.0004,1.104,0.0066,OP-B-019,ST-B-15,0.2541,medium
BASM-01617,0.0156,1.333,0.0255,OP-B-055,ST-B-04,0.2708,medium
BASM-01618,0.0265,0.898,0.067,OP-B-102,ST-B-03,0.2674,medium
BASM-01619,0.021,1.064,0.0584,OP-B-112,ST-B-06,0.2387,low
BASM-01620,0.0158,1.23,0.0038,OP-B-053,ST-B-10,0.1605,low
BASM-01621,0.0063,0.862,0.11,OP-B-143,ST-B-09,0.3856,medium
BASM-01622,0.0113,0.976,0.0666,OP-B-019,ST-B-29,0.1956,low
BASM-01623,0.0125,1.418,0.0297,OP-B-008,ST-B-29,0.2911,medium
BASM-01624,0.0278,1.211,0.0227,OP-B-002,ST-B-14,0.2196,low
BASM-01625,0.0195,1.408,0.0611,OP-B-057,ST-B-09,0.263,medium
BASM-01626,0.031,1.178,0.1228,OP-B-013,ST-B-10,0.4868,medium
BASM-01627,0.0137,0.5,0.0413,OP-B-002,ST-B-26,0.3671,medium
BASM-01628,0.0241,1.09,0.0225,OP-B-130,ST-B-16,0.1318,low
BASM-01629,0.0041,1.399,0.0271,OP-B-068,ST-B-22,0.4642,medium
BASM-01630,0.0213,1.115,0.0443,OP-B-113,ST-B-12,0.1781,low
BASM-01631,0.0274,1.248,0.0077,OP-B-083,ST-B-05,0.2202,low
BASM-01632,0.0148,0.873,0.145,OP-B-120,ST-B-05,0.4403,medium
BASM-01633,0.0198,1.085,0.0668,OP-B-138,ST-B-18,0.1986,low
BASM-01634,0.0179,0.55,0.0847,OP-B-131,ST-B-30,0.3876,medium
BASM-01635,0.0217,0.699,0.0204,OP-B-090,ST-B-26,0.1994,low
BASM-01636,0.0091,0.7,0.041,OP-B-084,ST-B-24,0.2742,medium
BASM-01637,0.0239,1.272,0.0222,OP-B-054,ST-B-13,0.2531,medium
BASM-01638,0.0221,1.036,0.0325,OP-B-038,ST-B-04,0.1325,low
BASM-01639,0.0166,0.895,0.1492,OP-B-109,ST-B-18,0.3366,medium
BASM-01640,0.024,0.935,0.0089,OP-B-119,ST-B-02,0.1053,low
BASM-01641,0.0144,1.334,0.034,OP-B-058,ST-B-23,0.262,medium
BASM-01642,0.0327,0.717,0.0627,OP-B-108,ST-B-27,0.4231,medium
BASM-01643,0.0084,0.574,0.0949,OP-B-041,ST-B-04,0.4388,medium
BASM-01644,0.02,1.147,0.0307,OP-B-149,ST-B-22,0.1688,low
BASM-01645,0.0069,1.342,0.0492,OP-B-082,ST-B-20,0.3827,medium
BASM-01646,0.0175,0.706,0.0301,OP-B-041,ST-B-18,0.2268,low
BASM-01647,0.0136,1.02,0.0634,OP-B-006,ST-B-27,0.2063,low
BASM-01648,0.0347,1.106,0.078,OP-B-018,ST-B-28,0.4136,medium
BASM-01649,0.0167,0.417,0.0371,OP-B-002,ST-B-26,0.3933,medium
BASM-01650,0.0492,1.045,0.1242,OP-B-097,ST-B-13,0.5681,high
BASM-01651,0.0265,1.082,0.1065,OP-B-123,ST-B-25,0.333,medium
BASM-01652,0.0089,0.879,0.1044,OP-B-093,ST-B-15,0.4289,medium
BASM-01653,0.0252,1.143,0.0197,OP-B-044,ST-B-30,0.1685,low
BASM-01654,0.0152,1.207,0.0414,OP-B-012,ST-B-02,0.2054,low
BASM-01655,0.0154,0.946,0.0668,OP-B-080,ST-B-29,0.1786,low
BASM-01656,0.0058,1.101,0.0361,OP-B-032,ST-B-15,0.2922,medium
BASM-01657,0.0249,1.038,0.0617,OP-B-094,ST-B-14,0.2374,low
BASM-01658,0.0152,1.584,0.1168,OP-B-149,ST-B-21,0.5062,high
BASM-01659,0.0172,0.926,0.0229,OP-B-072,ST-B-01,0.0773,low
BASM-01660,-0.006,1.291,0.0432,OP-B-025,ST-B-12,0.52,high
BASM-01661,0.0256,1.114,0.0879,OP-B-082,ST-B-22,0.2978,medium
BASM-01662,0.0143,1.265,0.0737,OP-B-083,ST-B-30,0.3122,medium
BASM-01663,0.0143,1.01,0.1001,OP-B-024,ST-B-28,0.3141,medium
BASM-01664,0.0119,0.952,0.1091,OP-B-056,ST-B-22,0.2485,low
BASM-01665,0.0112,1.36,0.0992,OP-B-027,ST-B-16,0.4025,medium
BASM-01666,0.0124,0.896,0.0676,OP-B-038,ST-B-17,0.2578,medium
BASM-01667,0.0177,0.988,0.0628,OP-B-043,ST-B-06,0.1759,low
BASM-01668,0.0095,1.174,0.0539,OP-B-120,ST-B-30,0.2809,medium
BASM-01669,0.0191,1.365,0.0258,OP-B-125,ST-B-19,0.1329,low
BASM-01670,0.0321,1.109,0.0741,OP-B-092,ST-B-02,0.3971,medium
BASM-01671,0.0121,1.078,0.0584,OP-B-067,ST-B-01,0.2879,medium
BASM-01672,0.0129,1.289,0.0377,OP-B-008,ST-B-26,0.2154,low
BASM-01673,0.0187,0.604,0.0504,OP-B-089,ST-B-01,0.2611,medium
BASM-01674,0.0097,1.069,0.0198,OP-B-090,ST-B-06,0.2301,low
BASM-01675,0.0045,1.271,0.0315,OP-B-128,ST-B-10,0.3136,medium
BASM-01676,0.0062,0.602,0.0485,OP-B-111,ST-B-21,0.3938,medium
BASM-01677,0.0152,0.805,0.0396,OP-B-020,ST-B-23,0.1757,low
BASM-01678,0.0074,0.411,0.04,OP-B-088,ST-B-17,0.4278,medium
BASM-01679,0.0243,1.271,0.0294,OP-B-010,ST-B-28,0.2924,medium
BASM-01680,0.0077,1.202,0.0316,OP-B-008,ST-B-18,0.2984,medium
BASM-01681,0.0243,1.18,0.1499,OP-B-137,ST-B-03,0.4984,medium
BASM-01682,0.0214,0.617,0.0378,OP-B-076,ST-B-18,0.2617,medium
BASM-01683,0.0065,0.843,0.0705,OP-B-034,ST-B-29,0.3337,medium
BASM-01684,0.0219,1.084,0.0926,OP-B-093,ST-B-19,0.3114,medium
BASM-01685,-0.0005,1.256,0.024,OP-B-138,ST-B-10,0.3763,medium
BASM-01686,0.0272,1.178,0.1982,OP-B-117,ST-B-16,0.4839,medium
BASM-01687,0.0126,1.128,0.0377,OP-B-011,ST-B-23,0.1838,low
BASM-01688,0.0276,0.777,0.0667,OP-B-141,ST-B-11,0.3757,medium
BASM-01689,0.0135,1.566,0.0772,OP-B-017,ST-B-07,0.4537,medium
BASM-01690,0.0238,1.226,0.0665,OP-B-084,ST-B-23,0.329,medium
BASM-01691,0.009,1.34,0.0664,OP-B-079,ST-B-05,0.3817,medium
BASM-01692,0.0157,1.096,0.0696,OP-B-097,ST-B-20,0.1849,low
BASM-01693,0.0267,1.253,0.0376,OP-B-111,ST-B-04,0.2982,medium
BASM-01694,0.0057,1.694,0.0285,OP-B-078,ST-B-03,0.4716,medium
BASM-01695,0.0303,0.898,0.109,OP-B-105,ST-B-17,0.4649,medium
BASM-01696,0.0202,1.097,0.0568,OP-B-112,ST-B-16,0.1742,low
BASM-01697,0.0095,0.503,0.0954,OP-B-007,ST-B-09,0.5057,high
BASM-01698,0.018,1.397,0.0493,OP-B-050,ST-B-16,0.2846,medium
BASM-01699,0.0132,1.297,0.0627,OP-B-020,ST-B-06,0.2751,medium
BASM-01700,0.0014,1.245,0.0149,OP-B-013,ST-B-20,0.3167,medium
BASM-01701,0.0125,0.725,0.0163,OP-B-033,ST-B-04,0.216,low
BASM-01702,0.0014,1.031,0.0375,OP-B-020,ST-B-09,0.2601,medium
BASM-01703,0.0163,0.658,0.068,OP-B-050,ST-B-06,0.2281,low
BASM-01704,0.0257,1.049,0.0682,OP-B-033,ST-B-18,0.2201,low
BASM-01705,0.0214,1.185,0.0348,OP-B-107,ST-B-13,0.2284,low
BASM-01706,0.0077,1.008,0.073,OP-B-004,ST-B-08,0.3796,medium
BASM-01707,0.0195,1.178,0.0437,OP-B-034,ST-B-09,0.149,low
BASM-01708,0.0175,0.443,0.023,OP-B-140,ST-B-17,0.233,low
BASM-01709,0.0119,1.058,0.1505,OP-B-032,ST-B-28,0.3752,medium
BASM-01710,0.0089,0.787,0.0167,OP-B-107,ST-B-08,0.176,low
BASM-01711,0.0227,0.923,0.0091,OP-B-045,ST-B-10,0.0752,low
BASM-01712,0.015,0.821,0.0983,OP-B-086,ST-B-16,0.3036,medium
BASM-01713,0.0257,0.67,0.0168,OP-B-100,ST-B-16,0.2853,medium
BASM-01714,0.017,0.91,0.0703,OP-B-119,ST-B-14,0.2069,low
BASM-01715,0.0213,1.494,0.0384,OP-B-065,ST-B-09,0.2443,low
BASM-01716,0.009,0.612,0.0263,OP-B-110,ST-B-02,0.3708,medium
BASM-01717,0.0126,0.981,0.0516,OP-B-024,ST-B-23,0.1846,low
BASM-01718,0.0111,0.672,0.0266,OP-B-069,ST-B-11,0.2894,medium
BASM-01719,0.0216,1.528,0.0499,OP-B-136,ST-B-20,0.3647,medium
BASM-01720,0.0136,1.15,0.044,OP-B-076,ST-B-08,0.2061,low
BASM-01721,0.0181,1.159,0.0324,OP-B-077,ST-B-23,0.0811,low
BASM-01722,0.021,1.324,0.1272,OP-B-065,ST-B-03,0.4628,medium
BASM-01723,0.0198,0.937,0.1611,OP-B-059,ST-B-26,0.3685,medium
BASM-01724,0.0183,0.752,0.0267,OP-B-018,ST-B-24,0.1479,low
BASM-01725,0.0316,1.269,0.1046,OP-B-041,ST-B-28,0.5299,high
BASM-01726,0.0238,1.355,0.0683,OP-B-012,ST-B-21,0.3526,medium
BASM-01727,0.0225,1.005,0.0327,OP-B-056,ST-B-27,0.1593,low
BASM-01728,0.0114,0.903,0.0942,OP-B-049,ST-B-04,0.2901,medium
BASM-01729,0.0302,0.83,0.0458,OP-B-002,ST-B-15,0.2947,medium
BASM-01730,0.0128,1.169,0.0235,OP-B-117,ST-B-08,0.1392,low
BASM-01731,0.0284,1.018,0.045,OP-B-126,ST-B-16,0.2227,low
BASM-01732,0.0245,1.219,0.0224,OP-B-049,ST-B-08,0.2629,medium
BASM-01733,0.0136,0.963,0.0126,OP-B-003,ST-B-23,0.0899,low
BASM-01734,0.0129,1.491,0.0405,OP-B-101,ST-B-04,0.3706,medium
BASM-01735,0.0179,1.037,0.0947,OP-B-130,ST-B-13,0.2577,medium
BASM-01736,0.0154,0.987,0.0751,OP-B-135,ST-B-20,0.2346,low
BASM-01737,0.0036,0.983,0.0128,OP-B-078,ST-B-04,0.1529,low
BASM-01738,0.0271,1.66,0.0459,OP-B-027,ST-B-05,0.4455,medium
BASM-01739,0.0127,1.101,0.0784,OP-B-118,ST-B-18,0.296,medium
BASM-01740,0.0227,1.348,0.1045,OP-B-034,ST-B-09,0.4355,medium
BASM-01741,0.0126,1.077,0.0231,OP-B-095,ST-B-08,0.1449,low
BASM-01742,-0.0018,1.65,0.082,OP-B-126,ST-B-14,0.6441,high
BASM-01743,0.0196,1.26,0.089,OP-B-085,ST-B-06,0.2676,medium
BASM-01744,0.0221,0.461,0.0208,OP-B-100,ST-B-29,0.2756,medium
BASM-01745,0.0012,1.224,0.1351,OP-B-051,ST-B-10,0.5523,high
