inspection_id,vibration_rms,kurtosis,temperature,hardness_check,roundness_check,inspection_result,inspection_risk_score,inspection_risk_level
BINSP-01717,0.9876,4.2652,50.31,59.87,2.258,pass,0.2018,low
BINSP-01718,0.7307,4.3697,49.09,61.27,2.705,pass,0.1738,low
BINSP-01719,0.6636,4.7449,43.08,57.59,2.549,pass,0.2015,low
BINSP-01720,1.1508,4.2757,49.29,63.71,0.708,pass,0.2152,low
BINSP-01721,1.0791,4.3942,51.75,59.74,2.455,pass,0.22,low
BINSP-01722,1.0719,5.9128,51.15,59.86,2.702,pass,0.249,low
BINSP-01723,0.891,3.9523,49.84,60.27,2.931,pass,0.1891,low
BINSP-01724,0.5942,3.6147,50.19,65.32,2.611,pass,0.2123,low
BINSP-01725,0.8595,4.6216,52.94,59.89,3.532,pass,0.2236,low
BINSP-01726,0.6282,3.7904,50.69,64.83,3.204,pass,0.2197,low
BINSP-01727,1.065,4.9981,49.03,62.45,2.781,pass,0.2286,low
BINSP-01728,1.0407,5.3489,54.25,59.3,2.561,pass,0.2526,medium
BINSP-01729,0.6697,4.3971,52.99,58.09,1.468,pass,0.2079,low
BINSP-01730,0.8942,4.4892,50.05,61.25,2.799,pass,0.1919,low
BINSP-01731,0.5831,2.7785,51.11,63.74,1.968,pass,0.1665,low
BINSP-01732,1.1559,3.9607,44.76,65.48,3.074,pass,0.2489,low
BINSP-01733,1.097,6.4902,51.37,58.71,2.387,pass,0.2766,medium
BINSP-01734,1.1428,5.1841,54.34,63.53,2.632,pass,0.2703,medium
BINSP-01735,1.2135,5.6862,51.62,57.12,2.953,pass,0.3003,medium
BINSP-01736,1.116,3.4515,49.11,60.32,3.21,pass,0.1952,low
BINSP-01737,0.5485,3.7397,47.36,62.8,1.41,pass,0.1497,low
BINSP-01738,0.7125,4.1761,53.71,61.69,2.919,pass,0.1932,low
BINSP-01739,1.2175,5.1772,54.35,61.85,3.273,pass,0.2581,medium
BINSP-01740,0.7662,3.462,47.22,60.3,2.436,pass,0.155,low
BINSP-01741,0.6033,5.5337,45.45,62.1,1.766,pass,0.1769,low
BINSP-01742,1.1303,5.9842,55.54,60.13,3.006,pass,0.2691,medium
BINSP-01743,1.0117,5.6907,53.74,61.16,3.793,pass,0.2474,low
BINSP-01744,0.9006,5.3207,50.28,63.1,2.65,pass,0.2357,low
BINSP-01745,0.6654,5.2774,50.26,60.61,2.515,pass,0.1907,low
BINSP-01746,1.0414,4.7016,44.38,62.05,2.207,pass,0.1924,low
BINSP-01747,0.7565,4.6367,49.29,62.33,2.977,pass,0.2008,low
BINSP-01748,1.1786,3.3589,47.96,60.52,3.472,pass,0.194,low
BINSP-01749,0.6179,4.6995,49.47,60.75,3.127,pass,0.1784,low
BINSP-01750,1.1577,4.6003,46.11,64.74,1.638,pass,0.2381,low
BINSP-01751,0.8648,4.8672,45.48,58.36,4.106,pass,0.2334,low
BINSP-01752,0.9745,3.7489,50.47,61.17,4.329,pass,0.2014,low
BINSP-01753,0.7844,5.5636,48.73,60.68,3.179,pass,0.2067,low
BINSP-01754,0.5168,3.6192,42.69,57.4,3.409,pass,0.1802,low
BINSP-01755,1.0349,5.3878,52.3,58.82,4.235,pass,0.2737,medium
BINSP-01756,0.611,4.1948,43.92,59.67,2.768,pass,0.161,low
BINSP-01757,0.3536,4.0272,52.11,60.34,0.839,pass,0.1337,low
BINSP-01758,0.6178,4.1705,48.03,61.69,3.131,pass,0.1697,low
BINSP-01759,0.932,5.5047,54.34,61.39,2.058,pass,0.2226,low
BINSP-01760,0.803,4.4571,51.91,61.59,4.645,pass,0.2183,low
BINSP-01761,0.9718,5.5598,51.24,62.66,2.275,pass,0.2377,low
BINSP-01762,0.5614,5.761,50.19,55.99,3.242,pass,0.2708,medium
BINSP-01763,0.601,3.6702,47.59,58.26,2.268,pass,0.1773,low
BINSP-01764,0.957,3.7322,48.04,66.2,3.737,pass,0.26,medium
BINSP-01765,1.2407,4.9532,49.09,63.39,1.741,pass,0.2422,low
BINSP-01766,0.6313,4.0599,50.05,58.62,2.255,pass,0.19,low
BINSP-01767,0.8755,4.189,44.12,60.72,2.554,pass,0.1621,low
BINSP-01768,0.6025,2.8782,50.17,60.97,1.598,pass,0.1215,low
BINSP-01769,0.7439,4.6265,46.65,63.58,1.343,pass,0.19,low
BINSP-01770,0.7973,3.4877,46.22,59.94,3.773,pass,0.1758,low
BINSP-01771,0.6489,3.9789,47.15,59.76,2.388,pass,0.1643,low
BINSP-01772,1.2229,4.6215,49.55,60.99,3.453,pass,0.2206,low
BINSP-01773,0.9158,3.9939,51.7,61.17,1.532,pass,0.1727,low
BINSP-01774,1.0962,3.6508,46.69,61.19,3.656,pass,0.1876,low
BINSP-01775,0.8821,4.3923,45.4,60.45,2.631,pass,0.1759,low
BINSP-01776,1.025,5.3061,47.12,60.61,2.146,pass,0.2019,low
BINSP-01777,0.8808,4.2396,49.74,64.91,2.714,pass,0.2388,low
BINSP-01778,0.7826,4.9568,51.79,63.83,1.363,pass,0.2207,low
BINSP-01779,1.2692,5.6035,54.5,63.39,4.918,pass,0.3136,medium
BINSP-01780,0.8002,4.0225,49.25,56.58,3.176,pass,0.2402,low
BINSP-01781,0.8499,4.3854,47.7,63.47,3.015,pass,0.2147,low
BINSP-01782,1.0148,4.4852,52.96,64.22,2.794,pass,0.2549,medium
BINSP-01783,1.0077,4.7429,58.84,55.39,4.153,pass,0.3315,medium
BINSP-01784,1.3723,5.2007,54.34,62.09,1.474,pass,0.2515,medium
BINSP-01785,0.9357,3.175,48.11,59.04,3.506,pass,0.1962,low
BINSP-01786,1.0578,3.4712,48.28,60.53,3.711,pass,0.1916,low
BINSP-01787,1.1626,4.4447,46.86,64.56,4.195,pass,0.2658,medium
BINSP-01788,0.6973,4.1442,48.67,61.27,3.476,pass,0.1747,low
BINSP-01789,0.931,3.8609,48.05,62.74,2.678,pass,0.1962,low
BINSP-01790,0.6813,3.7134,50.49,60.92,2.466,pass,0.1562,low
BINSP-01791,1.0539,4.7686,48.34,63.74,2.174,pass,0.233,low
BINSP-01792,0.8517,3.8553,50.9,63.54,3.415,pass,0.2209,low
BINSP-01793,0.7808,4.3992,49.32,62.16,2.853,pass,0.1939,low
BINSP-01794,0.8127,2.3,48.52,61.01,2.416,pass,0.1289,low
BINSP-01795,0.9227,4.0646,53.81,60.13,3.414,pass,0.2149,low
BINSP-01796,0.9881,4.19,55.83,59.55,2.322,pass,0.2245,low
BINSP-01797,1.0397,4.6356,53.21,56.32,2.94,pass,0.2841,medium
BINSP-01798,0.8719,3.5102,45.13,60.05,2.535,pass,0.1615,low
BINSP-01799,0.944,3.4775,49.91,64.2,1.951,pass,0.2088,low
BINSP-01800,1.0439,4.929,51.3,64.27,4.275,pass,0.2787,medium
BINSP-01801,0.7982,4.4191,49.7,63.48,3.055,pass,0.219,low
BINSP-01802,0.9919,5.6685,49.9,56.97,2.583,pass,0.2762,medium
BINSP-01803,0.9065,5.3589,51.36,60.96,2.698,pass,0.2103,low
BINSP-01804,1.1329,4.6096,49.71,59.34,3.625,pass,0.2413,low
BINSP-01805,1.0216,4.7372,56.65,58.42,3.753,pass,0.2747,medium
BINSP-01806,1.0937,5.8963,55.22,59.28,3.547,pass,0.2828,medium
BINSP-01807,0.7271,3.8444,40.52,58.29,2.68,pass,0.1703,low
BINSP-01808,0.8948,4.7975,53.6,58.12,2.673,pass,0.2481,low
BINSP-01809,0.8045,3.5144,48.25,60.34,2.835,pass,0.1665,low
BINSP-01810,0.8238,4.8301,50.9,62.31,3.065,pass,0.2157,low
BINSP-01811,0.6196,3.916,47.17,60.8,2.208,pass,0.1433,low
BINSP-01812,0.8627,3.8559,55.22,59.96,3.608,pass,0.216,low
BINSP-01813,0.7135,5.5311,45.18,63.28,2.001,pass,0.2043,low
BINSP-01814,0.8023,3.0872,47.63,61.29,1.93,pass,0.1394,low
BINSP-01815,1.0361,5.27,47.73,59.14,2.241,pass,0.2274,low
BINSP-01816,1.3057,4.1038,50.9,55.46,3.707,pass,0.3068,medium
BINSP-01817,0.527,3.1521,48.68,62.92,3.384,pass,0.1664,low
BINSP-01818,0.5308,3.9832,47.9,56.99,3.954,pass,0.2188,low
BINSP-01819,0.7153,4.3628,45.67,63.29,3.071,pass,0.1956,low
BINSP-01820,1.0706,4.5827,54.83,59.17,2.537,pass,0.2432,low
BINSP-01821,0.962,5.7742,46.73,58.6,3.828,pass,0.2558,medium
BINSP-01822,0.8396,4.202,50.76,64.58,3.798,pass,0.2467,low
BINSP-01823,0.5245,4.0174,42.43,61.43,2.605,pass,0.1307,low
BINSP-01824,0.8451,3.8594,52.81,59.31,3.892,pass,0.2198,low
BINSP-01825,0.8411,4.7729,45.54,58.24,2.694,pass,0.2149,low
BINSP-01826,0.6279,3.9774,49.66,57.74,2.587,pass,0.204,low
BINSP-01827,0.4264,3.8358,47.25,66.05,2.817,pass,0.2082,low
BINSP-01828,0.994,4.234,60.06,59.49,3.181,pass,0.2513,medium
BINSP-01829,1.0675,5.7025,53.94,61.46,3.091,pass,0.2484,low
BINSP-01830,0.6181,3.7696,44.85,63.13,2.179,pass,0.161,low
BINSP-01831,0.6557,3.8047,45.64,62.78,1.773,pass,0.1569,low
BINSP-01832,0.7793,4.5274,44.97,61.35,2.648,pass,0.1669,low
BINSP-01833,1.1413,6.0366,52.59,64.3,2.304,pass,0.2889,medium
BINSP-01834,0.7917,5.0471,52.02,58.98,3.05,pass,0.232,low
BINSP-01835,0.676,3.9752,46.93,61.25,2.606,pass,0.1532,low
BINSP-01836,0.5799,3.5556,49.88,60.59,2.333,pass,0.1471,low
BINSP-01837,0.7145,4.6011,46.2,57.98,2.596,pass,0.2075,low
BINSP-01838,0.9236,5.2299,46.51,63.78,2.068,pass,0.226,low
BINSP-01839,0.9155,5.488,47.54,58.79,3.281,pass,0.2401,low
BINSP-01840,0.2354,3.5824,50.54,61.99,2.942,pass,0.1412,low
BINSP-01841,1.043,4.4384,50.11,61.02,3.702,pass,0.2091,low
BINSP-01842,0.9293,6.1507,50.03,59.19,3.475,pass,0.259,medium
BINSP-01843,0.9999,5.5071,55.41,60.86,3.928,pass,0.2499,low
BINSP-01844,1.1226,2.4375,48.43,59.08,3.418,pass,0.1942,low
BINSP-01845,0.9689,4.7377,50.26,60.37,1.682,pass,0.1953,low
BINSP-01846,0.801,4.4238,52.9,63.46,3.063,pass,0.23,low
BINSP-01847,0.7599,5.1898,54.79,63.26,2.942,pass,0.2443,low
BINSP-01848,1.1159,5.6498,52.05,60.44,3.447,pass,0.2502,medium
BINSP-01849,0.7908,4.5339,47.03,62.85,2.777,pass,0.199,low
BINSP-01850,0.9745,4.4596,53.9,62.28,1.986,pass,0.2158,low
BINSP-01851,0.8778,4.6695,46.29,60.52,3.081,pass,0.1885,low
BINSP-01852,0.7652,4.7336,54.08,61.11,0.636,pass,0.1731,low
BINSP-01853,1.0963,4.6413,51.05,62.45,3.098,pass,0.2344,low
BINSP-01854,0.8114,5.4436,48.94,58.14,2.115,pass,0.2322,low
BINSP-01855,0.6416,3.2766,54.14,62.26,1.07,pass,0.1578,low
BINSP-01856,0.819,5.1245,42.59,59.49,1.725,pass,0.1799,low
BINSP-01857,0.8397,3.6241,50.23,58.32,2.702,pass,0.2067,low
BINSP-01858,1.0753,4.5279,48.96,64.71,2.762,pass,0.2535,medium
BINSP-01859,1.1994,6.3444,50.31,56.55,2.651,pass,0.3129,medium
BINSP-01860,0.7637,4.2231,52.09,62.71,3.364,pass,0.2128,low
BINSP-01861,0.4248,3.5918,44.01,62.43,1.962,pass,0.1276,low
BINSP-01862,1.0145,4.7771,52.23,65.71,3.778,pass,0.2924,medium
BINSP-01863,0.5529,4.5464,46.37,60.56,2.577,pass,0.1564,low
BINSP-01864,0.8613,5.9831,53.79,57.72,3.167,pass,0.2821,medium
BINSP-01865,0.8013,3.8751,53.88,62.89,1.802,pass,0.1986,low
BINSP-01866,0.9006,4.5246,51.98,62.45,2.927,pass,0.2192,low
BINSP-01867,0.8639,3.337,48.19,60.91,2.329,pass,0.1524,low
BINSP-01868,1.0599,4.8091,54.28,61.58,1.271,pass,0.2111,low
BINSP-01869,0.6945,4.197,50.94,61.56,1.18,pass,0.1601,low
BINSP-01870,1.3442,4.9947,51.41,59.59,2.668,pass,0.2546,medium
BINSP-01871,0.9483,3.1742,45.29,60.22,3.009,pass,0.1638,low
BINSP-01872,0.5662,3.6449,50.73,59.36,2.44,pass,0.1704,low
BINSP-01873,0.8632,5.4123,45.67,62.19,2.508,pass,0.204,low
BINSP-01874,1.0656,4.638,49.34,59.53,4.244,pass,0.2403,low
BINSP-01875,0.7611,4.3226,52.47,64.76,2.032,pass,0.2307,low
BINSP-01876,0.6946,2.9685,43.29,58.33,1.89,pass,0.1497,low
BINSP-01877,0.7174,5.3359,56.66,59.07,2.355,pass,0.2385,low
BINSP-01878,0.9377,5.0167,52.52,61.3,2.888,pass,0.2158,low
BINSP-01879,1.2994,5.1814,59.98,61.35,4.224,pass,0.2869,medium
BINSP-01880,0.9441,5.2432,53.05,58.79,1.949,pass,0.24,low
BINSP-01881,0.67,4.9994,52.75,58.71,3.664,pass,0.2363,low
BINSP-01882,0.6866,3.6633,47.55,60.95,2.311,pass,0.1433,low
BINSP-01883,1.0808,5.38,48.48,60.13,3.325,pass,0.2334,low
BINSP-01884,0.8156,2.4898,47.99,61.33,1.986,pass,0.1308,low
BINSP-01885,1.1625,4.0879,52.46,61.04,2.858,pass,0.2088,low
BINSP-01886,1.0797,3.5226,48.21,63.45,3.18,pass,0.2171,low
BINSP-01887,0.8398,4.7507,50.5,67.26,1.813,pass,0.2731,medium
BINSP-01888,1.0033,5.6782,53.05,58.23,3.206,pass,0.2763,medium
BINSP-01889,0.7817,4.3328,48.37,60.85,1.728,pass,0.1608,low
BINSP-01890,0.7619,4.868,53.46,62.46,1.994,pass,0.2101,low
BINSP-01891,0.8,3.9168,50.26,62.18,3.08,pass,0.1919,low
BINSP-01892,1.0628,4.3513,53.21,57.27,3.467,pass,0.2722,medium
BINSP-01893,0.5884,3.0234,45.32,59.93,3.765,pass,0.1487,low
BINSP-01894,0.7384,3.0918,39.67,61.25,1.64,pass,0.1038,low
BINSP-01895,1.0538,5.4569,52.34,57.8,4.195,pass,0.2914,medium
BINSP-01896,1.1841,5.9162,50.32,61.53,1.72,pass,0.2333,low
BINSP-01897,0.6021,4.0168,45.11,59.71,1.999,pass,0.1509,low
BINSP-01898,1.1023,4.2124,52.97,62.45,3.655,pass,0.2394,low
BINSP-01899,1.07,4.9782,43.5,58.64,3.636,pass,0.2338,low
BINSP-01900,0.8285,4.6254,51.57,61.8,3.967,pass,0.2174,low
BINSP-01901,0.9179,4.0712,45.22,63.43,4.568,pass,0.2228,low
BINSP-01902,0.9572,4.1774,45.09,61.79,1.768,pass,0.1691,low
BINSP-01903,0.8901,5.7188,54.11,64.7,2.006,pass,0.2722,medium
BINSP-01904,0.7856,4.3011,48.83,60.13,1.731,pass,0.1728,low
BINSP-01905,0.8276,4.0548,49.3,61.54,2.73,pass,0.1794,low
BINSP-01906,0.9856,3.9171,53.9,57.67,2.47,pass,0.2422,low
BINSP-01907,1.1384,5.7449,50.7,59.58,3.023,pass,0.257,medium
BINSP-01908,0.8911,4.8958,50.01,63.15,3.407,pass,0.2354,low
BINSP-01909,1.2087,5.1477,57.33,61.44,3.855,pass,0.2677,medium
BINSP-01910,1.4837,5.4558,56.63,61.37,4.466,pass,0.2975,medium
BINSP-01911,0.7497,4.4584,44.36,57.92,3.049,pass,0.2071,low
BINSP-01912,1.2463,3.8074,58.78,60.9,3.687,pass,0.2414,low
BINSP-01913,1.0725,6.063,50.04,60.52,4.845,pass,0.2641,medium
BINSP-01914,0.823,5.4037,44.04,62.43,1.689,pass,0.1892,low
BINSP-01915,1.0284,3.3652,52.54,61.74,2.813,pass,0.195,low
BINSP-01916,1.3559,6.3421,59.64,61.73,1.739,pass,0.289,medium
BINSP-01917,0.9363,4.1577,53.27,55.38,2.322,pass,0.274,medium
BINSP-01918,0.6601,4.0788,48.87,62.51,2.98,pass,0.1841,low
BINSP-01919,0.6976,4.726,48.68,61.06,2.822,pass,0.1755,low
BINSP-01920,0.8552,4.7715,50.74,60.67,4.326,pass,0.2166,low
BINSP-01921,0.8141,4.9349,53.85,61.17,3.281,pass,0.2125,low
BINSP-01922,0.5793,3.9369,50.1,60.72,2.508,pass,0.1555,low
BINSP-01923,0.8463,4.627,53.69,61.63,3.964,pass,0.2233,low
BINSP-01924,1.2746,4.6255,48.31,57.63,2.532,pass,0.2596,medium
BINSP-01925,1.2529,4.7548,49.52,60.32,2.955,pass,0.2293,low
BINSP-01926,0.6665,5.9019,50.11,63.13,1.879,pass,0.2213,low
BINSP-01927,1.0009,4.6779,50.86,62.91,2.963,pass,0.2329,low
BINSP-01928,1.3307,6.2186,55.69,60.71,3.466,pass,0.2854,medium
BINSP-01929,0.7072,4.8225,48.76,61.84,2.071,pass,0.181,low
BINSP-01930,1.0456,5.3366,48.61,62.0,3.06,pass,0.2291,low
BINSP-01931,0.9656,5.8048,56.05,62.96,4.189,pass,0.286,medium
BINSP-01932,0.7514,5.1418,49.78,58.12,2.791,pass,0.2332,low
BINSP-01933,1.0121,4.6358,45.17,58.9,2.592,pass,0.212,low
BINSP-01934,0.9963,4.8046,52.14,62.21,3.618,pass,0.2369,low
BINSP-01935,1.1499,5.815,50.18,58.34,1.988,pass,0.2635,medium
BINSP-01936,1.0673,5.1089,54.59,60.48,1.931,pass,0.2257,low
BINSP-01937,0.534,4.7123,50.95,61.86,2.466,pass,0.1789,low
BINSP-01938,1.1575,5.6179,53.28,58.77,1.782,pass,0.2618,medium
BINSP-01939,0.688,4.976,54.48,61.41,2.997,pass,0.2067,low
BINSP-01940,1.0496,3.2414,49.58,57.79,2.884,pass,0.2218,low
BINSP-01941,1.1387,5.2274,47.61,62.7,4.028,pass,0.2525,medium
BINSP-01942,1.0528,3.6338,47.26,60.11,2.789,pass,0.1862,low
BINSP-01943,1.1787,4.6945,52.66,59.12,3.73,pass,0.2608,medium
BINSP-01944,0.9567,4.2314,46.62,60.19,1.895,pass,0.1771,low
BINSP-01945,0.7492,5.1117,45.08,59.73,3.88,pass,0.2055,low
BINSP-01946,0.8446,5.3083,52.92,61.24,3.404,pass,0.2216,low
BINSP-01947,1.2149,4.6418,52.39,60.6,4.12,pass,0.2439,low
BINSP-01948,0.709,4.8799,50.96,60.84,2.793,pass,0.1882,low
BINSP-01949,0.8715,3.8098,47.27,63.02,2.595,pass,0.1915,low
BINSP-01950,0.7907,4.1444,53.7,61.36,2.578,pass,0.1889,low
BINSP-01951,0.8966,5.0549,47.32,62.41,2.414,pass,0.2069,low
BINSP-01952,0.767,3.5503,46.45,63.34,2.396,pass,0.1784,low
BINSP-01953,1.018,3.3224,47.74,62.36,4.267,pass,0.2039,low
BINSP-01954,0.7167,4.1949,53.75,59.97,1.583,pass,0.183,low
BINSP-01955,1.1025,3.6249,49.63,61.23,2.92,pass,0.1893,low
BINSP-01956,0.8885,4.4754,48.91,61.11,2.594,pass,0.1828,low
BINSP-01957,0.7049,5.1936,46.58,63.68,3.015,pass,0.2198,low
BINSP-01958,0.7889,4.8716,49.43,59.03,3.142,pass,0.2199,low
BINSP-01959,0.6892,2.7226,48.67,62.75,2.434,pass,0.1554,low
BINSP-01960,0.9211,4.2321,47.0,62.27,1.149,pass,0.1738,low
BINSP-01961,0.7578,4.7354,51.43,60.35,2.736,pass,0.197,low
BINSP-01962,0.9475,4.0893,48.82,60.54,2.02,pass,0.1773,low
BINSP-01963,0.9576,3.9278,47.28,58.9,2.476,pass,0.1998,low
BINSP-01964,0.8839,3.8551,48.88,58.07,1.836,pass,0.2033,low
BINSP-01965,0.7262,4.4168,48.0,59.89,2.39,pass,0.1795,low
BINSP-01966,0.888,3.5691,50.7,59.2,2.778,pass,0.1983,low
BINSP-01967,0.3882,5.0365,50.22,64.35,1.816,pass,0.202,low
BINSP-01968,0.6704,5.3035,48.58,59.38,2.333,pass,0.2022,low
BINSP-01969,1.1852,4.9445,50.98,61.29,3.786,pass,0.2374,low
BINSP-01970,0.8923,4.2133,48.24,62.57,2.973,pass,0.2021,low
BINSP-01971,0.7888,3.5335,46.3,61.18,1.99,pass,0.1418,low
BINSP-01972,1.0852,3.7302,49.49,60.27,3.476,pass,0.2039,low
BINSP-01973,1.0296,4.6278,54.8,62.14,3.449,pass,0.2416,low
BINSP-01974,0.5389,4.3982,46.71,60.61,0.281,pass,0.1253,low
BINSP-01975,1.1367,5.1308,46.79,64.61,1.751,pass,0.2489,low
BINSP-01976,0.9908,5.7343,52.12,63.68,3.487,pass,0.2754,medium
BINSP-01977,0.8743,4.5343,50.28,56.21,3.187,pass,0.2649,medium
BINSP-01978,0.9741,5.048,52.32,62.54,2.893,pass,0.237,low
BINSP-01979,0.8397,4.689,51.49,59.27,1.655,pass,0.2053,low
BINSP-01980,1.0236,4.8932,51.53,59.81,3.345,pass,0.2349,low
BINSP-01981,0.9847,3.5491,50.97,61.26,3.629,pass,0.1928,low
BINSP-01982,0.8659,3.3509,51.67,61.71,3.736,pass,0.1908,low
BINSP-01983,0.7506,5.5447,43.3,58.46,1.851,pass,0.2029,low
BINSP-01984,1.1833,4.0345,55.53,60.62,2.584,pass,0.2214,low
BINSP-01985,0.5951,5.2137,53.52,57.31,1.728,pass,0.2355,low
BINSP-01986,0.7974,4.4417,52.93,62.54,3.031,pass,0.216,low
BINSP-01987,0.7834,4.4143,55.05,64.08,3.149,pass,0.2461,low
BINSP-01988,0.5603,2.9441,48.66,61.43,2.902,pass,0.1364,low
BINSP-01989,0.7724,4.6741,52.95,63.24,2.235,pass,0.2197,low
BINSP-01990,1.0797,4.8542,57.04,58.09,2.904,pass,0.2772,medium
BINSP-01991,1.0791,5.6248,53.15,58.89,2.891,pass,0.2674,medium
BINSP-01992,0.7924,3.8029,45.17,59.3,3.094,pass,0.1797,low
BINSP-01993,1.1208,5.4964,53.55,59.23,2.167,pass,0.2554,medium
BINSP-01994,1.1657,5.562,53.61,60.04,1.775,pass,0.2433,low
BINSP-01995,0.8239,4.1717,51.48,61.23,3.433,pass,0.1927,low
BINSP-01996,0.6243,3.9666,49.51,63.85,2.977,pass,0.2015,low
BINSP-01997,0.9908,5.0056,52.11,60.46,3.292,pass,0.2264,low
BINSP-01998,0.9103,5.5941,47.38,57.87,3.714,pass,0.2603,medium
BINSP-01999,0.6842,3.9026,50.18,62.87,2.559,pass,0.187,low
BINSP-02000,0.5953,4.7182,44.42,60.82,3.208,pass,0.1599,low
BINSP-02001,0.9655,3.6394,47.96,63.22,2.302,pass,0.1965,low
BINSP-02002,0.8283,4.88,51.22,58.49,3.096,pass,0.2365,low
BINSP-02003,1.049,4.2264,50.98,57.83,1.272,pass,0.2264,low
BINSP-02004,0.6862,4.7076,46.48,61.94,0.863,pass,0.1565,low
BINSP-02005,1.3296,5.5841,52.71,59.81,4.141,pass,0.2841,medium
BINSP-02006,0.867,4.0372,51.21,57.42,2.458,pass,0.2307,low
BINSP-02007,1.162,2.6264,47.14,65.88,1.804,pass,0.2214,low
BINSP-02008,1.1211,5.6137,48.25,58.17,3.142,pass,0.2674,medium
BINSP-02009,0.701,3.7177,48.87,56.77,3.89,pass,0.2316,low
BINSP-02010,0.8305,5.2198,53.5,62.18,2.342,pass,0.2221,low
BINSP-02011,1.2614,4.5092,54.18,60.54,3.648,pass,0.246,low
BINSP-02012,0.8557,4.1426,44.25,61.61,2.942,pass,0.1697,low
BINSP-02013,0.7598,4.0422,47.26,61.47,2.103,pass,0.1589,low
BINSP-02014,1.1419,4.8283,55.03,60.83,3.392,pass,0.2392,low
BINSP-02015,0.8795,4.733,44.15,62.41,2.245,pass,0.1866,low
BINSP-02016,1.16,4.5152,50.38,61.71,2.776,pass,0.2192,low
BINSP-02017,0.7621,4.7789,43.66,63.38,2.375,pass,0.1935,low
BINSP-02018,0.4781,4.5057,47.33,60.66,3.381,pass,0.1616,low
BINSP-02019,0.8894,5.432,55.58,67.09,1.988,pass,0.3071,medium
BINSP-02020,1.0514,4.738,48.74,61.27,2.546,pass,0.2009,low
BINSP-02021,0.7284,5.6569,55.73,59.88,3.02,pass,0.2383,low
BINSP-02022,1.1433,3.8789,54.82,63.93,3.608,pass,0.2636,medium
BINSP-02023,0.7976,5.7319,53.09,58.01,2.281,pass,0.2551,medium
BINSP-02024,1.0093,5.8846,56.8,59.5,2.767,pass,0.2692,medium
BINSP-02025,0.5148,5.2377,52.34,63.52,3.233,pass,0.2268,low
BINSP-02026,1.1713,3.8189,46.14,61.61,3.308,pass,0.1966,low
BINSP-02027,0.6734,3.5356,51.56,60.87,1.925,pass,0.1499,low
BINSP-02028,0.8227,4.2816,56.62,60.83,3.374,pass,0.2107,low
BINSP-02029,1.0105,3.5765,48.38,63.91,3.109,pass,0.2199,low
BINSP-02030,0.6697,4.5206,55.89,63.43,3.151,pass,0.2332,low
BINSP-02031,0.7438,3.2977,52.42,60.41,1.316,pass,0.1527,low
BINSP-02032,1.0458,4.8046,51.61,57.29,2.806,pass,0.2663,medium
BINSP-02033,1.1005,4.3954,51.37,55.18,4.113,pass,0.3087,medium
BINSP-02034,0.9693,4.7024,47.6,64.11,1.702,pass,0.2229,low
BINSP-02035,0.8452,4.6168,55.25,60.52,3.564,pass,0.2212,low
BINSP-02036,0.9561,4.7054,55.51,62.09,3.404,pass,0.239,low
BINSP-02037,1.0077,3.5783,48.51,65.06,2.375,pass,0.2286,low
BINSP-02038,0.9486,4.9548,48.94,63.17,1.266,pass,0.2118,low
BINSP-02039,0.8088,4.1023,45.89,63.26,2.548,pass,0.1912,low
BINSP-02040,0.756,5.015,43.35,59.28,1.559,pass,0.1771,low
BINSP-02041,0.5832,3.5824,48.7,58.75,2.824,pass,0.1772,low
BINSP-02042,0.8765,5.5133,48.41,62.94,1.282,pass,0.2127,low
BINSP-02043,0.7486,3.2261,43.36,61.58,2.283,pass,0.1324,low
BINSP-02044,0.8675,4.3444,42.01,58.6,3.688,pass,0.2028,low
BINSP-02045,0.6404,3.8507,49.19,62.69,3.777,pass,0.1915,low
BINSP-02046,1.1628,5.4384,57.5,59.11,3.487,pass,0.2881,medium
BINSP-02047,1.1365,4.618,51.69,59.7,2.661,pass,0.2315,low
BINSP-02048,0.819,2.9872,48.33,60.58,2.893,pass,0.1544,low
BINSP-02049,1.0229,3.8595,56.47,60.92,1.816,pass,0.1959,low
BINSP-02050,0.9756,3.5326,51.14,60.23,2.441,pass,0.1858,low
BINSP-02051,0.7924,6.0906,48.97,59.53,2.07,pass,0.2225,low
BINSP-02052,0.7234,3.4626,52.79,58.12,3.286,pass,0.2138,low
BINSP-02053,0.9686,3.8797,52.96,59.45,3.26,pass,0.2199,low
BINSP-02054,0.5326,4.1713,50.67,62.83,2.064,pass,0.1767,low
BINSP-02055,0.7178,4.7904,48.19,62.24,1.919,pass,0.1833,low
BINSP-02056,0.9046,4.6174,51.26,60.33,2.912,pass,0.207,low
BINSP-02057,0.8902,4.3205,51.47,60.12,3.542,pass,0.2114,low
BINSP-02058,0.7099,3.8447,41.47,59.7,2.51,pass,0.1491,low
BINSP-02059,1.0993,4.2106,49.77,60.73,1.965,pass,0.1904,low
BINSP-02060,0.8386,5.7965,47.05,59.15,2.752,pass,0.2274,low
BINSP-02061,0.9489,5.835,48.4,61.9,3.239,pass,0.2322,low
BINSP-02062,0.7236,4.8835,47.5,60.81,2.951,pass,0.1799,low
BINSP-02063,0.6733,4.1691,46.24,63.18,3.442,pass,0.1934,low
BINSP-02064,1.1985,4.7561,45.07,64.36,2.312,pass,0.243,low
BINSP-02065,1.0907,4.5842,50.37,61.47,3.336,pass,0.2187,low
