material_batch_id,material_grade,supplier_id,hardness,aging_level,corrosion_resistance,material_risk_score,material_risk_level
HMAT-00345,304,HSUP-024,56.65,0.4252,0.8585,0.2746,medium
HMAT-00346,316L,HSUP-032,64.67,0.5265,0.6886,0.414,medium
HMAT-00347,40Cr,HSUP-031,55.78,0.3398,0.6492,0.2728,medium
HMAT-00348,35CrMo,HSUP-055,57.31,0.1643,0.6894,0.1983,low
HMAT-00349,316L,HSUP-020,56.47,0.083,0.8663,0.0517,low
HMAT-00350,35CrMo,HSUP-017,62.63,0.4494,0.5791,0.4332,medium
HMAT-00351,NBR,HSUP-017,56.84,0.3314,0.5124,0.3733,medium
HMAT-00352,40Cr,HSUP-056,66.98,0.0718,0.5866,0.2991,medium
HMAT-00353,316L,HSUP-075,60.31,0.1918,0.7604,0.1739,low
HMAT-00354,304,HSUP-029,58.79,0.2146,0.7847,0.1451,low
HMAT-00355,304,HSUP-067,53.57,0.0919,0.8201,0.1448,low
HMAT-00356,FKM,HSUP-058,56.33,0.3661,0.7557,0.1887,low
HMAT-00357,316L,HSUP-036,53.3,0.3236,0.3733,0.421,medium
HMAT-00358,NBR,HSUP-011,58.52,0.0688,0.923,0.0682,low
HMAT-00359,35CrMo,HSUP-062,61.12,0.4568,0.6594,0.305,medium
HMAT-00360,NBR,HSUP-029,51.9,0.3466,0.62,0.288,medium
HMAT-00361,NBR,HSUP-013,56.46,0.6055,0.7524,0.358,medium
HMAT-00362,40Cr,HSUP-042,61.31,0.6712,0.5888,0.5082,high
HMAT-00363,FKM,HSUP-069,52.98,0.382,0.5691,0.3729,medium
HMAT-00364,40Cr,HSUP-057,59.67,0.3133,0.7756,0.2236,low
HMAT-00365,NBR,HSUP-079,57.22,0.2621,0.6074,0.2208,low
HMAT-00366,40Cr,HSUP-002,55.93,0.305,0.3013,0.4391,medium
HMAT-00367,316L,HSUP-010,53.72,0.014,0.9252,0.0792,low
HMAT-00368,FKM,HSUP-035,55.56,0.0935,0.6986,0.2305,low
HMAT-00369,FKM,HSUP-067,67.21,0.1431,0.9527,0.2296,low
HMAT-00370,FKM,HSUP-044,58.54,0.1484,0.7252,0.1419,low
HMAT-00371,NBR,HSUP-009,55.39,0.0675,0.862,0.1248,low
HMAT-00372,35CrMo,HSUP-071,61.71,0.1769,0.9263,0.1071,low
HMAT-00373,35CrMo,HSUP-006,63.98,0.4308,0.7891,0.3994,medium
HMAT-00374,FKM,HSUP-021,59.9,0.306,0.6187,0.2817,medium
HMAT-00375,304,HSUP-019,56.44,0.2539,0.7126,0.2368,low
HMAT-00376,NBR,HSUP-024,55.56,0.3235,0.5365,0.3003,medium
HMAT-00377,NBR,HSUP-004,55.32,0.2944,0.5156,0.3388,medium
HMAT-00378,FKM,HSUP-080,64.65,0.4461,0.4025,0.4524,medium
HMAT-00379,NBR,HSUP-050,51.31,0.5745,0.6855,0.4565,medium
HMAT-00380,NBR,HSUP-034,65.18,0.4383,0.7574,0.4056,medium
HMAT-00381,304,HSUP-022,59.88,0.2375,0.8555,0.086,low
HMAT-00382,NBR,HSUP-067,53.1,0.1995,0.8031,0.194,low
HMAT-00383,316L,HSUP-054,58.27,0.2532,0.7351,0.168,low
HMAT-00384,316L,HSUP-068,58.5,0.5086,0.7481,0.294,medium
HMAT-00385,316L,HSUP-076,55.9,0.1275,0.9609,0.0503,low
HMAT-00386,40Cr,HSUP-026,52.66,0.3432,0.9661,0.2036,low
HMAT-00387,316L,HSUP-049,55.21,0.3139,0.9112,0.2156,low
HMAT-00388,FKM,HSUP-013,61.2,0.1028,0.85,0.0988,low
HMAT-00389,35CrMo,HSUP-077,64.27,0.4428,0.8311,0.3834,medium
HMAT-00390,316L,HSUP-025,57.83,0.7566,0.5885,0.5251,high
HMAT-00391,35CrMo,HSUP-042,59.58,0.5404,0.7683,0.3628,medium
HMAT-00392,316L,HSUP-030,56.65,0.368,0.8259,0.149,low
HMAT-00393,304,HSUP-027,59.49,0.0909,0.5368,0.1791,low
HMAT-00394,40Cr,HSUP-064,57.37,0.616,0.7107,0.3979,medium
HMAT-00395,NBR,HSUP-038,49.78,0.2886,0.7921,0.3243,medium
HMAT-00396,35CrMo,HSUP-010,57.29,0.5228,0.5539,0.3803,medium
HMAT-00397,35CrMo,HSUP-001,58.29,0.4955,0.6504,0.3536,medium
HMAT-00398,316L,HSUP-005,54.97,0.2862,0.7072,0.2532,medium
HMAT-00399,NBR,HSUP-023,60.07,0.6211,0.6841,0.3814,medium
HMAT-00400,NBR,HSUP-068,54.86,0.4566,0.697,0.3161,medium
HMAT-00401,NBR,HSUP-062,62.51,0.2424,0.3966,0.3757,medium
HMAT-00402,NBR,HSUP-052,56.97,0.4755,0.573,0.3718,medium
HMAT-00403,35CrMo,HSUP-014,60.16,0.1032,0.7614,0.1483,low
HMAT-00404,35CrMo,HSUP-045,58.05,0.3812,0.7076,0.318,medium
HMAT-00405,FKM,HSUP-038,63.84,0.3874,0.6401,0.3634,medium
HMAT-00406,40Cr,HSUP-024,55.54,0.204,0.9255,0.1275,low
HMAT-00407,316L,HSUP-066,57.16,0.1935,0.7787,0.1904,low
HMAT-00408,40Cr,HSUP-014,51.83,0.1016,0.7667,0.1925,low
HMAT-00409,FKM,HSUP-022,49.84,0.0765,0.6789,0.3003,medium
HMAT-00410,40Cr,HSUP-049,56.35,0.0264,0.7868,0.1367,low
HMAT-00411,316L,HSUP-036,51.17,0.5949,0.7616,0.4069,medium
HMAT-00412,304,HSUP-049,57.68,0.3656,0.8836,0.1527,low
HMAT-00413,35CrMo,HSUP-027,56.51,0.6437,0.7262,0.3142,medium
HMAT-00414,NBR,HSUP-023,59.14,0.5281,0.7825,0.3228,medium
HMAT-00415,40Cr,HSUP-034,59.26,0.1827,0.502,0.2393,low
HMAT-00416,FKM,HSUP-067,61.56,0.3832,0.4751,0.395,medium
HMAT-00417,FKM,HSUP-011,59.14,0.1747,0.8938,0.0938,low
HMAT-00418,304,HSUP-013,65.16,0.4324,0.7288,0.4083,medium
HMAT-00419,304,HSUP-011,55.23,0.1501,0.7149,0.2394,low
HMAT-00420,NBR,HSUP-067,61.33,0.4857,0.7432,0.3485,medium
HMAT-00421,40Cr,HSUP-031,63.25,0.535,0.869,0.3555,medium
HMAT-00422,NBR,HSUP-064,65.3,0.4733,0.8245,0.3655,medium
HMAT-00423,35CrMo,HSUP-015,48.36,0.3258,0.7746,0.4161,medium
HMAT-00424,35CrMo,HSUP-055,63.57,0.4206,0.5984,0.4401,medium
HMAT-00425,35CrMo,HSUP-076,53.86,0.6268,0.5399,0.4704,medium
HMAT-00426,316L,HSUP-049,58.67,0.2448,0.6094,0.2245,low
HMAT-00427,40Cr,HSUP-027,60.92,0.3203,0.9484,0.188,low
HMAT-00428,NBR,HSUP-039,54.04,0.4747,0.8235,0.2775,medium
HMAT-00429,40Cr,HSUP-064,60.84,0.1007,0.6634,0.1728,low
HMAT-00430,FKM,HSUP-020,62.85,0.2354,0.909,0.2319,low
HMAT-00431,NBR,HSUP-022,56.38,0.2394,0.7757,0.2109,low
HMAT-00432,40Cr,HSUP-064,44.54,0.1497,0.8231,0.3297,medium
HMAT-00433,304,HSUP-030,55.34,0.2306,0.4849,0.2248,low
HMAT-00434,NBR,HSUP-078,52.43,0.1615,0.675,0.3188,medium
HMAT-00435,304,HSUP-005,60.46,0.3248,0.7614,0.2465,low
HMAT-00436,FKM,HSUP-018,57.41,0.3161,0.8628,0.1525,low
HMAT-00437,NBR,HSUP-025,53.68,0.6809,0.4891,0.5195,high
HMAT-00438,316L,HSUP-023,59.41,0.7361,0.7915,0.4519,medium
HMAT-00439,NBR,HSUP-056,51.86,0.4504,0.904,0.3186,medium
HMAT-00440,NBR,HSUP-042,58.73,0.3461,0.8226,0.2463,low
HMAT-00441,FKM,HSUP-010,64.58,0.4446,0.7911,0.4148,medium
HMAT-00442,NBR,HSUP-014,56.2,0.0378,0.8523,0.0901,low
HMAT-00443,304,HSUP-015,64.5,0.2796,0.8478,0.2711,medium
HMAT-00444,35CrMo,HSUP-066,57.82,0.2343,0.624,0.1431,low
HMAT-00445,316L,HSUP-041,54.53,0.143,0.7271,0.2218,low
HMAT-00446,40Cr,HSUP-035,55.44,0.411,0.7832,0.2585,medium
HMAT-00447,316L,HSUP-050,59.16,0.4341,0.8324,0.3342,medium
HMAT-00448,316L,HSUP-045,63.4,0.2943,0.51,0.3331,medium
HMAT-00449,316L,HSUP-051,58.31,0.3592,0.9457,0.227,low
HMAT-00450,316L,HSUP-012,60.32,0.3136,0.9264,0.2247,low
HMAT-00451,NBR,HSUP-068,55.41,0.1339,0.2865,0.3852,medium
HMAT-00452,40Cr,HSUP-074,50.27,0.6384,0.6769,0.5264,high
HMAT-00453,FKM,HSUP-004,51.73,0.2862,0.822,0.3077,medium
HMAT-00454,316L,HSUP-065,62.78,0.5148,0.8129,0.3467,medium
HMAT-00455,FKM,HSUP-004,64.31,0.3337,0.6235,0.3804,medium
HMAT-00456,NBR,HSUP-046,58.57,0.1137,0.4921,0.2393,low
HMAT-00457,NBR,HSUP-005,65.27,0.2889,0.26,0.433,medium
HMAT-00458,304,HSUP-038,59.56,0.3008,0.5395,0.3524,medium
HMAT-00459,NBR,HSUP-058,60.0,0.2851,0.4751,0.3051,medium
HMAT-00460,304,HSUP-038,59.27,0.4095,0.5235,0.3764,medium
HMAT-00461,35CrMo,HSUP-017,59.11,0.0409,0.5763,0.1313,low
HMAT-00462,40Cr,HSUP-027,62.15,0.2861,0.7874,0.2861,medium
HMAT-00463,316L,HSUP-031,49.8,0.1499,0.7119,0.2874,medium
HMAT-00464,35CrMo,HSUP-005,52.96,0.7144,0.7087,0.4822,medium
HMAT-00465,35CrMo,HSUP-016,54.78,0.4439,0.6679,0.354,medium
HMAT-00466,35CrMo,HSUP-078,52.13,0.324,0.8059,0.3561,medium
HMAT-00467,35CrMo,HSUP-066,58.48,0.3183,0.6975,0.1997,low
HMAT-00468,35CrMo,HSUP-037,55.65,0.321,0.7861,0.1676,low
HMAT-00469,304,HSUP-022,61.77,0.4234,0.9056,0.2661,medium
HMAT-00470,FKM,HSUP-014,60.71,0.344,0.8134,0.3292,medium
HMAT-00471,40Cr,HSUP-033,63.36,0.4837,0.7926,0.3402,medium
HMAT-00472,NBR,HSUP-061,63.79,0.2948,0.8883,0.3032,medium
HMAT-00473,FKM,HSUP-027,59.66,0.1627,0.8894,0.1868,low
HMAT-00474,304,HSUP-016,61.83,0.3776,0.8938,0.245,low
HMAT-00475,NBR,HSUP-003,52.69,0.2797,0.5782,0.3497,medium
HMAT-00476,35CrMo,HSUP-047,59.04,0.6427,0.5052,0.5134,high
HMAT-00477,35CrMo,HSUP-050,53.38,0.4861,0.3025,0.5944,high
HMAT-00478,304,HSUP-055,59.35,0.5106,0.477,0.4606,medium
HMAT-00479,40Cr,HSUP-028,55.62,0.2284,0.5559,0.3431,medium
HMAT-00480,304,HSUP-005,50.02,0.0809,0.9749,0.1847,low
HMAT-00481,FKM,HSUP-080,52.17,0.3066,0.8819,0.2314,low
HMAT-00482,40Cr,HSUP-033,70.68,0.1631,0.749,0.4269,medium
HMAT-00483,40Cr,HSUP-080,54.75,0.4467,0.5731,0.3823,medium
HMAT-00484,40Cr,HSUP-074,61.68,0.2961,0.7842,0.2349,low
HMAT-00485,FKM,HSUP-071,50.83,0.4956,0.9316,0.2984,medium
HMAT-00486,35CrMo,HSUP-008,53.56,0.3329,0.7579,0.2621,medium
HMAT-00487,40Cr,HSUP-061,63.52,0.1743,0.9288,0.1735,low
HMAT-00488,NBR,HSUP-038,60.26,0.2601,0.3867,0.3869,medium
HMAT-00489,40Cr,HSUP-042,58.26,0.1772,0.8934,0.1044,low
HMAT-00490,40Cr,HSUP-055,58.85,0.6043,0.718,0.4293,medium
HMAT-00491,NBR,HSUP-005,58.35,0.2921,0.9834,0.0854,low
HMAT-00492,35CrMo,HSUP-003,57.15,0.624,0.7525,0.3418,medium
HMAT-00493,35CrMo,HSUP-058,60.73,0.3594,0.7061,0.2805,medium
HMAT-00494,40Cr,HSUP-043,64.03,0.1842,0.3124,0.4614,medium
HMAT-00495,NBR,HSUP-033,55.16,0.4322,0.8427,0.3398,medium
HMAT-00496,NBR,HSUP-024,54.29,0.4051,0.6072,0.355,medium
HMAT-00497,FKM,HSUP-035,55.85,0.1851,0.4727,0.2956,medium
HMAT-00498,35CrMo,HSUP-005,54.68,0.2188,0.6786,0.2326,low
HMAT-00499,40Cr,HSUP-023,50.24,0.0809,0.7231,0.2106,low
HMAT-00500,FKM,HSUP-075,62.59,0.0914,0.7467,0.1386,low
HMAT-00501,316L,HSUP-002,54.68,0.6442,0.834,0.3569,medium
HMAT-00502,316L,HSUP-031,58.65,0.105,0.3461,0.3439,medium
HMAT-00503,35CrMo,HSUP-075,55.53,0.3407,0.5327,0.3485,medium
HMAT-00504,304,HSUP-059,60.75,0.5054,0.7954,0.3684,medium
HMAT-00505,35CrMo,HSUP-062,57.55,0.5861,0.8554,0.2413,low
HMAT-00506,35CrMo,HSUP-067,56.69,0.5664,0.5515,0.4027,medium
HMAT-00507,304,HSUP-023,56.4,0.4233,0.7769,0.2344,low
HMAT-00508,FKM,HSUP-005,58.97,0.5012,0.7516,0.3388,medium
HMAT-00509,40Cr,HSUP-009,60.86,0.7167,0.3033,0.6508,high
HMAT-00510,NBR,HSUP-070,57.53,0.5448,0.8794,0.2249,low
HMAT-00511,35CrMo,HSUP-007,64.95,0.3757,0.798,0.3377,medium
HMAT-00512,NBR,HSUP-049,55.48,0.0333,0.6885,0.1155,low
HMAT-00513,35CrMo,HSUP-065,60.26,0.2162,0.5569,0.2683,medium
HMAT-00514,304,HSUP-012,59.54,0.2273,0.3283,0.3718,medium
HMAT-00515,NBR,HSUP-021,59.63,0.1262,0.7355,0.2248,low
HMAT-00516,FKM,HSUP-008,60.19,0.139,0.8729,0.0771,low
HMAT-00517,NBR,HSUP-037,57.25,0.2894,0.877,0.1047,low
HMAT-00518,316L,HSUP-027,67.91,0.3179,0.8089,0.2787,medium
HMAT-00519,304,HSUP-021,62.71,0.5015,0.8447,0.3327,medium
HMAT-00520,304,HSUP-074,59.13,0.5664,0.8882,0.2603,medium
HMAT-00521,316L,HSUP-011,55.98,0.5822,0.3357,0.5256,high
HMAT-00522,FKM,HSUP-003,58.54,0.163,0.7684,0.2119,low
HMAT-00523,40Cr,HSUP-028,58.74,0.6217,0.5837,0.4542,medium
HMAT-00524,40Cr,HSUP-033,60.9,0.1395,0.6172,0.2701,medium
HMAT-00525,40Cr,HSUP-023,58.72,0.432,0.9162,0.241,low
HMAT-00526,316L,HSUP-044,60.59,0.5764,0.613,0.4544,medium
HMAT-00527,304,HSUP-041,62.81,0.2598,0.734,0.3073,medium
HMAT-00528,316L,HSUP-004,59.89,0.347,0.5678,0.3475,medium
HMAT-00529,304,HSUP-002,60.12,0.6996,0.7461,0.3865,medium
HMAT-00530,NBR,HSUP-033,61.71,0.2085,0.9236,0.1348,low
HMAT-00531,316L,HSUP-025,51.98,0.4223,0.6225,0.3343,medium
HMAT-00532,FKM,HSUP-039,64.48,0.1805,0.589,0.3498,medium
HMAT-00533,35CrMo,HSUP-017,53.4,0.2424,0.6302,0.3731,medium
HMAT-00534,NBR,HSUP-019,60.69,0.3209,0.6788,0.2405,low
HMAT-00535,NBR,HSUP-017,55.1,0.4267,0.5739,0.346,medium
HMAT-00536,NBR,HSUP-046,49.22,0.3157,0.9065,0.3729,medium
HMAT-00537,304,HSUP-024,56.26,0.4712,0.5857,0.3667,medium
HMAT-00538,304,HSUP-072,54.21,0.098,0.5299,0.2822,medium
HMAT-00539,40Cr,HSUP-021,54.09,0.2454,0.4261,0.3388,medium
HMAT-00540,40Cr,HSUP-020,57.78,0.3797,0.8208,0.2197,low
HMAT-00541,304,HSUP-012,51.55,0.2101,0.6406,0.3171,medium
HMAT-00542,316L,HSUP-079,56.84,0.2924,0.7377,0.229,low
HMAT-00543,35CrMo,HSUP-002,61.02,0.2428,0.6339,0.2826,medium
HMAT-00544,35CrMo,HSUP-056,59.51,0.4162,0.571,0.3455,medium
HMAT-00545,FKM,HSUP-080,59.59,0.4134,0.8894,0.1883,low
HMAT-00546,NBR,HSUP-003,57.68,0.5757,0.6348,0.3339,medium
HMAT-00547,304,HSUP-068,62.66,0.2923,0.7976,0.1883,low
HMAT-00548,35CrMo,HSUP-023,64.6,0.4261,0.8564,0.2462,low
HMAT-00549,40Cr,HSUP-032,69.77,0.3833,0.5848,0.4359,medium
HMAT-00550,35CrMo,HSUP-013,60.51,0.2992,0.5881,0.262,medium
HMAT-00551,304,HSUP-017,59.34,0.795,0.8185,0.4407,medium
HMAT-00552,40Cr,HSUP-063,60.6,0.1892,0.7356,0.2326,low
HMAT-00553,NBR,HSUP-053,65.1,0.3283,0.9274,0.2768,medium
HMAT-00554,304,HSUP-005,62.31,0.0388,0.8039,0.1767,low
HMAT-00555,304,HSUP-021,59.01,0.0873,0.7175,0.1818,low
HMAT-00556,35CrMo,HSUP-071,56.53,0.4395,0.5364,0.3526,medium
HMAT-00557,304,HSUP-021,54.35,0.8074,0.7313,0.4711,medium
HMAT-00558,316L,HSUP-034,55.46,0.366,0.6819,0.2254,low
HMAT-00559,40Cr,HSUP-067,64.62,0.2035,0.5717,0.37,medium
HMAT-00560,40Cr,HSUP-011,50.03,0.5947,0.6776,0.5257,high
HMAT-00561,NBR,HSUP-079,57.71,0.262,0.8729,0.1586,low
HMAT-00562,FKM,HSUP-036,57.05,0.1909,0.6512,0.2247,low
HMAT-00563,40Cr,HSUP-026,62.98,0.5172,0.7006,0.3271,medium
HMAT-00564,316L,HSUP-037,53.67,0.0151,0.6843,0.2378,low
HMAT-00565,35CrMo,HSUP-069,54.53,0.3404,0.5116,0.3194,medium
HMAT-00566,NBR,HSUP-007,59.13,0.4321,0.7958,0.3263,medium
HMAT-00567,FKM,HSUP-035,56.15,0.2041,0.4435,0.317,medium
HMAT-00568,35CrMo,HSUP-007,55.75,0.1755,0.8218,0.1781,low
HMAT-00569,35CrMo,HSUP-012,60.58,0.4556,0.8897,0.2224,low
HMAT-00570,40Cr,HSUP-017,56.93,0.3214,0.4178,0.3881,medium
HMAT-00571,NBR,HSUP-023,52.93,0.3539,0.4085,0.3894,medium
HMAT-00572,35CrMo,HSUP-019,55.18,0.5725,0.926,0.3447,medium
HMAT-00573,40Cr,HSUP-060,59.37,0.5021,0.8551,0.2472,low
HMAT-00574,40Cr,HSUP-068,55.58,0.1048,0.4037,0.2372,low
HMAT-00575,40Cr,HSUP-079,57.06,0.158,0.4426,0.2297,low
HMAT-00576,FKM,HSUP-060,62.19,0.2702,0.9192,0.2825,medium
HMAT-00577,FKM,HSUP-010,54.41,0.1226,0.9097,0.1162,low
HMAT-00578,304,HSUP-011,61.21,0.2083,0.4359,0.3612,medium
HMAT-00579,NBR,HSUP-019,59.18,0.3001,0.8111,0.1663,low
HMAT-00580,35CrMo,HSUP-002,59.64,0.1846,0.6396,0.2565,medium
HMAT-00581,316L,HSUP-014,56.63,0.3033,0.8434,0.2212,low
HMAT-00582,35CrMo,HSUP-053,56.19,0.0657,0.4169,0.2973,medium
HMAT-00583,35CrMo,HSUP-047,68.48,0.3659,0.6469,0.4019,medium
HMAT-00584,NBR,HSUP-026,49.77,0.1108,0.9103,0.1421,low
HMAT-00585,NBR,HSUP-067,63.74,0.313,0.6905,0.3669,medium
HMAT-00586,316L,HSUP-001,57.64,0.1641,0.6819,0.2134,low
HMAT-00587,40Cr,HSUP-062,54.52,0.2327,0.614,0.2734,medium
HMAT-00588,40Cr,HSUP-008,60.53,0.2019,0.9003,0.1511,low
HMAT-00589,40Cr,HSUP-041,58.19,0.3323,0.6075,0.285,medium
HMAT-00590,FKM,HSUP-047,56.82,0.1405,0.6457,0.1653,low
HMAT-00591,NBR,HSUP-026,60.99,0.5676,0.6434,0.3545,medium
HMAT-00592,FKM,HSUP-049,62.49,0.4508,0.6453,0.3168,medium
HMAT-00593,40Cr,HSUP-021,57.74,0.4875,0.8641,0.2394,low
HMAT-00594,40Cr,HSUP-036,59.92,0.5244,0.7441,0.3879,medium
HMAT-00595,40Cr,HSUP-069,65.63,0.0993,0.669,0.2464,low
HMAT-00596,316L,HSUP-070,61.17,0.1364,0.5865,0.3032,medium
HMAT-00597,35CrMo,HSUP-036,58.44,0.42,0.7277,0.2313,low
HMAT-00598,40Cr,HSUP-059,49.21,0.2596,0.8892,0.3033,medium
HMAT-00599,35CrMo,HSUP-074,54.29,0.4633,0.6332,0.3609,medium
HMAT-00600,NBR,HSUP-033,56.44,0.5947,0.8165,0.2717,medium
