component_uid,component_code,component_name,design_id,material_batch_id,manufacturing_batch_id,assembly_id,maintenance_record_id,operation_hours,oil_age_ratio,material_risk_score,manufacturing_risk_score,assembly_risk_score,operation_risk_score,pipe_design_id,pipe_design_risk_score,design_risk_score,inspection_id,inspection_risk_score,overall_lifecycle_risk,overall_lifecycle_risk_level
HCU-00983,C002,方向控制阀,HDES-00468,HMAT-00258,HMAN-00648,HASM-00983,HOPR-00983,7552.9,0.5022,0.4171,0.3355,0.2486,0.5841,,0.0,0.3982,HINSP-00983,0.2111,0.3811,medium
HCU-00984,C003,作动筒,HDES-00045,HMAT-00589,HMAN-00229,HASM-00984,HOPR-00984,7665.6,0.2024,0.285,0.1988,0.3497,0.3348,,0.0,0.2237,HINSP-00984,0.1449,0.264,medium
HCU-00985,C011,管路总成,HDES-00415,HMAT-00366,HMAN-00918,HASM-00985,HOPR-00985,5199.0,0.5378,0.4391,0.2509,0.2926,0.4081,HPIP-00189,0.4018,0.3279,HINSP-00985,0.181,0.3257,medium
HCU-00986,C003,作动筒,HDES-00296,HMAT-00588,HMAN-00608,HASM-00986,HOPR-00986,3035.4,0.5923,0.1511,0.3799,0.1775,0.4524,,0.0,0.1809,HINSP-00986,0.1534,0.2626,medium
HCU-00987,C007,过滤器,HDES-00298,HMAT-00499,HMAN-00018,HASM-00987,HOPR-00987,2366.5,0.824,0.2106,0.2883,0.0754,0.5085,,0.0,0.3652,HINSP-00987,0.1239,0.2795,medium
HCU-00988,C005,蓄能器,HDES-00274,HMAT-00028,HMAN-00689,HASM-00988,HOPR-00988,3950.0,0.3854,0.2545,0.3674,0.2437,0.3998,,0.0,0.0158,HINSP-00988,0.137,0.2462,low
HCU-00989,C012,卸荷阀,HDES-00554,HMAT-00302,HMAN-01076,HASM-00989,HOPR-00989,3145.7,0.5884,0.0481,0.3063,0.1993,0.399,,0.0,0.2032,HINSP-00989,0.1719,0.232,low
HCU-00990,C005,蓄能器,HDES-00927,HMAT-00399,HMAN-00208,HASM-00990,HOPR-00990,3574.0,0.3144,0.3814,0.3695,0.2037,0.2738,,0.0,0.0112,HINSP-00990,0.1758,0.2383,low
HCU-00991,C008,液压油箱,HDES-00850,HMAT-00345,HMAN-01166,HASM-00991,HOPR-00991,3382.2,0.2071,0.2746,0.2393,0.4065,0.2272,,0.0,0.1759,HINSP-00991,0.1818,0.2532,medium
HCU-00992,C001,液压泵总成,HDES-00359,HMAT-00556,HMAN-00841,HASM-00992,HOPR-00992,3640.4,0.8326,0.3526,0.3993,0.1173,0.5204,,0.0,0.1353,HINSP-00992,0.1962,0.2982,medium
HCU-00993,C001,液压泵总成,HDES-00495,HMAT-00089,HMAN-00892,HASM-00993,HOPR-00993,2223.9,0.5101,0.5625,0.3197,0.3881,0.3607,,0.0,0.4549,HINSP-00993,0.224,0.3922,medium
HCU-00994,C007,过滤器,HDES-01039,HMAT-00083,HMAN-00736,HASM-00994,HOPR-00994,1372.2,0.4071,0.3827,0.2908,0.3517,0.2362,,0.0,0.3949,HINSP-00994,0.1889,0.3125,medium
HCU-00995,C011,管路总成,HDES-00374,HMAT-00361,HMAN-00360,HASM-00995,HOPR-00995,4439.6,0.2748,0.358,0.1774,0.4466,0.3528,HPIP-00190,0.4789,0.4137,HINSP-00995,0.1924,0.3313,medium
HCU-00996,C001,液压泵总成,HDES-00266,HMAT-00461,HMAN-00541,HASM-00996,HOPR-00996,7423.5,0.2234,0.1313,0.2339,0.3232,0.3628,,0.0,0.1749,HINSP-00996,0.1915,0.2432,low
HCU-00997,C008,液压油箱,HDES-00447,HMAT-00323,HMAN-00498,HASM-00997,HOPR-00997,2673.4,0.3845,0.2323,0.3401,0.2272,0.2525,,0.0,0.2676,HINSP-00997,0.1777,0.2552,medium
HCU-00998,C006,冷却器,HDES-00278,HMAT-00549,HMAN-00111,HASM-00998,HOPR-00998,4980.7,0.4966,0.4359,0.3691,0.353,0.3897,,0.0,0.0879,HINSP-00998,0.1518,0.3067,medium
HCU-00999,C005,蓄能器,HDES-01096,HMAT-00278,HMAN-00323,HASM-00999,HOPR-00999,2149.9,0.4538,0.2523,0.7297,0.1837,0.2395,,0.0,0.1637,HINSP-00999,0.1894,0.3011,medium
HCU-01000,C003,作动筒,HDES-00118,HMAT-00222,HMAN-00775,HASM-01000,HOPR-01000,4813.0,0.04,0.2914,0.2582,0.4303,0.152,,0.0,0.0294,HINSP-01000,0.1081,0.2138,low
HCU-01001,C010,节流阀,HDES-00299,HMAT-00111,HMAN-01071,HASM-01001,HOPR-01001,5320.0,0.3095,0.3079,0.4428,0.3281,0.4123,,0.0,0.1457,HINSP-01001,0.1587,0.3109,medium
HCU-01002,C007,过滤器,HDES-00940,HMAT-00378,HMAN-01134,HASM-01002,HOPR-01002,5383.2,0.4962,0.4524,0.2499,0.0901,0.5242,,0.0,0.1865,HINSP-01002,0.1289,0.2853,medium
HCU-01003,C007,过滤器,HDES-00738,HMAT-00432,HMAN-00020,HASM-01003,HOPR-01003,2136.0,0.482,0.3297,0.2471,0.2895,0.2568,,0.0,0.1668,HINSP-01003,0.1709,0.2466,low
HCU-01004,C011,管路总成,HDES-00472,HMAT-00085,HMAN-00050,HASM-01004,HOPR-01004,3043.6,0.5587,0.35,0.0813,0.4691,0.3667,HPIP-00191,0.214,0.2503,HINSP-01004,0.1342,0.2835,medium
HCU-01005,C007,过滤器,HDES-00041,HMAT-00030,HMAN-00906,HASM-01005,HOPR-01005,3359.8,0.3053,0.3777,0.2269,0.1497,0.294,,0.0,0.2132,HINSP-01005,0.1279,0.238,low
HCU-01006,C002,方向控制阀,HDES-00762,HMAT-00029,HMAN-00483,HASM-01006,HOPR-01006,2229.8,0.6542,0.315,0.1654,0.2522,0.3937,,0.0,0.0121,HINSP-01006,0.1135,0.2164,low
HCU-01007,C001,液压泵总成,HDES-00085,HMAT-00543,HMAN-00484,HASM-01007,HOPR-01007,1426.2,0.5511,0.2826,0.1297,0.3509,0.3372,,0.0,0.278,HINSP-01007,0.1111,0.2579,medium
HCU-01008,C007,过滤器,HDES-01142,HMAT-00146,HMAN-00341,HASM-01008,HOPR-01008,4302.4,0.2865,0.2431,0.2019,0.4452,0.3015,,0.0,0.1075,HINSP-01008,0.1901,0.2515,medium
HCU-01009,C008,液压油箱,HDES-00954,HMAT-00427,HMAN-00473,HASM-01009,HOPR-01009,5116.5,0.1387,0.188,0.1549,0.2527,0.251,,0.0,0.3548,HINSP-01009,0.111,0.2272,low
HCU-01010,C004,溢流阀,HDES-01069,HMAT-00365,HMAN-00438,HASM-01010,HOPR-01010,4236.2,0.461,0.2208,0.2679,0.1479,0.3994,,0.0,0.1665,HINSP-01010,0.1053,0.2301,low
HCU-01011,C011,管路总成,HDES-00629,HMAT-00585,HMAN-00614,HASM-01011,HOPR-01011,2325.9,0.142,0.3669,0.2664,0.1977,0.1671,HPIP-00192,0.3301,0.252,HINSP-01011,0.1646,0.2372,low
HCU-01012,C011,管路总成,HDES-00983,HMAT-00487,HMAN-00208,HASM-01012,HOPR-01012,4161.5,0.6142,0.1735,0.3695,0.3237,0.4744,HPIP-00193,0.3608,0.2345,HINSP-01012,0.1701,0.3051,medium
HCU-01013,C001,液压泵总成,HDES-01043,HMAT-00559,HMAN-00489,HASM-01013,HOPR-01013,2277.7,0.4927,0.37,0.2017,0.2868,0.3342,,0.0,0.3346,HINSP-01013,0.1818,0.2913,medium
HCU-01014,C001,液压泵总成,HDES-00648,HMAT-00197,HMAN-00554,HASM-01014,HOPR-01014,3128.9,0.4184,0.1774,0.3061,0.4223,0.2624,,0.0,0.2184,HINSP-01014,0.1774,0.2666,medium
HCU-01015,C011,管路总成,HDES-00472,HMAT-00415,HMAN-00187,HASM-01015,HOPR-01015,1871.5,0.709,0.2393,0.5432,0.2616,0.4858,HPIP-00194,0.3983,0.3701,HINSP-01015,0.2493,0.3717,medium
HCU-01016,C006,冷却器,HDES-01017,HMAT-00188,HMAN-00984,HASM-01016,HOPR-01016,2708.4,0.5127,0.3366,0.1264,0.2854,0.3392,,0.0,0.2503,HINSP-01016,0.1614,0.2558,medium
HCU-01017,C006,冷却器,HDES-00206,HMAT-00426,HMAN-01000,HASM-01017,HOPR-01017,3450.2,0.2125,0.2245,0.163,0.2444,0.2455,,0.0,0.1362,HINSP-01017,0.168,0.1989,low
HCU-01018,C007,过滤器,HDES-00681,HMAT-00257,HMAN-00750,HASM-01018,HOPR-01018,3481.3,0.1397,0.2735,0.2084,0.3086,0.1427,,0.0,0.2408,HINSP-01018,0.186,0.2261,low
HCU-01019,C012,卸荷阀,HDES-00119,HMAT-00323,HMAN-00889,HASM-01019,HOPR-01019,2407.6,0.3309,0.2323,0.3576,0.3296,0.2046,,0.0,0.1148,HINSP-01019,0.1326,0.2337,low
HCU-01020,C004,溢流阀,HDES-00020,HMAT-00279,HMAN-00997,HASM-01020,HOPR-01020,5117.6,0.4464,0.2945,0.3384,0.3088,0.4133,,0.0,0.2036,HINSP-01020,0.1487,0.2962,medium
HCU-01021,C005,蓄能器,HDES-00173,HMAT-00390,HMAN-00296,HASM-01021,HOPR-01021,3868.8,0.2393,0.5251,0.5533,0.3206,0.3135,,0.0,0.1,HINSP-01021,0.211,0.342,medium
HCU-01022,C005,蓄能器,HDES-00183,HMAT-00566,HMAN-00593,HASM-01022,HOPR-01022,4110.2,0.3186,0.3263,0.3213,0.3531,0.2825,,0.0,0.3462,HINSP-01022,0.2037,0.3113,medium
HCU-01023,C011,管路总成,HDES-00711,HMAT-00397,HMAN-00388,HASM-01023,HOPR-01023,1072.2,0.6348,0.3536,0.2684,0.245,0.3805,HPIP-00195,0.2147,0.2448,HINSP-01023,0.1996,0.2887,medium
HCU-01024,C009,单向阀,HDES-00649,HMAT-00135,HMAN-00656,HASM-01024,HOPR-01024,5104.1,0.6591,0.3126,0.2833,0.1231,0.5808,,0.0,0.2867,HINSP-01024,0.1919,0.3108,medium
HCU-01025,C012,卸荷阀,HDES-00570,HMAT-00007,HMAN-00463,HASM-01025,HOPR-01025,2221.2,0.16,0.2409,0.3076,0.201,0.1661,,0.0,0.374,HINSP-01025,0.1395,0.244,low
HCU-01026,C012,卸荷阀,HDES-00909,HMAT-00238,HMAN-00735,HASM-01026,HOPR-01026,2682.4,0.5721,0.3457,0.2687,0.2653,0.3543,,0.0,0.1153,HINSP-01026,0.1793,0.2601,medium
HCU-01027,C004,溢流阀,HDES-00805,HMAT-00340,HMAN-00037,HASM-01027,HOPR-01027,9605.5,0.3761,0.1115,0.2507,0.1649,0.5639,,0.0,0.0916,HINSP-01027,0.1015,0.2314,low
HCU-01028,C005,蓄能器,HDES-00632,HMAT-00048,HMAN-01032,HASM-01028,HOPR-01028,1904.1,0.1744,0.3476,0.2098,0.1068,0.1914,,0.0,0.1944,HINSP-01028,0.0982,0.1956,low
HCU-01029,C007,过滤器,HDES-00332,HMAT-00569,HMAN-00198,HASM-01029,HOPR-01029,1405.2,0.7367,0.2224,0.3425,0.197,0.4672,,0.0,0.0,HINSP-01029,0.1649,0.2423,low
HCU-01030,C008,液压油箱,HDES-00587,HMAT-00075,HMAN-00246,HASM-01030,HOPR-01030,4998.2,0.3691,0.1591,0.2819,0.4953,0.354,,0.0,0.4365,HINSP-01030,0.1936,0.3311,medium
HCU-01031,C010,节流阀,HDES-00166,HMAT-00170,HMAN-00918,HASM-01031,HOPR-01031,4326.4,0.5311,0.2877,0.2509,0.4004,0.4492,,0.0,0.1205,HINSP-01031,0.1969,0.2925,medium
HCU-01032,C005,蓄能器,HDES-01130,HMAT-00535,HMAN-01013,HASM-01032,HOPR-01032,6887.8,0.1958,0.346,0.3079,0.1767,0.3468,,0.0,0.2437,HINSP-01032,0.1287,0.2682,medium
HCU-01033,C011,管路总成,HDES-00090,HMAT-00225,HMAN-00414,HASM-01033,HOPR-01033,856.3,0.1967,0.5291,0.383,0.3281,0.1522,HPIP-00196,0.3971,0.4218,HINSP-01033,0.2226,0.3402,medium
HCU-01034,C008,液压油箱,HDES-00954,HMAT-00041,HMAN-00449,HASM-01034,HOPR-01034,2141.3,0.5602,0.4178,0.3274,0.096,0.3682,,0.0,0.3548,HINSP-01034,0.1905,0.3006,medium
HCU-01035,C009,单向阀,HDES-00189,HMAT-00304,HMAN-00717,HASM-01035,HOPR-01035,2901.3,0.3729,0.2015,0.3782,0.2674,0.2884,,0.0,0.1989,HINSP-01035,0.1835,0.2594,medium
HCU-01036,C005,蓄能器,HDES-00221,HMAT-00598,HMAN-00159,HASM-01036,HOPR-01036,2841.0,0.6592,0.3033,0.2256,0.4525,0.453,,0.0,0.0999,HINSP-01036,0.1396,0.29,medium
HCU-01037,C010,节流阀,HDES-00226,HMAT-00600,HMAN-00989,HASM-01037,HOPR-01037,4595.7,0.2356,0.2717,0.2632,0.1464,0.2908,,0.0,0.2502,HINSP-01037,0.1074,0.2307,low
HCU-01038,C002,方向控制阀,HDES-00882,HMAT-00459,HMAN-01189,HASM-01038,HOPR-01038,6952.4,0.5931,0.3051,0.2284,0.3065,0.4774,,0.0,0.1757,HINSP-01038,0.1491,0.2855,medium
HCU-01039,C012,卸荷阀,HDES-00530,HMAT-00097,HMAN-00581,HASM-01039,HOPR-01039,2500.9,0.2827,0.4326,0.2476,0.294,0.2005,,0.0,0.0494,HINSP-01039,0.168,0.2312,low
HCU-01040,C011,管路总成,HDES-00961,HMAT-00284,HMAN-00351,HASM-01040,HOPR-01040,3027.5,0.5353,0.1038,0.2752,0.203,0.4325,HPIP-00197,0.3422,0.2815,HINSP-01040,0.1379,0.253,medium
HCU-01041,C002,方向控制阀,HDES-00986,HMAT-00130,HMAN-00454,HASM-01041,HOPR-01041,2092.3,0.8206,0.3303,0.2863,0.3656,0.4347,,0.0,0.2064,HINSP-01041,0.1879,0.3113,medium
HCU-01042,C010,节流阀,HDES-00053,HMAT-00455,HMAN-01060,HASM-01042,HOPR-01042,3090.8,0.218,0.3804,0.474,0.1827,0.2089,,0.0,0.2062,HINSP-01042,0.144,0.272,medium
HCU-01043,C009,单向阀,HDES-01099,HMAT-00497,HMAN-00634,HASM-01043,HOPR-01043,3829.5,0.1317,0.2956,0.3014,0.1922,0.219,,0.0,0.0,HINSP-01043,0.1654,0.1962,low
HCU-01044,C011,管路总成,HDES-00536,HMAT-00376,HMAN-00159,HASM-01044,HOPR-01044,7574.2,0.7992,0.3003,0.2256,0.2749,0.6608,HPIP-00198,0.2138,0.1855,HINSP-01044,0.1459,0.317,medium
HCU-01045,C011,管路总成,HDES-00965,HMAT-00130,HMAN-00046,HASM-01045,HOPR-01045,3154.7,0.7729,0.3303,0.2318,0.2468,0.5116,HPIP-00199,0.6369,0.4329,HINSP-01045,0.1384,0.332,medium
HCU-01046,C003,作动筒,HDES-00733,HMAT-00318,HMAN-00278,HASM-01046,HOPR-01046,4497.8,0.3009,0.4166,0.741,0.125,0.2936,,0.0,0.0108,HINSP-01046,0.1216,0.2953,medium
HCU-01047,C012,卸荷阀,HDES-01103,HMAT-00235,HMAN-00561,HASM-01047,HOPR-01047,1279.7,0.1535,0.1852,0.3063,0.3871,0.1353,,0.0,0.71,HINSP-01047,0.1757,0.3248,medium
HCU-01048,C004,溢流阀,HDES-01049,HMAT-00451,HMAN-00795,HASM-01048,HOPR-01048,940.1,0.2207,0.3852,0.2459,0.4505,0.2544,,0.0,0.1582,HINSP-01048,0.1477,0.2781,medium
HCU-01049,C012,卸荷阀,HDES-00509,HMAT-00211,HMAN-01165,HASM-01049,HOPR-01049,2989.3,0.2265,0.4902,0.4386,0.2496,0.2566,,0.0,0.143,HINSP-01049,0.179,0.2966,medium
HCU-01050,C011,管路总成,HDES-00169,HMAT-00516,HMAN-00550,HASM-01050,HOPR-01050,7660.8,0.0731,0.0771,0.2484,0.2748,0.2832,HPIP-00200,0.3749,0.3748,HINSP-01050,0.1633,0.2458,low
HCU-01051,C009,单向阀,HDES-00106,HMAT-00419,HMAN-00427,HASM-01051,HOPR-01051,1601.6,0.8119,0.2394,0.2517,0.218,0.5026,,0.0,0.4625,HINSP-01051,0.21,0.3275,medium
HCU-01052,C010,节流阀,HDES-00945,HMAT-00288,HMAN-01192,HASM-01052,HOPR-01052,2419.7,0.4784,0.2335,0.2823,0.2027,0.3028,,0.0,0.3242,HINSP-01052,0.177,0.261,medium
HCU-01053,C011,管路总成,HDES-01144,HMAT-00505,HMAN-00714,HASM-01053,HOPR-01053,772.9,0.2958,0.2413,0.4079,0.3372,0.1977,HPIP-00201,0.3731,0.3254,HINSP-01053,0.2073,0.2903,medium
HCU-01054,C006,冷却器,HDES-00314,HMAT-00195,HMAN-00466,HASM-01054,HOPR-01054,3846.1,0.4879,0.4197,0.0594,0.1252,0.4168,,0.0,0.0581,HINSP-01054,0.1601,0.2106,low
HCU-01055,C012,卸荷阀,HDES-00435,HMAT-00506,HMAN-00818,HASM-01055,HOPR-01055,1521.0,0.7213,0.4027,0.4945,0.1287,0.4595,,0.0,0.2637,HINSP-01055,0.1586,0.3321,medium
HCU-01056,C006,冷却器,HDES-00689,HMAT-00220,HMAN-00247,HASM-01056,HOPR-01056,1746.0,0.3901,0.1594,0.1521,0.3097,0.2863,,0.0,0.2537,HINSP-01056,0.1776,0.228,low
HCU-01057,C005,蓄能器,HDES-00989,HMAT-00081,HMAN-00777,HASM-01057,HOPR-01057,932.2,0.2652,0.3932,0.5629,0.2114,0.1533,,0.0,0.1898,HINSP-01057,0.1537,0.2819,medium
HCU-01058,C011,管路总成,HDES-00112,HMAT-00264,HMAN-01109,HASM-01058,HOPR-01058,3094.8,0.2876,0.4471,0.3083,0.466,0.2887,HPIP-00202,0.4226,0.3126,HINSP-01058,0.198,0.342,medium
HCU-01059,C010,节流阀,HDES-01163,HMAT-00079,HMAN-00145,HASM-01059,HOPR-01059,5019.9,0.423,0.3827,0.2223,0.3415,0.3894,,0.0,0.3926,HINSP-01059,0.2003,0.3299,medium
HCU-01060,C005,蓄能器,HDES-01096,HMAT-00013,HMAN-00197,HASM-01060,HOPR-01060,1081.0,0.6251,0.4287,0.203,0.2283,0.3451,,0.0,0.1637,HINSP-01060,0.1491,0.2588,medium
HCU-01061,C001,液压泵总成,HDES-00313,HMAT-00245,HMAN-00995,HASM-01061,HOPR-01061,5428.4,0.4942,0.1183,0.228,0.3375,0.4196,,0.0,0.3322,HINSP-01061,0.1178,0.274,medium
HCU-01062,C004,溢流阀,HDES-00674,HMAT-00175,HMAN-00385,HASM-01062,HOPR-01062,2708.0,0.0641,0.3195,0.2526,0.3677,0.1249,,0.0,0.1839,HINSP-01062,0.1429,0.2329,low
HCU-01063,C010,节流阀,HDES-01186,HMAT-00314,HMAN-00336,HASM-01063,HOPR-01063,5684.0,0.2813,0.4648,0.3148,0.3479,0.2958,,0.0,0.0658,HINSP-01063,0.1709,0.28,medium
HCU-01064,C012,卸荷阀,HDES-00481,HMAT-00341,HMAN-00881,HASM-01064,HOPR-01064,2972.2,0.6447,0.3325,0.1911,0.3264,0.4726,,0.0,0.0438,HINSP-01064,0.1792,0.2652,medium
HCU-01065,C004,溢流阀,HDES-01184,HMAT-00343,HMAN-00097,HASM-01065,HOPR-01065,1650.8,0.2771,0.2234,0.2563,0.0375,0.1748,,0.0,0.5266,HINSP-01065,0.173,0.237,low
HCU-01066,C004,溢流阀,HDES-00987,HMAT-00059,HMAN-00477,HASM-01066,HOPR-01066,2395.3,0.4068,0.1599,0.3159,0.0326,0.3149,,0.0,0.2256,HINSP-01066,0.1424,0.2072,low
HCU-01067,C007,过滤器,HDES-00213,HMAT-00191,HMAN-00380,HASM-01067,HOPR-01067,4156.0,0.3795,0.3196,0.1645,0.1262,0.2901,,0.0,0.1195,HINSP-01067,0.1611,0.1995,low
HCU-01068,C002,方向控制阀,HDES-00630,HMAT-00542,HMAN-00293,HASM-01068,HOPR-01068,2247.1,0.123,0.229,0.303,0.3569,0.1192,,0.0,0.2162,HINSP-01068,0.1631,0.2326,low
HCU-01069,C011,管路总成,HDES-00282,HMAT-00293,HMAN-01027,HASM-01069,HOPR-01069,3089.1,0.7751,0.3083,0.2768,0.2747,0.4981,HPIP-00203,0.3184,0.3166,HINSP-01069,0.2028,0.3248,medium
HCU-01070,C001,液压泵总成,HDES-00600,HMAT-00040,HMAN-00101,HASM-01070,HOPR-01070,5679.8,0.5406,0.3027,0.1598,0.3945,0.4844,,0.0,0.2011,HINSP-01070,0.24,0.3037,medium
HCU-01071,C010,节流阀,HDES-01027,HMAT-00047,HMAN-00127,HASM-01071,HOPR-01071,3494.9,0.5863,0.194,0.229,0.3974,0.4273,,0.0,0.1982,HINSP-01071,0.1466,0.2771,medium
HCU-01072,C002,方向控制阀,HDES-00126,HMAT-00038,HMAN-00482,HASM-01072,HOPR-01072,2369.1,0.5918,0.1288,0.242,0.1295,0.391,,0.0,0.0417,HINSP-01072,0.1272,0.1859,low
HCU-01073,C008,液压油箱,HDES-00155,HMAT-00522,HMAN-00657,HASM-01073,HOPR-01073,4284.9,0.1186,0.2119,0.2514,0.4302,0.2383,,0.0,0.3505,HINSP-01073,0.1307,0.2774,medium
HCU-01074,C010,节流阀,HDES-00520,HMAT-00055,HMAN-00437,HASM-01074,HOPR-01074,5212.4,0.2939,0.2308,0.4434,0.2052,0.2656,,0.0,0.1375,HINSP-01074,0.1646,0.2476,low
HCU-01075,C006,冷却器,HDES-01026,HMAT-00292,HMAN-00727,HASM-01075,HOPR-01075,2514.4,0.0867,0.2434,0.3045,0.234,0.0531,,0.0,0.0504,HINSP-01075,0.1181,0.1662,low
HCU-01076,C010,节流阀,HDES-00790,HMAT-00473,HMAN-00789,HASM-01076,HOPR-01076,3306.0,0.5085,0.1868,0.2851,0.0315,0.3292,,0.0,0.0287,HINSP-01076,0.1177,0.1705,low
HCU-01077,C011,管路总成,HDES-00355,HMAT-00062,HMAN-01019,HASM-01077,HOPR-01077,3027.0,0.1351,0.2657,0.2528,0.4087,0.121,HPIP-00204,0.2381,0.2431,HINSP-01077,0.1433,0.2412,low
HCU-01078,C010,节流阀,HDES-00344,HMAT-00562,HMAN-01175,HASM-01078,HOPR-01078,3306.5,0.578,0.2247,0.5143,0.1734,0.3823,,0.0,0.1277,HINSP-01078,0.1721,0.2764,medium
HCU-01079,C003,作动筒,HDES-01157,HMAT-00223,HMAN-00746,HASM-01079,HOPR-01079,710.1,0.5456,0.1279,0.1492,0.179,0.3167,,0.0,0.2749,HINSP-01079,0.1529,0.2074,low
HCU-01080,C009,单向阀,HDES-00471,HMAT-00505,HMAN-00571,HASM-01080,HOPR-01080,1621.3,0.6778,0.2413,0.1161,0.2323,0.4094,,0.0,0.3653,HINSP-01080,0.1808,0.2665,medium
HCU-01081,C011,管路总成,HDES-00641,HMAT-00132,HMAN-00551,HASM-01081,HOPR-01081,2542.3,0.7113,0.3566,0.2984,0.5093,0.4628,HPIP-00205,0.3158,0.2253,HINSP-01081,0.1789,0.3501,medium
HCU-01082,C004,溢流阀,HDES-00897,HMAT-00567,HMAN-00395,HASM-01082,HOPR-01082,2697.2,0.5692,0.317,0.4459,0.1837,0.4024,,0.0,0.3542,HINSP-01082,0.1961,0.328,medium
HCU-01083,C003,作动筒,HDES-00726,HMAT-00327,HMAN-00020,HASM-01083,HOPR-01083,4369.9,0.5276,0.3471,0.2471,0.3546,0.3852,,0.0,0.0524,HINSP-01083,0.1798,0.2665,medium
HCU-01084,C006,冷却器,HDES-00312,HMAT-00424,HMAN-01160,HASM-01084,HOPR-01084,3452.2,0.762,0.4401,0.5107,0.0556,0.4961,,0.0,0.154,HINSP-01084,0.1572,0.316,medium
HCU-01085,C011,管路总成,HDES-00876,HMAT-00315,HMAN-00845,HASM-01085,HOPR-01085,6894.4,0.4663,0.1864,0.3826,0.3207,0.4801,HPIP-00206,0.423,0.2755,HINSP-01085,0.1715,0.3177,medium
HCU-01086,C004,溢流阀,HDES-00781,HMAT-00563,HMAN-00618,HASM-01086,HOPR-01086,2477.7,0.3328,0.3271,0.2151,0.0686,0.267,,0.0,0.4673,HINSP-01086,0.1839,0.2605,medium
HCU-01087,C005,蓄能器,HDES-00406,HMAT-00539,HMAN-01009,HASM-01087,HOPR-01087,3819.9,0.6029,0.3388,0.3322,0.267,0.4408,,0.0,0.1474,HINSP-01087,0.1434,0.2899,medium
HCU-01088,C003,作动筒,HDES-00076,HMAT-00549,HMAN-00703,HASM-01088,HOPR-01088,2932.1,0.2624,0.4359,0.1447,0.5379,0.2255,,0.0,0.1858,HINSP-01088,0.1145,0.2784,medium
HCU-01089,C001,液压泵总成,HDES-00880,HMAT-00157,HMAN-00894,HASM-01089,HOPR-01089,1847.6,0.3245,0.3313,0.4007,0.5735,0.2631,,0.0,0.2185,HINSP-01089,0.1973,0.3363,medium
HCU-01090,C010,节流阀,HDES-00178,HMAT-00227,HMAN-00694,HASM-01090,HOPR-01090,3987.8,0.4421,0.2621,0.3156,0.2049,0.3289,,0.0,0.1487,HINSP-01090,0.1864,0.2466,low
HCU-01091,C002,方向控制阀,HDES-00207,HMAT-00259,HMAN-00872,HASM-01091,HOPR-01091,4528.2,0.4063,0.4321,0.321,0.4165,0.3927,,0.0,0.2077,HINSP-01091,0.1444,0.3295,medium
HCU-01092,C001,液压泵总成,HDES-00922,HMAT-00226,HMAN-00391,HASM-01092,HOPR-01092,4166.7,0.7064,0.3749,0.2906,0.2756,0.5046,,0.0,0.1618,HINSP-01092,0.1573,0.3065,medium
HCU-01093,C011,管路总成,HDES-00023,HMAT-00130,HMAN-01063,HASM-01093,HOPR-01093,3390.3,0.3859,0.3303,0.2085,0.3767,0.3721,HPIP-00207,0.2519,0.2051,HINSP-01093,0.1431,0.2815,medium
HCU-01094,C008,液压油箱,HDES-00205,HMAT-00508,HMAN-00080,HASM-01094,HOPR-01094,3470.6,0.2406,0.3388,0.4016,0.1981,0.2611,,0.0,0.3332,HINSP-01094,0.176,0.2917,medium
HCU-01095,C011,管路总成,HDES-00023,HMAT-00130,HMAN-00906,HASM-01095,HOPR-01095,1965.0,0.1137,0.3303,0.2269,0.1023,0.129,HPIP-00208,0.3241,0.252,HINSP-01095,0.1389,0.1975,low
HCU-01096,C011,管路总成,HDES-00985,HMAT-00150,HMAN-01197,HASM-01096,HOPR-01096,6960.0,0.1934,0.3862,0.5186,0.378,0.3615,HPIP-00209,0.07,0.1674,HINSP-01096,0.1791,0.3415,medium
HCU-01097,C003,作动筒,HDES-00651,HMAT-00253,HMAN-00264,HASM-01097,HOPR-01097,8302.5,0.5461,0.1844,0.2919,0.3406,0.6079,,0.0,0.0799,HINSP-01097,0.175,0.2952,medium
HCU-01098,C001,液压泵总成,HDES-00990,HMAT-00032,HMAN-00360,HASM-01098,HOPR-01098,307.2,0.0947,0.4548,0.1774,0.3215,0.029,,0.0,0.1864,HINSP-01098,0.1314,0.2132,low
HCU-01099,C011,管路总成,HDES-00078,HMAT-00517,HMAN-00390,HASM-01099,HOPR-01099,521.9,0.5493,0.1047,0.1873,0.5251,0.3161,HPIP-00210,0.3248,0.3673,HINSP-01099,0.1646,0.2872,medium
HCU-01100,C008,液压油箱,HDES-00749,HMAT-00395,HMAN-00240,HASM-01100,HOPR-01100,4359.8,0.4257,0.3243,0.4893,0.3506,0.4061,,0.0,0.005,HINSP-01100,0.1215,0.295,medium
HCU-01101,C007,过滤器,HDES-00149,HMAT-00585,HMAN-00148,HASM-01101,HOPR-01101,7509.3,0.4315,0.3669,0.1788,0.5077,0.4459,,0.0,0.281,HINSP-01101,0.1893,0.3378,medium
HCU-01102,C006,冷却器,HDES-00273,HMAT-00090,HMAN-00638,HASM-01102,HOPR-01102,3005.7,0.5823,0.2108,0.1837,0.3345,0.4251,,0.0,0.0259,HINSP-01102,0.1046,0.2248,low
