pipe_design_id,component_uid,L1,L2,L3,theta1,theta2,R,max_deformation,max_equivalent_stress,allowable_stress,design_risk_score,design_risk_level
HPIP-00234,HCU-01272,132.906,225.011,211.507,75.792,105.806,25.014,1.3237,265.186,385.181,0.2409,low
HPIP-00235,HCU-01274,385.099,197.465,123.25,116.651,132.986,29.503,1.8056,223.49,364.324,0.199,low
HPIP-00236,HCU-01277,234.633,299.749,203.798,128.942,125.844,20.983,1.7794,294.255,343.141,0.383,medium
HPIP-00237,HCU-01301,440.606,335.619,190.969,72.221,72.51,34.654,2.5828,326.508,384.931,0.407,medium
HPIP-00238,HCU-01310,289.947,90.656,225.873,130.56,65.069,30.747,1.3638,308.144,355.44,0.3479,medium
HPIP-00239,HCU-01311,165.998,111.346,222.607,114.581,112.695,21.123,0.998,178.363,371.113,0.0862,low
HPIP-00240,HCU-01313,441.662,138.163,227.64,159.189,109.493,12.018,2.0622,288.7,425.912,0.3527,medium
HPIP-00241,HCU-01314,441.143,287.59,239.065,79.745,70.609,13.888,2.5721,374.458,353.48,0.618,high
HPIP-00242,HCU-01331,388.479,184.872,217.066,86.945,104.346,26.103,1.7968,238.586,366.169,0.2351,low
HPIP-00243,HCU-01333,362.35,196.388,153.893,116.25,62.457,27.533,1.9985,296.111,353.776,0.3742,medium
HPIP-00244,HCU-01336,157.193,341.81,145.883,109.375,141.482,21.43,1.6749,276.338,341.345,0.3437,medium
HPIP-00245,HCU-01357,342.015,170.728,173.278,158.781,97.576,24.335,1.8126,311.091,367.459,0.3899,medium
HPIP-00246,HCU-01360,408.043,376.484,138.868,131.748,123.941,30.864,2.3264,280.287,351.272,0.3391,medium
HPIP-00247,HCU-01364,435.261,417.383,186.055,148.021,73.466,16.075,2.8394,366.276,358.068,0.6089,high
HPIP-00248,HCU-01365,388.592,328.239,100.832,91.907,119.546,35.685,2.2127,263.248,344.12,0.2827,medium
HPIP-00249,HCU-01368,381.07,194.632,190.49,123.874,129.839,31.67,1.8795,251.043,374.84,0.2305,low
HPIP-00250,HCU-01376,119.794,390.58,145.269,149.329,150.612,38.619,1.8171,289.081,392.617,0.2796,medium
HPIP-00251,HCU-01387,108.214,204.981,125.541,82.457,157.887,24.409,1.3702,294.255,325.179,0.4092,medium
HPIP-00252,HCU-01395,371.945,432.35,157.265,130.795,120.875,33.137,2.3475,265.295,366.743,0.2828,medium
HPIP-00253,HCU-01401,234.305,131.018,166.48,119.696,73.115,37.033,1.306,244.387,337.583,0.2136,low
HPIP-00254,HCU-01404,408.35,97.828,155.499,116.77,103.199,35.531,1.4785,223.376,344.333,0.1549,low
HPIP-00255,HCU-01406,215.577,296.903,53.123,144.895,150.481,5.455,2.4215,397.187,347.396,0.7014,high
HPIP-00256,HCU-01407,362.816,245.965,70.146,102.295,150.642,27.21,1.8961,281.175,374.815,0.3133,medium
HPIP-00257,HCU-01418,280.772,426.94,103.828,127.389,109.98,33.182,2.13,248.048,364.921,0.2291,low
HPIP-00258,HCU-01421,209.18,305.772,186.816,127.87,120.024,12.949,1.8847,292.399,296.194,0.4947,medium
HPIP-00259,HCU-01427,417.502,257.224,181.621,92.446,62.842,25.815,2.1689,337.619,249.313,0.7038,high
HPIP-00260,HCU-01428,131.793,435.261,84.49,150.59,119.752,12.672,2.0761,317.012,329.192,0.5167,high
HPIP-00261,HCU-01432,118.839,438.401,205.709,107.919,116.5,28.508,1.7743,199.432,311.525,0.196,low
HPIP-00262,HCU-01436,200.445,402.552,145.648,63.953,153.127,5.078,2.7477,459.564,308.962,0.9374,critical
HPIP-00263,HCU-01444,126.967,162.246,244.422,147.126,142.959,30.125,1.2798,231.386,319.037,0.2678,medium
HPIP-00264,HCU-01448,406.161,425.597,161.483,147.986,110.36,17.261,2.6182,301.537,357.106,0.4496,medium
HPIP-00265,HCU-01461,394.084,164.403,251.294,132.474,69.812,7.884,2.2292,382.534,306.596,0.7258,high
HPIP-00266,HCU-01469,268.231,435.504,237.377,145.289,140.817,9.042,2.6716,362.465,389.328,0.5686,high
HPIP-00267,HCU-01472,222.701,256.148,229.626,118.984,152.124,33.501,1.6599,289.308,389.897,0.2674,medium
HPIP-00268,HCU-01478,394.002,253.798,215.809,76.653,105.205,14.243,2.1848,281.664,373.087,0.3836,medium
HPIP-00269,HCU-01499,324.913,162.998,105.767,65.068,159.418,31.813,1.8431,306.391,393.927,0.3509,medium
HPIP-00270,HCU-01500,415.864,224.861,83.47,150.814,113.087,6.161,2.571,386.339,383.323,0.5977,high
HPIP-00271,HCU-01504,392.75,376.736,107.36,97.54,120.008,15.767,2.461,280.02,380.058,0.3681,medium
HPIP-00272,HCU-01507,371.261,266.82,238.936,140.081,130.282,28.528,2.0166,274.812,319.922,0.3801,medium
HPIP-00273,HCU-01514,361.825,144.357,251.542,135.779,89.822,28.968,1.7083,237.095,365.634,0.2318,low
HPIP-00274,HCU-01518,403.718,240.719,75.47,91.839,150.567,22.472,2.1207,280.452,339.856,0.4032,medium
HPIP-00275,HCU-01522,304.02,105.447,167.342,153.597,69.353,9.705,1.8904,363.017,419.893,0.4952,medium
HPIP-00276,HCU-01527,413.376,211.55,192.764,99.106,79.703,13.196,2.1843,301.134,362.176,0.4358,medium
HPIP-00277,HCU-01534,425.909,247.117,253.644,81.227,118.837,7.94,2.4345,365.5,378.412,0.5502,high
HPIP-00278,HCU-01536,347.312,286.102,190.107,79.178,107.749,33.034,1.9547,258.096,364.799,0.2504,medium
HPIP-00279,HCU-01544,98.052,432.298,177.933,108.273,134.464,20.83,1.8121,237.366,407.629,0.2175,low
HPIP-00280,HCU-01554,105.945,307.455,252.771,66.505,99.936,31.028,1.5324,261.243,351.971,0.2731,medium
HPIP-00281,HCU-01556,364.924,227.863,115.752,139.426,106.827,30.519,1.8727,251.75,322.799,0.2981,medium
HPIP-00282,HCU-01565,330.91,109.723,197.999,137.496,129.043,30.833,1.4928,265.184,351.802,0.2712,medium
HPIP-00283,HCU-01572,140.043,302.115,157.89,95.073,149.168,28.031,1.6925,283.203,324.799,0.3729,medium
HPIP-00284,HCU-01577,212.548,369.121,136.245,156.676,140.028,34.458,2.0432,293.94,413.992,0.2946,medium
HPIP-00285,HCU-01586,111.047,192.849,53.155,146.835,128.619,16.908,1.3634,288.125,392.036,0.3245,medium
HPIP-00286,HCU-01595,436.732,406.733,69.52,119.426,77.726,17.642,2.4694,307.709,321.889,0.5064,high
HPIP-00287,HCU-01605,141.146,205.046,204.377,153.227,139.864,21.8,1.477,252.116,393.314,0.2726,medium
HPIP-00288,HCU-01609,243.74,353.642,259.175,76.394,78.962,36.433,1.8609,324.01,395.682,0.325,medium
HPIP-00289,HCU-01628,143.02,356.382,225.373,97.929,105.614,15.366,1.7223,256.044,338.011,0.3286,medium
HPIP-00290,HCU-01633,324.697,111.767,119.609,69.346,147.336,36.355,1.6658,293.092,451.818,0.2275,low
HPIP-00291,HCU-01634,206.349,86.298,217.684,110.948,95.257,8.074,1.3708,294.341,408.979,0.3168,medium
HPIP-00292,HCU-01638,93.474,367.307,257.495,69.572,132.968,10.257,1.8292,311.954,339.962,0.4986,medium
HPIP-00293,HCU-01639,107.614,383.826,230.163,132.439,101.768,35.575,1.5853,262.232,326.082,0.2688,medium
HPIP-00294,HCU-01645,402.038,339.528,230.579,91.633,144.311,20.307,2.379,315.923,267.95,0.6288,high
HPIP-00295,HCU-01665,191.721,242.237,154.369,88.131,151.331,39.92,1.62,270.999,421.315,0.1903,low
HPIP-00296,HCU-01673,296.568,423.327,160.137,148.647,86.954,19.195,2.319,329.297,340.827,0.5156,high
HPIP-00297,HCU-01676,334.147,184.76,98.958,76.784,96.267,9.283,2.0837,361.778,389.776,0.5091,high
HPIP-00298,HCU-01681,314.169,268.868,200.717,89.373,123.186,19.344,2.0152,283.253,358.543,0.3654,medium
HPIP-00299,HCU-01687,306.948,209.152,181.924,143.526,145.535,30.448,1.8184,299.979,390.737,0.3244,medium
HPIP-00300,HCU-01692,146.393,427.766,173.759,103.178,156.275,35.97,1.9794,285.006,338.508,0.3365,medium
HPIP-00301,HCU-01699,204.153,117.244,165.696,69.31,74.028,12.908,1.5084,343.755,357.143,0.5053,high
HPIP-00302,HCU-01702,403.938,123.335,137.799,159.758,87.514,20.712,1.9608,318.635,336.713,0.4848,medium
HPIP-00303,HCU-01717,102.651,285.524,135.39,91.437,94.054,32.552,1.3705,261.926,366.084,0.2212,low
HPIP-00304,HCU-01718,172.67,173.86,156.835,135.668,156.515,10.046,1.6581,352.532,346.964,0.5545,high
HPIP-00305,HCU-01723,212.912,106.166,78.692,122.121,113.468,10.722,1.383,275.72,371.369,0.3186,medium
HPIP-00306,HCU-01727,364.484,340.69,217.555,159.502,124.197,34.639,2.3094,285.054,367.034,0.3365,medium
HPIP-00307,HCU-01732,371.83,116.394,142.126,98.154,66.94,9.448,1.9369,321.534,407.348,0.4263,medium
HPIP-00308,HCU-01747,330.009,100.68,183.574,78.404,84.682,12.947,1.8639,320.015,386.968,0.4295,medium
HPIP-00309,HCU-01751,95.215,93.263,188.592,157.498,151.333,13.175,1.3793,334.765,302.957,0.5906,high
HPIP-00310,HCU-01768,412.842,117.874,227.124,122.644,123.687,13.44,1.9315,301.583,359.022,0.4086,medium
HPIP-00311,HCU-01773,296.579,437.152,189.979,102.592,62.02,13.1,2.5306,308.72,373.07,0.4703,medium
HPIP-00312,HCU-01776,203.461,332.795,244.61,158.984,67.491,11.816,2.1499,372.481,362.054,0.6046,high
HPIP-00313,HCU-01782,444.643,222.477,253.8,144.257,82.136,16.357,2.3288,344.289,409.387,0.457,medium
HPIP-00314,HCU-01787,113.075,112.504,188.319,143.698,92.679,23.963,1.1214,238.627,340.823,0.2522,medium
HPIP-00315,HCU-01791,194.024,320.827,111.784,110.594,69.815,39.873,1.626,250.662,329.439,0.2367,low
HPIP-00316,HCU-01797,419.461,291.338,168.07,107.099,80.068,37.509,2.0643,265.351,360.52,0.2532,medium
HPIP-00317,HCU-01799,320.313,193.375,181.782,124.027,63.934,14.018,1.8946,259.823,376.242,0.3507,medium
HPIP-00318,HCU-01800,425.561,151.585,76.553,154.64,129.161,31.713,2.0288,284.179,320.595,0.3956,medium
HPIP-00319,HCU-01802,207.835,439.231,95.798,142.174,142.218,16.703,2.1272,331.413,386.346,0.4546,medium
HPIP-00320,HCU-01805,313.121,205.542,194.737,91.94,138.713,31.449,1.7648,260.425,331.193,0.3049,medium
HPIP-00321,HCU-01810,321.903,255.675,120.12,129.139,86.694,22.485,1.832,290.8,358.665,0.36,medium
HPIP-00322,HCU-01811,425.911,183.064,242.953,65.017,119.993,24.388,2.0541,305.26,321.874,0.4579,medium
HPIP-00323,HCU-01812,229.192,329.115,148.534,64.373,156.748,14.469,2.0941,343.97,399.318,0.4927,medium
HPIP-00324,HCU-01824,121.932,163.003,160.87,105.496,145.848,25.295,1.0543,246.221,425.653,0.1606,low
HPIP-00325,HCU-01832,83.704,190.337,185.35,147.028,72.651,19.07,1.3995,302.254,306.768,0.4811,medium
HPIP-00326,HCU-01835,185.164,439.306,99.834,78.488,94.493,33.108,2.0013,277.56,342.885,0.3261,medium
HPIP-00327,HCU-01839,429.362,113.215,231.752,152.793,147.246,17.708,1.9799,311.332,327.455,0.5101,high
HPIP-00328,HCU-01844,320.035,387.961,193.575,110.932,63.487,22.528,2.2026,282.695,433.837,0.2962,medium
HPIP-00329,HCU-01850,186.357,429.15,74.018,99.581,130.453,32.004,1.9439,255.618,370.744,0.2417,low
HPIP-00330,HCU-01851,395.809,139.976,114.116,80.583,88.514,9.516,2.1146,322.198,317.566,0.564,high
HPIP-00331,HCU-01853,403.202,148.75,79.197,148.258,153.262,37.332,1.9389,303.345,374.413,0.3377,medium
HPIP-00332,HCU-01856,288.453,95.535,255.138,69.186,92.17,14.375,1.5925,323.344,351.929,0.4606,medium
HPIP-00333,HCU-01859,444.984,381.648,64.437,106.674,108.579,19.419,2.4642,250.513,337.475,0.3371,medium
HPIP-00334,HCU-01862,400.466,206.204,99.76,129.814,76.738,33.671,2.0134,282.66,413.715,0.2571,medium
HPIP-00335,HCU-01874,227.255,247.276,198.097,138.664,73.829,18.919,1.7801,272.097,393.859,0.3258,medium
HPIP-00336,HCU-01876,316.58,124.74,130.751,81.853,106.482,35.319,1.4274,205.476,339.614,0.1453,low
HPIP-00337,HCU-01910,125.661,257.069,78.753,71.9,132.983,19.312,1.4572,275.204,374.715,0.3249,medium
HPIP-00338,HCU-01911,418.487,105.438,153.22,114.986,77.463,32.122,1.7178,255.51,288.801,0.3466,medium
HPIP-00339,HCU-01914,215.995,302.19,175.774,128.932,86.043,39.403,1.7237,236.535,325.47,0.2274,low
HPIP-00340,HCU-01915,393.86,422.223,223.841,143.33,130.072,23.748,2.5408,317.212,424.016,0.3742,medium
HPIP-00341,HCU-01919,271.466,243.008,146.07,149.695,78.437,13.338,2.0574,370.956,404.376,0.5069,high
HPIP-00342,HCU-01924,438.607,360.274,81.371,62.427,148.604,7.705,2.9654,447.239,331.743,0.8555,critical
HPIP-00343,HCU-01932,256.729,363.827,220.041,66.775,109.911,19.751,1.9988,283.743,378.95,0.3481,medium
HPIP-00344,HCU-01956,337.829,415.855,189.816,139.197,74.596,22.47,2.4602,307.605,381.15,0.4203,medium
HPIP-00345,HCU-01958,296.329,368.306,215.832,128.679,65.339,39.234,2.2441,284.91,380.039,0.2953,medium
HPIP-00346,HCU-01968,80.856,354.341,181.465,138.145,146.852,23.706,1.6259,287.397,420.466,0.29,medium
HPIP-00347,HCU-01974,242.335,298.121,119.967,80.097,125.499,29.42,1.7745,241.299,348.105,0.2594,medium
HPIP-00348,HCU-01984,276.142,230.269,195.503,77.506,81.727,16.023,1.9535,274.855,288.382,0.4982,medium
HPIP-00349,HCU-01985,270.548,290.896,164.479,88.724,116.014,39.026,1.709,231.029,401.451,0.1249,low
HPIP-00350,HCU-01990,298.114,171.382,142.914,142.967,101.848,12.349,1.8223,286.169,308.74,0.4717,medium
HPIP-00351,HCU-01993,149.322,229.244,254.65,152.999,127.97,9.445,1.748,325.863,355.628,0.494,medium
HPIP-00352,HCU-01994,151.53,403.384,157.936,157.782,137.664,38.913,1.9158,272.938,303.891,0.3739,medium
HPIP-00353,HCU-01995,204.425,277.93,185.07,142.376,74.614,28.015,1.8337,309.491,377.113,0.3659,medium
HPIP-00354,HCU-01996,300.916,392.199,62.51,65.855,140.305,22.464,2.3761,317.134,250.208,0.6918,high
HPIP-00355,HCU-02003,421.548,119.566,184.763,79.499,68.395,23.74,1.9105,368.291,351.098,0.5271,high
HPIP-00356,HCU-02009,382.278,347.541,131.711,94.649,92.772,9.335,2.5384,330.55,335.576,0.5565,high
HPIP-00357,HCU-02021,370.929,155.305,126.801,151.294,155.977,29.075,2.0333,325.832,357.617,0.4458,medium
HPIP-00358,HCU-02027,90.817,284.161,161.818,121.507,155.849,36.717,1.5015,226.645,365.971,0.1777,low
HPIP-00359,HCU-02035,141.432,278.914,245.909,140.115,156.098,35.413,1.6343,274.555,359.887,0.2943,medium
HPIP-00360,HCU-02041,120.842,207.476,177.556,64.511,71.97,13.444,1.6085,325.905,330.736,0.5294,high
HPIP-00361,HCU-02061,307.791,145.701,117.747,90.699,128.511,7.113,1.9924,332.032,333.962,0.5423,high
HPIP-00362,HCU-02064,277.865,357.128,248.482,127.526,67.543,26.989,2.0881,287.764,325.972,0.4151,medium
HPIP-00363,HCU-02077,145.136,201.009,175.231,117.787,149.098,14.89,1.5464,288.427,373.657,0.3583,medium
HPIP-00364,HCU-02081,406.607,170.145,242.492,65.973,138.919,31.505,1.9859,286.789,340.678,0.3771,medium
HPIP-00365,HCU-02082,295.552,235.847,125.809,131.102,77.961,22.537,1.8107,310.369,330.285,0.4439,medium
HPIP-00366,HCU-02083,422.267,155.893,100.604,147.148,98.367,30.827,1.8287,292.168,334.623,0.3642,medium
HPIP-00367,HCU-02086,420.819,449.245,82.438,81.427,130.493,9.399,3.0062,380.895,340.445,0.6803,high
HPIP-00368,HCU-02089,268.471,269.263,123.739,78.464,114.442,11.906,2.0744,317.035,324.691,0.5135,high
HPIP-00369,HCU-02091,368.258,357.634,165.143,68.151,156.782,23.01,2.52,317.492,330.421,0.5349,high
HPIP-00370,HCU-02094,206.354,259.024,81.432,61.282,110.133,33.962,1.6501,268.44,355.96,0.2695,medium
HPIP-00371,HCU-02099,374.611,340.906,116.947,139.87,158.969,37.64,2.2422,320.706,360.029,0.3998,medium
HPIP-00372,HCU-02115,243.954,257.436,211.516,61.67,116.543,8.193,2.0613,320.056,364.248,0.4918,medium
HPIP-00373,HCU-02119,189.419,360.37,120.792,154.085,97.031,32.861,1.7906,300.603,366.472,0.33,medium
HPIP-00374,HCU-02122,421.88,311.508,60.451,129.098,69.892,29.204,2.4014,302.073,348.97,0.4143,medium
HPIP-00375,HCU-02124,137.942,161.099,75.77,119.474,114.673,8.316,1.4032,272.216,361.229,0.3359,medium
HPIP-00376,HCU-02131,167.73,311.736,86.598,112.885,90.054,15.854,1.6096,263.52,357.809,0.3134,medium
HPIP-00377,HCU-02136,203.013,371.775,161.89,67.263,132.329,36.282,1.9603,278.05,300.508,0.3942,medium
HPIP-00378,HCU-02144,396.352,374.907,152.301,138.484,93.773,39.407,2.3218,282.189,328.674,0.344,medium
HPIP-00379,HCU-02151,220.191,246.137,172.418,104.942,90.098,31.124,1.5927,221.409,366.716,0.1676,low
HPIP-00380,HCU-02154,381.798,387.71,140.546,116.724,144.802,31.235,2.3656,306.005,345.156,0.3972,medium
HPIP-00381,HCU-02156,195.582,111.659,235.186,65.522,112.731,13.119,1.4054,256.201,373.002,0.3084,medium
HPIP-00382,HCU-02157,234.913,157.595,226.126,143.842,101.539,28.421,1.3923,273.185,379.347,0.252,medium
HPIP-00383,HCU-02158,129.277,290.372,85.251,94.212,96.64,6.782,1.759,348.733,397.213,0.4528,medium
HPIP-00384,HCU-02163,127.679,394.981,256.492,126.577,93.438,15.784,1.7762,267.503,344.005,0.3585,medium
HPIP-00385,HCU-02166,409.72,337.932,50.212,95.939,109.349,22.536,2.1487,229.702,401.298,0.2141,low
HPIP-00386,HCU-02167,146.759,399.969,105.225,68.706,100.82,28.232,1.9083,261.604,363.908,0.2933,medium
HPIP-00387,HCU-02172,288.892,200.133,61.055,153.021,83.691,20.515,1.9018,304.293,342.096,0.446,medium
HPIP-00388,HCU-02176,209.616,221.701,102.619,144.96,131.518,9.239,1.7824,323.877,416.134,0.4126,medium
HPIP-00389,HCU-02177,88.518,197.701,221.559,145.433,122.041,20.292,1.2806,269.223,345.582,0.3214,medium
HPIP-00390,HCU-02181,270.487,151.222,79.116,105.621,118.389,34.536,1.4126,203.994,423.575,0.0575,low
HPIP-00391,HCU-02184,200.382,389.167,150.393,94.34,89.777,22.675,1.9301,248.123,446.399,0.211,low
HPIP-00392,HCU-02194,376.897,113.166,186.434,96.183,140.744,17.521,1.796,293.957,325.754,0.4357,medium
HPIP-00393,HCU-02195,428.579,437.619,142.738,148.913,80.174,16.46,2.79,304.97,340.244,0.5248,high
HPIP-00394,HCU-02197,100.399,214.06,229.493,115.126,130.298,34.502,1.1903,244.138,366.737,0.1628,low
HPIP-00395,HCU-02208,336.594,209.784,196.814,152.129,150.513,19.962,1.9385,362.508,316.008,0.6137,high
HPIP-00396,HCU-02224,433.604,193.579,156.568,64.534,63.152,12.419,2.4528,403.193,373.122,0.6521,high
HPIP-00397,HCU-02245,107.577,119.596,118.279,65.707,125.259,32.068,1.1236,240.91,389.768,0.1762,low
HPIP-00398,HCU-02247,344.768,321.489,88.685,119.289,93.272,31.186,1.933,279.944,348.348,0.3061,medium
HPIP-00399,HCU-02252,139.614,338.251,76.695,120.258,62.674,5.113,2.3953,411.044,338.963,0.7237,high
HPIP-00400,HCU-02255,105.799,294.6,168.927,120.031,84.969,37.2,1.3305,222.904,358.663,0.1435,low
HPIP-00401,HCU-02260,89.104,87.971,69.536,149.016,125.033,6.997,1.3619,336.637,346.191,0.5061,high
HPIP-00402,HCU-02265,415.194,365.791,216.192,151.89,135.667,25.353,2.4791,353.078,367.306,0.5007,high
HPIP-00403,HCU-02269,133.737,284.527,104.299,96.739,70.463,37.082,1.6124,285.515,299.503,0.3722,medium
HPIP-00404,HCU-02272,113.733,114.597,153.421,143.55,116.563,8.82,1.318,315.842,298.201,0.5313,high
HPIP-00405,HCU-02278,376.575,365.817,57.076,78.047,120.242,8.557,2.683,335.324,345.545,0.5705,high
HPIP-00406,HCU-02280,176.536,208.398,182.905,119.485,74.751,36.494,1.4326,246.407,385.717,0.173,low
HPIP-00407,HCU-02281,341.976,147.642,93.287,157.674,149.694,37.239,1.8174,311.6,401.668,0.3162,medium
HPIP-00408,HCU-02314,431.083,391.735,102.734,121.427,144.326,29.942,2.4918,307.097,397.257,0.3496,medium
HPIP-00409,HCU-02320,116.932,187.824,156.282,62.745,128.855,26.784,1.3354,292.87,362.41,0.3307,medium
HPIP-00410,HCU-02332,434.191,412.351,184.872,64.972,131.618,38.019,2.6025,312.168,403.578,0.3409,medium
HPIP-00411,HCU-02334,117.152,393.46,186.844,82.456,132.244,37.692,1.7508,274.298,333.226,0.2998,medium
HPIP-00412,HCU-02335,215.232,380.651,151.222,62.318,60.832,31.508,2.166,326.913,294.397,0.5684,high
HPIP-00413,HCU-02342,386.039,431.039,221.155,144.644,99.748,23.409,2.5697,301.476,390.402,0.3831,medium
HPIP-00414,HCU-02350,144.588,211.928,159.28,101.395,135.417,30.576,1.2338,196.841,382.288,0.1047,low
HPIP-00415,HCU-02355,263.111,289.364,253.548,127.782,145.49,15.005,1.9866,286.205,346.951,0.4231,medium
HPIP-00416,HCU-02358,345.303,194.662,231.671,110.004,141.83,6.696,2.2239,346.276,370.311,0.5188,high
HPIP-00417,HCU-02363,145.588,136.217,238.196,153.376,90.802,16.236,1.3772,275.655,357.308,0.3568,medium
HPIP-00418,HCU-02364,342.481,163.184,152.403,159.088,139.937,33.84,1.8498,311.3,330.606,0.4217,medium
HPIP-00419,HCU-02374,447.801,248.779,220.003,149.217,77.031,14.503,2.4758,341.62,349.786,0.5637,high
HPIP-00420,HCU-02399,137.159,217.07,100.892,63.292,107.613,21.945,1.4693,280.743,449.596,0.2378,low
HPIP-00421,HCU-02411,248.926,360.194,221.484,150.35,107.072,15.533,2.1169,315.791,363.978,0.4438,medium
HPIP-00422,HCU-02414,329.771,384.925,54.618,103.784,93.493,18.935,2.3164,304.695,347.596,0.4257,medium
HPIP-00423,HCU-02420,100.926,304.353,183.315,60.367,72.563,13.962,1.8722,331.005,311.017,0.5932,high
HPIP-00424,HCU-02428,115.878,194.507,200.479,86.879,153.11,13.163,1.4756,321.431,329.232,0.4996,medium
HPIP-00425,HCU-02441,399.851,279.515,161.053,69.494,65.476,31.812,2.2023,350.994,366.708,0.4686,medium
HPIP-00426,HCU-02446,81.48,437.843,234.664,116.025,156.133,6.974,2.1703,359.105,323.948,0.635,high
HPIP-00427,HCU-02449,125.159,300.778,248.697,156.939,111.779,6.116,2.0213,353.84,305.244,0.6553,high
HPIP-00428,HCU-02450,241.72,433.256,113.847,140.93,89.293,9.985,2.3894,329.44,398.665,0.4711,medium
HPIP-00429,HCU-02452,343.024,379.125,70.434,77.477,139.7,31.057,2.3117,322.666,408.857,0.3588,medium
HPIP-00430,HCU-02458,446.806,114.121,196.137,99.75,144.133,38.373,1.821,266.066,282.864,0.3639,medium
HPIP-00431,HCU-02459,315.866,340.668,173.042,125.147,121.229,22.752,1.9117,288.589,315.179,0.4086,medium
HPIP-00432,HCU-02465,379.526,96.017,129.595,122.657,148.408,36.218,1.6555,288.496,364.973,0.2828,medium
HPIP-00433,HCU-02470,375.364,99.033,167.907,145.214,60.305,24.228,1.7993,297.813,383.652,0.3724,medium
HPIP-00434,HCU-02473,279.608,408.706,165.481,72.012,61.89,12.086,2.5454,404.893,341.622,0.714,high
HPIP-00435,HCU-02482,303.378,183.303,251.212,92.763,107.064,19.852,1.6385,281.423,362.641,0.3172,medium
HPIP-00436,HCU-02504,132.622,403.211,180.168,150.624,94.502,35.493,1.8534,263.16,369.841,0.258,medium
HPIP-00437,HCU-02509,421.41,363.126,234.156,68.301,74.785,37.293,2.5097,316.014,338.099,0.442,medium
HPIP-00438,HCU-02511,400.67,229.786,161.368,150.096,61.564,32.578,2.2109,349.742,422.739,0.3938,medium
HPIP-00439,HCU-02517,244.788,137.327,247.295,103.871,143.225,29.61,1.3261,239.206,322.628,0.2517,medium
HPIP-00440,HCU-02532,312.661,324.22,170.588,157.495,65.728,22.989,2.3146,368.339,365.961,0.5514,high
HPIP-00441,HCU-02536,428.133,198.301,202.908,94.329,149.809,16.555,2.276,338.163,353.117,0.5138,high
HPIP-00442,HCU-02556,197.687,387.115,81.126,67.326,159.918,33.198,2.0941,364.351,352.775,0.5067,high
HPIP-00443,HCU-02557,294.24,378.142,166.406,66.215,95.96,27.637,2.2454,323.634,304.355,0.5248,high
HPIP-00444,HCU-02561,239.865,426.978,241.012,107.304,132.686,16.894,2.1546,294.098,358.326,0.3949,medium
HPIP-00445,HCU-02564,110.099,389.737,232.913,61.535,147.476,32.191,1.9152,322.58,310.19,0.4974,medium
HPIP-00446,HCU-02576,130.474,166.572,93.825,91.554,120.797,22.38,1.1285,239.395,403.959,0.1757,low
HPIP-00447,HCU-02577,218.935,178.217,197.457,124.788,159.53,5.124,2.0243,418.044,415.045,0.5875,high
HPIP-00448,HCU-02578,182.861,218.489,174.716,93.091,131.456,33.719,1.4368,243.977,353.018,0.2099,low
HPIP-00449,HCU-02582,173.502,195.218,114.575,94.697,137.214,19.201,1.471,270.697,291.441,0.4205,medium
HPIP-00450,HCU-02583,222.345,278.792,148.126,62.51,94.28,6.022,2.2835,372.481,377.445,0.5871,high
HPIP-00451,HCU-02586,431.761,311.115,247.225,61.829,122.318,28.587,2.4766,277.839,348.524,0.3835,medium
HPIP-00452,HCU-02601,363.733,151.67,115.359,73.493,157.884,5.228,2.5127,423.217,325.433,0.8084,critical
HPIP-00453,HCU-02602,420.63,115.337,139.886,106.423,100.129,39.501,1.659,223.53,355.319,0.1368,low
HPIP-00454,HCU-02603,341.143,314.03,95.521,65.848,158.293,25.399,2.3931,345.859,347.956,0.5389,high
HPIP-00455,HCU-02606,435.998,131.641,189.118,106.341,69.816,6.437,2.2839,403.599,341.411,0.6791,high
HPIP-00456,HCU-02607,241.33,401.619,104.804,74.262,107.54,32.208,2.0077,276.891,418.813,0.2358,low
HPIP-00457,HCU-02612,86.239,399.799,146.209,94.334,151.362,24.518,1.652,270.76,366.795,0.3117,medium
HPIP-00458,HCU-02613,316.425,90.503,106.411,93.276,71.763,8.495,1.9023,335.212,355.988,0.5169,high
HPIP-00459,HCU-02622,181.652,142.87,220.688,150.458,94.48,34.756,1.2804,267.711,300.492,0.3286,medium
HPIP-00460,HCU-02625,357.542,130.794,82.294,136.675,127.478,33.197,1.6877,271.804,355.312,0.2769,medium
HPIP-00461,HCU-02631,437.008,386.074,130.739,132.757,92.224,8.664,2.7658,361.516,383.512,0.5575,high
HPIP-00462,HCU-02637,236.431,370.9,174.902,141.91,94.385,10.354,2.3251,319.073,309.355,0.5801,high
HPIP-00463,HCU-02644,200.327,242.423,237.648,102.064,159.283,39.636,1.6158,261.974,361.391,0.2327,low
HPIP-00464,HCU-02656,88.253,420.979,156.716,86.256,122.577,5.322,2.1823,358.223,411.553,0.4894,medium
HPIP-00465,HCU-02660,109.132,166.18,111.976,74.502,123.141,28.744,1.1757,249.983,301.887,0.3056,medium
HPIP-00466,HCU-02665,289.991,322.729,221.995,115.352,143.02,37.126,1.9953,251.694,389.318,0.2042,low
HPIP-00467,HCU-02672,409.501,94.144,143.489,90.02,138.673,26.439,1.7596,284.226,365.903,0.3238,medium
