design_id,component_code,component_name,rated_pressure,rated_flow,temperature_limit,design_margin,design_risk_score,design_risk_level
HDES-00350,C009,单向阀,16.31,71.78,62.57,0.3778,0.2473,low
HDES-00351,C008,液压油箱,21.25,53.22,80.19,0.3222,0.0716,low
HDES-00352,C005,蓄能器,26.21,47.98,90.61,0.3379,0.1267,low
HDES-00353,C003,作动筒,20.75,55.94,74.79,0.2355,0.1887,low
HDES-00354,C008,液压油箱,15.66,91.32,83.63,0.3894,0.0331,low
HDES-00355,C011,管路总成,15.11,24.49,88.75,0.3857,0.2525,medium
HDES-00356,C001,液压泵总成,25.45,79.71,87.27,0.34,0.1074,low
HDES-00357,C003,作动筒,17.86,73.76,101.73,0.2706,0.1862,low
HDES-00358,C007,过滤器,19.24,15.73,85.58,0.2653,0.1945,low
HDES-00359,C001,液压泵总成,26.13,86.33,72.24,0.3228,0.1353,low
HDES-00360,C003,作动筒,17.58,61.69,83.2,0.4013,0.0522,low
HDES-00361,C005,蓄能器,17.82,64.28,107.88,0.3754,0.1793,low
HDES-00362,C004,溢流阀,28.79,50.24,70.61,0.3367,0.205,low
HDES-00363,C008,液压油箱,13.91,101.71,84.71,0.394,0.1213,low
HDES-00364,C007,过滤器,16.62,46.26,90.22,0.4135,0.075,low
HDES-00365,C001,液压泵总成,27.04,76.68,98.68,0.3981,0.0,low
HDES-00366,C003,作动筒,16.95,40.29,98.02,0.4122,0.0,low
HDES-00367,C009,单向阀,16.04,68.71,74.85,0.4173,0.0536,low
HDES-00368,C006,冷却器,18.28,36.95,85.86,0.4288,0.0,low
HDES-00369,C008,液压油箱,27.62,115.98,97.05,0.3363,0.1359,low
HDES-00370,C007,过滤器,23.19,75.99,86.95,0.4306,0.0,low
HDES-00371,C005,蓄能器,27.2,61.23,81.88,0.3812,0.0089,low
HDES-00372,C011,管路总成,25.79,54.55,105.65,0.334,0.1276,low
HDES-00373,C012,卸荷阀,21.83,89.57,85.35,0.3481,0.1521,low
HDES-00374,C011,管路总成,19.43,69.75,95.55,0.2991,0.2926,medium
HDES-00375,C008,液压油箱,18.73,100.95,81.95,0.2931,0.1246,low
HDES-00376,C008,液压油箱,16.06,115.66,59.25,0.3971,0.2142,low
HDES-00377,C011,管路总成,20.52,30.33,58.19,0.39,0.3276,medium
HDES-00378,C003,作动筒,21.2,75.73,66.2,0.3021,0.2309,low
HDES-00379,C001,液压泵总成,27.15,113.62,80.72,0.4616,0.0095,low
HDES-00380,C001,液压泵总成,28.07,92.09,85.46,0.3468,0.0945,low
HDES-00381,C008,液压油箱,22.86,97.62,78.17,0.4664,0.0,low
HDES-00382,C011,管路总成,19.79,62.41,71.31,0.3181,0.3373,medium
HDES-00383,C003,作动筒,29.59,69.88,75.41,0.0913,0.4192,medium
HDES-00384,C012,卸荷阀,30.82,26.62,59.37,0.2875,0.2782,medium
HDES-00385,C002,方向控制阀,13.65,110.81,85.88,0.397,0.1582,low
HDES-00386,C001,液压泵总成,25.21,126.66,71.74,0.327,0.1109,low
HDES-00387,C011,管路总成,21.31,46.43,62.37,0.253,0.3832,medium
HDES-00388,C001,液压泵总成,24.14,81.91,96.8,0.3567,0.0254,low
HDES-00389,C001,液压泵总成,22.75,63.88,84.94,0.3731,0.0666,low
HDES-00390,C005,蓄能器,21.97,62.2,72.06,0.4467,0.0858,low
HDES-00391,C012,卸荷阀,24.78,73.09,92.43,0.3503,0.0454,low
HDES-00392,C002,方向控制阀,12.86,99.63,76.62,0.3103,0.306,medium
HDES-00393,C008,液压油箱,19.5,91.27,87.35,0.3933,0.0573,low
HDES-00394,C006,冷却器,23.86,67.65,76.75,0.2759,0.1465,low
HDES-00395,C006,冷却器,21.09,66.76,74.05,0.2551,0.226,low
HDES-00396,C004,溢流阀,26.91,79.21,88.75,0.3453,0.0543,low
HDES-00397,C004,溢流阀,19.93,52.49,93.56,0.4182,0.0705,low
HDES-00398,C006,冷却器,24.64,68.69,91.99,0.4489,0.0114,low
HDES-00399,C009,单向阀,11.76,48.7,82.42,0.4098,0.115,low
HDES-00400,C004,溢流阀,26.23,67.84,86.7,0.2974,0.1837,low
HDES-00401,C009,单向阀,21.38,48.04,89.86,0.3609,0.0902,low
HDES-00402,C003,作动筒,17.03,61.34,87.1,0.3657,0.0995,low
HDES-00403,C010,节流阀,11.51,91.36,86.06,0.2863,0.325,medium
HDES-00404,C006,冷却器,15.5,42.76,81.92,0.3936,0.0807,low
HDES-00405,C002,方向控制阀,13.09,76.2,78.72,0.2586,0.2832,medium
HDES-00406,C005,蓄能器,25.03,78.09,84.68,0.3095,0.1474,low
HDES-00407,C010,节流阀,11.69,108.79,73.08,0.2546,0.3332,medium
HDES-00408,C011,管路总成,21.63,61.22,95.38,0.1918,0.3828,medium
HDES-00409,C012,卸荷阀,18.75,76.88,68.52,0.2887,0.3139,medium
HDES-00410,C005,蓄能器,25.42,54.72,84.66,0.3461,0.1443,low
HDES-00411,C004,溢流阀,23.48,79.13,70.12,0.4262,0.063,low
HDES-00412,C004,溢流阀,16.61,49.87,88.21,0.3605,0.2758,medium
HDES-00413,C011,管路总成,17.88,73.39,80.18,0.4371,0.126,low
HDES-00414,C012,卸荷阀,21.38,85.41,89.91,0.2979,0.2509,medium
HDES-00415,C011,管路总成,28.56,36.39,91.89,0.2644,0.1906,low
HDES-00416,C002,方向控制阀,10.55,73.16,78.7,0.3878,0.1726,low
HDES-00417,C009,单向阀,14.32,61.32,75.85,0.2621,0.311,medium
HDES-00418,C003,作动筒,21.74,39.74,76.75,0.3618,0.0636,low
HDES-00419,C007,过滤器,14.24,31.19,86.35,0.3012,0.1883,low
HDES-00420,C009,单向阀,9.08,45.59,95.25,0.4253,0.202,low
HDES-00421,C006,冷却器,13.7,74.98,88.38,0.4152,0.1318,low
HDES-00422,C012,卸荷阀,27.71,56.6,72.87,0.1426,0.3419,medium
HDES-00423,C007,过滤器,17.04,86.89,100.22,0.3122,0.1767,low
HDES-00424,C007,过滤器,22.79,61.08,92.77,0.2877,0.1626,low
HDES-00425,C012,卸荷阀,28.36,68.08,79.82,0.3952,0.0,low
HDES-00426,C006,冷却器,15.72,18.88,85.95,0.2483,0.2379,low
HDES-00427,C001,液压泵总成,26.77,82.68,62.22,0.4214,0.1138,low
HDES-00428,C010,节流阀,22.49,68.58,80.07,0.3473,0.1234,low
HDES-00429,C008,液压油箱,18.07,111.67,92.68,0.2752,0.2369,low
HDES-00430,C009,单向阀,21.15,64.26,78.33,0.3681,0.1376,low
HDES-00431,C001,液压泵总成,24.32,87.18,65.94,0.2325,0.3432,medium
HDES-00432,C010,节流阀,23.12,118.68,89.27,0.3854,0.0684,low
HDES-00433,C010,节流阀,15.0,106.59,68.78,0.4549,0.1413,low
HDES-00434,C001,液压泵总成,23.31,102.68,60.86,0.3624,0.269,medium
HDES-00435,C012,卸荷阀,30.34,12.0,80.32,0.248,0.2637,medium
HDES-00436,C003,作动筒,24.62,83.56,69.81,0.1614,0.2966,medium
HDES-00437,C003,作动筒,17.27,58.14,68.05,0.2987,0.278,medium
HDES-00438,C007,过滤器,21.08,51.82,89.46,0.3005,0.1781,low
HDES-00439,C002,方向控制阀,17.57,83.14,80.59,0.4321,0.0628,low
HDES-00440,C011,管路总成,21.85,76.14,94.74,0.2507,0.238,low
HDES-00441,C001,液压泵总成,28.38,79.62,69.35,0.4029,0.111,low
HDES-00442,C009,单向阀,13.9,54.58,83.88,0.2871,0.2649,medium
HDES-00443,C012,卸荷阀,22.91,51.88,73.39,0.2237,0.2937,medium
HDES-00444,C002,方向控制阀,15.74,91.51,71.75,0.2982,0.2473,low
HDES-00445,C010,节流阀,13.66,108.21,76.14,0.3851,0.1481,low
HDES-00446,C009,单向阀,20.95,52.2,87.96,0.3421,0.1922,low
HDES-00447,C008,液压油箱,15.33,105.32,85.6,0.2681,0.2676,medium
HDES-00448,C011,管路总成,31.28,70.77,76.91,0.4285,0.005,low
HDES-00449,C002,方向控制阀,15.43,99.16,66.24,0.2446,0.405,medium
HDES-00450,C007,过滤器,18.28,61.27,65.26,0.2517,0.3705,medium
HDES-00451,C004,溢流阀,16.94,60.02,83.75,0.3373,0.3117,medium
HDES-00452,C005,蓄能器,29.36,47.43,66.05,0.4443,0.053,low
HDES-00453,C002,方向控制阀,20.99,104.62,83.89,0.4471,0.0,low
HDES-00454,C006,冷却器,9.51,47.61,98.71,0.3296,0.2864,medium
HDES-00455,C007,过滤器,18.11,43.08,84.85,0.3693,0.0468,low
HDES-00456,C011,管路总成,23.68,42.89,97.33,0.3617,0.0452,low
HDES-00457,C007,过滤器,22.13,79.56,94.59,0.2427,0.2511,medium
HDES-00458,C006,冷却器,30.65,77.54,66.3,0.4023,0.0964,low
HDES-00459,C002,方向控制阀,19.17,78.54,80.71,0.3021,0.132,low
HDES-00460,C007,过滤器,16.39,35.16,77.47,0.2055,0.3157,medium
HDES-00461,C001,液压泵总成,15.35,87.52,63.01,0.4483,0.3558,medium
HDES-00462,C008,液压油箱,18.66,106.15,87.37,0.258,0.2748,medium
HDES-00463,C004,溢流阀,18.88,52.32,65.24,0.3173,0.3168,medium
HDES-00464,C012,卸荷阀,24.89,29.84,66.37,0.4118,0.0902,low
HDES-00465,C012,卸荷阀,23.77,73.67,75.37,0.3199,0.161,low
HDES-00466,C002,方向控制阀,20.59,73.88,86.08,0.4059,0.065,low
HDES-00467,C001,液压泵总成,22.57,69.32,71.92,0.323,0.2022,low
HDES-00468,C002,方向控制阀,15.01,74.83,72.06,0.2003,0.3982,medium
HDES-00469,C001,液压泵总成,25.02,95.34,83.74,0.1535,0.3594,medium
HDES-00470,C005,蓄能器,26.08,40.19,77.21,0.2727,0.2136,low
HDES-00471,C009,单向阀,11.4,47.86,79.48,0.2839,0.3653,medium
HDES-00472,C011,管路总成,26.74,14.36,96.76,0.2,0.3177,medium
HDES-00473,C008,液压油箱,14.91,84.2,76.37,0.4335,0.0735,low
HDES-00474,C007,过滤器,22.94,57.79,92.13,0.3611,0.0646,low
HDES-00475,C009,单向阀,14.14,62.18,82.25,0.3966,0.0957,low
HDES-00476,C001,液压泵总成,23.97,96.94,70.46,0.3471,0.1294,low
HDES-00477,C009,单向阀,12.33,43.44,77.85,0.3694,0.1995,low
HDES-00478,C009,单向阀,22.47,83.79,69.0,0.3466,0.1919,low
HDES-00479,C007,过滤器,26.17,88.5,76.0,0.4172,0.0061,low
HDES-00480,C011,管路总成,15.97,26.39,62.81,0.286,0.4222,medium
HDES-00481,C012,卸荷阀,25.75,55.76,96.59,0.3884,0.0438,low
HDES-00482,C003,作动筒,16.61,96.63,61.8,0.1962,0.4176,medium
HDES-00483,C003,作动筒,19.6,83.37,62.55,0.3107,0.2277,low
HDES-00484,C008,液压油箱,20.54,89.32,82.62,0.2566,0.2517,medium
HDES-00485,C010,节流阀,23.92,67.09,65.44,0.3143,0.1812,low
HDES-00486,C012,卸荷阀,16.68,35.88,73.64,0.3363,0.2756,medium
HDES-00487,C004,溢流阀,32.09,53.23,67.1,0.316,0.1419,low
HDES-00488,C007,过滤器,23.04,37.14,101.55,0.1889,0.2984,medium
HDES-00489,C007,过滤器,19.77,26.19,74.79,0.2286,0.3111,medium
HDES-00490,C004,溢流阀,32.06,79.87,94.09,0.4466,0.0143,low
HDES-00491,C009,单向阀,22.12,12.0,63.9,0.2585,0.2709,medium
HDES-00492,C001,液压泵总成,32.84,81.35,72.75,0.2789,0.2237,low
HDES-00493,C011,管路总成,26.45,81.39,73.62,0.3255,0.0997,low
HDES-00494,C010,节流阀,17.17,99.18,69.64,0.2823,0.2394,low
HDES-00495,C001,液压泵总成,18.51,110.85,79.63,0.1697,0.4549,medium
HDES-00496,C012,卸荷阀,21.26,63.3,70.34,0.3922,0.1659,low
HDES-00497,C002,方向控制阀,20.43,74.39,76.45,0.3919,0.0,low
HDES-00498,C006,冷却器,20.39,61.8,86.48,0.3335,0.0593,low
HDES-00499,C010,节流阀,28.18,109.84,69.55,0.2634,0.2238,low
HDES-00500,C012,卸荷阀,25.03,93.32,81.03,0.3133,0.1256,low
HDES-00501,C007,过滤器,23.33,12.0,82.37,0.4674,0.0,low
HDES-00502,C006,冷却器,21.89,53.87,75.39,0.3793,0.0019,low
HDES-00503,C008,液压油箱,16.69,68.28,92.86,0.3228,0.1948,low
HDES-00504,C012,卸荷阀,27.66,40.15,83.09,0.3174,0.0919,low
HDES-00505,C005,蓄能器,22.7,36.97,85.23,0.3201,0.1296,low
HDES-00506,C012,卸荷阀,16.51,23.28,55.42,0.3323,0.4241,medium
HDES-00507,C010,节流阀,14.36,81.05,79.28,0.3618,0.171,low
HDES-00508,C003,作动筒,23.99,55.49,84.19,0.2099,0.262,medium
HDES-00509,C012,卸荷阀,28.39,62.22,62.44,0.4246,0.143,low
HDES-00510,C011,管路总成,27.84,57.79,77.42,0.4058,0.0545,low
HDES-00511,C008,液压油箱,13.64,96.07,67.08,0.3186,0.3185,medium
HDES-00512,C005,蓄能器,18.51,66.63,72.44,0.2764,0.3535,medium
HDES-00513,C002,方向控制阀,13.51,77.69,96.08,0.2624,0.3809,medium
HDES-00514,C006,冷却器,14.05,38.65,100.19,0.3435,0.2476,low
HDES-00515,C010,节流阀,17.68,102.2,91.74,0.3408,0.1619,low
HDES-00516,C005,蓄能器,32.53,66.53,74.64,0.4594,0.0,low
HDES-00517,C009,单向阀,16.32,91.89,79.2,0.3277,0.2168,low
HDES-00518,C008,液压油箱,15.95,112.94,91.5,0.3026,0.2504,medium
HDES-00519,C011,管路总成,19.89,70.2,84.88,0.4856,0.1104,low
HDES-00520,C010,节流阀,17.47,99.44,93.68,0.309,0.1375,low
HDES-00521,C002,方向控制阀,18.97,93.49,73.64,0.3492,0.0936,low
HDES-00522,C001,液压泵总成,21.38,110.21,88.66,0.3586,0.1503,low
HDES-00523,C004,溢流阀,23.47,67.21,86.17,0.3618,0.0789,low
HDES-00524,C008,液压油箱,27.4,98.7,79.77,0.3574,0.1604,low
HDES-00525,C012,卸荷阀,19.21,40.57,59.36,0.3733,0.368,medium
HDES-00526,C001,液压泵总成,22.53,130.8,79.39,0.4466,0.0,low
HDES-00527,C009,单向阀,17.7,33.92,94.35,0.3202,0.168,low
HDES-00528,C004,溢流阀,23.88,25.8,78.75,0.2136,0.3103,medium
HDES-00529,C006,冷却器,13.4,64.65,91.56,0.2999,0.3372,medium
HDES-00530,C012,卸荷阀,23.63,44.7,85.56,0.4375,0.0494,low
HDES-00531,C007,过滤器,18.78,56.73,80.94,0.3288,0.1723,low
HDES-00532,C009,单向阀,18.78,12.0,71.62,0.4035,0.0534,low
HDES-00533,C007,过滤器,13.11,65.89,99.42,0.2454,0.3674,medium
HDES-00534,C012,卸荷阀,22.69,36.85,66.8,0.4439,0.1224,low
HDES-00535,C007,过滤器,8.58,73.61,82.04,0.3104,0.3943,medium
HDES-00536,C011,管路总成,33.84,48.17,82.07,0.3403,0.133,low
HDES-00537,C001,液压泵总成,27.99,96.74,91.38,0.3174,0.1225,low
HDES-00538,C005,蓄能器,33.23,53.85,81.9,0.3564,0.003,low
HDES-00539,C007,过滤器,17.92,48.02,76.33,0.2875,0.1403,low
HDES-00540,C010,节流阀,13.25,103.68,72.36,0.2812,0.2863,medium
HDES-00541,C002,方向控制阀,24.63,57.61,70.26,0.227,0.2909,medium
HDES-00542,C009,单向阀,26.89,54.59,81.87,0.3033,0.0895,low
HDES-00543,C001,液压泵总成,29.53,89.69,58.16,0.3925,0.2013,low
HDES-00544,C003,作动筒,11.83,44.17,70.22,0.2248,0.4147,medium
HDES-00545,C008,液压油箱,21.31,79.82,78.98,0.4459,0.0,low
HDES-00546,C010,节流阀,20.21,62.7,83.4,0.2437,0.2389,low
HDES-00547,C007,过滤器,12.87,43.54,78.17,0.2816,0.3504,medium
HDES-00548,C001,液压泵总成,16.26,67.41,89.14,0.2915,0.3989,medium
HDES-00549,C007,过滤器,20.18,89.43,85.16,0.1781,0.3118,medium
HDES-00550,C008,液压油箱,22.12,93.86,83.28,0.2989,0.1115,low
HDES-00551,C010,节流阀,15.45,64.73,74.82,0.1275,0.4654,medium
HDES-00552,C006,冷却器,8.35,65.06,68.74,0.4105,0.327,medium
HDES-00553,C008,液压油箱,7.54,123.9,90.91,0.1482,0.5959,high
HDES-00554,C012,卸荷阀,19.9,51.47,66.32,0.4501,0.2032,low
HDES-00555,C002,方向控制阀,17.6,89.56,97.95,0.2571,0.2333,low
HDES-00556,C004,溢流阀,30.06,62.8,87.46,0.4128,0.099,low
HDES-00557,C004,溢流阀,24.5,54.46,71.46,0.2666,0.2759,medium
HDES-00558,C009,单向阀,23.77,30.33,67.3,0.3055,0.1913,low
HDES-00559,C006,冷却器,13.21,48.09,70.85,0.2909,0.2876,medium
HDES-00560,C004,溢流阀,28.61,24.01,75.95,0.2586,0.1697,low
HDES-00561,C008,液压油箱,18.19,75.4,89.63,0.276,0.1333,low
HDES-00562,C003,作动筒,22.64,69.33,80.41,0.3483,0.1369,low
HDES-00563,C001,液压泵总成,27.63,88.58,73.86,0.3336,0.1667,low
HDES-00564,C006,冷却器,15.63,65.84,105.33,0.3206,0.2067,low
HDES-00565,C001,液压泵总成,25.39,66.0,85.51,0.4161,0.0,low
HDES-00566,C009,单向阀,16.99,71.33,77.9,0.4442,0.0141,low
HDES-00567,C008,液压油箱,15.43,101.35,82.44,0.306,0.2364,low
HDES-00568,C003,作动筒,14.19,34.09,82.65,0.3753,0.1323,low
HDES-00569,C003,作动筒,6.0,54.11,81.41,0.3237,0.3635,medium
HDES-00570,C012,卸荷阀,23.72,63.07,77.55,0.1579,0.374,medium
HDES-00571,C011,管路总成,29.97,39.42,87.47,0.2544,0.1523,low
HDES-00572,C004,溢流阀,29.83,59.34,101.23,0.2514,0.2209,low
HDES-00573,C012,卸荷阀,32.21,53.18,70.62,0.3171,0.1998,low
HDES-00574,C012,卸荷阀,24.41,64.14,83.06,0.3627,0.0941,low
HDES-00575,C008,液压油箱,12.47,114.53,62.61,0.3163,0.3878,medium
HDES-00576,C004,溢流阀,23.16,52.81,73.77,0.3155,0.198,low
HDES-00577,C011,管路总成,21.45,53.3,79.31,0.4506,0.0179,low
HDES-00578,C001,液压泵总成,23.51,88.33,89.35,0.2034,0.2508,medium
HDES-00579,C005,蓄能器,16.94,80.75,78.57,0.2657,0.4022,medium
HDES-00580,C012,卸荷阀,17.4,57.7,66.73,0.2469,0.4912,medium
HDES-00581,C010,节流阀,22.84,79.47,75.14,0.3604,0.0514,low
HDES-00582,C006,冷却器,18.75,83.7,93.02,0.3442,0.0514,low
HDES-00583,C003,作动筒,29.57,55.08,78.32,0.3672,0.1103,low
HDES-00584,C008,液压油箱,16.03,87.29,77.22,0.2143,0.3029,medium
HDES-00585,C006,冷却器,27.69,73.77,74.71,0.4137,0.0406,low
HDES-00586,C012,卸荷阀,21.39,32.4,83.93,0.2801,0.2845,medium
HDES-00587,C008,液压油箱,12.49,100.81,73.5,0.2167,0.4365,medium
HDES-00588,C011,管路总成,26.04,62.92,74.03,0.2844,0.1438,low
HDES-00589,C004,溢流阀,24.65,32.69,93.09,0.407,0.0129,low
HDES-00590,C011,管路总成,24.57,36.65,77.33,0.2002,0.2578,medium
HDES-00591,C008,液压油箱,6.0,72.78,79.12,0.3839,0.2458,low
HDES-00592,C012,卸荷阀,21.25,68.01,84.46,0.3319,0.1207,low
HDES-00593,C006,冷却器,17.27,49.23,77.41,0.3087,0.1748,low
HDES-00594,C010,节流阀,26.95,88.8,66.72,0.434,0.1019,low
HDES-00595,C008,液压油箱,18.24,100.07,87.26,0.3619,0.0,low
HDES-00596,C010,节流阀,18.28,127.16,87.42,0.4852,0.0,low
HDES-00597,C004,溢流阀,24.88,53.64,105.84,0.3818,0.0185,low
HDES-00598,C008,液压油箱,19.91,94.1,81.34,0.2713,0.2489,low
HDES-00599,C006,冷却器,22.91,53.45,82.65,0.2793,0.2253,low
HDES-00600,C001,液压泵总成,20.46,124.42,62.6,0.4015,0.2011,low
HDES-00601,C006,冷却器,28.48,62.84,96.34,0.1684,0.3344,medium
HDES-00602,C012,卸荷阀,27.51,38.76,96.43,0.3365,0.0835,low
HDES-00603,C009,单向阀,23.84,48.15,72.72,0.4335,0.02,low
HDES-00604,C006,冷却器,22.81,72.34,78.63,0.2976,0.1657,low
HDES-00605,C006,冷却器,17.78,59.0,78.19,0.3352,0.0784,low
HDES-00606,C010,节流阀,21.41,67.38,74.97,0.4039,0.1203,low
HDES-00607,C012,卸荷阀,33.09,36.32,69.33,0.202,0.3395,medium
HDES-00608,C007,过滤器,12.02,47.45,106.44,0.4291,0.1777,low
HDES-00609,C010,节流阀,19.44,71.99,76.56,0.2013,0.2987,medium
HDES-00610,C010,节流阀,16.39,77.04,84.32,0.2306,0.2645,medium
HDES-00611,C003,作动筒,24.3,62.31,96.03,0.2675,0.2453,low
HDES-00612,C008,液压油箱,20.29,81.81,67.07,0.3292,0.2168,low
HDES-00613,C001,液压泵总成,16.1,96.19,67.69,0.4124,0.2974,medium
HDES-00614,C005,蓄能器,22.83,58.14,81.22,0.3613,0.098,low
HDES-00615,C007,过滤器,19.01,49.25,80.53,0.3102,0.1329,low
HDES-00616,C005,蓄能器,19.08,71.86,76.09,0.3214,0.2812,medium
HDES-00617,C004,溢流阀,17.58,75.72,76.44,0.4155,0.2015,low
HDES-00618,C002,方向控制阀,11.74,94.52,70.36,0.2916,0.3295,medium
HDES-00619,C007,过滤器,16.5,45.26,65.02,0.1848,0.4521,medium
HDES-00620,C005,蓄能器,26.7,56.61,76.66,0.3147,0.1514,low
HDES-00621,C006,冷却器,18.2,51.31,91.36,0.3536,0.0347,low
HDES-00622,C005,蓄能器,26.5,43.89,80.1,0.3599,0.0497,low
HDES-00623,C004,溢流阀,29.44,42.0,67.61,0.3945,0.0924,low
HDES-00624,C009,单向阀,14.39,66.32,70.2,0.2935,0.2911,medium
HDES-00625,C003,作动筒,18.39,66.92,70.22,0.3353,0.2217,low
HDES-00626,C008,液压油箱,12.54,79.7,86.1,0.3324,0.2651,medium
HDES-00627,C007,过滤器,19.11,52.04,81.73,0.3369,0.0887,low
HDES-00628,C010,节流阀,19.54,102.57,96.94,0.3218,0.0988,low
HDES-00629,C011,管路总成,26.0,31.57,73.51,0.3461,0.1071,low
HDES-00630,C002,方向控制阀,22.12,77.3,70.59,0.2839,0.2162,low
HDES-00631,C004,溢流阀,28.23,59.67,55.44,0.4257,0.1569,low
HDES-00632,C005,蓄能器,19.43,90.23,66.61,0.3535,0.1944,low
HDES-00633,C002,方向控制阀,19.18,76.08,85.77,0.2415,0.2185,low
HDES-00634,C005,蓄能器,25.89,43.28,87.22,0.4351,0.0308,low
HDES-00635,C011,管路总成,28.71,72.84,71.69,0.2661,0.2266,low
HDES-00636,C006,冷却器,13.93,43.12,88.83,0.3647,0.1978,low
HDES-00637,C004,溢流阀,26.07,36.62,95.42,0.2328,0.2615,medium
HDES-00638,C009,单向阀,19.27,38.41,61.74,0.253,0.37,medium
HDES-00639,C004,溢流阀,21.24,48.57,68.32,0.2061,0.3965,medium
HDES-00640,C007,过滤器,27.67,31.58,87.24,0.367,0.0778,low
HDES-00641,C011,管路总成,26.03,62.09,84.28,0.3791,0.0571,low
HDES-00642,C002,方向控制阀,23.93,100.59,95.34,0.2263,0.2487,low
HDES-00643,C010,节流阀,15.64,80.64,77.48,0.3505,0.2195,low
HDES-00644,C012,卸荷阀,36.97,56.83,90.2,0.4388,0.0,low
HDES-00645,C006,冷却器,16.15,46.86,83.32,0.1444,0.4187,medium
HDES-00646,C003,作动筒,27.39,61.69,65.35,0.4445,0.0902,low
HDES-00647,C010,节流阀,13.94,119.1,79.12,0.1504,0.3875,medium
HDES-00648,C001,液压泵总成,18.6,119.86,91.66,0.3424,0.2184,low
HDES-00649,C009,单向阀,15.98,46.26,66.49,0.2896,0.2867,medium
HDES-00650,C001,液压泵总成,25.82,99.88,53.7,0.2512,0.4225,medium
HDES-00651,C003,作动筒,18.92,45.07,69.58,0.4313,0.0799,low
HDES-00652,C012,卸荷阀,20.64,70.58,81.41,0.3245,0.1797,low
HDES-00653,C003,作动筒,17.59,39.59,86.18,0.3457,0.0809,low
HDES-00654,C004,溢流阀,21.77,30.35,77.14,0.3431,0.0888,low
HDES-00655,C010,节流阀,14.06,98.71,81.51,0.4064,0.1415,low
HDES-00656,C009,单向阀,25.42,39.86,83.17,0.2543,0.2662,medium
HDES-00657,C007,过滤器,7.75,46.15,94.44,0.2693,0.4545,medium
HDES-00658,C009,单向阀,15.03,38.93,72.57,0.4088,0.0876,low
HDES-00659,C008,液压油箱,22.66,116.91,90.94,0.3726,0.0174,low
HDES-00660,C006,冷却器,16.06,65.73,82.28,0.254,0.3344,medium
HDES-00661,C010,节流阀,22.02,98.96,68.7,0.3127,0.1672,low
HDES-00662,C003,作动筒,15.76,51.36,76.72,0.4407,0.0484,low
HDES-00663,C011,管路总成,20.56,30.09,87.4,0.4498,0.1199,low
HDES-00664,C012,卸荷阀,19.47,35.17,82.56,0.2888,0.2717,medium
HDES-00665,C012,卸荷阀,23.16,80.42,81.19,0.2125,0.2692,medium
HDES-00666,C011,管路总成,23.31,46.39,78.43,0.3521,0.1331,low
HDES-00667,C012,卸荷阀,17.44,59.37,63.4,0.2354,0.5238,high
HDES-00668,C003,作动筒,20.17,35.26,87.82,0.1895,0.2942,medium
HDES-00669,C010,节流阀,19.91,78.29,79.84,0.434,0.0,low
HDES-00670,C004,溢流阀,29.27,77.33,65.26,0.3105,0.2357,low
HDES-00671,C011,管路总成,29.53,42.8,86.42,0.3269,0.1442,low
HDES-00672,C009,单向阀,21.76,73.27,81.2,0.3422,0.1073,low
HDES-00673,C011,管路总成,29.92,37.23,68.7,0.4111,0.0722,low
HDES-00674,C004,溢流阀,22.52,73.72,55.32,0.434,0.1839,low
HDES-00675,C009,单向阀,18.34,63.97,70.22,0.3933,0.0938,low
HDES-00676,C002,方向控制阀,16.28,87.61,73.83,0.2767,0.2429,low
HDES-00677,C005,蓄能器,22.11,40.88,70.86,0.4034,0.1139,low
HDES-00678,C003,作动筒,21.56,46.97,65.07,0.3069,0.2995,medium
HDES-00679,C010,节流阀,16.94,102.31,89.45,0.3382,0.108,low
HDES-00680,C007,过滤器,9.83,43.77,95.65,0.4608,0.2085,low
HDES-00681,C007,过滤器,21.91,45.25,90.13,0.255,0.2408,low
HDES-00682,C011,管路总成,11.09,66.64,93.88,0.3326,0.3212,medium
HDES-00683,C002,方向控制阀,15.86,80.71,60.04,0.3365,0.3406,medium
HDES-00684,C012,卸荷阀,29.57,67.68,72.6,0.3106,0.1048,low
HDES-00685,C003,作动筒,21.11,48.0,98.07,0.3904,0.0,low
HDES-00686,C002,方向控制阀,17.92,107.6,93.53,0.4413,0.0211,low
HDES-00687,C006,冷却器,11.38,90.57,82.13,0.1723,0.412,medium
HDES-00688,C001,液压泵总成,30.64,72.48,70.15,0.379,0.1406,low
HDES-00689,C006,冷却器,13.79,48.72,82.33,0.3271,0.2537,medium
HDES-00690,C008,液压油箱,26.75,75.22,88.35,0.3094,0.1482,low
HDES-00691,C005,蓄能器,22.47,46.86,89.53,0.3898,0.1104,low
HDES-00692,C003,作动筒,21.56,63.25,80.1,0.2538,0.1994,low
HDES-00693,C011,管路总成,33.96,19.89,75.75,0.2357,0.2436,low
HDES-00694,C012,卸荷阀,19.2,83.7,71.55,0.266,0.4063,medium
HDES-00695,C007,过滤器,12.43,54.95,98.23,0.1983,0.441,medium
HDES-00696,C006,冷却器,10.81,32.51,93.8,0.3106,0.3128,medium
HDES-00697,C004,溢流阀,19.72,54.94,76.59,0.4815,0.1394,low
HDES-00698,C002,方向控制阀,18.98,72.04,85.99,0.4742,0.0,low
HDES-00699,C007,过滤器,14.34,62.22,84.11,0.281,0.2444,low
