manufacturing_batch_id,process_type,equipment_id,machining_error,surface_roughness,cleanliness_level,manufacturing_risk_score,manufacturing_risk_level
HMAN-00334,heat_treatment,HEQ-097,0.0418,0.0742,0.0569,0.1527,low
HMAN-00335,welding,HEQ-080,0.0711,0.1896,0.1917,0.2137,low
HMAN-00336,heat_treatment,HEQ-129,0.0451,0.157,0.484,0.3148,medium
HMAN-00337,grinding,HEQ-053,0.0237,0.1368,0.4435,0.1983,low
HMAN-00338,machining,HEQ-140,0.0152,0.1347,0.2207,0.1394,low
HMAN-00339,cleaning,HEQ-090,0.04,0.1688,0.6374,0.3522,medium
HMAN-00340,heat_treatment,HEQ-052,0.0597,0.4928,0.7167,0.4891,medium
HMAN-00341,cleaning,HEQ-039,0.0322,0.2641,0.2074,0.2019,low
HMAN-00342,cleaning,HEQ-115,0.0207,0.8227,0.2134,0.3532,medium
HMAN-00343,machining,HEQ-065,0.0533,0.6204,0.4263,0.4117,medium
HMAN-00344,cleaning,HEQ-029,0.0296,0.1948,0.0988,0.1517,low
HMAN-00345,grinding,HEQ-051,0.0332,0.3195,0.4337,0.2566,medium
HMAN-00346,cleaning,HEQ-123,0.0503,0.6082,0.555,0.4407,medium
HMAN-00347,grinding,HEQ-082,0.0631,1.0776,0.4705,0.5319,high
HMAN-00348,heat_treatment,HEQ-089,0.0444,0.6204,0.4628,0.3663,medium
HMAN-00349,cleaning,HEQ-107,0.0328,0.4631,0.3911,0.2492,low
HMAN-00350,heat_treatment,HEQ-029,0.0226,0.4596,0.4123,0.2457,low
HMAN-00351,cleaning,HEQ-022,0.0447,0.5222,0.453,0.2752,medium
HMAN-00352,machining,HEQ-063,0.0506,0.5111,0.484,0.3668,medium
HMAN-00353,welding,HEQ-034,0.0693,0.4203,0.1711,0.2391,low
HMAN-00354,grinding,HEQ-132,0.0352,0.4185,0.1054,0.1407,low
HMAN-00355,welding,HEQ-050,0.0068,0.2213,0.1353,0.0643,low
HMAN-00356,welding,HEQ-028,0.063,0.1481,0.049,0.1558,low
HMAN-00357,machining,HEQ-018,0.0719,0.365,0.3041,0.3512,medium
HMAN-00358,heat_treatment,HEQ-028,0.0271,0.4034,0.2372,0.2567,medium
HMAN-00359,cleaning,HEQ-118,0.0337,0.3871,0.4787,0.2687,medium
HMAN-00360,heat_treatment,HEQ-100,0.0339,0.4209,0.0934,0.1774,low
HMAN-00361,grinding,HEQ-035,0.0277,0.9582,0.3668,0.3318,medium
HMAN-00362,welding,HEQ-134,0.002,0.2088,0.5072,0.1998,low
HMAN-00363,heat_treatment,HEQ-126,0.0278,1.0987,0.47,0.3624,medium
HMAN-00364,welding,HEQ-136,0.068,0.6878,0.236,0.2324,low
HMAN-00365,heat_treatment,HEQ-059,0.0174,0.337,0.2331,0.1117,low
HMAN-00366,welding,HEQ-136,0.0674,0.5795,0.2536,0.3806,medium
HMAN-00367,cleaning,HEQ-051,0.0558,0.6731,0.1976,0.2969,medium
HMAN-00368,heat_treatment,HEQ-104,0.0311,1.2504,0.0152,0.2227,low
HMAN-00369,grinding,HEQ-036,0.0083,0.5007,0.3501,0.1761,low
HMAN-00370,heat_treatment,HEQ-121,0.0231,0.4303,0.1267,0.1282,low
HMAN-00371,cleaning,HEQ-097,0.0137,0.3855,0.4169,0.2189,low
HMAN-00372,heat_treatment,HEQ-096,0.0176,0.3066,0.1733,0.1432,low
HMAN-00373,heat_treatment,HEQ-081,0.0394,0.2699,0.4059,0.2485,low
HMAN-00374,heat_treatment,HEQ-001,0.0042,0.2439,0.4698,0.1381,low
HMAN-00375,heat_treatment,HEQ-127,0.0203,0.1338,0.3491,0.2645,medium
HMAN-00376,cleaning,HEQ-130,0.011,1.0258,0.1521,0.285,medium
HMAN-00377,heat_treatment,HEQ-102,0.0133,0.8044,0.7097,0.4225,medium
HMAN-00378,machining,HEQ-138,0.0145,0.1292,0.3767,0.1314,low
HMAN-00379,grinding,HEQ-105,0.1085,0.5895,0.249,0.466,medium
HMAN-00380,heat_treatment,HEQ-113,0.0253,0.3359,0.4231,0.1645,low
HMAN-00381,welding,HEQ-101,0.034,0.061,0.2243,0.1857,low
HMAN-00382,machining,HEQ-039,0.035,0.4604,0.4674,0.3392,medium
HMAN-00383,cleaning,HEQ-117,0.0402,1.0227,0.2462,0.3298,medium
HMAN-00384,heat_treatment,HEQ-107,0.0382,0.5531,0.3616,0.3003,medium
HMAN-00385,cleaning,HEQ-064,0.0162,0.2886,0.5397,0.2526,medium
HMAN-00386,heat_treatment,HEQ-058,0.0331,0.6117,0.4429,0.3597,medium
HMAN-00387,cleaning,HEQ-107,0.0197,0.281,0.3063,0.2147,low
HMAN-00388,machining,HEQ-062,0.0353,0.9304,0.1849,0.2684,medium
HMAN-00389,cleaning,HEQ-137,0.0138,1.2101,0.2675,0.2709,medium
HMAN-00390,machining,HEQ-042,0.0274,0.3124,0.145,0.1873,low
HMAN-00391,heat_treatment,HEQ-088,0.0198,0.7992,0.5615,0.2906,medium
HMAN-00392,grinding,HEQ-013,0.0198,0.1889,0.5455,0.2696,medium
HMAN-00393,welding,HEQ-111,0.0383,0.0973,0.2106,0.1912,low
HMAN-00394,grinding,HEQ-090,0.0349,0.6534,0.8533,0.5203,high
HMAN-00395,cleaning,HEQ-080,0.0834,0.4788,0.5816,0.4459,medium
HMAN-00396,welding,HEQ-017,0.068,0.5362,0.4425,0.3611,medium
HMAN-00397,grinding,HEQ-074,0.0401,0.1113,0.274,0.2145,low
HMAN-00398,grinding,HEQ-009,0.1267,0.1654,0.158,0.4571,medium
HMAN-00399,welding,HEQ-095,0.1009,0.1466,0.5187,0.4248,medium
HMAN-00400,heat_treatment,HEQ-004,0.0519,0.1326,0.4909,0.3622,medium
HMAN-00401,machining,HEQ-053,0.1064,0.712,0.4668,0.5384,high
HMAN-00402,machining,HEQ-007,0.0506,0.3313,0.4044,0.3362,medium
HMAN-00403,heat_treatment,HEQ-089,0.031,0.511,0.1279,0.2094,low
HMAN-00404,machining,HEQ-106,0.076,0.7489,0.1902,0.4128,medium
HMAN-00405,grinding,HEQ-063,0.0524,0.7016,0.4217,0.5477,high
HMAN-00406,welding,HEQ-022,0.0121,0.317,0.3981,0.2178,low
HMAN-00407,cleaning,HEQ-040,0.0858,0.3119,0.4037,0.3945,medium
HMAN-00408,machining,HEQ-033,0.0328,0.3376,0.661,0.3515,medium
HMAN-00409,welding,HEQ-016,0.0093,0.1617,0.079,0.1265,low
HMAN-00410,machining,HEQ-006,0.0337,0.685,0.6173,0.4294,medium
HMAN-00411,machining,HEQ-031,0.0424,1.0724,0.4088,0.3315,medium
HMAN-00412,grinding,HEQ-122,0.023,0.3664,0.2347,0.2188,low
HMAN-00413,machining,HEQ-047,0.0327,0.4702,0.2334,0.2704,medium
HMAN-00414,welding,HEQ-021,0.0775,0.1714,0.4259,0.383,medium
HMAN-00415,grinding,HEQ-119,0.0162,0.05,0.2902,0.2317,low
HMAN-00416,grinding,HEQ-090,0.0831,0.7951,0.4847,0.5528,high
HMAN-00417,heat_treatment,HEQ-105,0.0248,0.5096,0.4366,0.3428,medium
HMAN-00418,cleaning,HEQ-085,0.0253,1.0568,0.6002,0.4046,medium
HMAN-00419,welding,HEQ-093,0.0295,0.6231,0.4988,0.3363,medium
HMAN-00420,cleaning,HEQ-033,0.0533,0.207,0.2161,0.2658,medium
HMAN-00421,cleaning,HEQ-038,0.0566,0.9718,0.3142,0.4715,medium
HMAN-00422,welding,HEQ-017,0.038,0.1692,0.4144,0.2369,low
HMAN-00423,welding,HEQ-095,0.0525,0.1655,0.3945,0.2254,low
HMAN-00424,grinding,HEQ-100,0.0323,0.702,0.2976,0.3219,medium
HMAN-00425,welding,HEQ-044,0.0149,0.1371,0.2311,0.1368,low
HMAN-00426,heat_treatment,HEQ-074,0.1062,0.164,0.4279,0.4739,medium
HMAN-00427,grinding,HEQ-096,0.0357,0.4274,0.2057,0.2517,medium
HMAN-00428,machining,HEQ-100,0.0163,0.8078,0.4568,0.3185,medium
HMAN-00429,grinding,HEQ-024,0.0808,0.5269,0.2274,0.3812,medium
HMAN-00430,machining,HEQ-070,0.0115,0.7081,0.4473,0.2412,low
HMAN-00431,machining,HEQ-020,0.0289,0.2246,0.3602,0.1863,low
HMAN-00432,heat_treatment,HEQ-112,0.0254,0.2507,0.2625,0.1855,low
HMAN-00433,welding,HEQ-075,0.0444,0.0937,0.4661,0.2319,low
HMAN-00434,welding,HEQ-099,0.0175,0.2455,0.3857,0.1661,low
HMAN-00435,heat_treatment,HEQ-127,0.0509,0.0543,0.2685,0.1667,low
HMAN-00436,machining,HEQ-116,0.0333,0.2113,0.8019,0.4472,medium
HMAN-00437,cleaning,HEQ-057,0.0798,0.3496,0.4519,0.4434,medium
HMAN-00438,cleaning,HEQ-069,0.0299,0.462,0.1656,0.2679,medium
HMAN-00439,cleaning,HEQ-089,0.0873,0.3047,0.3786,0.4389,medium
HMAN-00440,heat_treatment,HEQ-071,0.0323,0.05,0.4046,0.1495,low
HMAN-00441,heat_treatment,HEQ-109,0.0212,0.1172,0.6523,0.2261,low
HMAN-00442,cleaning,HEQ-060,0.0624,0.4358,0.5671,0.4258,medium
HMAN-00443,machining,HEQ-010,0.0175,0.2596,0.4142,0.1985,low
HMAN-00444,heat_treatment,HEQ-114,0.1101,0.2443,0.3332,0.4006,medium
HMAN-00445,grinding,HEQ-050,0.0794,1.1396,0.2473,0.4457,medium
HMAN-00446,grinding,HEQ-127,0.0144,0.4293,0.4382,0.2688,medium
HMAN-00447,cleaning,HEQ-135,0.0119,0.4775,0.4023,0.2558,medium
HMAN-00448,cleaning,HEQ-105,0.0058,0.4617,0.6962,0.3407,medium
HMAN-00449,machining,HEQ-120,0.0112,0.6953,0.5606,0.3274,medium
HMAN-00450,heat_treatment,HEQ-060,0.0497,0.1504,0.6381,0.3374,medium
HMAN-00451,welding,HEQ-120,0.0339,0.05,0.161,0.1449,low
HMAN-00452,grinding,HEQ-072,0.0372,0.3798,0.7383,0.4512,medium
HMAN-00453,heat_treatment,HEQ-002,0.1143,0.6799,0.3642,0.5028,high
HMAN-00454,cleaning,HEQ-058,0.0288,0.8006,0.1542,0.2863,medium
HMAN-00455,grinding,HEQ-125,0.0305,0.3519,0.5189,0.281,medium
HMAN-00456,grinding,HEQ-065,0.0272,0.0725,0.3355,0.2645,medium
HMAN-00457,welding,HEQ-014,0.0167,0.1628,0.5416,0.208,low
HMAN-00458,grinding,HEQ-126,0.0298,1.1227,0.1645,0.311,medium
HMAN-00459,welding,HEQ-074,0.012,0.4969,0.2657,0.2272,low
HMAN-00460,welding,HEQ-069,0.0222,0.3772,0.3308,0.285,medium
HMAN-00461,cleaning,HEQ-070,0.0095,0.5587,0.2002,0.2256,low
HMAN-00462,heat_treatment,HEQ-010,0.0341,0.6867,0.4961,0.4358,medium
HMAN-00463,heat_treatment,HEQ-031,0.0261,0.2311,0.5423,0.3076,medium
HMAN-00464,machining,HEQ-046,0.0074,0.2597,0.3095,0.1581,low
HMAN-00465,grinding,HEQ-004,0.0517,0.473,0.654,0.4097,medium
HMAN-00466,grinding,HEQ-121,0.0217,0.2773,0.093,0.0594,low
HMAN-00467,machining,HEQ-116,0.028,0.949,0.2445,0.3421,medium
HMAN-00468,heat_treatment,HEQ-048,0.002,0.2675,0.6351,0.2603,medium
HMAN-00469,cleaning,HEQ-008,0.0213,0.5198,0.445,0.2651,medium
HMAN-00470,machining,HEQ-092,0.0448,0.6067,0.0587,0.224,low
HMAN-00471,grinding,HEQ-068,0.1056,0.321,0.2594,0.4018,medium
HMAN-00472,heat_treatment,HEQ-052,0.0212,0.8497,0.4092,0.3028,medium
HMAN-00473,welding,HEQ-127,0.0332,0.2192,0.099,0.1549,low
HMAN-00474,welding,HEQ-086,0.0103,0.3276,0.4925,0.2258,low
HMAN-00475,cleaning,HEQ-004,0.0133,0.2201,0.2698,0.1541,low
HMAN-00476,grinding,HEQ-012,0.03,0.4886,0.1601,0.1346,low
HMAN-00477,grinding,HEQ-120,0.0497,0.4225,0.425,0.3159,medium
HMAN-00478,heat_treatment,HEQ-034,0.0592,0.1594,0.3146,0.2374,low
HMAN-00479,heat_treatment,HEQ-108,0.0088,0.2192,0.8317,0.4081,medium
HMAN-00480,grinding,HEQ-133,0.0248,0.1673,0.6669,0.3174,medium
HMAN-00481,grinding,HEQ-127,0.0247,0.4392,0.4897,0.3541,medium
HMAN-00482,welding,HEQ-138,0.04,0.4353,0.1563,0.242,low
HMAN-00483,heat_treatment,HEQ-102,0.0192,0.5806,0.0493,0.1654,low
HMAN-00484,cleaning,HEQ-012,0.0189,0.1831,0.305,0.1297,low
HMAN-00485,cleaning,HEQ-133,0.1061,0.4624,0.5258,0.4776,medium
HMAN-00486,heat_treatment,HEQ-052,0.0266,0.0982,0.083,0.1125,low
HMAN-00487,cleaning,HEQ-056,0.0124,0.7472,0.0993,0.2031,low
HMAN-00488,heat_treatment,HEQ-080,0.0235,0.2125,0.3412,0.1968,low
HMAN-00489,grinding,HEQ-075,0.0294,0.1031,0.2562,0.2017,low
HMAN-00490,machining,HEQ-080,0.0604,0.6217,0.5201,0.4705,medium
HMAN-00491,grinding,HEQ-037,0.0469,0.05,0.5376,0.3155,medium
HMAN-00492,heat_treatment,HEQ-122,0.013,0.3484,0.3668,0.2094,low
HMAN-00493,cleaning,HEQ-063,0.0181,0.729,0.2401,0.1657,low
HMAN-00494,machining,HEQ-097,0.0133,0.261,0.464,0.1463,low
HMAN-00495,heat_treatment,HEQ-084,0.0524,0.5713,0.4826,0.4154,medium
HMAN-00496,welding,HEQ-030,0.0203,0.9677,0.3944,0.4069,medium
HMAN-00497,grinding,HEQ-078,0.0537,0.9953,0.1468,0.3416,medium
HMAN-00498,heat_treatment,HEQ-068,0.0296,0.2149,0.633,0.3401,medium
HMAN-00499,heat_treatment,HEQ-093,0.063,0.4774,0.3922,0.4269,medium
HMAN-00500,welding,HEQ-001,0.0633,0.4743,0.4136,0.4333,medium
HMAN-00501,heat_treatment,HEQ-138,0.0042,0.2884,0.6542,0.338,medium
HMAN-00502,heat_treatment,HEQ-012,0.0728,0.5678,0.3017,0.4498,medium
HMAN-00503,grinding,HEQ-030,0.0135,0.1947,0.5357,0.2291,low
HMAN-00504,grinding,HEQ-131,0.006,0.1263,0.4727,0.1962,low
HMAN-00505,welding,HEQ-133,0.0183,0.9934,0.519,0.3827,medium
HMAN-00506,heat_treatment,HEQ-129,0.0263,0.5588,0.1395,0.1445,low
HMAN-00507,cleaning,HEQ-026,0.0236,0.4391,0.744,0.3714,medium
HMAN-00508,grinding,HEQ-128,0.0046,0.6407,0.4011,0.3276,medium
HMAN-00509,machining,HEQ-055,0.0076,1.201,0.8154,0.5046,high
HMAN-00510,cleaning,HEQ-075,0.043,0.7847,0.2803,0.2577,medium
HMAN-00511,welding,HEQ-116,0.0117,0.3511,0.5022,0.2764,medium
HMAN-00512,welding,HEQ-111,0.0169,0.2744,0.2639,0.2247,low
HMAN-00513,welding,HEQ-101,0.0095,0.0902,0.1037,0.1163,low
HMAN-00514,grinding,HEQ-022,0.0249,0.0625,0.1191,0.1612,low
HMAN-00515,cleaning,HEQ-093,0.0159,0.1656,0.1387,0.1207,low
HMAN-00516,welding,HEQ-054,0.027,0.5842,0.1226,0.1687,low
HMAN-00517,welding,HEQ-007,0.0192,0.2434,0.1029,0.1446,low
HMAN-00518,grinding,HEQ-085,0.0188,0.0821,0.6305,0.2093,low
HMAN-00519,welding,HEQ-041,0.0473,0.2229,0.2375,0.2798,medium
HMAN-00520,cleaning,HEQ-119,0.0508,0.0788,0.3468,0.2174,low
HMAN-00521,grinding,HEQ-006,0.0208,0.5684,0.3656,0.2442,low
HMAN-00522,machining,HEQ-115,0.0516,0.949,0.3014,0.3593,medium
HMAN-00523,heat_treatment,HEQ-092,0.0787,0.8996,0.6929,0.5788,high
HMAN-00524,machining,HEQ-078,0.0526,0.1599,0.0988,0.1868,low
HMAN-00525,welding,HEQ-112,0.0151,0.2715,0.3885,0.1877,low
HMAN-00526,heat_treatment,HEQ-055,0.0609,0.2018,0.325,0.2976,medium
HMAN-00527,cleaning,HEQ-049,0.0371,0.4634,0.6585,0.3855,medium
HMAN-00528,welding,HEQ-132,0.0337,0.0768,0.7161,0.3422,medium
HMAN-00529,heat_treatment,HEQ-109,0.0315,0.415,0.2001,0.2573,medium
HMAN-00530,machining,HEQ-113,0.0239,0.8341,0.133,0.2295,low
HMAN-00531,machining,HEQ-089,0.0148,0.1627,0.274,0.242,low
HMAN-00532,heat_treatment,HEQ-013,0.0594,0.4975,0.1142,0.2215,low
HMAN-00533,cleaning,HEQ-084,0.031,0.9139,0.8269,0.5101,high
HMAN-00534,machining,HEQ-134,0.1277,0.4291,0.4028,0.6025,high
HMAN-00535,grinding,HEQ-095,0.0433,0.143,0.1999,0.2038,low
HMAN-00536,cleaning,HEQ-138,0.0134,0.4398,0.2627,0.2282,low
HMAN-00537,welding,HEQ-040,0.0437,0.25,0.2196,0.2592,medium
HMAN-00538,cleaning,HEQ-044,0.0337,0.7944,0.5571,0.3857,medium
HMAN-00539,heat_treatment,HEQ-062,0.0142,0.1014,0.2777,0.1032,low
HMAN-00540,heat_treatment,HEQ-031,0.0553,0.7696,0.5589,0.4722,medium
HMAN-00541,welding,HEQ-101,0.0332,0.4499,0.2291,0.2339,low
HMAN-00542,machining,HEQ-126,0.0677,0.2677,0.2753,0.2564,medium
HMAN-00543,heat_treatment,HEQ-125,0.0713,1.1937,0.3164,0.5053,high
HMAN-00544,cleaning,HEQ-090,0.0317,0.3506,0.211,0.2654,medium
HMAN-00545,machining,HEQ-067,0.0286,0.3418,0.5174,0.2639,medium
HMAN-00546,cleaning,HEQ-138,0.038,0.2435,0.3617,0.2599,medium
HMAN-00547,machining,HEQ-036,0.0241,0.3856,0.4792,0.1965,low
HMAN-00548,grinding,HEQ-066,0.02,0.4638,0.7905,0.3545,medium
HMAN-00549,heat_treatment,HEQ-120,0.0219,0.2049,0.5098,0.3529,medium
HMAN-00550,heat_treatment,HEQ-075,0.0569,0.1796,0.2334,0.2484,low
HMAN-00551,cleaning,HEQ-128,0.0091,0.36,0.6596,0.2984,medium
HMAN-00552,heat_treatment,HEQ-071,0.0574,1.0599,0.2337,0.3796,medium
HMAN-00553,heat_treatment,HEQ-057,0.0831,0.1035,0.2229,0.2585,medium
HMAN-00554,cleaning,HEQ-133,0.0353,0.8906,0.4131,0.3061,medium
HMAN-00555,cleaning,HEQ-080,0.0345,1.136,0.5618,0.4144,medium
HMAN-00556,heat_treatment,HEQ-003,0.0428,0.953,0.3953,0.3847,medium
HMAN-00557,grinding,HEQ-022,0.0543,0.3567,0.4887,0.326,medium
HMAN-00558,heat_treatment,HEQ-007,0.0275,0.1504,0.34,0.2377,low
HMAN-00559,grinding,HEQ-083,0.1125,0.978,0.7379,0.6448,high
HMAN-00560,heat_treatment,HEQ-095,0.0175,0.05,0.574,0.2923,medium
HMAN-00561,cleaning,HEQ-078,0.0242,0.6081,0.5394,0.3063,medium
HMAN-00562,cleaning,HEQ-079,0.0312,0.3313,0.5051,0.2935,medium
HMAN-00563,welding,HEQ-105,0.0156,0.377,0.4239,0.2758,medium
HMAN-00564,grinding,HEQ-132,0.0159,0.5308,0.45,0.3201,medium
HMAN-00565,welding,HEQ-135,0.0283,0.1686,0.3817,0.1939,low
HMAN-00566,cleaning,HEQ-131,0.0325,0.4808,0.1836,0.3011,medium
HMAN-00567,grinding,HEQ-090,0.0363,0.1077,0.3276,0.1786,low
HMAN-00568,welding,HEQ-032,0.0101,0.4817,0.517,0.3908,medium
HMAN-00569,machining,HEQ-086,0.0351,0.4081,0.6562,0.3307,medium
HMAN-00570,machining,HEQ-007,0.0134,0.33,0.55,0.2136,low
HMAN-00571,grinding,HEQ-020,0.0101,0.4444,0.0902,0.1161,low
HMAN-00572,heat_treatment,HEQ-032,0.0465,1.4944,0.6291,0.5247,high
HMAN-00573,heat_treatment,HEQ-035,0.0121,0.1203,0.2616,0.1339,low
HMAN-00574,cleaning,HEQ-052,0.0278,0.4002,0.4245,0.3014,medium
HMAN-00575,cleaning,HEQ-029,0.0089,1.59,0.5634,0.4369,medium
HMAN-00576,machining,HEQ-008,0.0204,0.4276,0.4889,0.33,medium
HMAN-00577,cleaning,HEQ-010,0.02,0.8262,0.5652,0.3267,medium
HMAN-00578,grinding,HEQ-046,0.0583,0.2369,0.4439,0.2888,medium
HMAN-00579,heat_treatment,HEQ-013,0.0369,0.1755,0.2306,0.1528,low
HMAN-00580,welding,HEQ-127,0.0135,0.7518,0.7526,0.4455,medium
HMAN-00581,machining,HEQ-047,0.0343,0.3516,0.2915,0.2476,low
HMAN-00582,cleaning,HEQ-009,0.0195,0.4372,0.5817,0.2887,medium
HMAN-00583,welding,HEQ-077,0.0147,0.0749,0.1384,0.0421,low
HMAN-00584,welding,HEQ-125,0.0311,0.6188,0.1164,0.1937,low
HMAN-00585,machining,HEQ-108,0.0328,1.0123,0.5857,0.4518,medium
HMAN-00586,cleaning,HEQ-078,0.0301,0.18,0.298,0.1755,low
HMAN-00587,cleaning,HEQ-130,0.0189,0.2462,0.2572,0.1392,low
HMAN-00588,cleaning,HEQ-094,0.0673,0.7291,0.6016,0.4719,medium
HMAN-00589,cleaning,HEQ-112,0.0364,0.05,0.4407,0.3038,medium
HMAN-00590,machining,HEQ-070,0.034,0.8651,0.7621,0.4768,medium
HMAN-00591,welding,HEQ-026,0.024,0.9217,0.3142,0.2701,medium
HMAN-00592,heat_treatment,HEQ-012,0.0096,0.1912,0.4137,0.1381,low
HMAN-00593,welding,HEQ-085,0.025,0.9921,0.2863,0.3213,medium
HMAN-00594,machining,HEQ-039,0.0316,0.0919,0.3315,0.231,low
HMAN-00595,welding,HEQ-108,0.0204,0.3579,0.4457,0.1942,low
HMAN-00596,cleaning,HEQ-120,0.044,0.6686,0.1158,0.2792,medium
HMAN-00597,heat_treatment,HEQ-075,0.0178,0.1662,0.2302,0.1306,low
HMAN-00598,grinding,HEQ-115,0.0395,0.0677,0.305,0.1813,low
HMAN-00599,heat_treatment,HEQ-056,0.0455,0.6399,0.2776,0.2484,low
HMAN-00600,heat_treatment,HEQ-081,0.0265,0.3811,0.4396,0.2679,medium
HMAN-00601,cleaning,HEQ-101,0.0129,0.9294,0.1571,0.1174,low
HMAN-00602,grinding,HEQ-107,0.0281,0.6022,0.4618,0.3012,medium
HMAN-00603,welding,HEQ-065,0.1241,0.4087,0.3821,0.4742,medium
HMAN-00604,cleaning,HEQ-014,0.053,0.5825,0.616,0.4477,medium
HMAN-00605,grinding,HEQ-062,0.0486,0.6745,0.5398,0.4607,medium
HMAN-00606,welding,HEQ-012,0.0219,0.456,0.3301,0.3189,medium
HMAN-00607,grinding,HEQ-109,0.0695,0.6748,0.1576,0.2947,medium
HMAN-00608,welding,HEQ-133,0.042,0.4943,0.7301,0.3799,medium
HMAN-00609,grinding,HEQ-089,0.0454,0.5189,0.5097,0.3997,medium
HMAN-00610,heat_treatment,HEQ-075,0.0718,0.3159,0.6625,0.3928,medium
HMAN-00611,machining,HEQ-021,0.0277,0.2237,0.4259,0.2819,medium
HMAN-00612,cleaning,HEQ-043,0.0342,0.0996,0.3676,0.3071,medium
HMAN-00613,welding,HEQ-095,0.039,0.3512,0.3627,0.3155,medium
HMAN-00614,cleaning,HEQ-002,0.0291,0.1837,0.3259,0.2664,medium
HMAN-00615,grinding,HEQ-030,0.0372,0.6627,0.6317,0.5353,high
HMAN-00616,heat_treatment,HEQ-014,0.0184,0.3945,0.587,0.2953,medium
HMAN-00617,grinding,HEQ-063,0.0086,0.5041,0.5319,0.2835,medium
HMAN-00618,grinding,HEQ-058,0.0278,0.9637,0.1533,0.2151,low
HMAN-00619,grinding,HEQ-136,0.0153,0.4662,0.4898,0.2936,medium
HMAN-00620,cleaning,HEQ-047,0.0484,0.9181,0.5073,0.4792,medium
HMAN-00621,machining,HEQ-068,0.0228,0.1645,0.1521,0.1037,low
HMAN-00622,grinding,HEQ-067,0.0198,0.6219,0.3723,0.1929,low
HMAN-00623,heat_treatment,HEQ-054,0.1171,0.6813,0.3068,0.4628,medium
HMAN-00624,grinding,HEQ-045,0.0342,0.5505,0.5781,0.4013,medium
HMAN-00625,cleaning,HEQ-077,0.015,0.4915,0.4142,0.2221,low
HMAN-00626,heat_treatment,HEQ-009,0.0175,0.3527,0.4649,0.258,medium
HMAN-00627,grinding,HEQ-052,0.0246,0.4957,0.6206,0.3133,medium
HMAN-00628,welding,HEQ-120,0.0873,0.3352,0.2599,0.3612,medium
HMAN-00629,grinding,HEQ-098,0.0686,0.2817,0.4757,0.445,medium
HMAN-00630,machining,HEQ-137,0.0393,0.2979,0.6543,0.3666,medium
HMAN-00631,heat_treatment,HEQ-089,0.0412,0.2818,0.2719,0.2448,low
HMAN-00632,heat_treatment,HEQ-081,0.0609,0.6934,0.5087,0.3428,medium
HMAN-00633,cleaning,HEQ-041,0.0963,0.2543,0.4025,0.4219,medium
HMAN-00634,heat_treatment,HEQ-060,0.0449,0.3525,0.2886,0.3014,medium
HMAN-00635,grinding,HEQ-077,0.0451,0.7713,0.3466,0.3733,medium
HMAN-00636,heat_treatment,HEQ-003,0.03,0.5619,0.6803,0.4423,medium
HMAN-00637,grinding,HEQ-061,0.0332,0.3922,0.2489,0.2812,medium
HMAN-00638,grinding,HEQ-078,0.0046,0.4884,0.2259,0.1837,low
HMAN-00639,cleaning,HEQ-127,0.0145,0.9902,0.1554,0.2461,low
HMAN-00640,machining,HEQ-044,0.055,0.4431,0.0638,0.2323,low
HMAN-00641,grinding,HEQ-123,0.0339,0.3211,0.2045,0.1909,low
HMAN-00642,heat_treatment,HEQ-109,0.0327,0.3954,0.5506,0.2806,medium
HMAN-00643,heat_treatment,HEQ-101,0.0497,0.2237,0.5497,0.2874,medium
HMAN-00644,heat_treatment,HEQ-089,0.0422,0.5704,0.7974,0.4571,medium
HMAN-00645,welding,HEQ-106,0.0103,0.4795,0.75,0.3365,medium
HMAN-00646,welding,HEQ-007,0.0293,0.7085,0.2827,0.2825,medium
HMAN-00647,machining,HEQ-066,0.0093,1.0044,0.1265,0.2567,medium
HMAN-00648,welding,HEQ-023,0.0242,0.5486,0.4763,0.3355,medium
HMAN-00649,cleaning,HEQ-117,0.0414,0.3664,0.7431,0.391,medium
HMAN-00650,welding,HEQ-026,0.0171,0.1028,0.4024,0.2088,low
HMAN-00651,grinding,HEQ-137,0.0498,0.2609,0.3237,0.2047,low
HMAN-00652,grinding,HEQ-066,0.0187,0.843,0.2096,0.2767,medium
HMAN-00653,heat_treatment,HEQ-101,0.0358,0.1037,0.1651,0.2015,low
HMAN-00654,heat_treatment,HEQ-037,0.0294,0.7583,0.4711,0.2799,medium
HMAN-00655,grinding,HEQ-067,0.0208,0.3462,0.4201,0.2435,low
HMAN-00656,grinding,HEQ-136,0.0238,0.3573,0.4295,0.2833,medium
HMAN-00657,cleaning,HEQ-062,0.0409,0.1087,0.2428,0.2514,medium
HMAN-00658,machining,HEQ-107,0.0371,0.4057,0.4917,0.3887,medium
HMAN-00659,machining,HEQ-071,0.037,0.8313,0.3281,0.3567,medium
HMAN-00660,machining,HEQ-036,0.0323,0.7995,0.3389,0.3247,medium
HMAN-00661,welding,HEQ-054,0.0163,0.3525,0.5409,0.3239,medium
HMAN-00662,welding,HEQ-105,0.0332,0.2064,0.8601,0.3968,medium
HMAN-00663,welding,HEQ-121,0.0084,2.1228,0.1768,0.4153,medium
HMAN-00664,machining,HEQ-041,0.0174,0.7931,0.8162,0.4799,medium
HMAN-00665,welding,HEQ-004,0.0171,0.2561,0.1548,0.1367,low
HMAN-00666,cleaning,HEQ-042,0.0401,0.0717,0.4263,0.2778,medium
