h,r,t,relation,head_type,tail_type,weight
6307,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6307,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6307,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6307,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6308,15,29588,processed_by,ManufacturingBatch,Equipment,0.5
6308,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6308,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6308,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6308,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6309,15,29589,processed_by,ManufacturingBatch,Equipment,0.5
6309,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6309,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6309,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6309,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6310,15,29590,processed_by,ManufacturingBatch,Equipment,0.5
6310,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6310,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6310,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6310,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6311,15,29591,processed_by,ManufacturingBatch,Equipment,0.5
6311,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6311,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6311,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6311,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6312,15,29592,processed_by,ManufacturingBatch,Equipment,0.5
6312,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6312,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6312,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6312,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6313,15,29585,processed_by,ManufacturingBatch,Equipment,0.5
6313,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6313,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6313,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6313,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6314,15,29593,processed_by,ManufacturingBatch,Equipment,0.5
6314,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6314,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6314,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6314,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6315,15,29594,processed_by,ManufacturingBatch,Equipment,0.5
6315,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6315,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6315,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6315,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6316,15,29595,processed_by,ManufacturingBatch,Equipment,0.5
6316,16,29512,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6316,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6316,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6316,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6317,15,29596,processed_by,ManufacturingBatch,Equipment,0.5
6317,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6317,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6317,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6317,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6318,15,29597,processed_by,ManufacturingBatch,Equipment,0.5
6318,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6318,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6318,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6318,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6319,15,29598,processed_by,ManufacturingBatch,Equipment,0.5
6319,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6319,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6319,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6319,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6320,15,29599,processed_by,ManufacturingBatch,Equipment,0.5
6320,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6320,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6320,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6320,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6321,15,29600,processed_by,ManufacturingBatch,Equipment,0.5
6321,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6321,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6321,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6321,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6322,15,29601,processed_by,ManufacturingBatch,Equipment,0.5
6322,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6322,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6322,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6322,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6323,15,29602,processed_by,ManufacturingBatch,Equipment,0.5
6323,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6323,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6323,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6323,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6324,15,29603,processed_by,ManufacturingBatch,Equipment,0.5
6324,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6324,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6324,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6324,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6325,15,29604,processed_by,ManufacturingBatch,Equipment,0.5
6325,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6325,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6325,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6325,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6326,15,29605,processed_by,ManufacturingBatch,Equipment,0.5
6326,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6326,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6326,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6326,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6327,15,29588,processed_by,ManufacturingBatch,Equipment,0.5
6327,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6327,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6327,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6327,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6328,15,29606,processed_by,ManufacturingBatch,Equipment,0.5
6328,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6328,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6328,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6328,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6329,15,29607,processed_by,ManufacturingBatch,Equipment,0.5
6329,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6329,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6329,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6329,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6330,15,29608,processed_by,ManufacturingBatch,Equipment,0.5
6330,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6330,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6330,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6330,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6331,15,29609,processed_by,ManufacturingBatch,Equipment,0.5
6331,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6331,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6331,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6331,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6332,15,29610,processed_by,ManufacturingBatch,Equipment,0.5
6332,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6332,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6332,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6332,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6333,15,29611,processed_by,ManufacturingBatch,Equipment,0.5
6333,16,29512,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6333,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6333,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6333,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6334,15,29612,processed_by,ManufacturingBatch,Equipment,0.5
6334,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6334,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6334,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6334,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6335,15,29613,processed_by,ManufacturingBatch,Equipment,0.5
6335,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6335,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6335,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6335,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6336,15,29614,processed_by,ManufacturingBatch,Equipment,0.5
6336,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6336,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6336,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6336,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6337,15,29591,processed_by,ManufacturingBatch,Equipment,0.5
6337,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6337,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6337,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6337,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6338,15,29615,processed_by,ManufacturingBatch,Equipment,0.5
6338,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6338,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6338,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6338,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6339,15,29616,processed_by,ManufacturingBatch,Equipment,0.5
6339,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6339,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6339,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6339,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6340,15,29617,processed_by,ManufacturingBatch,Equipment,0.5
6340,16,29512,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6340,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6340,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6340,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6341,15,29613,processed_by,ManufacturingBatch,Equipment,0.5
6341,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6341,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6341,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6341,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6342,15,29618,processed_by,ManufacturingBatch,Equipment,0.5
6342,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6342,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6342,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6342,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6343,15,29619,processed_by,ManufacturingBatch,Equipment,0.5
6343,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6343,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6343,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6343,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6344,15,29620,processed_by,ManufacturingBatch,Equipment,0.5
6344,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6344,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6344,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6344,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6345,15,29621,processed_by,ManufacturingBatch,Equipment,0.5
6345,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6345,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6345,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6345,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6346,15,29622,processed_by,ManufacturingBatch,Equipment,0.5
6346,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6346,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6346,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6346,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6347,15,29623,processed_by,ManufacturingBatch,Equipment,0.5
6347,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6347,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6347,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6347,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6348,15,29591,processed_by,ManufacturingBatch,Equipment,0.5
6348,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6348,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6348,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6348,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6349,15,29624,processed_by,ManufacturingBatch,Equipment,0.5
6349,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6349,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6349,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6349,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6350,15,29604,processed_by,ManufacturingBatch,Equipment,0.5
6350,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6350,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6350,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6350,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6351,15,29621,processed_by,ManufacturingBatch,Equipment,0.5
6351,16,29512,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6351,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6351,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6351,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6352,15,29625,processed_by,ManufacturingBatch,Equipment,0.5
6352,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6352,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6352,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6352,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6353,15,29626,processed_by,ManufacturingBatch,Equipment,0.5
6353,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6353,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6353,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6353,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6354,15,29627,processed_by,ManufacturingBatch,Equipment,0.5
6354,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6354,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6354,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6354,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6355,15,29606,processed_by,ManufacturingBatch,Equipment,0.5
6355,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6355,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6355,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6355,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6356,15,29627,processed_by,ManufacturingBatch,Equipment,0.5
6356,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6356,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6356,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6356,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6357,15,29628,processed_by,ManufacturingBatch,Equipment,0.5
6357,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6357,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6357,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6357,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6358,15,29618,processed_by,ManufacturingBatch,Equipment,0.5
6358,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6358,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6358,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6358,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6359,15,29614,processed_by,ManufacturingBatch,Equipment,0.5
6359,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6359,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6359,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6359,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6360,15,29629,processed_by,ManufacturingBatch,Equipment,0.5
6360,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6360,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6360,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6360,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6361,15,29590,processed_by,ManufacturingBatch,Equipment,0.5
6361,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6361,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6361,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6361,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6362,15,29608,processed_by,ManufacturingBatch,Equipment,0.5
6362,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6362,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6362,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6362,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6363,15,29630,processed_by,ManufacturingBatch,Equipment,0.5
6363,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6363,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6363,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6363,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6364,15,29592,processed_by,ManufacturingBatch,Equipment,0.5
6364,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6364,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6364,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6364,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6365,15,29631,processed_by,ManufacturingBatch,Equipment,0.5
6365,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6365,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6365,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6365,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6366,15,29605,processed_by,ManufacturingBatch,Equipment,0.5
6366,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6366,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6366,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6366,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6367,15,29625,processed_by,ManufacturingBatch,Equipment,0.5
6367,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6367,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6367,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6367,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6368,15,29632,processed_by,ManufacturingBatch,Equipment,0.5
6368,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6368,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6368,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6368,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6369,15,29633,processed_by,ManufacturingBatch,Equipment,0.5
6369,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6369,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6369,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6369,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6370,15,29582,processed_by,ManufacturingBatch,Equipment,0.5
6370,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6370,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6370,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6370,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6371,15,29634,processed_by,ManufacturingBatch,Equipment,0.5
6371,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6371,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6371,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6371,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6372,15,29631,processed_by,ManufacturingBatch,Equipment,0.5
6372,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6372,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6372,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6372,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6373,15,29635,processed_by,ManufacturingBatch,Equipment,0.5
6373,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6373,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6373,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6373,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6374,15,29622,processed_by,ManufacturingBatch,Equipment,0.5
6374,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6374,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6374,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6374,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6375,15,29621,processed_by,ManufacturingBatch,Equipment,0.5
6375,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6375,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6375,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6375,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6376,15,29636,processed_by,ManufacturingBatch,Equipment,0.5
6376,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6376,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6376,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6376,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6377,15,29616,processed_by,ManufacturingBatch,Equipment,0.5
6377,16,24504,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6377,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6377,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6377,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6378,15,29637,processed_by,ManufacturingBatch,Equipment,0.5
6378,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6378,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6378,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6378,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6379,15,29592,processed_by,ManufacturingBatch,Equipment,0.5
6379,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6379,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6379,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6379,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6380,15,29611,processed_by,ManufacturingBatch,Equipment,0.5
6380,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6380,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6380,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6380,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6381,15,29638,processed_by,ManufacturingBatch,Equipment,0.5
6381,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6381,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
6381,17,29580,uses_process,ManufacturingBatch,HeatTreatmentProcess,0.5
6381,17,29581,uses_process,ManufacturingBatch,GrindingProcess,0.5
6382,15,29632,processed_by,ManufacturingBatch,Equipment,0.5
6382,16,24501,has_manufacturing_risk_level,ManufacturingBatch,RiskLevel,0.5
6382,17,29579,uses_process,ManufacturingBatch,ManufacturingProcess,0.5
