receipt_id,inv_lot_id,po_line_id,recv_no,recv_time_txt,recv_qty_txt,wh_keeper,iqc_flag,recv_stat_cd
175,175,175,RECVNO-0175,2026/05/16 04:25:00,20.700 MPa,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,Y,ERP_CLOSED
176,176,176,RECVNO-0176,2026/05/17 04:32:00,0.050 mL/min,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,Y,ERP_HOLD
177,177,177,RECVNO-0177,2026/05/18 04:39:00,155.000 mm,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,N,ERP_OPEN
178,178,178,RECVNO-0178,2026/05/19 04:46:00,4.950 s,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,Y,ERP_RUNNING
179,179,179,RECVNO-0179,2026/05/20 04:53:00,38.3 C,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,Y,ERP_CLOSED
180,180,180,RECVNO-0180,2026/05/21 05:00:00,0.120 mm,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,N,ERP_HOLD
181,181,181,RECVNO-0181,2026/05/22 05:07:00,20.850 MPa,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,Y,ERP_OPEN
182,182,182,RECVNO-0182,2026/05/23 05:14:00,0.220 mL/min,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,Y,ERP_RUNNING
183,183,183,RECVNO-0183,2026/05/24 05:21:00,155.150 mm,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,N,ERP_CLOSED
184,184,184,RECVNO-0184,2026/05/25 05:28:00,5.100 s,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,Y,ERP_HOLD
185,185,185,RECVNO-0185,2026/05/26 05:35:00,37.7 C,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,Y,ERP_OPEN
186,186,186,RECVNO-0186,2026/05/27 05:42:00,0.150 mm,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,N,ERP_RUNNING
187,187,187,RECVNO-0187,2026/05/28 05:49:00,21.000 MPa,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,Y,ERP_CLOSED
188,188,188,RECVNO-0188,2026/05/29 05:56:00,0.110 mL/min,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,Y,ERP_HOLD
189,189,189,RECVNO-0189,2026/05/30 06:03:00,155.300 mm,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,N,ERP_OPEN
190,190,190,RECVNO-0190,2026/05/31 06:10:00,4.500 s,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,Y,ERP_RUNNING
191,191,191,RECVNO-0191,2026/06/01 06:17:00,37.9 C,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for act,Y,ERP_CLOSED
192,192,192,RECVNO-0192,2026/06/02 06:24:00,0.180 mm,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used fo,N,ERP_HOLD
193,193,193,RECVNO-0193,2026/06/03 06:31:00,21.150 MPa,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator ,Y,ERP_OPEN
194,194,194,RECVNO-0194,2026/06/04 06:38:00,0.140 mL/min,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator a,Y,ERP_RUNNING
195,195,195,RECVNO-0195,2026/06/05 06:45:00,158.400 mm,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actu,N,ERP_CLOSED
196,196,196,RECVNO-0196,2026/06/06 06:52:00,4.650 s,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuat,Y,ERP_HOLD
197,197,197,RECVNO-0197,2026/05/10 06:59:00,38.0 C,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actua,Y,ERP_OPEN
198,198,198,RECVNO-0198,2026/05/11 07:06:00,0.210 mm,The procurement batch for Throttle Connector has completed receiving inspection and is used for actu,N,ERP_RUNNING
199,199,199,RECVNO-0199,2026/05/12 07:13:00,21.300 MPa,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used,Y,ERP_CLOSED
200,200,200,RECVNO-0200,2026/05/13 07:20:00,0.020 mL/min,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator as,Y,ERP_HOLD
