iqs_failure_id,quality_event_doc_id,inspection_doc_id,defect_log_id,component_serial_no,part_serial_no,work_order_no,op_no,supplier_code,maintenance_event_no,doc_source,failure_type,quality_code,iqs_failure_order,task_code,product_code,product_name,piece_no,find_dept_code,find_dept_name,doc_status_code,secret_level_code,starttime_text,finishtime_text
63,63,63,63,LGACT-2026-0063,PIN-2026-0063,WO-LG-2026-0063,OP080,SUP-CF-0063,QE-CF-2026-0063,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0063,IQS-CF-0063,TASK-LG-0063,AC-LGACT-PROD-0063,Front End Cap 063,PIECENO-0063,DEPT-QA-04,Precision Machining Workshop,QMS_CLOSED,QMS_C,2026/05/15 15:21:00,2026/05/15 15:21:00
64,64,64,64,LGACT-2026-0064,PIN-2026-0064,WO-LG-2026-0064,OP010,SUP-CF-0064,QE-CF-2026-0064,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0064,IQS-CF-0064,TASK-LG-0064,AC-LGACT-PROD-0064,Rear End Cap 064,PIECENO-0064,DEPT-QA-05,Outsourcing Quality Office,QMS_HOLD,QMS_D,2026/05/16 15:28:00,2026/05/16 15:28:00
65,65,65,65,LGACT-2026-0065,PIN-2026-0065,WO-LG-2026-0065,OP020,SUP-CF-0065,QE-CF-2026-0065,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0065,IQS-CF-0065,TASK-LG-0065,AC-LGACT-PROD-0065,Seal Ring Assembly 065,PIECENO-0065,DEPT-QA-06,Aviation Materials Procurement Department,QMS_OPEN,QMS_A,2026/05/17 15:35:00,2026/05/17 15:35:00
66,66,66,66,LGACT-2026-0066,PIN-2026-0066,WO-LG-2026-0066,OP030,SUP-CF-0066,QE-CF-2026-0066,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0066,IQS-CF-0066,TASK-LG-0066,AC-LGACT-PROD-0066,Trunnion Bushing 066,PIECENO-0066,DEPT-QA-01,Field Support Department,QMS_RUNNING,QMS_B,2026/05/18 15:42:00,2026/05/18 15:42:00
67,67,67,67,LGACT-2026-0067,PIN-2026-0067,WO-LG-2026-0067,OP040,SUP-CF-0067,QE-CF-2026-0067,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0067,IQS-CF-0067,TASK-LG-0067,AC-LGACT-PROD-0067,Spherical Bearing 067,PIECENO-0067,DEPT-QA-02,Quality Management Department,QMS_CLOSED,QMS_C,2026/05/19 15:49:00,2026/05/19 15:49:00
68,68,68,68,LGACT-2026-0068,PIN-2026-0068,WO-LG-2026-0068,OP050,SUP-CF-0068,QE-CF-2026-0068,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0068,IQS-CF-0068,TASK-LG-0068,AC-LGACT-PROD-0068,Throttle Connector 068,PIECENO-0068,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_HOLD,QMS_D,2026/05/20 15:56:00,2026/05/20 15:56:00
69,69,69,69,LGACT-2026-0069,PIN-2026-0069,WO-LG-2026-0069,OP060,SUP-CF-0069,QE-CF-2026-0069,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0069,IQS-CF-0069,TASK-LG-0069,AC-LGACT-PROD-0069,Displacement Sensor Bracket 069,PIECENO-0069,DEPT-QA-04,Precision Machining Workshop,QMS_OPEN,QMS_A,2026/05/21 16:03:00,2026/05/21 16:03:00
70,70,70,70,LGACT-2026-0070,PIN-2026-0070,WO-LG-2026-0070,OP070,SUP-CF-0070,QE-CF-2026-0070,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0070,IQS-CF-0070,TASK-LG-0070,AC-LGACT-PROD-0070,Locking Nut 070,PIECENO-0070,DEPT-QA-05,Outsourcing Quality Office,QMS_RUNNING,QMS_B,2026/05/22 16:10:00,2026/05/22 16:10:00
71,71,71,71,LGACT-2026-0071,PIN-2026-0071,WO-LG-2026-0071,OP080,SUP-CF-0071,QE-CF-2026-0071,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0071,IQS-CF-0071,TASK-LG-0071,AC-LGACT-PROD-0071,Piston Rod Assembly 071,PIECENO-0071,DEPT-QA-06,Aviation Materials Procurement Department,QMS_CLOSED,QMS_C,2026/05/23 16:17:00,2026/05/23 16:17:00
72,72,72,72,LGACT-2026-0072,PIN-2026-0072,WO-LG-2026-0072,OP010,SUP-CF-0072,QE-CF-2026-0072,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0072,IQS-CF-0072,TASK-LG-0072,AC-LGACT-PROD-0072,Cylinder Barrel Assembly 072,PIECENO-0072,DEPT-QA-01,Field Support Department,QMS_HOLD,QMS_D,2026/05/24 16:24:00,2026/05/24 16:24:00
73,73,73,73,LGACT-2026-0073,PIN-2026-0073,WO-LG-2026-0073,OP020,SUP-CF-0073,QE-CF-2026-0073,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0073,IQS-CF-0073,TASK-LG-0073,AC-LGACT-PROD-0073,Front End Cap 073,PIECENO-0073,DEPT-QA-02,Quality Management Department,QMS_OPEN,QMS_A,2026/05/25 16:31:00,2026/05/25 16:31:00
74,74,74,74,LGACT-2026-0074,PIN-2026-0074,WO-LG-2026-0074,OP030,SUP-CF-0074,QE-CF-2026-0074,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0074,IQS-CF-0074,TASK-LG-0074,AC-LGACT-PROD-0074,Rear End Cap 074,PIECENO-0074,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_RUNNING,QMS_B,2026/05/26 16:38:00,2026/05/26 16:38:00
75,75,75,75,LGACT-2026-0075,PIN-2026-0075,WO-LG-2026-0075,OP040,SUP-CF-0075,QE-CF-2026-0075,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0075,IQS-CF-0075,TASK-LG-0075,AC-LGACT-PROD-0075,Seal Ring Assembly 075,PIECENO-0075,DEPT-QA-04,Precision Machining Workshop,QMS_CLOSED,QMS_C,2026/05/27 16:45:00,2026/05/27 16:45:00
76,76,76,76,LGACT-2026-0076,PIN-2026-0076,WO-LG-2026-0076,OP050,SUP-CF-0076,QE-CF-2026-0076,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0076,IQS-CF-0076,TASK-LG-0076,AC-LGACT-PROD-0076,Trunnion Bushing 076,PIECENO-0076,DEPT-QA-05,Outsourcing Quality Office,QMS_HOLD,QMS_D,2026/05/28 16:52:00,2026/05/28 16:52:00
77,77,77,77,LGACT-2026-0077,PIN-2026-0077,WO-LG-2026-0077,OP060,SUP-CF-0077,QE-CF-2026-0077,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0077,IQS-CF-0077,TASK-LG-0077,AC-LGACT-PROD-0077,Spherical Bearing 077,PIECENO-0077,DEPT-QA-06,Aviation Materials Procurement Department,QMS_OPEN,QMS_A,2026/05/29 16:59:00,2026/05/29 16:59:00
78,78,78,78,LGACT-2026-0078,PIN-2026-0078,WO-LG-2026-0078,OP070,SUP-CF-0078,QE-CF-2026-0078,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0078,IQS-CF-0078,TASK-LG-0078,AC-LGACT-PROD-0078,Throttle Connector 078,PIECENO-0078,DEPT-QA-01,Field Support Department,QMS_RUNNING,QMS_B,2026/05/30 17:06:00,2026/05/30 17:06:00
79,79,79,79,LGACT-2026-0079,PIN-2026-0079,WO-LG-2026-0079,OP080,SUP-CF-0079,QE-CF-2026-0079,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0079,IQS-CF-0079,TASK-LG-0079,AC-LGACT-PROD-0079,Displacement Sensor Bracket 079,PIECENO-0079,DEPT-QA-02,Quality Management Department,QMS_CLOSED,QMS_C,2026/05/31 17:13:00,2026/05/31 17:13:00
80,80,80,80,LGACT-2026-0080,PIN-2026-0080,WO-LG-2026-0080,OP010,SUP-CF-0080,QE-CF-2026-0080,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0080,IQS-CF-0080,TASK-LG-0080,AC-LGACT-PROD-0080,Locking Nut 080,PIECENO-0080,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_HOLD,QMS_D,2026/06/01 17:20:00,2026/06/01 17:20:00
81,81,81,81,LGACT-2026-0081,PIN-2026-0081,WO-LG-2026-0081,OP020,SUP-CF-0081,QE-CF-2026-0081,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0081,IQS-CF-0081,TASK-LG-0081,AC-LGACT-PROD-0081,Piston Rod Assembly 081,PIECENO-0081,DEPT-QA-04,Precision Machining Workshop,QMS_OPEN,QMS_A,2026/06/02 17:27:00,2026/06/02 17:27:00
82,82,82,82,LGACT-2026-0082,PIN-2026-0082,WO-LG-2026-0082,OP030,SUP-CF-0082,QE-CF-2026-0082,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0082,IQS-CF-0082,TASK-LG-0082,AC-LGACT-PROD-0082,Cylinder Barrel Assembly 082,PIECENO-0082,DEPT-QA-05,Outsourcing Quality Office,QMS_RUNNING,QMS_B,2026/06/03 17:34:00,2026/06/03 17:34:00
83,83,83,83,LGACT-2026-0083,PIN-2026-0083,WO-LG-2026-0083,OP040,SUP-CF-0083,QE-CF-2026-0083,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0083,IQS-CF-0083,TASK-LG-0083,AC-LGACT-PROD-0083,Front End Cap 083,PIECENO-0083,DEPT-QA-06,Aviation Materials Procurement Department,QMS_CLOSED,QMS_C,2026/06/04 17:41:00,2026/06/04 17:41:00
84,84,84,84,LGACT-2026-0084,PIN-2026-0084,WO-LG-2026-0084,OP050,SUP-CF-0084,QE-CF-2026-0084,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0084,IQS-CF-0084,TASK-LG-0084,AC-LGACT-PROD-0084,Rear End Cap 084,PIECENO-0084,DEPT-QA-01,Field Support Department,QMS_HOLD,QMS_D,2026/06/05 17:48:00,2026/06/05 17:48:00
85,85,85,85,LGACT-2026-0085,PIN-2026-0085,WO-LG-2026-0085,OP060,SUP-CF-0085,QE-CF-2026-0085,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0085,IQS-CF-0085,TASK-LG-0085,AC-LGACT-PROD-0085,Seal Ring Assembly 085,PIECENO-0085,DEPT-QA-02,Quality Management Department,QMS_OPEN,QMS_A,2026/05/09 17:55:00,2026/05/09 17:55:00
86,86,86,86,LGACT-2026-0086,PIN-2026-0086,WO-LG-2026-0086,OP070,SUP-CF-0086,QE-CF-2026-0086,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0086,IQS-CF-0086,TASK-LG-0086,AC-LGACT-PROD-0086,Trunnion Bushing 086,PIECENO-0086,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_RUNNING,QMS_B,2026/05/10 18:02:00,2026/05/10 18:02:00
87,87,87,87,LGACT-2026-0087,PIN-2026-0087,WO-LG-2026-0087,OP080,SUP-CF-0087,QE-CF-2026-0087,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0087,IQS-CF-0087,TASK-LG-0087,AC-LGACT-PROD-0087,Spherical Bearing 087,PIECENO-0087,DEPT-QA-04,Precision Machining Workshop,QMS_CLOSED,QMS_C,2026/05/11 18:09:00,2026/05/11 18:09:00
88,88,88,88,LGACT-2026-0088,PIN-2026-0088,WO-LG-2026-0088,OP010,SUP-CF-0088,QE-CF-2026-0088,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0088,IQS-CF-0088,TASK-LG-0088,AC-LGACT-PROD-0088,Throttle Connector 088,PIECENO-0088,DEPT-QA-05,Outsourcing Quality Office,QMS_HOLD,QMS_D,2026/05/12 18:16:00,2026/05/12 18:16:00
89,89,89,89,LGACT-2026-0089,PIN-2026-0089,WO-LG-2026-0089,OP020,SUP-CF-0089,QE-CF-2026-0089,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0089,IQS-CF-0089,TASK-LG-0089,AC-LGACT-PROD-0089,Displacement Sensor Bracket 089,PIECENO-0089,DEPT-QA-06,Aviation Materials Procurement Department,QMS_OPEN,QMS_A,2026/05/13 18:23:00,2026/05/13 18:23:00
90,90,90,90,LGACT-2026-0090,PIN-2026-0090,WO-LG-2026-0090,OP030,SUP-CF-0090,QE-CF-2026-0090,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0090,IQS-CF-0090,TASK-LG-0090,AC-LGACT-PROD-0090,Locking Nut 090,PIECENO-0090,DEPT-QA-01,Field Support Department,QMS_RUNNING,QMS_B,2026/05/14 18:30:00,2026/05/14 18:30:00
91,91,91,91,LGACT-2026-0091,PIN-2026-0091,WO-LG-2026-0091,OP040,SUP-CF-0091,QE-CF-2026-0091,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0091,IQS-CF-0091,TASK-LG-0091,AC-LGACT-PROD-0091,Piston Rod Assembly 091,PIECENO-0091,DEPT-QA-02,Quality Management Department,QMS_CLOSED,QMS_C,2026/05/15 18:37:00,2026/05/15 18:37:00
92,92,92,92,LGACT-2026-0092,PIN-2026-0092,WO-LG-2026-0092,OP050,SUP-CF-0092,QE-CF-2026-0092,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0092,IQS-CF-0092,TASK-LG-0092,AC-LGACT-PROD-0092,Cylinder Barrel Assembly 092,PIECENO-0092,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_HOLD,QMS_D,2026/05/16 18:44:00,2026/05/16 18:44:00
93,93,93,93,LGACT-2026-0093,PIN-2026-0093,WO-LG-2026-0093,OP060,SUP-CF-0093,QE-CF-2026-0093,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0093,IQS-CF-0093,TASK-LG-0093,AC-LGACT-PROD-0093,Front End Cap 093,PIECENO-0093,DEPT-QA-04,Precision Machining Workshop,QMS_OPEN,QMS_A,2026/05/17 18:51:00,2026/05/17 18:51:00
94,94,94,94,LGACT-2026-0094,PIN-2026-0094,WO-LG-2026-0094,OP070,SUP-CF-0094,QE-CF-2026-0094,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0094,IQS-CF-0094,TASK-LG-0094,AC-LGACT-PROD-0094,Rear End Cap 094,PIECENO-0094,DEPT-QA-05,Outsourcing Quality Office,QMS_RUNNING,QMS_B,2026/05/18 18:58:00,2026/05/18 18:58:00
95,95,95,95,LGACT-2026-0095,PIN-2026-0095,WO-LG-2026-0095,OP080,SUP-CF-0095,QE-CF-2026-0095,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0095,IQS-CF-0095,TASK-LG-0095,AC-LGACT-PROD-0095,Seal Ring Assembly 095,PIECENO-0095,DEPT-QA-06,Aviation Materials Procurement Department,QMS_CLOSED,QMS_C,2026/05/19 19:05:00,2026/05/19 19:05:00
96,96,96,96,LGACT-2026-0096,PIN-2026-0096,WO-LG-2026-0096,OP010,SUP-CF-0096,QE-CF-2026-0096,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0096,IQS-CF-0096,TASK-LG-0096,AC-LGACT-PROD-0096,Trunnion Bushing 096,PIECENO-0096,DEPT-QA-01,Field Support Department,QMS_HOLD,QMS_D,2026/05/20 19:12:00,2026/05/20 19:12:00
97,97,97,97,LGACT-2026-0097,PIN-2026-0097,WO-LG-2026-0097,OP020,SUP-CF-0097,QE-CF-2026-0097,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0097,IQS-CF-0097,TASK-LG-0097,AC-LGACT-PROD-0097,Spherical Bearing 097,PIECENO-0097,DEPT-QA-02,Quality Management Department,QMS_OPEN,QMS_A,2026/05/21 19:19:00,2026/05/21 19:19:00
98,98,98,98,LGACT-2026-0098,PIN-2026-0098,WO-LG-2026-0098,OP030,SUP-CF-0098,QE-CF-2026-0098,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0098,IQS-CF-0098,TASK-LG-0098,AC-LGACT-PROD-0098,Throttle Connector 098,PIECENO-0098,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_RUNNING,QMS_B,2026/05/22 19:26:00,2026/05/22 19:26:00
99,99,99,99,LGACT-2026-0099,PIN-2026-0099,WO-LG-2026-0099,OP040,SUP-CF-0099,QE-CF-2026-0099,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0099,IQS-CF-0099,TASK-LG-0099,AC-LGACT-PROD-0099,Displacement Sensor Bracket 099,PIECENO-0099,DEPT-QA-04,Precision Machining Workshop,QMS_CLOSED,QMS_C,2026/05/23 19:33:00,2026/05/23 19:33:00
100,100,100,100,LGACT-2026-0100,PIN-2026-0100,WO-LG-2026-0100,OP050,SUP-CF-0100,QE-CF-2026-0100,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0100,IQS-CF-0100,TASK-LG-0100,AC-LGACT-PROD-0100,Locking Nut 100,PIECENO-0100,DEPT-QA-05,Outsourcing Quality Office,QMS_HOLD,QMS_D,2026/05/24 19:40:00,2026/05/24 19:40:00
101,101,101,101,LGACT-2026-0101,PIN-2026-0101,WO-LG-2026-0101,OP060,SUP-CF-0101,QE-CF-2026-0101,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0101,IQS-CF-0101,TASK-LG-0101,AC-LGACT-PROD-0101,Piston Rod Assembly 101,PIECENO-0101,DEPT-QA-06,Aviation Materials Procurement Department,QMS_OPEN,QMS_A,2026/05/25 19:47:00,2026/05/25 19:47:00
102,102,102,102,LGACT-2026-0102,PIN-2026-0102,WO-LG-2026-0102,OP070,SUP-CF-0102,QE-CF-2026-0102,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0102,IQS-CF-0102,TASK-LG-0102,AC-LGACT-PROD-0102,Cylinder Barrel Assembly 102,PIECENO-0102,DEPT-QA-01,Field Support Department,QMS_RUNNING,QMS_B,2026/05/26 19:54:00,2026/05/26 19:54:00
103,103,103,103,LGACT-2026-0103,PIN-2026-0103,WO-LG-2026-0103,OP080,SUP-CF-0103,QE-CF-2026-0103,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0103,IQS-CF-0103,TASK-LG-0103,AC-LGACT-PROD-0103,Front End Cap 103,PIECENO-0103,DEPT-QA-02,Quality Management Department,QMS_CLOSED,QMS_C,2026/05/27 20:01:00,2026/05/27 20:01:00
104,104,104,104,LGACT-2026-0104,PIN-2026-0104,WO-LG-2026-0104,OP010,SUP-CF-0104,QE-CF-2026-0104,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0104,IQS-CF-0104,TASK-LG-0104,AC-LGACT-PROD-0104,Rear End Cap 104,PIECENO-0104,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_HOLD,QMS_D,2026/05/28 20:08:00,2026/05/28 20:08:00
105,105,105,105,LGACT-2026-0105,PIN-2026-0105,WO-LG-2026-0105,OP020,SUP-CF-0105,QE-CF-2026-0105,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0105,IQS-CF-0105,TASK-LG-0105,AC-LGACT-PROD-0105,Seal Ring Assembly 105,PIECENO-0105,DEPT-QA-04,Precision Machining Workshop,QMS_OPEN,QMS_A,2026/05/29 20:15:00,2026/05/29 20:15:00
106,106,106,106,LGACT-2026-0106,PIN-2026-0106,WO-LG-2026-0106,OP030,SUP-CF-0106,QE-CF-2026-0106,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0106,IQS-CF-0106,TASK-LG-0106,AC-LGACT-PROD-0106,Trunnion Bushing 106,PIECENO-0106,DEPT-QA-05,Outsourcing Quality Office,QMS_RUNNING,QMS_B,2026/05/30 20:22:00,2026/05/30 20:22:00
107,107,107,107,LGACT-2026-0107,PIN-2026-0107,WO-LG-2026-0107,OP040,SUP-CF-0107,QE-CF-2026-0107,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0107,IQS-CF-0107,TASK-LG-0107,AC-LGACT-PROD-0107,Spherical Bearing 107,PIECENO-0107,DEPT-QA-06,Aviation Materials Procurement Department,QMS_CLOSED,QMS_C,2026/05/31 20:29:00,2026/05/31 20:29:00
108,108,108,108,LGACT-2026-0108,PIN-2026-0108,WO-LG-2026-0108,OP050,SUP-CF-0108,QE-CF-2026-0108,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0108,IQS-CF-0108,TASK-LG-0108,AC-LGACT-PROD-0108,Throttle Connector 108,PIECENO-0108,DEPT-QA-01,Field Support Department,QMS_HOLD,QMS_D,2026/06/01 20:36:00,2026/06/01 20:36:00
109,109,109,109,LGACT-2026-0109,PIN-2026-0109,WO-LG-2026-0109,OP060,SUP-CF-0109,QE-CF-2026-0109,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0109,IQS-CF-0109,TASK-LG-0109,AC-LGACT-PROD-0109,Displacement Sensor Bracket 109,PIECENO-0109,DEPT-QA-02,Quality Management Department,QMS_OPEN,QMS_A,2026/06/02 20:43:00,2026/06/02 20:43:00
110,110,110,110,LGACT-2026-0110,PIN-2026-0110,WO-LG-2026-0110,OP070,SUP-CF-0110,QE-CF-2026-0110,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0110,IQS-CF-0110,TASK-LG-0110,AC-LGACT-PROD-0110,Locking Nut 110,PIECENO-0110,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_RUNNING,QMS_B,2026/06/03 20:50:00,2026/06/03 20:50:00
111,111,111,111,LGACT-2026-0111,PIN-2026-0111,WO-LG-2026-0111,OP080,SUP-CF-0111,QE-CF-2026-0111,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0111,IQS-CF-0111,TASK-LG-0111,AC-LGACT-PROD-0111,Piston Rod Assembly 111,PIECENO-0111,DEPT-QA-04,Precision Machining Workshop,QMS_CLOSED,QMS_C,2026/06/04 20:57:00,2026/06/04 20:57:00
112,112,112,112,LGACT-2026-0112,PIN-2026-0112,WO-LG-2026-0112,OP010,SUP-CF-0112,QE-CF-2026-0112,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0112,IQS-CF-0112,TASK-LG-0112,AC-LGACT-PROD-0112,Cylinder Barrel Assembly 112,PIECENO-0112,DEPT-QA-05,Outsourcing Quality Office,QMS_HOLD,QMS_D,2026/06/05 21:04:00,2026/06/05 21:04:00
113,113,113,113,LGACT-2026-0113,PIN-2026-0113,WO-LG-2026-0113,OP020,SUP-CF-0113,QE-CF-2026-0113,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0113,IQS-CF-0113,TASK-LG-0113,AC-LGACT-PROD-0113,Front End Cap 113,PIECENO-0113,DEPT-QA-06,Aviation Materials Procurement Department,QMS_OPEN,QMS_A,2026/05/09 21:11:00,2026/05/09 21:11:00
114,114,114,114,LGACT-2026-0114,PIN-2026-0114,WO-LG-2026-0114,OP030,SUP-CF-0114,QE-CF-2026-0114,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0114,IQS-CF-0114,TASK-LG-0114,AC-LGACT-PROD-0114,Rear End Cap 114,PIECENO-0114,DEPT-QA-01,Field Support Department,QMS_RUNNING,QMS_B,2026/05/10 21:18:00,2026/05/10 21:18:00
115,115,115,115,LGACT-2026-0115,PIN-2026-0115,WO-LG-2026-0115,OP040,SUP-CF-0115,QE-CF-2026-0115,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0115,IQS-CF-0115,TASK-LG-0115,AC-LGACT-PROD-0115,Seal Ring Assembly 115,PIECENO-0115,DEPT-QA-02,Quality Management Department,QMS_CLOSED,QMS_C,2026/05/11 21:25:00,2026/05/11 21:25:00
116,116,116,116,LGACT-2026-0116,PIN-2026-0116,WO-LG-2026-0116,OP050,SUP-CF-0116,QE-CF-2026-0116,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0116,IQS-CF-0116,TASK-LG-0116,AC-LGACT-PROD-0116,Trunnion Bushing 116,PIECENO-0116,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_HOLD,QMS_D,2026/05/12 21:32:00,2026/05/12 21:32:00
117,117,117,117,LGACT-2026-0117,PIN-2026-0117,WO-LG-2026-0117,OP060,SUP-CF-0117,QE-CF-2026-0117,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0117,IQS-CF-0117,TASK-LG-0117,AC-LGACT-PROD-0117,Spherical Bearing 117,PIECENO-0117,DEPT-QA-04,Precision Machining Workshop,QMS_OPEN,QMS_A,2026/05/13 21:39:00,2026/05/13 21:39:00
118,118,118,118,LGACT-2026-0118,PIN-2026-0118,WO-LG-2026-0118,OP070,SUP-CF-0118,QE-CF-2026-0118,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0118,IQS-CF-0118,TASK-LG-0118,AC-LGACT-PROD-0118,Throttle Connector 118,PIECENO-0118,DEPT-QA-05,Outsourcing Quality Office,QMS_RUNNING,QMS_B,2026/05/14 21:46:00,2026/05/14 21:46:00
119,119,119,119,LGACT-2026-0119,PIN-2026-0119,WO-LG-2026-0119,OP080,SUP-CF-0119,QE-CF-2026-0119,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0119,IQS-CF-0119,TASK-LG-0119,AC-LGACT-PROD-0119,Displacement Sensor Bracket 119,PIECENO-0119,DEPT-QA-06,Aviation Materials Procurement Department,QMS_CLOSED,QMS_C,2026/05/15 21:53:00,2026/05/15 21:53:00
120,120,120,120,LGACT-2026-0120,PIN-2026-0120,WO-LG-2026-0120,OP010,SUP-CF-0120,QE-CF-2026-0120,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0120,IQS-CF-0120,TASK-LG-0120,AC-LGACT-PROD-0120,Locking Nut 120,PIECENO-0120,DEPT-QA-01,Field Support Department,QMS_HOLD,QMS_D,2026/05/16 22:00:00,2026/05/16 22:00:00
121,121,121,121,LGACT-2026-0121,PIN-2026-0121,WO-LG-2026-0121,OP020,SUP-CF-0121,QE-CF-2026-0121,QMS_SRC_MES,QMS_NC_PROCESS,QC-LG-0121,IQS-CF-0121,TASK-LG-0121,AC-LGACT-PROD-0121,Piston Rod Assembly 121,PIECENO-0121,DEPT-QA-02,Quality Management Department,QMS_OPEN,QMS_A,2026/05/17 22:07:00,2026/05/17 22:07:00
122,122,122,122,LGACT-2026-0122,PIN-2026-0122,WO-LG-2026-0122,OP030,SUP-CF-0122,QE-CF-2026-0122,QMS_SRC_QMS,QMS_NC_INCOMING,QC-LG-0122,IQS-CF-0122,TASK-LG-0122,AC-LGACT-PROD-0122,Cylinder Barrel Assembly 122,PIECENO-0122,DEPT-QA-03,Hydraulic Assembly Workshop,QMS_RUNNING,QMS_B,2026/05/18 22:14:00,2026/05/18 22:14:00
123,123,123,123,LGACT-2026-0123,PIN-2026-0123,WO-LG-2026-0123,OP040,SUP-CF-0123,QE-CF-2026-0123,QMS_SRC_MRO,QMS_NC_ASSEMBLY,QC-LG-0123,IQS-CF-0123,TASK-LG-0123,AC-LGACT-PROD-0123,Front End Cap 123,PIECENO-0123,DEPT-QA-04,Precision Machining Workshop,QMS_CLOSED,QMS_C,2026/05/19 22:21:00,2026/05/19 22:21:00
124,124,124,124,LGACT-2026-0124,PIN-2026-0124,WO-LG-2026-0124,OP050,SUP-CF-0124,QE-CF-2026-0124,QMS_SRC_ERP,QMS_NC_SERVICE,QC-LG-0124,IQS-CF-0124,TASK-LG-0124,AC-LGACT-PROD-0124,Rear End Cap 124,PIECENO-0124,DEPT-QA-05,Outsourcing Quality Office,QMS_HOLD,QMS_D,2026/05/20 22:28:00,2026/05/20 22:28:00
