worklog_id,task_id,batch_id,part_id,assembly_id,station_id,equipment_asset_id,person_id,zzh,op_no,workid,workname,startdate_txt,enddate_txt,status_code
151,151,151,151,151,151,151,151,LGACT-2026-0151,OP080,WO-LG-2026-0151,Pressure Holding Test,2026/05/20 01:37:00,2026/05/20 01:37:00,MES_OP_HOLD
152,152,152,152,152,152,152,152,LGACT-2026-0152,OP010,WO-LG-2026-0152,Extension and Retraction Function Test,2026/05/21 01:44:00,2026/05/21 01:44:00,MES_OP_REWORK
153,153,153,153,153,153,153,153,LGACT-2026-0153,OP020,WO-LG-2026-0153,Cylinder Barrel Rough Machining,2026/05/22 01:51:00,2026/05/22 01:51:00,MES_OP_DONE
154,154,154,154,154,154,154,154,LGACT-2026-0154,OP030,WO-LG-2026-0154,Piston Rod Precision Grinding,2026/05/23 01:58:00,2026/05/23 01:58:00,MES_OP_RUN
155,155,155,155,155,155,155,155,LGACT-2026-0155,OP040,WO-LG-2026-0155,Inner Bore Honing,2026/05/24 02:05:00,2026/05/24 02:05:00,MES_OP_HOLD
156,156,156,156,156,156,156,156,LGACT-2026-0156,OP050,WO-LG-2026-0156,Chrome Plating Layer Grinding,2026/05/25 02:12:00,2026/05/25 02:12:00,MES_OP_REWORK
157,157,157,157,157,157,157,157,LGACT-2026-0157,OP060,WO-LG-2026-0157,Seal Component Assembly,2026/05/26 02:19:00,2026/05/26 02:19:00,MES_OP_DONE
158,158,158,158,158,158,158,158,LGACT-2026-0158,OP070,WO-LG-2026-0158,Actuator Final Assembly,2026/05/27 02:26:00,2026/05/27 02:26:00,MES_OP_RUN
159,159,159,159,159,159,159,159,LGACT-2026-0159,OP080,WO-LG-2026-0159,Pressure Holding Test,2026/05/28 02:33:00,2026/05/28 02:33:00,MES_OP_HOLD
160,160,160,160,160,160,160,160,LGACT-2026-0160,OP010,WO-LG-2026-0160,Extension and Retraction Function Test,2026/05/29 02:40:00,2026/05/29 02:40:00,MES_OP_REWORK
161,161,161,161,161,161,161,161,LGACT-2026-0161,OP020,WO-LG-2026-0161,Cylinder Barrel Rough Machining,2026/05/30 02:47:00,2026/05/30 02:47:00,MES_OP_DONE
162,162,162,162,162,162,162,162,LGACT-2026-0162,OP030,WO-LG-2026-0162,Piston Rod Precision Grinding,2026/05/31 02:54:00,2026/05/31 02:54:00,MES_OP_RUN
163,163,163,163,163,163,163,163,LGACT-2026-0163,OP040,WO-LG-2026-0163,Inner Bore Honing,2026/06/01 03:01:00,2026/06/01 03:01:00,MES_OP_HOLD
164,164,164,164,164,164,164,164,LGACT-2026-0164,OP050,WO-LG-2026-0164,Chrome Plating Layer Grinding,2026/06/02 03:08:00,2026/06/02 03:08:00,MES_OP_REWORK
165,165,165,165,165,165,165,165,LGACT-2026-0165,OP060,WO-LG-2026-0165,Seal Component Assembly,2026/06/03 03:15:00,2026/06/03 03:15:00,MES_OP_DONE
166,166,166,166,166,166,166,166,LGACT-2026-0166,OP070,WO-LG-2026-0166,Actuator Final Assembly,2026/06/04 03:22:00,2026/06/04 03:22:00,MES_OP_RUN
167,167,167,167,167,167,167,167,LGACT-2026-0167,OP080,WO-LG-2026-0167,Pressure Holding Test,2026/06/05 03:29:00,2026/06/05 03:29:00,MES_OP_HOLD
168,168,168,168,168,168,168,168,LGACT-2026-0168,OP010,WO-LG-2026-0168,Extension and Retraction Function Test,2026/06/06 03:36:00,2026/06/06 03:36:00,MES_OP_REWORK
169,169,169,169,169,169,169,169,LGACT-2026-0169,OP020,WO-LG-2026-0169,Cylinder Barrel Rough Machining,2026/05/10 03:43:00,2026/05/10 03:43:00,MES_OP_DONE
170,170,170,170,170,170,170,170,LGACT-2026-0170,OP030,WO-LG-2026-0170,Piston Rod Precision Grinding,2026/05/11 03:50:00,2026/05/11 03:50:00,MES_OP_RUN
171,171,171,171,171,171,171,171,LGACT-2026-0171,OP040,WO-LG-2026-0171,Inner Bore Honing,2026/05/12 03:57:00,2026/05/12 03:57:00,MES_OP_HOLD
172,172,172,172,172,172,172,172,LGACT-2026-0172,OP050,WO-LG-2026-0172,Chrome Plating Layer Grinding,2026/05/13 04:04:00,2026/05/13 04:04:00,MES_OP_REWORK
173,173,173,173,173,173,173,173,LGACT-2026-0173,OP060,WO-LG-2026-0173,Seal Component Assembly,2026/05/14 04:11:00,2026/05/14 04:11:00,MES_OP_DONE
174,174,174,174,174,174,174,174,LGACT-2026-0174,OP070,WO-LG-2026-0174,Actuator Final Assembly,2026/05/15 04:18:00,2026/05/15 04:18:00,MES_OP_RUN
175,175,175,175,175,175,175,175,LGACT-2026-0175,OP080,WO-LG-2026-0175,Pressure Holding Test,2026/05/16 04:25:00,2026/05/16 04:25:00,MES_OP_HOLD
176,176,176,176,176,176,176,176,LGACT-2026-0176,OP010,WO-LG-2026-0176,Extension and Retraction Function Test,2026/05/17 04:32:00,2026/05/17 04:32:00,MES_OP_REWORK
177,177,177,177,177,177,177,177,LGACT-2026-0177,OP020,WO-LG-2026-0177,Cylinder Barrel Rough Machining,2026/05/18 04:39:00,2026/05/18 04:39:00,MES_OP_DONE
178,178,178,178,178,178,178,178,LGACT-2026-0178,OP030,WO-LG-2026-0178,Piston Rod Precision Grinding,2026/05/19 04:46:00,2026/05/19 04:46:00,MES_OP_RUN
179,179,179,179,179,179,179,179,LGACT-2026-0179,OP040,WO-LG-2026-0179,Inner Bore Honing,2026/05/20 04:53:00,2026/05/20 04:53:00,MES_OP_HOLD
180,180,180,180,180,180,180,180,LGACT-2026-0180,OP050,WO-LG-2026-0180,Chrome Plating Layer Grinding,2026/05/21 05:00:00,2026/05/21 05:00:00,MES_OP_REWORK
181,181,181,181,181,181,181,181,LGACT-2026-0181,OP060,WO-LG-2026-0181,Seal Component Assembly,2026/05/22 05:07:00,2026/05/22 05:07:00,MES_OP_DONE
182,182,182,182,182,182,182,182,LGACT-2026-0182,OP070,WO-LG-2026-0182,Actuator Final Assembly,2026/05/23 05:14:00,2026/05/23 05:14:00,MES_OP_RUN
183,183,183,183,183,183,183,183,LGACT-2026-0183,OP080,WO-LG-2026-0183,Pressure Holding Test,2026/05/24 05:21:00,2026/05/24 05:21:00,MES_OP_HOLD
184,184,184,184,184,184,184,184,LGACT-2026-0184,OP010,WO-LG-2026-0184,Extension and Retraction Function Test,2026/05/25 05:28:00,2026/05/25 05:28:00,MES_OP_REWORK
185,185,185,185,185,185,185,185,LGACT-2026-0185,OP020,WO-LG-2026-0185,Cylinder Barrel Rough Machining,2026/05/26 05:35:00,2026/05/26 05:35:00,MES_OP_DONE
186,186,186,186,186,186,186,186,LGACT-2026-0186,OP030,WO-LG-2026-0186,Piston Rod Precision Grinding,2026/05/27 05:42:00,2026/05/27 05:42:00,MES_OP_RUN
187,187,187,187,187,187,187,187,LGACT-2026-0187,OP040,WO-LG-2026-0187,Inner Bore Honing,2026/05/28 05:49:00,2026/05/28 05:49:00,MES_OP_HOLD
188,188,188,188,188,188,188,188,LGACT-2026-0188,OP050,WO-LG-2026-0188,Chrome Plating Layer Grinding,2026/05/29 05:56:00,2026/05/29 05:56:00,MES_OP_REWORK
189,189,189,189,189,189,189,189,LGACT-2026-0189,OP060,WO-LG-2026-0189,Seal Component Assembly,2026/05/30 06:03:00,2026/05/30 06:03:00,MES_OP_DONE
190,190,190,190,190,190,190,190,LGACT-2026-0190,OP070,WO-LG-2026-0190,Actuator Final Assembly,2026/05/31 06:10:00,2026/05/31 06:10:00,MES_OP_RUN
191,191,191,191,191,191,191,191,LGACT-2026-0191,OP080,WO-LG-2026-0191,Pressure Holding Test,2026/06/01 06:17:00,2026/06/01 06:17:00,MES_OP_HOLD
192,192,192,192,192,192,192,192,LGACT-2026-0192,OP010,WO-LG-2026-0192,Extension and Retraction Function Test,2026/06/02 06:24:00,2026/06/02 06:24:00,MES_OP_REWORK
193,193,193,193,193,193,193,193,LGACT-2026-0193,OP020,WO-LG-2026-0193,Cylinder Barrel Rough Machining,2026/06/03 06:31:00,2026/06/03 06:31:00,MES_OP_DONE
194,194,194,194,194,194,194,194,LGACT-2026-0194,OP030,WO-LG-2026-0194,Piston Rod Precision Grinding,2026/06/04 06:38:00,2026/06/04 06:38:00,MES_OP_RUN
195,195,195,195,195,195,195,195,LGACT-2026-0195,OP040,WO-LG-2026-0195,Inner Bore Honing,2026/06/05 06:45:00,2026/06/05 06:45:00,MES_OP_HOLD
196,196,196,196,196,196,196,196,LGACT-2026-0196,OP050,WO-LG-2026-0196,Chrome Plating Layer Grinding,2026/06/06 06:52:00,2026/06/06 06:52:00,MES_OP_REWORK
197,197,197,197,197,197,197,197,LGACT-2026-0197,OP060,WO-LG-2026-0197,Seal Component Assembly,2026/05/10 06:59:00,2026/05/10 06:59:00,MES_OP_DONE
198,198,198,198,198,198,198,198,LGACT-2026-0198,OP070,WO-LG-2026-0198,Actuator Final Assembly,2026/05/11 07:06:00,2026/05/11 07:06:00,MES_OP_RUN
199,199,199,199,199,199,199,199,LGACT-2026-0199,OP080,WO-LG-2026-0199,Pressure Holding Test,2026/05/12 07:13:00,2026/05/12 07:13:00,MES_OP_HOLD
200,200,200,200,200,200,200,200,LGACT-2026-0200,OP010,WO-LG-2026-0200,Extension and Retraction Function Test,2026/05/13 07:20:00,2026/05/13 07:20:00,MES_OP_REWORK
