iqs_failure_content_id,iqs_failure_id,start_piece_no_text,end_piece_no_text,failure_desc,failure_place_brief,find_type_code,find_date_text,finder_type_code,find_user_code,find_user_name,duty_worksec_code,duty_worksec_name,duty_dept_code,duty_dept_name,actual_method,doc_no
56,56,003,003,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/06/05 14:32:00,QMS_SERVICE,PERS-0056,Trunnion Bushing 056,WS-HYD-01,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0056
57,57,004,004,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/09 14:39:00,QMS_MAKE,PERS-0057,Spherical Bearing 057,WS-HYD-02,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0057
58,58,005,005,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/10 14:46:00,QMS_BUY,PERS-0058,Throttle Connector 058,WS-HYD-03,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0058
59,59,006,006,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/11 14:53:00,QMS_ASSEMBLY,PERS-0059,Displacement Sensor Bracket 059,WS-HYD-04,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0059
60,60,007,007,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/12 15:00:00,QMS_SERVICE,PERS-0060,Locking Nut 060,WS-HYD-05,Repair Processing Section,DEPT-QA-01,Field Support Department,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0060
61,61,008,008,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/13 15:07:00,QMS_MAKE,PERS-0061,Piston Rod Assembly 061,WS-HYD-06,Machining Section 1,DEPT-QA-02,Quality Management Department,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0061
62,62,009,009,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/14 15:14:00,QMS_BUY,PERS-0062,Cylinder Barrel Assembly 062,WS-HYD-07,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0062
63,63,001,001,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/15 15:21:00,QMS_ASSEMBLY,PERS-0063,Front End Cap 063,WS-HYD-08,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0063
64,64,002,002,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/16 15:28:00,QMS_SERVICE,PERS-0064,Rear End Cap 064,WS-HYD-01,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0064
65,65,003,003,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/17 15:35:00,QMS_MAKE,PERS-0065,Seal Ring Assembly 065,WS-HYD-02,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0065
66,66,004,004,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/18 15:42:00,QMS_BUY,PERS-0066,Trunnion Bushing 066,WS-HYD-03,Repair Processing Section,DEPT-QA-01,Field Support Department,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0066
67,67,005,005,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/19 15:49:00,QMS_ASSEMBLY,PERS-0067,Spherical Bearing 067,WS-HYD-04,Machining Section 1,DEPT-QA-02,Quality Management Department,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0067
68,68,006,006,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/20 15:56:00,QMS_SERVICE,PERS-0068,Throttle Connector 068,WS-HYD-05,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0068
69,69,007,007,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/21 16:03:00,QMS_MAKE,PERS-0069,Displacement Sensor Bracket 069,WS-HYD-06,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0069
70,70,008,008,Minor Leakage at Hydraulic Fitting involving Locking Nut; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/22 16:10:00,QMS_BUY,PERS-0070,Locking Nut 070,WS-HYD-07,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Minor Leakage at Hydraulic Fitting involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0070
71,71,009,009,Excessive Trunnion Bushing Clearance involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/23 16:17:00,QMS_ASSEMBLY,PERS-0071,Piston Rod Assembly 071,WS-HYD-08,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Excessive Trunnion Bushing Clearance involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0071
72,72,001,001,Loose Displacement Sensor Bracket involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/24 16:24:00,QMS_SERVICE,PERS-0072,Cylinder Barrel Assembly 072,WS-HYD-01,Repair Processing Section,DEPT-QA-01,Field Support Department,Loose Displacement Sensor Bracket involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0072
73,73,002,002,Chrome Plating Scratch on Piston Rod involving Front End Cap; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/25 16:31:00,QMS_MAKE,PERS-0073,Front End Cap 073,WS-HYD-02,Machining Section 1,DEPT-QA-02,Quality Management Department,Chrome Plating Scratch on Piston Rod involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0073
74,74,003,003,Seal Ring Compression Damage involving Rear End Cap; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/26 16:38:00,QMS_BUY,PERS-0074,Rear End Cap 074,WS-HYD-03,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Seal Ring Compression Damage involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0074
75,75,004,004,Scratch on Cylinder Barrel Inner Wall involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/27 16:45:00,QMS_ASSEMBLY,PERS-0075,Seal Ring Assembly 075,WS-HYD-04,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Scratch on Cylinder Barrel Inner Wall involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0075
76,76,005,005,Pressure Holding Leakage Rate Out of Tolerance involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/28 16:52:00,QMS_SERVICE,PERS-0076,Trunnion Bushing 076,WS-HYD-05,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Pressure Holding Leakage Rate Out of Tolerance involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0076
77,77,006,006,Actuation Hysteresis involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/29 16:59:00,QMS_MAKE,PERS-0077,Spherical Bearing 077,WS-HYD-06,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Actuation Hysteresis involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0077
78,78,007,007,Minor Leakage at Hydraulic Fitting involving Throttle Connector; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/30 17:06:00,QMS_BUY,PERS-0078,Throttle Connector 078,WS-HYD-07,Repair Processing Section,DEPT-QA-01,Field Support Department,Minor Leakage at Hydraulic Fitting involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0078
79,79,008,008,Excessive Trunnion Bushing Clearance involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/31 17:13:00,QMS_ASSEMBLY,PERS-0079,Displacement Sensor Bracket 079,WS-HYD-08,Machining Section 1,DEPT-QA-02,Quality Management Department,Excessive Trunnion Bushing Clearance involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0079
80,80,009,009,Loose Displacement Sensor Bracket involving Locking Nut; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/06/01 17:20:00,QMS_SERVICE,PERS-0080,Locking Nut 080,WS-HYD-01,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Loose Displacement Sensor Bracket involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0080
81,81,001,001,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/06/02 17:27:00,QMS_MAKE,PERS-0081,Piston Rod Assembly 081,WS-HYD-02,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Chrome Plating Scratch on Piston Rod involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0081
82,82,002,002,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/06/03 17:34:00,QMS_BUY,PERS-0082,Cylinder Barrel Assembly 082,WS-HYD-03,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Seal Ring Compression Damage involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0082
83,83,003,003,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/06/04 17:41:00,QMS_ASSEMBLY,PERS-0083,Front End Cap 083,WS-HYD-04,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Scratch on Cylinder Barrel Inner Wall involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0083
84,84,004,004,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/06/05 17:48:00,QMS_SERVICE,PERS-0084,Rear End Cap 084,WS-HYD-05,Repair Processing Section,DEPT-QA-01,Field Support Department,Pressure Holding Leakage Rate Out of Tolerance involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0084
85,85,005,005,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/09 17:55:00,QMS_MAKE,PERS-0085,Seal Ring Assembly 085,WS-HYD-06,Machining Section 1,DEPT-QA-02,Quality Management Department,Actuation Hysteresis involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0085
86,86,006,006,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/10 18:02:00,QMS_BUY,PERS-0086,Trunnion Bushing 086,WS-HYD-07,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Minor Leakage at Hydraulic Fitting involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0086
87,87,007,007,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/11 18:09:00,QMS_ASSEMBLY,PERS-0087,Spherical Bearing 087,WS-HYD-08,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Excessive Trunnion Bushing Clearance involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0087
88,88,008,008,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/12 18:16:00,QMS_SERVICE,PERS-0088,Throttle Connector 088,WS-HYD-01,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Loose Displacement Sensor Bracket involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0088
89,89,009,009,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/13 18:23:00,QMS_MAKE,PERS-0089,Displacement Sensor Bracket 089,WS-HYD-02,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Chrome Plating Scratch on Piston Rod involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0089
90,90,001,001,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/14 18:30:00,QMS_BUY,PERS-0090,Locking Nut 090,WS-HYD-03,Repair Processing Section,DEPT-QA-01,Field Support Department,Seal Ring Compression Damage involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0090
91,91,002,002,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/15 18:37:00,QMS_ASSEMBLY,PERS-0091,Piston Rod Assembly 091,WS-HYD-04,Machining Section 1,DEPT-QA-02,Quality Management Department,Scratch on Cylinder Barrel Inner Wall involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0091
92,92,003,003,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/16 18:44:00,QMS_SERVICE,PERS-0092,Cylinder Barrel Assembly 092,WS-HYD-05,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Pressure Holding Leakage Rate Out of Tolerance involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0092
93,93,004,004,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/17 18:51:00,QMS_MAKE,PERS-0093,Front End Cap 093,WS-HYD-06,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Actuation Hysteresis involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0093
94,94,005,005,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/18 18:58:00,QMS_BUY,PERS-0094,Rear End Cap 094,WS-HYD-07,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Minor Leakage at Hydraulic Fitting involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0094
95,95,006,006,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/19 19:05:00,QMS_ASSEMBLY,PERS-0095,Seal Ring Assembly 095,WS-HYD-08,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Excessive Trunnion Bushing Clearance involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0095
96,96,007,007,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/20 19:12:00,QMS_SERVICE,PERS-0096,Trunnion Bushing 096,WS-HYD-01,Repair Processing Section,DEPT-QA-01,Field Support Department,Loose Displacement Sensor Bracket involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0096
97,97,008,008,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/21 19:19:00,QMS_MAKE,PERS-0097,Spherical Bearing 097,WS-HYD-02,Machining Section 1,DEPT-QA-02,Quality Management Department,Chrome Plating Scratch on Piston Rod involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0097
98,98,009,009,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/22 19:26:00,QMS_BUY,PERS-0098,Throttle Connector 098,WS-HYD-03,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Seal Ring Compression Damage involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0098
99,99,001,001,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/23 19:33:00,QMS_ASSEMBLY,PERS-0099,Displacement Sensor Bracket 099,WS-HYD-04,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Scratch on Cylinder Barrel Inner Wall involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0099
100,100,002,002,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/24 19:40:00,QMS_SERVICE,PERS-0100,Locking Nut 100,WS-HYD-05,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Pressure Holding Leakage Rate Out of Tolerance involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0100
101,101,003,003,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/25 19:47:00,QMS_MAKE,PERS-0101,Piston Rod Assembly 101,WS-HYD-06,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Actuation Hysteresis involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0101
102,102,004,004,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/26 19:54:00,QMS_BUY,PERS-0102,Cylinder Barrel Assembly 102,WS-HYD-07,Repair Processing Section,DEPT-QA-01,Field Support Department,Minor Leakage at Hydraulic Fitting involving Cylinder Barrel Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0102
103,103,005,005,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/27 20:01:00,QMS_ASSEMBLY,PERS-0103,Front End Cap 103,WS-HYD-08,Machining Section 1,DEPT-QA-02,Quality Management Department,Excessive Trunnion Bushing Clearance involving Front End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0103
104,104,006,006,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/05/28 20:08:00,QMS_SERVICE,PERS-0104,Rear End Cap 104,WS-HYD-01,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Loose Displacement Sensor Bracket involving Rear End Cap; review and disposition are required according to the nonconformance process.,DOCNO-0104
105,105,007,007,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/05/29 20:15:00,QMS_MAKE,PERS-0105,Seal Ring Assembly 105,WS-HYD-02,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Chrome Plating Scratch on Piston Rod involving Seal Ring Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0105
106,106,008,008,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/05/30 20:22:00,QMS_BUY,PERS-0106,Trunnion Bushing 106,WS-HYD-03,Pressure Test Section,DEPT-QA-05,Outsourcing Quality Office,Seal Ring Compression Damage involving Trunnion Bushing; review and disposition are required according to the nonconformance process.,DOCNO-0106
107,107,009,009,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/05/31 20:29:00,QMS_ASSEMBLY,PERS-0107,Spherical Bearing 107,WS-HYD-04,Final Inspection Section,DEPT-QA-06,Aviation Materials Procurement Department,Scratch on Cylinder Barrel Inner Wall involving Spherical Bearing; review and disposition are required according to the nonconformance process.,DOCNO-0107
108,108,001,001,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,QMS_SERVICE,2026/06/01 20:36:00,QMS_SERVICE,PERS-0108,Throttle Connector 108,WS-HYD-05,Repair Processing Section,DEPT-QA-01,Field Support Department,Pressure Holding Leakage Rate Out of Tolerance involving Throttle Connector; review and disposition are required according to the nonconformance process.,DOCNO-0108
109,109,002,002,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,QMS_MAKE,2026/06/02 20:43:00,QMS_MAKE,PERS-0109,Displacement Sensor Bracket 109,WS-HYD-06,Machining Section 1,DEPT-QA-02,Quality Management Department,Actuation Hysteresis involving Displacement Sensor Bracket; review and disposition are required according to the nonconformance process.,DOCNO-0109
110,110,003,003,Minor Leakage at Hydraulic Fitting involving Locking Nut; review and disposition are required according to the nonconformance process.,Minor Leakage at Hydraulic Fitting involving Locking Nut; review and disposition are required according to the nonconformance process.,QMS_BUY,2026/06/03 20:50:00,QMS_BUY,PERS-0110,Locking Nut 110,WS-HYD-07,Precision Grinding Section,DEPT-QA-03,Hydraulic Assembly Workshop,Minor Leakage at Hydraulic Fitting involving Locking Nut; review and disposition are required according to the nonconformance process.,DOCNO-0110
111,111,004,004,Excessive Trunnion Bushing Clearance involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,Excessive Trunnion Bushing Clearance involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,QMS_ASSEMBLY,2026/06/04 20:57:00,QMS_ASSEMBLY,PERS-0111,Piston Rod Assembly 111,WS-HYD-08,Hydraulic Assembly Section,DEPT-QA-04,Precision Machining Workshop,Excessive Trunnion Bushing Clearance involving Piston Rod Assembly; review and disposition are required according to the nonconformance process.,DOCNO-0111
