technical_parameter_id,operation_card_id,para_code,para_short_name,unit_txt,nominal_txt,lsl_txt,usl_txt,ctrl_grade_cd,spec_expr
128,128,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.110 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
129,129,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 155.300 mm, with standard range from 153.000 mm to 157.000 mm."
130,130,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 6.200 s, with standard range from 4.000 s to 5.500 s."
131,131,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 37.9 C, with standard range from 20.0 C to 55.0 C."
132,132,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.180 mm, with standard range from 0.100 mm to 0.250 mm."
133,133,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 21.150 MPa, with standard range from 19.500 MPa to 22.500 MPa."
134,134,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.140 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
135,135,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 154.700 mm, with standard range from 153.000 mm to 157.000 mm."
136,136,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 4.650 s, with standard range from 4.000 s to 5.500 s."
137,137,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 38.0 C, with standard range from 20.0 C to 55.0 C."
138,138,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.210 mm, with standard range from 0.100 mm to 0.250 mm."
139,139,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 21.300 MPa, with standard range from 19.500 MPa to 22.500 MPa."
140,140,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.020 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
141,141,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 154.850 mm, with standard range from 153.000 mm to 157.000 mm."
142,142,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 4.800 s, with standard range from 4.000 s to 5.500 s."
143,143,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 62.0 C, with standard range from 20.0 C to 55.0 C."
144,144,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.240 mm, with standard range from 0.100 mm to 0.250 mm."
145,145,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 20.700 MPa, with standard range from 19.500 MPa to 22.500 MPa."
146,146,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.050 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
147,147,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 155.000 mm, with standard range from 153.000 mm to 157.000 mm."
148,148,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 4.950 s, with standard range from 4.000 s to 5.500 s."
149,149,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 38.3 C, with standard range from 20.0 C to 55.0 C."
150,150,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.120 mm, with standard range from 0.100 mm to 0.250 mm."
151,151,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 20.850 MPa, with standard range from 19.500 MPa to 22.500 MPa."
152,152,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.080 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
153,153,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 155.150 mm, with standard range from 153.000 mm to 157.000 mm."
154,154,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 5.100 s, with standard range from 4.000 s to 5.500 s."
155,155,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 37.7 C, with standard range from 20.0 C to 55.0 C."
156,156,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.310 mm, with standard range from 0.100 mm to 0.250 mm."
157,157,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 21.000 MPa, with standard range from 19.500 MPa to 22.500 MPa."
158,158,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.110 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
159,159,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 155.300 mm, with standard range from 153.000 mm to 157.000 mm."
160,160,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 4.500 s, with standard range from 4.000 s to 5.500 s."
161,161,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 37.9 C, with standard range from 20.0 C to 55.0 C."
162,162,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.180 mm, with standard range from 0.100 mm to 0.250 mm."
163,163,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 21.150 MPa, with standard range from 19.500 MPa to 22.500 MPa."
164,164,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.140 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
165,165,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 154.700 mm, with standard range from 153.000 mm to 157.000 mm."
166,166,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 4.650 s, with standard range from 4.000 s to 5.500 s."
167,167,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 38.0 C, with standard range from 20.0 C to 55.0 C."
168,168,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.210 mm, with standard range from 0.100 mm to 0.250 mm."
169,169,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 23.400 MPa, with standard range from 19.500 MPa to 22.500 MPa."
170,170,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.020 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
171,171,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 154.850 mm, with standard range from 153.000 mm to 157.000 mm."
172,172,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 4.800 s, with standard range from 4.000 s to 5.500 s."
173,173,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 38.1 C, with standard range from 20.0 C to 55.0 C."
174,174,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.240 mm, with standard range from 0.100 mm to 0.250 mm."
175,175,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 20.700 MPa, with standard range from 19.500 MPa to 22.500 MPa."
176,176,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.050 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
177,177,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 155.000 mm, with standard range from 153.000 mm to 157.000 mm."
178,178,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 4.950 s, with standard range from 4.000 s to 5.500 s."
179,179,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 38.3 C, with standard range from 20.0 C to 55.0 C."
180,180,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.120 mm, with standard range from 0.100 mm to 0.250 mm."
181,181,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 20.850 MPa, with standard range from 19.500 MPa to 22.500 MPa."
182,182,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.220 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
183,183,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 155.150 mm, with standard range from 153.000 mm to 157.000 mm."
184,184,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 5.100 s, with standard range from 4.000 s to 5.500 s."
185,185,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 37.7 C, with standard range from 20.0 C to 55.0 C."
186,186,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.150 mm, with standard range from 0.100 mm to 0.250 mm."
187,187,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 21.000 MPa, with standard range from 19.500 MPa to 22.500 MPa."
188,188,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.110 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
189,189,PAR-HYD-04,Piston Rod Extension Stroke,PLM_MPA,155.000 mm,153.000 mm,157.000 mm,PLM_A,"Piston Rod Extension Stroke collected value is 155.300 mm, with standard range from 153.000 mm to 157.000 mm."
190,190,PAR-HYD-05,Actuation Time,PLM_MM,4.800 s,4.000 s,5.500 s,PLM_B,"Actuation Time collected value is 4.500 s, with standard range from 4.000 s to 5.500 s."
191,191,PAR-HYD-06,Hydraulic Oil Temperature,PLM_ML_MIN,38.0 C,20.0 C,55.0 C,PLM_C,"Hydraulic Oil Temperature collected value is 37.9 C, with standard range from 20.0 C to 55.0 C."
192,192,PAR-HYD-01,Locking Clearance,PLM_SEC,0.180 mm,0.100 mm,0.250 mm,PLM_D,"Locking Clearance collected value is 0.180 mm, with standard range from 0.100 mm to 0.250 mm."
193,193,PAR-HYD-02,Extension and Retraction Pressure,PLM_MPA,21.000 MPa,19.500 MPa,22.500 MPa,PLM_A,"Extension and Retraction Pressure collected value is 21.150 MPa, with standard range from 19.500 MPa to 22.500 MPa."
194,194,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_MM,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_B,"Pressure Holding Leakage Rate collected value is 0.140 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
195,195,PAR-HYD-04,Piston Rod Extension Stroke,PLM_ML_MIN,155.000 mm,153.000 mm,157.000 mm,PLM_C,"Piston Rod Extension Stroke collected value is 158.400 mm, with standard range from 153.000 mm to 157.000 mm."
196,196,PAR-HYD-05,Actuation Time,PLM_SEC,4.800 s,4.000 s,5.500 s,PLM_D,"Actuation Time collected value is 4.650 s, with standard range from 4.000 s to 5.500 s."
197,197,PAR-HYD-06,Hydraulic Oil Temperature,PLM_MPA,38.0 C,20.0 C,55.0 C,PLM_A,"Hydraulic Oil Temperature collected value is 38.0 C, with standard range from 20.0 C to 55.0 C."
198,198,PAR-HYD-01,Locking Clearance,PLM_MM,0.180 mm,0.100 mm,0.250 mm,PLM_B,"Locking Clearance collected value is 0.210 mm, with standard range from 0.100 mm to 0.250 mm."
199,199,PAR-HYD-02,Extension and Retraction Pressure,PLM_ML_MIN,21.000 MPa,19.500 MPa,22.500 MPa,PLM_C,"Extension and Retraction Pressure collected value is 21.300 MPa, with standard range from 19.500 MPa to 22.500 MPa."
200,200,PAR-HYD-03,Pressure Holding Leakage Rate,PLM_SEC,0.080 mL/min,0.000 mL/min,0.150 mL/min,PLM_D,"Pressure Holding Leakage Rate collected value is 0.020 mL/min, with standard range from 0.000 mL/min to 0.150 mL/min."
