operation_card_id,route_card_id,op_no,workid,op_name,seq_no_txt,std_hours_txt,resource_type,special_proc_cd,key_op_flag
185,185,OP020,WO-LG-2026-0185,Cylinder Barrel Rough Machining,006,38.0 C,PLM_MAKE,Cylinder Barrel Rough Machinin,PLM_NORMAL
186,186,OP030,WO-LG-2026-0186,Piston Rod Precision Grinding,007,0.180 mm,PLM_BUY,Piston Rod Precision Grinding ,PLM_WARNIN
187,187,OP040,WO-LG-2026-0187,Inner Bore Honing,008,21.000 MPa,PLM_ASSEMBLY,Inner Bore Honing process reco,PLM_QUALIF
188,188,OP050,WO-LG-2026-0188,Chrome Plating Layer Grinding,009,0.080 mL/min,PLM_SERVICE,Chrome Plating Layer Grinding ,PLM_CLOSED
189,189,OP060,WO-LG-2026-0189,Seal Component Assembly,001,155.000 mm,PLM_MAKE,Seal Component Assembly proces,PLM_NORMAL
190,190,OP070,WO-LG-2026-0190,Actuator Final Assembly,002,4.800 s,PLM_BUY,Actuator Final Assembly proces,PLM_WARNIN
191,191,OP080,WO-LG-2026-0191,Pressure Holding Test,003,38.0 C,PLM_ASSEMBLY,Pressure Holding Test process ,PLM_QUALIF
192,192,OP010,WO-LG-2026-0192,Extension and Retraction Function Test,004,0.180 mm,PLM_SERVICE,Extension and Retraction Funct,PLM_CLOSED
193,193,OP020,WO-LG-2026-0193,Cylinder Barrel Rough Machining,005,21.000 MPa,PLM_MAKE,Cylinder Barrel Rough Machinin,PLM_NORMAL
194,194,OP030,WO-LG-2026-0194,Piston Rod Precision Grinding,006,0.080 mL/min,PLM_BUY,Piston Rod Precision Grinding ,PLM_WARNIN
195,195,OP040,WO-LG-2026-0195,Inner Bore Honing,007,155.000 mm,PLM_ASSEMBLY,Inner Bore Honing process reco,PLM_QUALIF
196,196,OP050,WO-LG-2026-0196,Chrome Plating Layer Grinding,008,4.800 s,PLM_SERVICE,Chrome Plating Layer Grinding ,PLM_CLOSED
197,197,OP060,WO-LG-2026-0197,Seal Component Assembly,009,38.0 C,PLM_MAKE,Seal Component Assembly proces,PLM_NORMAL
198,198,OP070,WO-LG-2026-0198,Actuator Final Assembly,001,0.180 mm,PLM_BUY,Actuator Final Assembly proces,PLM_WARNIN
199,199,OP080,WO-LG-2026-0199,Pressure Holding Test,002,21.000 MPa,PLM_ASSEMBLY,Pressure Holding Test process ,PLM_QUALIF
200,200,OP010,WO-LG-2026-0200,Extension and Retraction Function Test,003,0.080 mL/min,PLM_SERVICE,Extension and Retraction Funct,PLM_CLOSED
