recheck_record_id,disposal_order_id,inspection_doc_id,inspector_no,recheck_no,recheck_date_text,recheck_result_code,conclusion_desc
160,160,160,PERS-0160,RCHK-CF-0160,2026/05/29 02:40:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 4.500 s."
161,161,161,PERS-0161,RCHK-CF-0161,2026/05/30 02:47:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 37.9 C."
162,162,162,PERS-0162,RCHK-CF-0162,2026/05/31 02:54:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.180 mm."
163,163,163,PERS-0163,RCHK-CF-0163,2026/06/01 03:01:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 21.150 MPa."
164,164,164,PERS-0164,RCHK-CF-0164,2026/06/02 03:08:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.140 mL/min."
165,165,165,PERS-0165,RCHK-CF-0165,2026/06/03 03:15:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 154.700 mm."
166,166,166,PERS-0166,RCHK-CF-0166,2026/06/04 03:22:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 4.650 s."
167,167,167,PERS-0167,RCHK-CF-0167,2026/06/05 03:29:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 38.0 C."
168,168,168,PERS-0168,RCHK-CF-0168,2026/06/06 03:36:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.210 mm."
169,169,169,PERS-0169,RCHK-CF-0169,2026/05/10 03:43:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is nonconforming, with recorded value 23.400 MPa."
170,170,170,PERS-0170,RCHK-CF-0170,2026/05/11 03:50:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.020 mL/min."
171,171,171,PERS-0171,RCHK-CF-0171,2026/05/12 03:57:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 154.850 mm."
172,172,172,PERS-0172,RCHK-CF-0172,2026/05/13 04:04:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 4.800 s."
173,173,173,PERS-0173,RCHK-CF-0173,2026/05/14 04:11:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 38.1 C."
174,174,174,PERS-0174,RCHK-CF-0174,2026/05/15 04:18:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.240 mm."
175,175,175,PERS-0175,RCHK-CF-0175,2026/05/16 04:25:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 20.700 MPa."
176,176,176,PERS-0176,RCHK-CF-0176,2026/05/17 04:32:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.050 mL/min."
177,177,177,PERS-0177,RCHK-CF-0177,2026/05/18 04:39:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 155.000 mm."
178,178,178,PERS-0178,RCHK-CF-0178,2026/05/19 04:46:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 4.950 s."
179,179,179,PERS-0179,RCHK-CF-0179,2026/05/20 04:53:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 38.3 C."
180,180,180,PERS-0180,RCHK-CF-0180,2026/05/21 05:00:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.120 mm."
181,181,181,PERS-0181,RCHK-CF-0181,2026/05/22 05:07:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 20.850 MPa."
182,182,182,PERS-0182,RCHK-CF-0182,2026/05/23 05:14:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is nonconforming, with recorded value 0.220 mL/min."
183,183,183,PERS-0183,RCHK-CF-0183,2026/05/24 05:21:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 155.150 mm."
184,184,184,PERS-0184,RCHK-CF-0184,2026/05/25 05:28:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 5.100 s."
185,185,185,PERS-0185,RCHK-CF-0185,2026/05/26 05:35:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 37.7 C."
186,186,186,PERS-0186,RCHK-CF-0186,2026/05/27 05:42:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.150 mm."
187,187,187,PERS-0187,RCHK-CF-0187,2026/05/28 05:49:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is qualified, with recorded value 21.000 MPa."
188,188,188,PERS-0188,RCHK-CF-0188,2026/05/29 05:56:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 0.110 mL/min."
189,189,189,PERS-0189,RCHK-CF-0189,2026/05/30 06:03:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 155.300 mm."
190,190,190,PERS-0190,RCHK-CF-0190,2026/05/31 06:10:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 4.500 s."
191,191,191,PERS-0191,RCHK-CF-0191,2026/06/01 06:17:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 37.9 C."
192,192,192,PERS-0192,RCHK-CF-0192,2026/06/02 06:24:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.180 mm."
193,193,193,PERS-0193,RCHK-CF-0193,2026/06/03 06:31:00,QMS_Q_PASS,"Piston Rod Chrome Plating Visual Inspection result is qualified, with recorded value 21.150 MPa."
194,194,194,PERS-0194,RCHK-CF-0194,2026/06/04 06:38:00,QMS_Q_FAIL,"Cylinder Barrel Inner Bore Dimension Measurement result is qualified, with recorded value 0.140 mL/min."
195,195,195,PERS-0195,RCHK-CF-0195,2026/06/05 06:45:00,QMS_Q_RECHECK,"Sealing Performance Inspection result is nonconforming, with recorded value 158.400 mm."
196,196,196,PERS-0196,RCHK-CF-0196,2026/06/06 06:52:00,QMS_Q_WAIT,"Pressure Holding Leakage Rate Recheck result is qualified, with recorded value 4.650 s."
197,197,197,PERS-0197,RCHK-CF-0197,2026/05/10 06:59:00,QMS_Q_PASS,"Extension and Retraction Stroke Measurement result is qualified, with recorded value 38.0 C."
198,198,198,PERS-0198,RCHK-CF-0198,2026/05/11 07:06:00,QMS_Q_FAIL,"Trunnion Bushing Fit Clearance Inspection result is qualified, with recorded value 0.210 mm."
199,199,199,PERS-0199,RCHK-CF-0199,2026/05/12 07:13:00,QMS_Q_RECHECK,"Hydraulic Fitting Leakage Inspection result is qualified, with recorded value 21.300 MPa."
200,200,200,PERS-0200,RCHK-CF-0200,2026/05/13 07:20:00,QMS_Q_WAIT,"Final Functional Test result is qualified, with recorded value 0.020 mL/min."
