inspection_item_id,inspection_doc_id,spec_code,item_code,item_name,measured_text,standard_text,lower_limit_text,upper_limit_text,uom,judge_code
157,157,SPEC-HYD-0157,CHK-06,Extension and Retraction Stroke Measurement,21.000 MPa,21.000 MPa,19.500 MPa,22.500 MPa,QMS_MPA,QMS_Q_PASS
158,158,SPEC-HYD-0158,CHK-07,Trunnion Bushing Fit Clearance Inspection,0.110 mL/min,0.080 mL/min,0.000 mL/min,0.150 mL/min,QMS_MM,QMS_Q_FAIL
159,159,SPEC-HYD-0159,CHK-08,Hydraulic Fitting Leakage Inspection,155.300 mm,155.000 mm,153.000 mm,157.000 mm,QMS_ML_MIN,QMS_Q_RECHECK
160,160,SPEC-HYD-0160,CHK-01,Final Functional Test,4.500 s,4.800 s,4.000 s,5.500 s,QMS_SEC,QMS_Q_WAIT
161,161,SPEC-HYD-0161,CHK-02,Piston Rod Chrome Plating Visual Inspection,37.9 C,38.0 C,20.0 C,55.0 C,QMS_MPA,QMS_Q_PASS
162,162,SPEC-HYD-0162,CHK-03,Cylinder Barrel Inner Bore Dimension Measurement,0.180 mm,0.180 mm,0.100 mm,0.250 mm,QMS_MM,QMS_Q_FAIL
163,163,SPEC-HYD-0163,CHK-04,Sealing Performance Inspection,21.150 MPa,21.000 MPa,19.500 MPa,22.500 MPa,QMS_ML_MIN,QMS_Q_RECHECK
164,164,SPEC-HYD-0164,CHK-05,Pressure Holding Leakage Rate Recheck,0.140 mL/min,0.080 mL/min,0.000 mL/min,0.150 mL/min,QMS_SEC,QMS_Q_WAIT
165,165,SPEC-HYD-0165,CHK-06,Extension and Retraction Stroke Measurement,154.700 mm,155.000 mm,153.000 mm,157.000 mm,QMS_MPA,QMS_Q_PASS
166,166,SPEC-HYD-0166,CHK-07,Trunnion Bushing Fit Clearance Inspection,4.650 s,4.800 s,4.000 s,5.500 s,QMS_MM,QMS_Q_FAIL
167,167,SPEC-HYD-0167,CHK-08,Hydraulic Fitting Leakage Inspection,38.0 C,38.0 C,20.0 C,55.0 C,QMS_ML_MIN,QMS_Q_RECHECK
168,168,SPEC-HYD-0168,CHK-01,Final Functional Test,0.210 mm,0.180 mm,0.100 mm,0.250 mm,QMS_SEC,QMS_Q_WAIT
169,169,SPEC-HYD-0169,CHK-02,Piston Rod Chrome Plating Visual Inspection,23.400 MPa,21.000 MPa,19.500 MPa,22.500 MPa,QMS_MPA,QMS_Q_PASS
170,170,SPEC-HYD-0170,CHK-03,Cylinder Barrel Inner Bore Dimension Measurement,0.020 mL/min,0.080 mL/min,0.000 mL/min,0.150 mL/min,QMS_MM,QMS_Q_FAIL
171,171,SPEC-HYD-0171,CHK-04,Sealing Performance Inspection,154.850 mm,155.000 mm,153.000 mm,157.000 mm,QMS_ML_MIN,QMS_Q_RECHECK
172,172,SPEC-HYD-0172,CHK-05,Pressure Holding Leakage Rate Recheck,4.800 s,4.800 s,4.000 s,5.500 s,QMS_SEC,QMS_Q_WAIT
173,173,SPEC-HYD-0173,CHK-06,Extension and Retraction Stroke Measurement,38.1 C,38.0 C,20.0 C,55.0 C,QMS_MPA,QMS_Q_PASS
174,174,SPEC-HYD-0174,CHK-07,Trunnion Bushing Fit Clearance Inspection,0.240 mm,0.180 mm,0.100 mm,0.250 mm,QMS_MM,QMS_Q_FAIL
175,175,SPEC-HYD-0175,CHK-08,Hydraulic Fitting Leakage Inspection,20.700 MPa,21.000 MPa,19.500 MPa,22.500 MPa,QMS_ML_MIN,QMS_Q_RECHECK
176,176,SPEC-HYD-0176,CHK-01,Final Functional Test,0.050 mL/min,0.080 mL/min,0.000 mL/min,0.150 mL/min,QMS_SEC,QMS_Q_WAIT
177,177,SPEC-HYD-0177,CHK-02,Piston Rod Chrome Plating Visual Inspection,155.000 mm,155.000 mm,153.000 mm,157.000 mm,QMS_MPA,QMS_Q_PASS
178,178,SPEC-HYD-0178,CHK-03,Cylinder Barrel Inner Bore Dimension Measurement,4.950 s,4.800 s,4.000 s,5.500 s,QMS_MM,QMS_Q_FAIL
179,179,SPEC-HYD-0179,CHK-04,Sealing Performance Inspection,38.3 C,38.0 C,20.0 C,55.0 C,QMS_ML_MIN,QMS_Q_RECHECK
180,180,SPEC-HYD-0180,CHK-05,Pressure Holding Leakage Rate Recheck,0.120 mm,0.180 mm,0.100 mm,0.250 mm,QMS_SEC,QMS_Q_WAIT
181,181,SPEC-HYD-0181,CHK-06,Extension and Retraction Stroke Measurement,20.850 MPa,21.000 MPa,19.500 MPa,22.500 MPa,QMS_MPA,QMS_Q_PASS
182,182,SPEC-HYD-0182,CHK-07,Trunnion Bushing Fit Clearance Inspection,0.220 mL/min,0.080 mL/min,0.000 mL/min,0.150 mL/min,QMS_MM,QMS_Q_FAIL
183,183,SPEC-HYD-0183,CHK-08,Hydraulic Fitting Leakage Inspection,155.150 mm,155.000 mm,153.000 mm,157.000 mm,QMS_ML_MIN,QMS_Q_RECHECK
184,184,SPEC-HYD-0184,CHK-01,Final Functional Test,5.100 s,4.800 s,4.000 s,5.500 s,QMS_SEC,QMS_Q_WAIT
185,185,SPEC-HYD-0185,CHK-02,Piston Rod Chrome Plating Visual Inspection,37.7 C,38.0 C,20.0 C,55.0 C,QMS_MPA,QMS_Q_PASS
186,186,SPEC-HYD-0186,CHK-03,Cylinder Barrel Inner Bore Dimension Measurement,0.150 mm,0.180 mm,0.100 mm,0.250 mm,QMS_MM,QMS_Q_FAIL
187,187,SPEC-HYD-0187,CHK-04,Sealing Performance Inspection,21.000 MPa,21.000 MPa,19.500 MPa,22.500 MPa,QMS_ML_MIN,QMS_Q_RECHECK
188,188,SPEC-HYD-0188,CHK-05,Pressure Holding Leakage Rate Recheck,0.110 mL/min,0.080 mL/min,0.000 mL/min,0.150 mL/min,QMS_SEC,QMS_Q_WAIT
189,189,SPEC-HYD-0189,CHK-06,Extension and Retraction Stroke Measurement,155.300 mm,155.000 mm,153.000 mm,157.000 mm,QMS_MPA,QMS_Q_PASS
190,190,SPEC-HYD-0190,CHK-07,Trunnion Bushing Fit Clearance Inspection,4.500 s,4.800 s,4.000 s,5.500 s,QMS_MM,QMS_Q_FAIL
191,191,SPEC-HYD-0191,CHK-08,Hydraulic Fitting Leakage Inspection,37.9 C,38.0 C,20.0 C,55.0 C,QMS_ML_MIN,QMS_Q_RECHECK
192,192,SPEC-HYD-0192,CHK-01,Final Functional Test,0.180 mm,0.180 mm,0.100 mm,0.250 mm,QMS_SEC,QMS_Q_WAIT
193,193,SPEC-HYD-0193,CHK-02,Piston Rod Chrome Plating Visual Inspection,21.150 MPa,21.000 MPa,19.500 MPa,22.500 MPa,QMS_MPA,QMS_Q_PASS
194,194,SPEC-HYD-0194,CHK-03,Cylinder Barrel Inner Bore Dimension Measurement,0.140 mL/min,0.080 mL/min,0.000 mL/min,0.150 mL/min,QMS_MM,QMS_Q_FAIL
195,195,SPEC-HYD-0195,CHK-04,Sealing Performance Inspection,158.400 mm,155.000 mm,153.000 mm,157.000 mm,QMS_ML_MIN,QMS_Q_RECHECK
196,196,SPEC-HYD-0196,CHK-05,Pressure Holding Leakage Rate Recheck,4.650 s,4.800 s,4.000 s,5.500 s,QMS_SEC,QMS_Q_WAIT
197,197,SPEC-HYD-0197,CHK-06,Extension and Retraction Stroke Measurement,38.0 C,38.0 C,20.0 C,55.0 C,QMS_MPA,QMS_Q_PASS
198,198,SPEC-HYD-0198,CHK-07,Trunnion Bushing Fit Clearance Inspection,0.210 mm,0.180 mm,0.100 mm,0.250 mm,QMS_MM,QMS_Q_FAIL
199,199,SPEC-HYD-0199,CHK-08,Hydraulic Fitting Leakage Inspection,21.300 MPa,21.000 MPa,19.500 MPa,22.500 MPa,QMS_ML_MIN,QMS_Q_RECHECK
200,200,SPEC-HYD-0200,CHK-01,Final Functional Test,0.020 mL/min,0.080 mL/min,0.000 mL/min,0.150 mL/min,QMS_SEC,QMS_Q_WAIT
