actuator_model_id,gear_system_def_id,actuator_code,actuator_name,actuator_spec,dwg_no,config_no,model_status_cd,secret_lvl_cd,tech_status_text
110,110,CF-ACTUATORCO-0110,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0110,CONFIGNO-0110,PLM_RUNNING,Locking Nut aviation,PLM_RUNNING
111,111,CF-ACTUATORCO-0111,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0111,CONFIGNO-0111,PLM_CLOSED,Piston Rod Assembly ,PLM_CLOSED
112,112,CF-ACTUATORCO-0112,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0112,CONFIGNO-0112,PLM_HOLD,Cylinder Barrel Asse,PLM_HOLD
113,113,CF-ACTUATORCO-0113,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0113,CONFIGNO-0113,PLM_OPEN,Front End Cap aviati,PLM_OPEN
114,114,CF-ACTUATORCO-0114,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0114,CONFIGNO-0114,PLM_RUNNING,Rear End Cap aviatio,PLM_RUNNING
115,115,CF-ACTUATORCO-0115,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0115,CONFIGNO-0115,PLM_CLOSED,Seal Ring Assembly a,PLM_CLOSED
116,116,CF-ACTUATORCO-0116,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0116,CONFIGNO-0116,PLM_HOLD,Trunnion Bushing avi,PLM_HOLD
117,117,CF-ACTUATORCO-0117,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0117,CONFIGNO-0117,PLM_OPEN,Spherical Bearing av,PLM_OPEN
118,118,CF-ACTUATORCO-0118,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0118,CONFIGNO-0118,PLM_RUNNING,Throttle Connector a,PLM_RUNNING
119,119,CF-ACTUATORCO-0119,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0119,CONFIGNO-0119,PLM_CLOSED,Displacement Sensor ,PLM_CLOSED
120,120,CF-ACTUATORCO-0120,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0120,CONFIGNO-0120,PLM_HOLD,Locking Nut aviation,PLM_HOLD
121,121,CF-ACTUATORCO-0121,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0121,CONFIGNO-0121,PLM_OPEN,Piston Rod Assembly ,PLM_OPEN
122,122,CF-ACTUATORCO-0122,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0122,CONFIGNO-0122,PLM_RUNNING,Cylinder Barrel Asse,PLM_RUNNING
123,123,CF-ACTUATORCO-0123,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0123,CONFIGNO-0123,PLM_CLOSED,Front End Cap aviati,PLM_CLOSED
124,124,CF-ACTUATORCO-0124,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0124,CONFIGNO-0124,PLM_HOLD,Rear End Cap aviatio,PLM_HOLD
125,125,CF-ACTUATORCO-0125,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0125,CONFIGNO-0125,PLM_OPEN,Seal Ring Assembly a,PLM_OPEN
126,126,CF-ACTUATORCO-0126,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0126,CONFIGNO-0126,PLM_RUNNING,Trunnion Bushing avi,PLM_RUNNING
127,127,CF-ACTUATORCO-0127,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0127,CONFIGNO-0127,PLM_CLOSED,Spherical Bearing av,PLM_CLOSED
128,128,CF-ACTUATORCO-0128,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0128,CONFIGNO-0128,PLM_HOLD,Throttle Connector a,PLM_HOLD
129,129,CF-ACTUATORCO-0129,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0129,CONFIGNO-0129,PLM_OPEN,Displacement Sensor ,PLM_OPEN
130,130,CF-ACTUATORCO-0130,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0130,CONFIGNO-0130,PLM_RUNNING,Locking Nut aviation,PLM_RUNNING
131,131,CF-ACTUATORCO-0131,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0131,CONFIGNO-0131,PLM_CLOSED,Piston Rod Assembly ,PLM_CLOSED
132,132,CF-ACTUATORCO-0132,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0132,CONFIGNO-0132,PLM_HOLD,Cylinder Barrel Asse,PLM_HOLD
133,133,CF-ACTUATORCO-0133,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0133,CONFIGNO-0133,PLM_OPEN,Front End Cap aviati,PLM_OPEN
134,134,CF-ACTUATORCO-0134,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0134,CONFIGNO-0134,PLM_RUNNING,Rear End Cap aviatio,PLM_RUNNING
135,135,CF-ACTUATORCO-0135,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0135,CONFIGNO-0135,PLM_CLOSED,Seal Ring Assembly a,PLM_CLOSED
136,136,CF-ACTUATORCO-0136,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0136,CONFIGNO-0136,PLM_HOLD,Trunnion Bushing avi,PLM_HOLD
137,137,CF-ACTUATORCO-0137,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0137,CONFIGNO-0137,PLM_OPEN,Spherical Bearing av,PLM_OPEN
138,138,CF-ACTUATORCO-0138,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0138,CONFIGNO-0138,PLM_RUNNING,Throttle Connector a,PLM_RUNNING
139,139,CF-ACTUATORCO-0139,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0139,CONFIGNO-0139,PLM_CLOSED,Displacement Sensor ,PLM_CLOSED
140,140,CF-ACTUATORCO-0140,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0140,CONFIGNO-0140,PLM_HOLD,Locking Nut aviation,PLM_HOLD
141,141,CF-ACTUATORCO-0141,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0141,CONFIGNO-0141,PLM_OPEN,Piston Rod Assembly ,PLM_OPEN
142,142,CF-ACTUATORCO-0142,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0142,CONFIGNO-0142,PLM_RUNNING,Cylinder Barrel Asse,PLM_RUNNING
143,143,CF-ACTUATORCO-0143,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0143,CONFIGNO-0143,PLM_CLOSED,Front End Cap aviati,PLM_CLOSED
144,144,CF-ACTUATORCO-0144,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0144,CONFIGNO-0144,PLM_HOLD,Rear End Cap aviatio,PLM_HOLD
145,145,CF-ACTUATORCO-0145,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0145,CONFIGNO-0145,PLM_OPEN,Seal Ring Assembly a,PLM_OPEN
146,146,CF-ACTUATORCO-0146,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0146,CONFIGNO-0146,PLM_RUNNING,Trunnion Bushing avi,PLM_RUNNING
147,147,CF-ACTUATORCO-0147,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0147,CONFIGNO-0147,PLM_CLOSED,Spherical Bearing av,PLM_CLOSED
148,148,CF-ACTUATORCO-0148,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0148,CONFIGNO-0148,PLM_HOLD,Throttle Connector a,PLM_HOLD
149,149,CF-ACTUATORCO-0149,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0149,CONFIGNO-0149,PLM_OPEN,Displacement Sensor ,PLM_OPEN
150,150,CF-ACTUATORCO-0150,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0150,CONFIGNO-0150,PLM_RUNNING,Locking Nut aviation,PLM_RUNNING
151,151,CF-ACTUATORCO-0151,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0151,CONFIGNO-0151,PLM_CLOSED,Piston Rod Assembly ,PLM_CLOSED
152,152,CF-ACTUATORCO-0152,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0152,CONFIGNO-0152,PLM_HOLD,Cylinder Barrel Asse,PLM_HOLD
153,153,CF-ACTUATORCO-0153,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0153,CONFIGNO-0153,PLM_OPEN,Front End Cap aviati,PLM_OPEN
154,154,CF-ACTUATORCO-0154,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0154,CONFIGNO-0154,PLM_RUNNING,Rear End Cap aviatio,PLM_RUNNING
155,155,CF-ACTUATORCO-0155,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0155,CONFIGNO-0155,PLM_CLOSED,Seal Ring Assembly a,PLM_CLOSED
156,156,CF-ACTUATORCO-0156,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0156,CONFIGNO-0156,PLM_HOLD,Trunnion Bushing avi,PLM_HOLD
157,157,CF-ACTUATORCO-0157,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0157,CONFIGNO-0157,PLM_OPEN,Spherical Bearing av,PLM_OPEN
158,158,CF-ACTUATORCO-0158,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0158,CONFIGNO-0158,PLM_RUNNING,Throttle Connector a,PLM_RUNNING
159,159,CF-ACTUATORCO-0159,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0159,CONFIGNO-0159,PLM_CLOSED,Displacement Sensor ,PLM_CLOSED
160,160,CF-ACTUATORCO-0160,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0160,CONFIGNO-0160,PLM_HOLD,Locking Nut aviation,PLM_HOLD
161,161,CF-ACTUATORCO-0161,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0161,CONFIGNO-0161,PLM_OPEN,Piston Rod Assembly ,PLM_OPEN
162,162,CF-ACTUATORCO-0162,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0162,CONFIGNO-0162,PLM_RUNNING,Cylinder Barrel Asse,PLM_RUNNING
163,163,CF-ACTUATORCO-0163,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0163,CONFIGNO-0163,PLM_CLOSED,Front End Cap aviati,PLM_CLOSED
164,164,CF-ACTUATORCO-0164,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0164,CONFIGNO-0164,PLM_HOLD,Rear End Cap aviatio,PLM_HOLD
165,165,CF-ACTUATORCO-0165,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0165,CONFIGNO-0165,PLM_OPEN,Seal Ring Assembly a,PLM_OPEN
166,166,CF-ACTUATORCO-0166,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0166,CONFIGNO-0166,PLM_RUNNING,Trunnion Bushing avi,PLM_RUNNING
167,167,CF-ACTUATORCO-0167,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0167,CONFIGNO-0167,PLM_CLOSED,Spherical Bearing av,PLM_CLOSED
168,168,CF-ACTUATORCO-0168,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0168,CONFIGNO-0168,PLM_HOLD,Throttle Connector a,PLM_HOLD
169,169,CF-ACTUATORCO-0169,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0169,CONFIGNO-0169,PLM_OPEN,Displacement Sensor ,PLM_OPEN
170,170,CF-ACTUATORCO-0170,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0170,CONFIGNO-0170,PLM_RUNNING,Locking Nut aviation,PLM_RUNNING
171,171,CF-ACTUATORCO-0171,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0171,CONFIGNO-0171,PLM_CLOSED,Piston Rod Assembly ,PLM_CLOSED
172,172,CF-ACTUATORCO-0172,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0172,CONFIGNO-0172,PLM_HOLD,Cylinder Barrel Asse,PLM_HOLD
173,173,CF-ACTUATORCO-0173,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0173,CONFIGNO-0173,PLM_OPEN,Front End Cap aviati,PLM_OPEN
174,174,CF-ACTUATORCO-0174,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0174,CONFIGNO-0174,PLM_RUNNING,Rear End Cap aviatio,PLM_RUNNING
175,175,CF-ACTUATORCO-0175,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0175,CONFIGNO-0175,PLM_CLOSED,Seal Ring Assembly a,PLM_CLOSED
176,176,CF-ACTUATORCO-0176,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0176,CONFIGNO-0176,PLM_HOLD,Trunnion Bushing avi,PLM_HOLD
177,177,CF-ACTUATORCO-0177,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0177,CONFIGNO-0177,PLM_OPEN,Spherical Bearing av,PLM_OPEN
178,178,CF-ACTUATORCO-0178,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0178,CONFIGNO-0178,PLM_RUNNING,Throttle Connector a,PLM_RUNNING
179,179,CF-ACTUATORCO-0179,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0179,CONFIGNO-0179,PLM_CLOSED,Displacement Sensor ,PLM_CLOSED
180,180,CF-ACTUATORCO-0180,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0180,CONFIGNO-0180,PLM_HOLD,Locking Nut aviation,PLM_HOLD
181,181,CF-ACTUATORCO-0181,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0181,CONFIGNO-0181,PLM_OPEN,Piston Rod Assembly ,PLM_OPEN
182,182,CF-ACTUATORCO-0182,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0182,CONFIGNO-0182,PLM_RUNNING,Cylinder Barrel Asse,PLM_RUNNING
183,183,CF-ACTUATORCO-0183,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0183,CONFIGNO-0183,PLM_CLOSED,Front End Cap aviati,PLM_CLOSED
184,184,CF-ACTUATORCO-0184,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0184,CONFIGNO-0184,PLM_HOLD,Rear End Cap aviatio,PLM_HOLD
185,185,CF-ACTUATORCO-0185,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0185,CONFIGNO-0185,PLM_OPEN,Seal Ring Assembly a,PLM_OPEN
186,186,CF-ACTUATORCO-0186,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0186,CONFIGNO-0186,PLM_RUNNING,Trunnion Bushing avi,PLM_RUNNING
187,187,CF-ACTUATORCO-0187,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0187,CONFIGNO-0187,PLM_CLOSED,Spherical Bearing av,PLM_CLOSED
188,188,CF-ACTUATORCO-0188,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0188,CONFIGNO-0188,PLM_HOLD,Throttle Connector a,PLM_HOLD
189,189,CF-ACTUATORCO-0189,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0189,CONFIGNO-0189,PLM_OPEN,Displacement Sensor ,PLM_OPEN
190,190,CF-ACTUATORCO-0190,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0190,CONFIGNO-0190,PLM_RUNNING,Locking Nut aviation,PLM_RUNNING
191,191,CF-ACTUATORCO-0191,Landing Gear Extension Retraction Hydraulic Actuator,Piston Rod Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0191,CONFIGNO-0191,PLM_CLOSED,Piston Rod Assembly ,PLM_CLOSED
192,192,CF-ACTUATORCO-0192,Landing Gear Extension Retraction Hydraulic Actuator,Cylinder Barrel Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0192,CONFIGNO-0192,PLM_HOLD,Cylinder Barrel Asse,PLM_HOLD
193,193,CF-ACTUATORCO-0193,Landing Gear Extension Retraction Hydraulic Actuator,Front End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0193,CONFIGNO-0193,PLM_OPEN,Front End Cap aviati,PLM_OPEN
194,194,CF-ACTUATORCO-0194,Landing Gear Extension Retraction Hydraulic Actuator,Rear End Cap aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0194,CONFIGNO-0194,PLM_RUNNING,Rear End Cap aviatio,PLM_RUNNING
195,195,CF-ACTUATORCO-0195,Landing Gear Extension Retraction Hydraulic Actuator,Seal Ring Assembly aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0195,CONFIGNO-0195,PLM_CLOSED,Seal Ring Assembly a,PLM_CLOSED
196,196,CF-ACTUATORCO-0196,Landing Gear Extension Retraction Hydraulic Actuator,Trunnion Bushing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0196,CONFIGNO-0196,PLM_HOLD,Trunnion Bushing avi,PLM_HOLD
197,197,CF-ACTUATORCO-0197,Landing Gear Extension Retraction Hydraulic Actuator,Spherical Bearing aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0197,CONFIGNO-0197,PLM_OPEN,Spherical Bearing av,PLM_OPEN
198,198,CF-ACTUATORCO-0198,Landing Gear Extension Retraction Hydraulic Actuator,Throttle Connector aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0198,CONFIGNO-0198,PLM_RUNNING,Throttle Connector a,PLM_RUNNING
199,199,CF-ACTUATORCO-0199,Landing Gear Extension Retraction Hydraulic Actuator,Displacement Sensor Bracket aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0199,CONFIGNO-0199,PLM_CLOSED,Displacement Sensor ,PLM_CLOSED
200,200,CF-ACTUATORCO-0200,Landing Gear Extension Retraction Hydraulic Actuator,Locking Nut aviation manufacturing business record used for actuator quality traceability.,DWG-LGACT-0200,CONFIGNO-0200,PLM_HOLD,Locking Nut aviation,PLM_HOLD
