bom_line_id,bom_header_id,parent_part_master_id,child_part_master_id,line_no,item_no,qty_per_txt,uom,install_pos_code,find_no,alt_group,line_status_cd
167,167,167,167,167,MAT-LG-0167,38.0 C,PLM_KG,POS-LG-06,FINDNO-0167,Spherical Bearing is used for actuator assembly and issued a,PLM_CLOSED
168,168,168,168,168,MAT-LG-0168,0.210 mm,PLM_M,POS-LG-01,FINDNO-0168,Throttle Connector is used for actuator assembly and issued ,PLM_HOLD
169,169,169,169,169,MAT-LG-0169,23.400 MPa,PLM_EA,POS-LG-02,FINDNO-0169,Displacement Sensor Bracket is used for actuator assembly an,PLM_OPEN
170,170,170,170,170,MAT-LG-0170,0.020 mL/min,PLM_SET,POS-LG-03,FINDNO-0170,Locking Nut is used for actuator assembly and issued accordi,PLM_RUNNING
171,171,171,171,171,MAT-LG-0171,154.850 mm,PLM_KG,POS-LG-04,FINDNO-0171,Piston Rod Assembly is used for actuator assembly and issued,PLM_CLOSED
172,172,172,172,172,MAT-LG-0172,4.800 s,PLM_M,POS-LG-05,FINDNO-0172,Cylinder Barrel Assembly is used for actuator assembly and i,PLM_HOLD
173,173,173,173,173,MAT-LG-0173,38.1 C,PLM_EA,POS-LG-06,FINDNO-0173,Front End Cap is used for actuator assembly and issued accor,PLM_OPEN
174,174,174,174,174,MAT-LG-0174,0.240 mm,PLM_SET,POS-LG-01,FINDNO-0174,Rear End Cap is used for actuator assembly and issued accord,PLM_RUNNING
175,175,175,175,175,MAT-LG-0175,20.700 MPa,PLM_KG,POS-LG-02,FINDNO-0175,Seal Ring Assembly is used for actuator assembly and issued ,PLM_CLOSED
176,176,176,176,176,MAT-LG-0176,0.050 mL/min,PLM_M,POS-LG-03,FINDNO-0176,Trunnion Bushing is used for actuator assembly and issued ac,PLM_HOLD
177,177,177,177,177,MAT-LG-0177,155.000 mm,PLM_EA,POS-LG-04,FINDNO-0177,Spherical Bearing is used for actuator assembly and issued a,PLM_OPEN
178,178,178,178,178,MAT-LG-0178,4.950 s,PLM_SET,POS-LG-05,FINDNO-0178,Throttle Connector is used for actuator assembly and issued ,PLM_RUNNING
179,179,179,179,179,MAT-LG-0179,38.3 C,PLM_KG,POS-LG-06,FINDNO-0179,Displacement Sensor Bracket is used for actuator assembly an,PLM_CLOSED
180,180,180,180,180,MAT-LG-0180,0.120 mm,PLM_M,POS-LG-01,FINDNO-0180,Locking Nut is used for actuator assembly and issued accordi,PLM_HOLD
181,181,181,181,181,MAT-LG-0181,20.850 MPa,PLM_EA,POS-LG-02,FINDNO-0181,Piston Rod Assembly is used for actuator assembly and issued,PLM_OPEN
182,182,182,182,182,MAT-LG-0182,0.220 mL/min,PLM_SET,POS-LG-03,FINDNO-0182,Cylinder Barrel Assembly is used for actuator assembly and i,PLM_RUNNING
183,183,183,183,183,MAT-LG-0183,155.150 mm,PLM_KG,POS-LG-04,FINDNO-0183,Front End Cap is used for actuator assembly and issued accor,PLM_CLOSED
184,184,184,184,184,MAT-LG-0184,5.100 s,PLM_M,POS-LG-05,FINDNO-0184,Rear End Cap is used for actuator assembly and issued accord,PLM_HOLD
185,185,185,185,185,MAT-LG-0185,37.7 C,PLM_EA,POS-LG-06,FINDNO-0185,Seal Ring Assembly is used for actuator assembly and issued ,PLM_OPEN
186,186,186,186,186,MAT-LG-0186,0.150 mm,PLM_SET,POS-LG-01,FINDNO-0186,Trunnion Bushing is used for actuator assembly and issued ac,PLM_RUNNING
187,187,187,187,187,MAT-LG-0187,21.000 MPa,PLM_KG,POS-LG-02,FINDNO-0187,Spherical Bearing is used for actuator assembly and issued a,PLM_CLOSED
188,188,188,188,188,MAT-LG-0188,0.110 mL/min,PLM_M,POS-LG-03,FINDNO-0188,Throttle Connector is used for actuator assembly and issued ,PLM_HOLD
189,189,189,189,189,MAT-LG-0189,155.300 mm,PLM_EA,POS-LG-04,FINDNO-0189,Displacement Sensor Bracket is used for actuator assembly an,PLM_OPEN
190,190,190,190,190,MAT-LG-0190,4.500 s,PLM_SET,POS-LG-05,FINDNO-0190,Locking Nut is used for actuator assembly and issued accordi,PLM_RUNNING
191,191,191,191,191,MAT-LG-0191,37.9 C,PLM_KG,POS-LG-06,FINDNO-0191,Piston Rod Assembly is used for actuator assembly and issued,PLM_CLOSED
192,192,192,192,192,MAT-LG-0192,0.180 mm,PLM_M,POS-LG-01,FINDNO-0192,Cylinder Barrel Assembly is used for actuator assembly and i,PLM_HOLD
193,193,193,193,193,MAT-LG-0193,21.150 MPa,PLM_EA,POS-LG-02,FINDNO-0193,Front End Cap is used for actuator assembly and issued accor,PLM_OPEN
194,194,194,194,194,MAT-LG-0194,0.140 mL/min,PLM_SET,POS-LG-03,FINDNO-0194,Rear End Cap is used for actuator assembly and issued accord,PLM_RUNNING
195,195,195,195,195,MAT-LG-0195,158.400 mm,PLM_KG,POS-LG-04,FINDNO-0195,Seal Ring Assembly is used for actuator assembly and issued ,PLM_CLOSED
196,196,196,196,196,MAT-LG-0196,4.650 s,PLM_M,POS-LG-05,FINDNO-0196,Trunnion Bushing is used for actuator assembly and issued ac,PLM_HOLD
197,197,197,197,197,MAT-LG-0197,38.0 C,PLM_EA,POS-LG-06,FINDNO-0197,Spherical Bearing is used for actuator assembly and issued a,PLM_OPEN
198,198,198,198,198,MAT-LG-0198,0.210 mm,PLM_SET,POS-LG-01,FINDNO-0198,Throttle Connector is used for actuator assembly and issued ,PLM_RUNNING
199,199,199,199,199,MAT-LG-0199,21.300 MPa,PLM_KG,POS-LG-02,FINDNO-0199,Displacement Sensor Bracket is used for actuator assembly an,PLM_CLOSED
200,200,200,200,200,MAT-LG-0200,0.020 mL/min,PLM_M,POS-LG-03,FINDNO-0200,Locking Nut is used for actuator assembly and issued accordi,PLM_HOLD
