issue_id,inv_lot_id,mo_no,issue_no,issue_time_txt,issue_qty_txt,picker_name,use_for,issue_stat_cd
134,134,WO-LG-2026-0134,ISSUENO-0134,2026/05/30 23:38:00,0.140 mL/min,Rear End Cap 134,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
135,135,WO-LG-2026-0135,ISSUENO-0135,2026/05/31 23:45:00,154.700 mm,Seal Ring Assembly 135,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
136,136,WO-LG-2026-0136,ISSUENO-0136,2026/06/01 23:52:00,4.650 s,Trunnion Bushing 136,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
137,137,WO-LG-2026-0137,ISSUENO-0137,2026/06/02 23:59:00,38.0 C,Spherical Bearing 137,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
138,138,WO-LG-2026-0138,ISSUENO-0138,2026/06/04 00:06:00,0.210 mm,Throttle Connector 138,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
139,139,WO-LG-2026-0139,ISSUENO-0139,2026/06/05 00:13:00,21.300 MPa,Displacement Sensor Bracket 139,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
140,140,WO-LG-2026-0140,ISSUENO-0140,2026/06/06 00:20:00,0.020 mL/min,Locking Nut 140,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
141,141,WO-LG-2026-0141,ISSUENO-0141,2026/05/10 00:27:00,154.850 mm,Piston Rod Assembly 141,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
142,142,WO-LG-2026-0142,ISSUENO-0142,2026/05/11 00:34:00,4.800 s,Cylinder Barrel Assembly 142,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
143,143,WO-LG-2026-0143,ISSUENO-0143,2026/05/12 00:41:00,62.0 C,Front End Cap 143,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
144,144,WO-LG-2026-0144,ISSUENO-0144,2026/05/13 00:48:00,0.240 mm,Rear End Cap 144,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
145,145,WO-LG-2026-0145,ISSUENO-0145,2026/05/14 00:55:00,20.700 MPa,Seal Ring Assembly 145,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
146,146,WO-LG-2026-0146,ISSUENO-0146,2026/05/15 01:02:00,0.050 mL/min,Trunnion Bushing 146,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
147,147,WO-LG-2026-0147,ISSUENO-0147,2026/05/16 01:09:00,155.000 mm,Spherical Bearing 147,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
148,148,WO-LG-2026-0148,ISSUENO-0148,2026/05/17 01:16:00,4.950 s,Throttle Connector 148,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
149,149,WO-LG-2026-0149,ISSUENO-0149,2026/05/18 01:23:00,38.3 C,Displacement Sensor Bracket 149,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
150,150,WO-LG-2026-0150,ISSUENO-0150,2026/05/19 01:30:00,0.120 mm,Locking Nut 150,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
151,151,WO-LG-2026-0151,ISSUENO-0151,2026/05/20 01:37:00,20.850 MPa,Piston Rod Assembly 151,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
152,152,WO-LG-2026-0152,ISSUENO-0152,2026/05/21 01:44:00,0.080 mL/min,Cylinder Barrel Assembly 152,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
153,153,WO-LG-2026-0153,ISSUENO-0153,2026/05/22 01:51:00,155.150 mm,Front End Cap 153,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
154,154,WO-LG-2026-0154,ISSUENO-0154,2026/05/23 01:58:00,5.100 s,Rear End Cap 154,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
155,155,WO-LG-2026-0155,ISSUENO-0155,2026/05/24 02:05:00,37.7 C,Seal Ring Assembly 155,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
156,156,WO-LG-2026-0156,ISSUENO-0156,2026/05/25 02:12:00,0.310 mm,Trunnion Bushing 156,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
157,157,WO-LG-2026-0157,ISSUENO-0157,2026/05/26 02:19:00,21.000 MPa,Spherical Bearing 157,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
158,158,WO-LG-2026-0158,ISSUENO-0158,2026/05/27 02:26:00,0.110 mL/min,Throttle Connector 158,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
159,159,WO-LG-2026-0159,ISSUENO-0159,2026/05/28 02:33:00,155.300 mm,Displacement Sensor Bracket 159,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
160,160,WO-LG-2026-0160,ISSUENO-0160,2026/05/29 02:40:00,4.500 s,Locking Nut 160,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
161,161,WO-LG-2026-0161,ISSUENO-0161,2026/05/30 02:47:00,37.9 C,Piston Rod Assembly 161,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
162,162,WO-LG-2026-0162,ISSUENO-0162,2026/05/31 02:54:00,0.180 mm,Cylinder Barrel Assembly 162,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
163,163,WO-LG-2026-0163,ISSUENO-0163,2026/06/01 03:01:00,21.150 MPa,Front End Cap 163,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
164,164,WO-LG-2026-0164,ISSUENO-0164,2026/06/02 03:08:00,0.140 mL/min,Rear End Cap 164,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
165,165,WO-LG-2026-0165,ISSUENO-0165,2026/06/03 03:15:00,154.700 mm,Seal Ring Assembly 165,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
166,166,WO-LG-2026-0166,ISSUENO-0166,2026/06/04 03:22:00,4.650 s,Trunnion Bushing 166,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
167,167,WO-LG-2026-0167,ISSUENO-0167,2026/06/05 03:29:00,38.0 C,Spherical Bearing 167,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
168,168,WO-LG-2026-0168,ISSUENO-0168,2026/06/06 03:36:00,0.210 mm,Throttle Connector 168,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
169,169,WO-LG-2026-0169,ISSUENO-0169,2026/05/10 03:43:00,23.400 MPa,Displacement Sensor Bracket 169,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
170,170,WO-LG-2026-0170,ISSUENO-0170,2026/05/11 03:50:00,0.020 mL/min,Locking Nut 170,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
171,171,WO-LG-2026-0171,ISSUENO-0171,2026/05/12 03:57:00,154.850 mm,Piston Rod Assembly 171,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
172,172,WO-LG-2026-0172,ISSUENO-0172,2026/05/13 04:04:00,4.800 s,Cylinder Barrel Assembly 172,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
173,173,WO-LG-2026-0173,ISSUENO-0173,2026/05/14 04:11:00,38.1 C,Front End Cap 173,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
174,174,WO-LG-2026-0174,ISSUENO-0174,2026/05/15 04:18:00,0.240 mm,Rear End Cap 174,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
175,175,WO-LG-2026-0175,ISSUENO-0175,2026/05/16 04:25:00,20.700 MPa,Seal Ring Assembly 175,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
176,176,WO-LG-2026-0176,ISSUENO-0176,2026/05/17 04:32:00,0.050 mL/min,Trunnion Bushing 176,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
177,177,WO-LG-2026-0177,ISSUENO-0177,2026/05/18 04:39:00,155.000 mm,Spherical Bearing 177,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
178,178,WO-LG-2026-0178,ISSUENO-0178,2026/05/19 04:46:00,4.950 s,Throttle Connector 178,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
179,179,WO-LG-2026-0179,ISSUENO-0179,2026/05/20 04:53:00,38.3 C,Displacement Sensor Bracket 179,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
180,180,WO-LG-2026-0180,ISSUENO-0180,2026/05/21 05:00:00,0.120 mm,Locking Nut 180,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
181,181,WO-LG-2026-0181,ISSUENO-0181,2026/05/22 05:07:00,20.850 MPa,Piston Rod Assembly 181,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
182,182,WO-LG-2026-0182,ISSUENO-0182,2026/05/23 05:14:00,0.220 mL/min,Cylinder Barrel Assembly 182,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
183,183,WO-LG-2026-0183,ISSUENO-0183,2026/05/24 05:21:00,155.150 mm,Front End Cap 183,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
184,184,WO-LG-2026-0184,ISSUENO-0184,2026/05/25 05:28:00,5.100 s,Rear End Cap 184,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
185,185,WO-LG-2026-0185,ISSUENO-0185,2026/05/26 05:35:00,37.7 C,Seal Ring Assembly 185,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
186,186,WO-LG-2026-0186,ISSUENO-0186,2026/05/27 05:42:00,0.150 mm,Trunnion Bushing 186,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
187,187,WO-LG-2026-0187,ISSUENO-0187,2026/05/28 05:49:00,21.000 MPa,Spherical Bearing 187,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
188,188,WO-LG-2026-0188,ISSUENO-0188,2026/05/29 05:56:00,0.110 mL/min,Throttle Connector 188,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
189,189,WO-LG-2026-0189,ISSUENO-0189,2026/05/30 06:03:00,155.300 mm,Displacement Sensor Bracket 189,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
190,190,WO-LG-2026-0190,ISSUENO-0190,2026/05/31 06:10:00,4.500 s,Locking Nut 190,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
191,191,WO-LG-2026-0191,ISSUENO-0191,2026/06/01 06:17:00,37.9 C,Piston Rod Assembly 191,The procurement batch for Piston Rod Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
192,192,WO-LG-2026-0192,ISSUENO-0192,2026/06/02 06:24:00,0.180 mm,Cylinder Barrel Assembly 192,The procurement batch for Cylinder Barrel Assembly has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
193,193,WO-LG-2026-0193,ISSUENO-0193,2026/06/03 06:31:00,21.150 MPa,Front End Cap 193,The procurement batch for Front End Cap has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
194,194,WO-LG-2026-0194,ISSUENO-0194,2026/06/04 06:38:00,0.140 mL/min,Rear End Cap 194,The procurement batch for Rear End Cap has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
195,195,WO-LG-2026-0195,ISSUENO-0195,2026/06/05 06:45:00,158.400 mm,Seal Ring Assembly 195,The procurement batch for Seal Ring Assembly has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
196,196,WO-LG-2026-0196,ISSUENO-0196,2026/06/06 06:52:00,4.650 s,Trunnion Bushing 196,The procurement batch for Trunnion Bushing has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
197,197,WO-LG-2026-0197,ISSUENO-0197,2026/05/10 06:59:00,38.0 C,Spherical Bearing 197,The procurement batch for Spherical Bearing has completed receiving inspection and is used for actuator assembly.,ERP_OPEN
198,198,WO-LG-2026-0198,ISSUENO-0198,2026/05/11 07:06:00,0.210 mm,Throttle Connector 198,The procurement batch for Throttle Connector has completed receiving inspection and is used for actuator assembly.,ERP_RUNNING
199,199,WO-LG-2026-0199,ISSUENO-0199,2026/05/12 07:13:00,21.300 MPa,Displacement Sensor Bracket 199,The procurement batch for Displacement Sensor Bracket has completed receiving inspection and is used for actuator assembly.,ERP_CLOSED
200,200,WO-LG-2026-0200,ISSUENO-0200,2026/05/13 07:20:00,0.020 mL/min,Locking Nut 200,The procurement batch for Locking Nut has completed receiving inspection and is used for actuator assembly.,ERP_HOLD
